SA2_NAME16	Age	Sex	workers
Goulburn Region	70-74	F	42
Goulburn Region	70-74	M	86
Goulburn Region	75+	F	37
Goulburn Region	75+	M	91
Yass	15-19	F	117
Yass	15-19	M	84
Yass	20-24	F	117
Yass	20-24	M	85
Yass	25-29	F	111
Yass	25-29	M	83
Yass	30-34	F	96
Yass	30-34	M	92
Yass	35-39	F	114
Yass	35-39	M	85
Yass	40-44	F	139
Yass	40-44	M	100
Yass	45-49	F	146
Yass	45-49	M	93
Yass	50-54	F	125
Yass	50-54	M	94
Yass	55-59	F	130
Yass	55-59	M	95
Yass	60-64	F	91
Yass	60-64	M	73
Yass	65-69	F	35
Yass	65-69	M	56
Yass	70-74	F	16
Yass	70-74	M	7
Yass	75+	F	6
Yass	75+	M	19
Yass Region	15-19	F	57
Yass Region	15-19	M	75
Yass Region	20-24	F	93
Yass Region	20-24	M	86
Yass Region	25-29	F	51
Yass Region	25-29	M	79
Yass Region	30-34	F	72
Yass Region	30-34	M	89
Yass Region	35-39	F	77
Yass Region	35-39	M	82
Yass Region	40-44	F	93
Yass Region	40-44	M	119
Yass Region	45-49	F	108
Yass Region	45-49	M	111
Yass Region	50-54	F	100
Yass Region	50-54	M	152
Yass Region	55-59	F	99
Yass Region	55-59	M	138
Yass Region	60-64	F	89
Yass Region	60-64	M	116
Yass Region	65-69	F	68
Yass Region	65-69	M	119
Yass Region	70-74	F	48
Yass Region	70-74	M	72
Yass Region	75+	F	29
Yass Region	75+	M	72
Young	15-19	F	167
Young	15-19	M	151
Young	20-24	F	196
Young	20-24	M	172
Young	25-29	F	163
Young	25-29	M	186
Young	30-34	F	192
Young	30-34	M	182
Young	35-39	F	248
Young	35-39	M	212
Young	40-44	F	248
Young	40-44	M	221
Young	45-49	F	272
Young	45-49	M	202
Young	50-54	F	272
Young	50-54	M	254
Young	55-59	F	250
Young	55-59	M	208
Young	60-64	F	143
Young	60-64	M	173
Young	65-69	F	75
Young	65-69	M	94
Young	70-74	F	20
Young	70-74	M	39
Young	75+	F	10
Young	75+	M	31
Young Region	15-19	F	32
Young Region	15-19	M	60
Young Region	20-24	F	68
Young Region	20-24	M	98
Young Region	25-29	F	70
Young Region	25-29	M	86
Young Region	30-34	F	62
Young Region	30-34	M	95
Young Region	35-39	F	71
Young Region	35-39	M	88
Young Region	40-44	F	87
Young Region	40-44	M	125
Young Region	45-49	F	147
Young Region	45-49	M	135
Young Region	50-54	F	128
Young Region	50-54	M	163
Young Region	55-59	F	123
Young Region	55-59	M	154
Young Region	60-64	F	102
Young Region	60-64	M	164
Young Region	65-69	F	70
Young Region	65-69	M	96
Young Region	70-74	F	26
Young Region	70-74	M	59
Young Region	75+	F	31
Young Region	75+	M	52
Avoca Beach - Copacabana	15-19	F	64
Avoca Beach - Copacabana	15-19	M	41
Avoca Beach - Copacabana	20-24	F	39
Avoca Beach - Copacabana	20-24	M	56
Avoca Beach - Copacabana	25-29	F	33
Avoca Beach - Copacabana	25-29	M	45
Avoca Beach - Copacabana	30-34	F	44
Avoca Beach - Copacabana	30-34	M	48
Avoca Beach - Copacabana	35-39	F	63
Avoca Beach - Copacabana	35-39	M	38
Avoca Beach - Copacabana	40-44	F	78
Avoca Beach - Copacabana	40-44	M	58
Avoca Beach - Copacabana	45-49	F	74
Avoca Beach - Copacabana	45-49	M	68
Avoca Beach - Copacabana	50-54	F	60
Avoca Beach - Copacabana	50-54	M	45
Avoca Beach - Copacabana	55-59	F	58
Avoca Beach - Copacabana	55-59	M	51
Avoca Beach - Copacabana	60-64	F	28
Avoca Beach - Copacabana	60-64	M	36
Avoca Beach - Copacabana	65-69	F	12
Avoca Beach - Copacabana	65-69	M	23
Avoca Beach - Copacabana	70-74	M	10
Avoca Beach - Copacabana	75+	F	3
Avoca Beach - Copacabana	75+	M	8
Box Head - MacMasters Beach	15-19	F	41
Box Head - MacMasters Beach	15-19	M	41
Box Head - MacMasters Beach	20-24	F	61
Box Head - MacMasters Beach	20-24	M	59
Box Head - MacMasters Beach	25-29	F	36
Box Head - MacMasters Beach	25-29	M	58
Box Head - MacMasters Beach	30-34	F	51
Box Head - MacMasters Beach	30-34	M	55
Box Head - MacMasters Beach	35-39	F	51
Box Head - MacMasters Beach	35-39	M	48
