SA2_NAME16	EmploymentStatus	workers
Nagambie	Owner managers of unincorporated enterprises	171
Nagambie	Status in employment not stated	23
Seymour	Contributing family workers	40
Seymour	Employee	2373
Seymour	Owner managers of incorporated enterprises	139
Seymour	Owner managers of unincorporated enterprises	168
Seymour	Status in employment not stated	72
Seymour Region	Contributing family workers	66
Seymour Region	Employee	1712
Seymour Region	Owner managers of incorporated enterprises	75
Seymour Region	Owner managers of unincorporated enterprises	130
Seymour Region	Status in employment not stated	26
Upper Yarra Valley	Employee	6
Yea	Contributing family workers	86
Yea	Employee	626
Yea	Owner managers of incorporated enterprises	112
Yea	Owner managers of unincorporated enterprises	180
Yea	Status in employment not stated	14
Benalla	Contributing family workers	80
Benalla	Employee	3624
Benalla	Owner managers of incorporated enterprises	265
Benalla	Owner managers of unincorporated enterprises	333
Benalla	Status in employment not stated	69
Benalla Region	Contributing family workers	144
Benalla Region	Employee	261
Benalla Region	Owner managers of incorporated enterprises	86
Benalla Region	Owner managers of unincorporated enterprises	252
Benalla Region	Status in employment not stated	13
Rutherglen	Contributing family workers	63
Rutherglen	Employee	1252
Rutherglen	Owner managers of incorporated enterprises	98
Rutherglen	Owner managers of unincorporated enterprises	132
Rutherglen	Status in employment not stated	29
Wangaratta	Contributing family workers	101
Wangaratta	Employee	8464
Wangaratta	Owner managers of incorporated enterprises	546
Wangaratta	Owner managers of unincorporated enterprises	574
Wangaratta	Status in employment not stated	124
Wangaratta Region	Contributing family workers	265
Wangaratta Region	Employee	1360
Wangaratta Region	Owner managers of incorporated enterprises	248
Wangaratta Region	Owner managers of unincorporated enterprises	575
Wangaratta Region	Status in employment not stated	65
Beechworth	Contributing family workers	62
Beechworth	Employee	1146
Beechworth	Owner managers of incorporated enterprises	134
Beechworth	Owner managers of unincorporated enterprises	214
Beechworth	Status in employment not stated	19
Bright - Mount Beauty	Contributing family workers	167
Bright - Mount Beauty	Employee	2894
Bright - Mount Beauty	Owner managers of incorporated enterprises	369
Bright - Mount Beauty	Owner managers of unincorporated enterprises	456
Bright - Mount Beauty	Status in employment not stated	58
Chiltern - Indigo Valley	Contributing family workers	53
Chiltern - Indigo Valley	Employee	298
Chiltern - Indigo Valley	Owner managers of incorporated enterprises	47
Chiltern - Indigo Valley	Owner managers of unincorporated enterprises	113
Chiltern - Indigo Valley	Status in employment not stated	18
Myrtleford	Contributing family workers	76
Myrtleford	Employee	1471
Myrtleford	Owner managers of incorporated enterprises	125
Myrtleford	Owner managers of unincorporated enterprises	179
Myrtleford	Status in employment not stated	40
Towong	Contributing family workers	187
Towong	Employee	1180
Towong	Owner managers of incorporated enterprises	182
Towong	Owner managers of unincorporated enterprises	430
Towong	Status in employment not stated	36
West Wodonga	Contributing family workers	49
West Wodonga	Employee	3834
West Wodonga	Owner managers of incorporated enterprises	223
West Wodonga	Owner managers of unincorporated enterprises	248
West Wodonga	Status in employment not stated	38
Wodonga	Contributing family workers	133
Wodonga	Employee	12695
Wodonga	Owner managers of incorporated enterprises	710
Wodonga	Owner managers of unincorporated enterprises	740
Wodonga	Status in employment not stated	130
Yackandandah	Contributing family workers	66
Yackandandah	Employee	742
Yackandandah	Owner managers of incorporated enterprises	122
Yackandandah	Owner managers of unincorporated enterprises	217
Yackandandah	Status in employment not stated	18
Drouin	Contributing family workers	129
Drouin	Employee	2608
Drouin	Owner managers of incorporated enterprises	320
Drouin	Owner managers of unincorporated enterprises	477
Drouin	Status in employment not stated	49
Mount Baw Baw Region	Contributing family workers	131
Mount Baw Baw Region	Employee	905
Mount Baw Baw Region	Owner managers of incorporated enterprises	177
Mount Baw Baw Region	Owner managers of unincorporated enterprises	323
Mount Baw Baw Region	Status in employment not stated	43
Trafalgar (Vic.)	Contributing family workers	125
Trafalgar (Vic.)	Employee	1224
Trafalgar (Vic.)	Owner managers of incorporated enterprises	183
Trafalgar (Vic.)	Owner managers of unincorporated enterprises	322
Trafalgar (Vic.)	Status in employment not stated	40
Warragul	Contributing family workers	164
Warragul	Employee	7133
Warragul	Owner managers of incorporated enterprises	595
Warragul	Owner managers of unincorporated enterprises	766
Warragul	Status in employment not stated	146
Alps - East	Employee	3
Bairnsdale	Contributing family workers	100
Bairnsdale	Employee	7325
Bairnsdale	Owner managers of incorporated enterprises	476
Bairnsdale	Owner managers of unincorporated enterprises	554
Bairnsdale	Status in employment not stated	123
Bruthen - Omeo	Contributing family workers	185
Bruthen - Omeo	Employee	969
Bruthen - Omeo	Owner managers of incorporated enterprises	130
Bruthen - Omeo	Owner managers of unincorporated enterprises	415
Bruthen - Omeo	Status in employment not stated	47
Lakes Entrance	Contributing family workers	102
Lakes Entrance	Employee	1844
Lakes Entrance	Owner managers of incorporated enterprises	219
Lakes Entrance	Owner managers of unincorporated enterprises	321
Lakes Entrance	Status in employment not stated	56
Orbost	Contributing family workers	163
Orbost	Employee	1352
Orbost	Owner managers of incorporated enterprises	158
Orbost	Owner managers of unincorporated enterprises	335
Orbost	Status in employment not stated	55
Paynesville	Contributing family workers	36
Paynesville	Employee	502
Paynesville	Owner managers of incorporated enterprises	78
Paynesville	Owner managers of unincorporated enterprises	156
Paynesville	Status in employment not stated	18
Foster	Contributing family workers	213
Foster	Employee	1665
Foster	Owner managers of incorporated enterprises	254
Foster	Owner managers of unincorporated enterprises	701
Foster	Status in employment not stated	38
French Island	Contributing family workers	12
French Island	Employee	25
French Island	Owner managers of incorporated enterprises	3
French Island	Owner managers of unincorporated enterprises	18
Korumburra	Contributing family workers	163
Korumburra	Employee	1655
Korumburra	Owner managers of incorporated enterprises	239
Korumburra	Owner managers of unincorporated enterprises	493
Korumburra	Status in employment not stated	57
Leongatha	Contributing family workers	211
Leongatha	Employee	3938
Leongatha	Owner managers of incorporated enterprises	320
Leongatha	Owner managers of unincorporated enterprises	676
Leongatha	Status in employment not stated	74
Phillip Island	Contributing family workers	103
Phillip Island	Employee	2329
Phillip Island	Owner managers of incorporated enterprises	303
Phillip Island	Owner managers of unincorporated enterprises	429
Phillip Island	Status in employment not stated	62
Wilsons Promontory	Employee	28
Wilsons Promontory	Owner managers of incorporated enterprises	3
Wonthaggi - Inverloch	Contributing family workers	225
Wonthaggi - Inverloch	Employee	5232
Wonthaggi - Inverloch	Owner managers of incorporated enterprises	512
Wonthaggi - Inverloch	Owner managers of unincorporated enterprises	896
Wonthaggi - Inverloch	Status in employment not stated	130
Churchill	Contributing family workers	84
Churchill	Employee	3448
Churchill	Owner managers of incorporated enterprises	122
Churchill	Owner managers of unincorporated enterprises	253
Churchill	Status in employment not stated	41
Moe - Newborough	Contributing family workers	58
Moe - Newborough	Employee	4057
Moe - Newborough	Owner managers of incorporated enterprises	187
Moe - Newborough	Owner managers of unincorporated enterprises	287
Moe - Newborough	Status in employment not stated	67
Morwell	Contributing family workers	67
Morwell	Employee	8514
Morwell	Owner managers of incorporated enterprises	381
Morwell	Owner managers of unincorporated enterprises	299
Morwell	Status in employment not stated	96
Traralgon	Contributing family workers	108
Traralgon	Employee	10744
Traralgon	Owner managers of incorporated enterprises	655
Traralgon	Owner managers of unincorporated enterprises	547
Traralgon	Status in employment not stated	140
Yallourn North - Glengarry	Contributing family workers	14
Yallourn North - Glengarry	Employee	243
Yallourn North - Glengarry	Owner managers of incorporated enterprises	56
Yallourn North - Glengarry	Owner managers of unincorporated enterprises	81
Yallourn North - Glengarry	Status in employment not stated	6
Alps - West	Contributing family workers	3
Alps - West	Employee	12
Alps - West	Owner managers of unincorporated enterprises	3
Longford - Loch Sport	Contributing family workers	59
Longford - Loch Sport	Employee	2363
Longford - Loch Sport	Owner managers of incorporated enterprises	74
Longford - Loch Sport	Owner managers of unincorporated enterprises	190
Longford - Loch Sport	Status in employment not stated	28
Maffra	Contributing family workers	198
Maffra	Employee	2815
Maffra	Owner managers of incorporated enterprises	255
Maffra	Owner managers of unincorporated enterprises	590
Maffra	Status in employment not stated	82
Rosedale	Contributing family workers	102
Rosedale	Employee	841
Rosedale	Owner managers of incorporated enterprises	85
Rosedale	Owner managers of unincorporated enterprises	253
Rosedale	Status in employment not stated	17
Sale	Contributing family workers	76
Sale	Employee	6260
Sale	Owner managers of incorporated enterprises	363
Sale	Owner managers of unincorporated enterprises	443
Sale	Status in employment not stated	82
Yarram	Contributing family workers	122
Yarram	Employee	1228
Yarram	Owner managers of incorporated enterprises	109
Yarram	Owner managers of unincorporated enterprises	338
Yarram	Status in employment not stated	24
Brunswick	Contributing family workers	184
Brunswick	Employee	9023
Brunswick	Owner managers of incorporated enterprises	940
Brunswick	Owner managers of unincorporated enterprises	1101
Brunswick	Status in employment not stated	107
Brunswick East	Contributing family workers	52
Brunswick East	Employee	1887
Brunswick East	Owner managers of incorporated enterprises	334
Brunswick East	Owner managers of unincorporated enterprises	363
Brunswick East	Status in employment not stated	37
Brunswick West	Contributing family workers	27
Brunswick West	Employee	956
Brunswick West	Owner managers of incorporated enterprises	162
Brunswick West	Owner managers of unincorporated enterprises	287
Brunswick West	Status in employment not stated	21
Coburg	Contributing family workers	117
Coburg	Employee	6165
Coburg	Owner managers of incorporated enterprises	559
Coburg	Owner managers of unincorporated enterprises	752
Coburg	Status in employment not stated	78
Pascoe Vale South	Contributing family workers	19
Pascoe Vale South	Employee	684
Pascoe Vale South	Owner managers of incorporated enterprises	140
Pascoe Vale South	Owner managers of unincorporated enterprises	158
Pascoe Vale South	Status in employment not stated	17
Alphington - Fairfield	Contributing family workers	64
Alphington - Fairfield	Employee	2926
Alphington - Fairfield	Owner managers of incorporated enterprises	415
Alphington - Fairfield	Owner managers of unincorporated enterprises	350
Alphington - Fairfield	Status in employment not stated	35
Northcote	Contributing family workers	98
Northcote	Employee	4444
Northcote	Owner managers of incorporated enterprises	585
Northcote	Owner managers of unincorporated enterprises	931
Northcote	Status in employment not stated	68
Thornbury	Contributing family workers	59
Thornbury	Employee	3264
Thornbury	Owner managers of incorporated enterprises	418
Thornbury	Owner managers of unincorporated enterprises	535
Thornbury	Status in employment not stated	53
Ascot Vale	Contributing family workers	39
Ascot Vale	Employee	1631
Ascot Vale	Owner managers of incorporated enterprises	293
Ascot Vale	Owner managers of unincorporated enterprises	324
Ascot Vale	Status in employment not stated	28
Essendon - Aberfeldie	Contributing family workers	140
Essendon - Aberfeldie	Employee	5954
Essendon - Aberfeldie	Owner managers of incorporated enterprises	866
Essendon - Aberfeldie	Owner managers of unincorporated enterprises	706
Essendon - Aberfeldie	Status in employment not stated	88
Flemington	Contributing family workers	41
Flemington	Employee	2073
Flemington	Owner managers of incorporated enterprises	196
Flemington	Owner managers of unincorporated enterprises	184
Flemington	Status in employment not stated	31
Moonee Ponds	Contributing family workers	107
Moonee Ponds	Employee	6612
Moonee Ponds	Owner managers of incorporated enterprises	591
Moonee Ponds	Owner managers of unincorporated enterprises	476
Moonee Ponds	Status in employment not stated	70
Carlton	Contributing family workers	104
Carlton	Employee	14145
Carlton	Owner managers of incorporated enterprises	760
Carlton	Owner managers of unincorporated enterprises	544
Carlton	Status in employment not stated	99
Docklands	Contributing family workers	150
Docklands	Employee	55367
Docklands	Owner managers of incorporated enterprises	1207
Docklands	Owner managers of unincorporated enterprises	520
Docklands	Status in employment not stated	309
East Melbourne	Contributing family workers	78
East Melbourne	Employee	18617
East Melbourne	Owner managers of incorporated enterprises	550
East Melbourne	Owner managers of unincorporated enterprises	542
East Melbourne	Status in employment not stated	119
Flemington Racecourse	Contributing family workers	18
Flemington Racecourse	Employee	1368
Flemington Racecourse	Owner managers of incorporated enterprises	42
Flemington Racecourse	Owner managers of unincorporated enterprises	32
Flemington Racecourse	Status in employment not stated	5
Kensington (Vic.)	Contributing family workers	49
Kensington (Vic.)	Employee	3624
Kensington (Vic.)	Owner managers of incorporated enterprises	336
Kensington (Vic.)	Owner managers of unincorporated enterprises	301
Kensington (Vic.)	Status in employment not stated	33
Melbourne	Contributing family workers	717
Melbourne	Employee	205049
Melbourne	Owner managers of incorporated enterprises	7911
Melbourne	Owner managers of unincorporated enterprises	6040
Melbourne	Status in employment not stated	1427
North Melbourne	Contributing family workers	121
North Melbourne	Employee	13105
North Melbourne	Owner managers of incorporated enterprises	1078
North Melbourne	Owner managers of unincorporated enterprises	817
North Melbourne	Status in employment not stated	140
Parkville	Contributing family workers	52
Parkville	Employee	27419
Parkville	Owner managers of incorporated enterprises	258
Parkville	Owner managers of unincorporated enterprises	298
Parkville	Status in employment not stated	177
South Yarra - West	Contributing family workers	64
South Yarra - West	Employee	15208
South Yarra - West	Owner managers of incorporated enterprises	410
South Yarra - West	Owner managers of unincorporated enterprises	360
South Yarra - West	Status in employment not stated	86
Southbank	Contributing family workers	117
Southbank	Employee	36797
Southbank	Owner managers of incorporated enterprises	940
Southbank	Owner managers of unincorporated enterprises	659
Southbank	Status in employment not stated	267
West Melbourne	Contributing family workers	18
West Melbourne	Employee	3778
West Melbourne	Owner managers of incorporated enterprises	118
West Melbourne	Owner managers of unincorporated enterprises	61
West Melbourne	Status in employment not stated	41
Albert Park	Contributing family workers	161
Albert Park	Employee	14047
Albert Park	Owner managers of incorporated enterprises	1405
Albert Park	Owner managers of unincorporated enterprises	774
Albert Park	Status in employment not stated	132
Elwood	Contributing family workers	48
Elwood	Employee	1376
Elwood	Owner managers of incorporated enterprises	383
Elwood	Owner managers of unincorporated enterprises	449
Elwood	Status in employment not stated	12
Port Melbourne	Contributing family workers	66
Port Melbourne	Employee	3334
Port Melbourne	Owner managers of incorporated enterprises	678
Port Melbourne	Owner managers of unincorporated enterprises	449
Port Melbourne	Status in employment not stated	39
Port Melbourne Industrial	Contributing family workers	62
Port Melbourne Industrial	Employee	21016
Port Melbourne Industrial	Owner managers of incorporated enterprises	1105
Port Melbourne Industrial	Owner managers of unincorporated enterprises	418
Port Melbourne Industrial	Status in employment not stated	189
South Melbourne	Contributing family workers	197
South Melbourne	Employee	22832
South Melbourne	Owner managers of incorporated enterprises	1887
South Melbourne	Owner managers of unincorporated enterprises	945
South Melbourne	Status in employment not stated	154
St Kilda	Contributing family workers	163
St Kilda	Employee	12399
St Kilda	Owner managers of incorporated enterprises	1185
St Kilda	Owner managers of unincorporated enterprises	970
St Kilda	Status in employment not stated	122
St Kilda East	Contributing family workers	62
St Kilda East	Employee	2093
St Kilda East	Owner managers of incorporated enterprises	403
St Kilda East	Owner managers of unincorporated enterprises	504
St Kilda East	Status in employment not stated	26
Armadale	Contributing family workers	99
Armadale	Employee	4826
Armadale	Owner managers of incorporated enterprises	610
Armadale	Owner managers of unincorporated enterprises	468
Armadale	Status in employment not stated	56
Prahran - Windsor	Contributing family workers	128
Prahran - Windsor	Employee	8037
Prahran - Windsor	Owner managers of incorporated enterprises	1073
Prahran - Windsor	Owner managers of unincorporated enterprises	887
Prahran - Windsor	Status in employment not stated	92
South Yarra - East	Contributing family workers	166
South Yarra - East	Employee	10371
South Yarra - East	Owner managers of incorporated enterprises	1292
South Yarra - East	Owner managers of unincorporated enterprises	803
South Yarra - East	Status in employment not stated	104
Toorak	Contributing family workers	127
Toorak	Employee	3350
Toorak	Owner managers of incorporated enterprises	622
Toorak	Owner managers of unincorporated enterprises	491
Toorak	Status in employment not stated	38
Abbotsford	Contributing family workers	67
Abbotsford	Employee	8747
Abbotsford	Owner managers of incorporated enterprises	587
Abbotsford	Owner managers of unincorporated enterprises	401
Abbotsford	Status in employment not stated	60
Carlton North - Princes Hill	Contributing family workers	39
Carlton North - Princes Hill	Employee	1382
Carlton North - Princes Hill	Owner managers of incorporated enterprises	250
Carlton North - Princes Hill	Owner managers of unincorporated enterprises	353
Carlton North - Princes Hill	Status in employment not stated	17
Collingwood	Contributing family workers	85
Collingwood	Employee	9673
Collingwood	Owner managers of incorporated enterprises	1055
Collingwood	Owner managers of unincorporated enterprises	678
Collingwood	Status in employment not stated	100
Fitzroy	Contributing family workers	123
Fitzroy	Employee	12398
Fitzroy	Owner managers of incorporated enterprises	839
Fitzroy	Owner managers of unincorporated enterprises	721
Fitzroy	Status in employment not stated	125
Fitzroy North	Contributing family workers	58
Fitzroy North	Employee	2657
Fitzroy North	Owner managers of incorporated enterprises	376
Fitzroy North	Owner managers of unincorporated enterprises	505
Fitzroy North	Status in employment not stated	35
Richmond (Vic.)	Contributing family workers	252
Richmond (Vic.)	Employee	32161
Richmond (Vic.)	Owner managers of incorporated enterprises	2437
Richmond (Vic.)	Owner managers of unincorporated enterprises	1724
Richmond (Vic.)	Status in employment not stated	271
Yarra - North	Contributing family workers	36
Yarra - North	Employee	2577
Yarra - North	Owner managers of incorporated enterprises	232
Yarra - North	Owner managers of unincorporated enterprises	332
Yarra - North	Status in employment not stated	29
Ashburton (Vic.)	Contributing family workers	45
Ashburton (Vic.)	Employee	1563
Ashburton (Vic.)	Owner managers of incorporated enterprises	244
Ashburton (Vic.)	Owner managers of unincorporated enterprises	230
Ashburton (Vic.)	Status in employment not stated	24
Balwyn	Contributing family workers	144
Balwyn	Employee	3620
Balwyn	Owner managers of incorporated enterprises	674
Balwyn	Owner managers of unincorporated enterprises	459
Balwyn	Status in employment not stated	45
Balwyn North	Contributing family workers	99
Balwyn North	Employee	2096
Balwyn North	Owner managers of incorporated enterprises	558
Balwyn North	Owner managers of unincorporated enterprises	447
Balwyn North	Status in employment not stated	30
Camberwell	Contributing family workers	157
Camberwell	Employee	6957
Camberwell	Owner managers of incorporated enterprises	805
Camberwell	Owner managers of unincorporated enterprises	621
Camberwell	Status in employment not stated	59
Glen Iris - East	Contributing family workers	82
Glen Iris - East	Employee	5509
Glen Iris - East	Owner managers of incorporated enterprises	589
Glen Iris - East	Owner managers of unincorporated enterprises	395
Glen Iris - East	Status in employment not stated	47
Hawthorn	Contributing family workers	166
Hawthorn	Employee	13273
Hawthorn	Owner managers of incorporated enterprises	1134
Hawthorn	Owner managers of unincorporated enterprises	776
Hawthorn	Status in employment not stated	106
Hawthorn East	Contributing family workers	113
Hawthorn East	Employee	8431
Hawthorn East	Owner managers of incorporated enterprises	928
Hawthorn East	Owner managers of unincorporated enterprises	562
Hawthorn East	Status in employment not stated	69
Kew	Contributing family workers	186
Kew	Employee	10377
Kew	Owner managers of incorporated enterprises	1024
Kew	Owner managers of unincorporated enterprises	808
Kew	Status in employment not stated	102
Kew East	Contributing family workers	48
Kew East	Employee	1582
Kew East	Owner managers of incorporated enterprises	285
Kew East	Owner managers of unincorporated enterprises	191
Kew East	Status in employment not stated	10
Surrey Hills (West) - Canterbury	Contributing family workers	123
Surrey Hills (West) - Canterbury	Employee	4318
Surrey Hills (West) - Canterbury	Owner managers of incorporated enterprises	713
Surrey Hills (West) - Canterbury	Owner managers of unincorporated enterprises	517
Surrey Hills (West) - Canterbury	Status in employment not stated	54
Bulleen	Contributing family workers	60
Bulleen	Employee	2016
Bulleen	Owner managers of incorporated enterprises	349
Bulleen	Owner managers of unincorporated enterprises	266
Bulleen	Status in employment not stated	27
Doncaster	Contributing family workers	130
Doncaster	Employee	8376
Doncaster	Owner managers of incorporated enterprises	568
Doncaster	Owner managers of unincorporated enterprises	463
Doncaster	Status in employment not stated	69
Templestowe	Contributing family workers	93
Templestowe	Employee	1718
Templestowe	Owner managers of incorporated enterprises	426
Templestowe	Owner managers of unincorporated enterprises	342
Templestowe	Status in employment not stated	24
Templestowe Lower	Contributing family workers	53
Templestowe Lower	Employee	2386
Templestowe Lower	Owner managers of incorporated enterprises	251
Templestowe Lower	Owner managers of unincorporated enterprises	285
Templestowe Lower	Status in employment not stated	17
Doncaster East (North)	Contributing family workers	66
Doncaster East (North)	Employee	1681
Doncaster East (North)	Owner managers of incorporated enterprises	321
Doncaster East (North)	Owner managers of unincorporated enterprises	243
Doncaster East (North)	Status in employment not stated	24
Doncaster East (South)	Contributing family workers	69
Doncaster East (South)	Employee	3170
Doncaster East (South)	Owner managers of incorporated enterprises	469
Doncaster East (South)	Owner managers of unincorporated enterprises	326
Doncaster East (South)	Status in employment not stated	32
Blackburn	Contributing family workers	124
Blackburn	Employee	6851
Blackburn	Owner managers of incorporated enterprises	742
Blackburn	Owner managers of unincorporated enterprises	567
Blackburn	Status in employment not stated	59
Blackburn South	Contributing family workers	35
Blackburn South	Employee	1134
Blackburn South	Owner managers of incorporated enterprises	175
Blackburn South	Owner managers of unincorporated enterprises	228
Blackburn South	Status in employment not stated	13
Box Hill	Contributing family workers	171
Box Hill	Employee	16974
Box Hill	Owner managers of incorporated enterprises	993
Box Hill	Owner managers of unincorporated enterprises	676
Box Hill	Status in employment not stated	140
Box Hill North	Contributing family workers	64
Box Hill North	Employee	1418
Box Hill North	Owner managers of incorporated enterprises	332
Box Hill North	Owner managers of unincorporated enterprises	337
Box Hill North	Status in employment not stated	24
Burwood	Contributing family workers	71
Burwood	Employee	6695
Burwood	Owner managers of incorporated enterprises	363
Burwood	Owner managers of unincorporated enterprises	218
Burwood	Status in employment not stated	40
Burwood East	Contributing family workers	39
Burwood East	Employee	5097
Burwood East	Owner managers of incorporated enterprises	222
Burwood East	Owner managers of unincorporated enterprises	240
Burwood East	Status in employment not stated	31
Surrey Hills (East) - Mont Albert	Contributing family workers	56
Surrey Hills (East) - Mont Albert	Employee	1936
Surrey Hills (East) - Mont Albert	Owner managers of incorporated enterprises	271
Surrey Hills (East) - Mont Albert	Owner managers of unincorporated enterprises	252
Surrey Hills (East) - Mont Albert	Status in employment not stated	20
Beaumaris	Contributing family workers	76
Beaumaris	Employee	1362
Beaumaris	Owner managers of incorporated enterprises	423
Beaumaris	Owner managers of unincorporated enterprises	379
Beaumaris	Status in employment not stated	18
Brighton (Vic.)	Contributing family workers	198
Brighton (Vic.)	Employee	7085
Brighton (Vic.)	Owner managers of incorporated enterprises	1183
Brighton (Vic.)	Owner managers of unincorporated enterprises	959
Brighton (Vic.)	Status in employment not stated	90
Brighton East	Contributing family workers	78
Brighton East	Employee	2034
Brighton East	Owner managers of incorporated enterprises	448
Brighton East	Owner managers of unincorporated enterprises	415
Brighton East	Status in employment not stated	21
Cheltenham - Highett (West)	Contributing family workers	53
Cheltenham - Highett (West)	Employee	4412
Cheltenham - Highett (West)	Owner managers of incorporated enterprises	619
Cheltenham - Highett (West)	Owner managers of unincorporated enterprises	412
Cheltenham - Highett (West)	Status in employment not stated	42
Hampton	Contributing family workers	86
Hampton	Employee	2821
Hampton	Owner managers of incorporated enterprises	573
Hampton	Owner managers of unincorporated enterprises	550
Hampton	Status in employment not stated	36
Sandringham - Black Rock	Contributing family workers	119
Sandringham - Black Rock	Employee	3932
Sandringham - Black Rock	Owner managers of incorporated enterprises	571
Sandringham - Black Rock	Owner managers of unincorporated enterprises	512
Sandringham - Black Rock	Status in employment not stated	48
Bentleigh - McKinnon	Contributing family workers	99
Bentleigh - McKinnon	Employee	4261
Bentleigh - McKinnon	Owner managers of incorporated enterprises	637
Bentleigh - McKinnon	Owner managers of unincorporated enterprises	694
Bentleigh - McKinnon	Status in employment not stated	59
Carnegie	Contributing family workers	80
Carnegie	Employee	2499
Carnegie	Owner managers of incorporated enterprises	382
Carnegie	Owner managers of unincorporated enterprises	382
Carnegie	Status in employment not stated	22
Caulfield - North	Contributing family workers	116
Caulfield - North	Employee	5614
Caulfield - North	Owner managers of incorporated enterprises	654
Caulfield - North	Owner managers of unincorporated enterprises	689
Caulfield - North	Status in employment not stated	53
Caulfield - South	Contributing family workers	73
Caulfield - South	Employee	4514
Caulfield - South	Owner managers of incorporated enterprises	578
Caulfield - South	Owner managers of unincorporated enterprises	592
Caulfield - South	Status in employment not stated	52
Elsternwick	Contributing family workers	61
Elsternwick	Employee	3655
Elsternwick	Owner managers of incorporated enterprises	492
Elsternwick	Owner managers of unincorporated enterprises	425
Elsternwick	Status in employment not stated	34
Hughesdale	Contributing family workers	20
Hughesdale	Employee	1116
Hughesdale	Owner managers of incorporated enterprises	140
Hughesdale	Owner managers of unincorporated enterprises	147
Hughesdale	Status in employment not stated	12
Murrumbeena	Contributing family workers	30
Murrumbeena	Employee	928
Murrumbeena	Owner managers of incorporated enterprises	181
Murrumbeena	Owner managers of unincorporated enterprises	199
Murrumbeena	Status in employment not stated	12
Ormond - Glen Huntly	Contributing family workers	68
Ormond - Glen Huntly	Employee	1782
Ormond - Glen Huntly	Owner managers of incorporated enterprises	326
Ormond - Glen Huntly	Owner managers of unincorporated enterprises	315
Ormond - Glen Huntly	Status in employment not stated	27
Bentleigh East (North)	Contributing family workers	66
Bentleigh East (North)	Employee	3837
Bentleigh East (North)	Owner managers of incorporated enterprises	373
Bentleigh East (North)	Owner managers of unincorporated enterprises	373
Bentleigh East (North)	Status in employment not stated	34
Bentleigh East (South)	Contributing family workers	40
Bentleigh East (South)	Employee	1335
Bentleigh East (South)	Owner managers of incorporated enterprises	245
Bentleigh East (South)	Owner managers of unincorporated enterprises	255
Bentleigh East (South)	Status in employment not stated	10
Aspendale Gardens - Waterways	Contributing family workers	28
Aspendale Gardens - Waterways	Employee	721
Aspendale Gardens - Waterways	Owner managers of incorporated enterprises	125
Aspendale Gardens - Waterways	Owner managers of unincorporated enterprises	122
Aspendale Gardens - Waterways	Status in employment not stated	12
Braeside	Contributing family workers	98
Braeside	Employee	10776
Braeside	Owner managers of incorporated enterprises	887
Braeside	Owner managers of unincorporated enterprises	293
Braeside	Status in employment not stated	109
Carrum - Patterson Lakes	Contributing family workers	47
Carrum - Patterson Lakes	Employee	1311
Carrum - Patterson Lakes	Owner managers of incorporated enterprises	227
Carrum - Patterson Lakes	Owner managers of unincorporated enterprises	237
Carrum - Patterson Lakes	Status in employment not stated	34
Chelsea - Bonbeach	Contributing family workers	49
Chelsea - Bonbeach	Employee	1542
Chelsea - Bonbeach	Owner managers of incorporated enterprises	247
Chelsea - Bonbeach	Owner managers of unincorporated enterprises	270
Chelsea - Bonbeach	Status in employment not stated	30
Chelsea Heights	Contributing family workers	18
Chelsea Heights	Employee	1281
Chelsea Heights	Owner managers of incorporated enterprises	130
Chelsea Heights	Owner managers of unincorporated enterprises	130
Chelsea Heights	Status in employment not stated	10
Cheltenham - Highett (East)	Contributing family workers	179
Cheltenham - Highett (East)	Employee	11351
Cheltenham - Highett (East)	Owner managers of incorporated enterprises	1146
Cheltenham - Highett (East)	Owner managers of unincorporated enterprises	792
Cheltenham - Highett (East)	Status in employment not stated	115
Edithvale - Aspendale	Contributing family workers	58
Edithvale - Aspendale	Employee	1226
Edithvale - Aspendale	Owner managers of incorporated enterprises	229
Edithvale - Aspendale	Owner managers of unincorporated enterprises	286
Edithvale - Aspendale	Status in employment not stated	22
Mentone	Contributing family workers	57
Mentone	Employee	4088
Mentone	Owner managers of incorporated enterprises	424
Mentone	Owner managers of unincorporated enterprises	351
Mentone	Status in employment not stated	38
Moorabbin - Heatherton	Contributing family workers	147
Moorabbin - Heatherton	Employee	13231
Moorabbin - Heatherton	Owner managers of incorporated enterprises	1231
Moorabbin - Heatherton	Owner managers of unincorporated enterprises	588
Moorabbin - Heatherton	Status in employment not stated	135
Moorabbin Airport	Contributing family workers	8
Moorabbin Airport	Employee	2370
Moorabbin Airport	Owner managers of incorporated enterprises	64
Moorabbin Airport	Owner managers of unincorporated enterprises	31
Moorabbin Airport	Status in employment not stated	14
Mordialloc - Parkdale	Contributing family workers	106
Mordialloc - Parkdale	Employee	4725
Mordialloc - Parkdale	Owner managers of incorporated enterprises	683
Mordialloc - Parkdale	Owner managers of unincorporated enterprises	595
Mordialloc - Parkdale	Status in employment not stated	73
Malvern - Glen Iris	Contributing family workers	141
Malvern - Glen Iris	Employee	8494
Malvern - Glen Iris	Owner managers of incorporated enterprises	960
Malvern - Glen Iris	Owner managers of unincorporated enterprises	812
Malvern - Glen Iris	Status in employment not stated	93
Malvern East	Contributing family workers	144
Malvern East	Employee	9311
Malvern East	Owner managers of incorporated enterprises	696
Malvern East	Owner managers of unincorporated enterprises	572
Malvern East	Status in employment not stated	91
