LGA_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA58400,3,0,0,0,3,96,44,6,4,152
LGA58470,0,0,0,0,0,46,17,3,3,77
LGA58510,30,49,6,7,90,17479,9139,886,495,27996
LGA58540,4,4,0,0,12,333,123,20,3,475
LGA58570,24,67,3,7,95,12575,7134,650,296,20651
LGA58610,3,4,0,3,13,402,238,33,6,681
LGA58680,3,4,0,0,13,111,34,12,3,160
LGA58760,38,92,7,3,140,25446,16482,1289,780,44004
LGA58820,15,3,0,0,22,1514,486,126,43,2172
LGA58890,12,6,4,0,24,233,128,12,8,378
LGA59030,0,3,0,0,6,235,29,15,12,285
LGA59100,3,3,0,0,9,181,97,16,7,293
LGA59170,3,7,0,0,15,292,135,17,7,457
LGA59250,0,0,0,0,0,963,86,84,27,1157
LGA59310,8,8,0,3,12,436,201,27,15,689
LGA59320,0,0,0,0,6,110,43,28,9,189
LGA59330,5,10,0,0,10,128,70,9,7,214
LGA59340,12,5,0,0,15,2732,677,197,90,3693
LGA59350,3,3,0,0,4,550,54,78,27,711
LGA59360,5,7,0,3,13,1005,178,87,36,1303
LGA59370,3,13,0,0,14,539,442,33,16,1031
LGA59499,51,125,37,22,229,30819,18821,3490,1251,54379
LGA59799,4,0,0,0,4,1321,74,169,31,1595
LGA60210,8,8,3,0,17,782,796,95,37,1707
LGA60410,4,6,3,3,14,1679,953,122,58,2806
LGA60610,8,29,0,3,43,5954,3775,403,166,10292
LGA60810,13,29,0,8,50,3007,2327,267,123,5723
LGA61010,4,10,0,0,14,414,191,29,24,666
LGA61210,12,17,4,3,39,2195,1179,169,70,3618
LGA61410,14,57,0,8,82,8465,6097,621,228,15410
LGA61510,5,9,0,3,27,1275,890,97,66,2325
LGA61610,9,37,3,11,59,6413,4401,579,207,11591
LGA61810,10,17,3,3,29,1253,828,113,51,2248
LGA62010,3,6,0,0,9,218,164,13,13,413
LGA62210,10,7,3,0,19,1606,709,96,52,2466
LGA62410,5,14,0,3,24,720,617,90,41,1467
LGA62610,17,47,4,15,79,11457,6267,651,337,18713
LGA62810,37,124,9,21,195,28883,18487,2164,643,50180
LGA63010,13,22,3,8,42,2234,1774,158,99,4260
LGA63210,12,13,0,0,28,723,518,83,36,1358
LGA63410,6,10,0,0,19,480,221,54,12,765
LGA63610,5,42,3,3,54,4221,3815,315,115,8465
LGA63810,16,16,0,0,28,1770,1348,161,66,3345
LGA64010,34,101,9,8,153,19162,13196,1344,572,34271
LGA64210,27,29,0,3,60,3036,2118,238,105,5500
LGA64610,17,31,6,5,62,2957,1557,178,71,4765
LGA64810,7,12,0,0,24,1176,1188,117,37,2521
LGA65010,13,14,3,0,20,602,419,40,27,1089
LGA65210,4,3,3,0,10,310,347,37,17,713
LGA65410,10,13,0,3,28,2164,1402,159,84,3808
LGA65610,3,0,0,3,9,1238,509,111,61,1912
LGA65810,5,20,3,0,31,1779,1718,196,70,3762
LGA69499,12,28,4,7,54,4823,3543,518,250,9138
LGA69799,0,0,0,0,0,43,10,5,0,55
LGA70200,18,20,3,0,39,8673,2508,488,218,11884
LGA70420,11,0,0,0,9,1531,405,87,67,2097
LGA70540,0,0,0,0,0,14,8,0,3,33
LGA70620,0,0,0,0,3,974,253,123,27,1375
LGA70700,0,3,0,0,3,423,120,18,18,574
LGA71000,52,67,7,10,135,32929,10216,1848,984,45984
LGA71300,4,0,0,3,10,1700,623,136,137,2592
LGA72200,15,5,0,0,22,3341,756,192,81,4368
LGA72300,18,13,3,3,41,12523,1841,893,353,15611
LGA72330,5,3,0,0,11,1547,404,104,85,2132
LGA72800,8,8,0,0,19,4905,2067,284,160,7412
LGA73600,3,3,0,3,9,1178,347,102,151,1778
LGA74050,0,0,0,0,5,298,215,17,38,572
LGA74550,3,4,0,0,9,559,175,27,36,790
LGA74560,0,0,0,0,0,21,22,9,0,47
LGA74660,0,0,0,3,8,1260,314,93,116,1780
LGA74680,0,0,0,0,0,403,108,19,23,551
LGA79399,11,6,0,0,13,5057,890,314,138,6401
LGA79499,10,3,4,0,20,2414,819,334,108,3679
LGA79799,0,0,0,0,0,74,6,9,3,91
LGA89399,168,395,46,54,665,148735,59238,9400,3274,220648
LGA89499,9,20,4,4,32,4093,2251,317,159,6819
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,8,17,0,3,35,1801,645,168,75,2692
LGA99499,0,0,0,0,0,56,24,31,6,118
LGA99799,0,0,0,0,0,0,0,0,0,0
