LGA_NAME16	Occupation	OccupationSubtype	workers
Uralla (A)	Professionals	Design engineering science and transport professionals	23
Uralla (A)	Professionals	Education professionals	77
Uralla (A)	Professionals	Health professionals	24
Uralla (A)	Professionals	Information and Communication Technology ICT professionals	3
Uralla (A)	Professionals	Legal social and welfare professionals	9
Uralla (A)	Sales workers	Sales assistants and salespersons	52
Uralla (A)	Sales workers	Sales representatives and agents	12
Uralla (A)	Sales workers	Sales support workers	14
Uralla (A)	Technicians and trades workers	Automotive and engineering trades workers	18
Uralla (A)	Technicians and trades workers	Construction trades workers	33
Uralla (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	11
Uralla (A)	Technicians and trades workers	Engineering ICT and science technicians	9
Uralla (A)	Technicians and trades workers	Food trades workers	22
Uralla (A)	Technicians and trades workers	Other technicians and trades workers	19
Uralla (A)	Technicians and trades workers	Skilled animal and horticultural workers	25
Wagga Wagga (C)			426
Wagga Wagga (C)	Clerical and administrative workers	Clerical and administrative workers nfd	9
Wagga Wagga (C)	Clerical and administrative workers	Clerical and office support workers	195
Wagga Wagga (C)	Clerical and administrative workers	General clerical workers	947
Wagga Wagga (C)	Clerical and administrative workers	Inquiry clerks and receptionists	687
Wagga Wagga (C)	Clerical and administrative workers	Numerical clerks	675
Wagga Wagga (C)	Clerical and administrative workers	Office managers and program administrators	661
Wagga Wagga (C)	Clerical and administrative workers	Other clerical and administrative workers	449
Wagga Wagga (C)	Clerical and administrative workers	Personal assistants and secretaries	230
Wagga Wagga (C)	Community and personal service workers	Carers and aides	1542
Wagga Wagga (C)	Community and personal service workers	Community and personal service workers nfd	4
Wagga Wagga (C)	Community and personal service workers	Health and welfare support workers	531
Wagga Wagga (C)	Community and personal service workers	Hospitality workers	731
Wagga Wagga (C)	Community and personal service workers	Protective service workers	1150
Wagga Wagga (C)	Community and personal service workers	Sports and personal service workers	378
Wagga Wagga (C)	Labourers	Cleaners and laundry workers	803
Wagga Wagga (C)	Labourers	Construction and mining labourers	236
Wagga Wagga (C)	Labourers	Factory process workers	710
Wagga Wagga (C)	Labourers	Farm forestry and garden workers	242
Wagga Wagga (C)	Labourers	Food preparation assistants	417
Wagga Wagga (C)	Labourers	Labourers nfd	79
Wagga Wagga (C)	Labourers	Other labourers	453
Wagga Wagga (C)	Machinery operators and drivers	Machine and stationary plant operators	305
Wagga Wagga (C)	Machinery operators and drivers	Machinery operators and drivers nfd	30
Wagga Wagga (C)	Machinery operators and drivers	Mobile plant operators	216
Wagga Wagga (C)	Machinery operators and drivers	Road and rail drivers	846
Wagga Wagga (C)	Machinery operators and drivers	Storepersons	213
Wagga Wagga (C)	Managers	Chief executives general managers and legislators	206
Wagga Wagga (C)	Managers	Farmers and farm managers	714
Wagga Wagga (C)	Managers	Hospitality retail and service managers	1098
Wagga Wagga (C)	Managers	Managers nfd	54
Wagga Wagga (C)	Managers	Specialist managers	1525
Wagga Wagga (C)	Professionals	Arts and media professionals	145
Wagga Wagga (C)	Professionals	Business human resource and marketing professionals	1255
Wagga Wagga (C)	Professionals	Design engineering science and transport professionals	561
Wagga Wagga (C)	Professionals	Education professionals	1612
Wagga Wagga (C)	Professionals	Health professionals	1841
Wagga Wagga (C)	Professionals	Information and Communication Technology ICT professionals	132
Wagga Wagga (C)	Professionals	Legal social and welfare professionals	501
Wagga Wagga (C)	Professionals	Professionals nfd	65
Wagga Wagga (C)	Sales workers	Sales assistants and salespersons	2356
Wagga Wagga (C)	Sales workers	Sales representatives and agents	424
Wagga Wagga (C)	Sales workers	Sales support workers	377
Wagga Wagga (C)	Sales workers	Sales workers nfd	7
Wagga Wagga (C)	Technicians and trades workers	Automotive and engineering trades workers	1353
Wagga Wagga (C)	Technicians and trades workers	Construction trades workers	809
Wagga Wagga (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	534
Wagga Wagga (C)	Technicians and trades workers	Engineering ICT and science technicians	553
Wagga Wagga (C)	Technicians and trades workers	Food trades workers	529
Wagga Wagga (C)	Technicians and trades workers	Other technicians and trades workers	427
Wagga Wagga (C)	Technicians and trades workers	Skilled animal and horticultural workers	305
Wagga Wagga (C)	Technicians and trades workers	Technicians and trades workers nfd	53
Walcha (A)			15
Walcha (A)	Clerical and administrative workers	Clerical and office support workers	9
Walcha (A)	Clerical and administrative workers	General clerical workers	35
Walcha (A)	Clerical and administrative workers	Inquiry clerks and receptionists	9
Walcha (A)	Clerical and administrative workers	Numerical clerks	36
Walcha (A)	Clerical and administrative workers	Office managers and program administrators	7
Walcha (A)	Clerical and administrative workers	Other clerical and administrative workers	6
Walcha (A)	Clerical and administrative workers	Personal assistants and secretaries	21
Walcha (A)	Community and personal service workers	Carers and aides	50
Walcha (A)	Community and personal service workers	Health and welfare support workers	13
Walcha (A)	Community and personal service workers	Hospitality workers	18
Walcha (A)	Community and personal service workers	Protective service workers	6
Walcha (A)	Community and personal service workers	Sports and personal service workers	4
Walcha (A)	Labourers	Cleaners and laundry workers	29
Walcha (A)	Labourers	Construction and mining labourers	15
Walcha (A)	Labourers	Factory process workers	3
Walcha (A)	Labourers	Farm forestry and garden workers	113
Walcha (A)	Labourers	Food preparation assistants	17
Walcha (A)	Labourers	Labourers nfd	7
Walcha (A)	Labourers	Other labourers	25
Walcha (A)	Machinery operators and drivers	Machine and stationary plant operators	4
Walcha (A)	Machinery operators and drivers	Mobile plant operators	34
Walcha (A)	Machinery operators and drivers	Road and rail drivers	61
Walcha (A)	Machinery operators and drivers	Storepersons	4
Walcha (A)	Managers	Chief executives general managers and legislators	4
Walcha (A)	Managers	Farmers and farm managers	400
Walcha (A)	Managers	Hospitality retail and service managers	44
Walcha (A)	Managers	Specialist managers	36
Walcha (A)	Professionals	Arts and media professionals	10
Walcha (A)	Professionals	Business human resource and marketing professionals	19
Walcha (A)	Professionals	Design engineering science and transport professionals	22
Walcha (A)	Professionals	Education professionals	44
Walcha (A)	Professionals	Health professionals	32
Walcha (A)	Professionals	Information and Communication Technology ICT professionals	3
Walcha (A)	Professionals	Legal social and welfare professionals	14
Walcha (A)	Sales workers	Sales assistants and salespersons	56
Walcha (A)	Sales workers	Sales representatives and agents	14
Walcha (A)	Sales workers	Sales support workers	4
Walcha (A)	Technicians and trades workers	Automotive and engineering trades workers	45
Walcha (A)	Technicians and trades workers	Construction trades workers	11
Walcha (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	13
Walcha (A)	Technicians and trades workers	Engineering ICT and science technicians	6
Walcha (A)	Technicians and trades workers	Food trades workers	12
Walcha (A)	Technicians and trades workers	Other technicians and trades workers	8
Walcha (A)	Technicians and trades workers	Skilled animal and horticultural workers	24
Walgett (A)			48
Walgett (A)	Clerical and administrative workers	Clerical and office support workers	4
Walgett (A)	Clerical and administrative workers	General clerical workers	49
Walgett (A)	Clerical and administrative workers	Inquiry clerks and receptionists	34
Walgett (A)	Clerical and administrative workers	Numerical clerks	30
Walgett (A)	Clerical and administrative workers	Office managers and program administrators	35
Walgett (A)	Clerical and administrative workers	Other clerical and administrative workers	22
Walgett (A)	Clerical and administrative workers	Personal assistants and secretaries	21
Walgett (A)	Community and personal service workers	Carers and aides	111
Walgett (A)	Community and personal service workers	Health and welfare support workers	60
Walgett (A)	Community and personal service workers	Hospitality workers	54
Walgett (A)	Community and personal service workers	Protective service workers	55
Walgett (A)	Community and personal service workers	Sports and personal service workers	19
Walgett (A)	Labourers	Cleaners and laundry workers	66
Walgett (A)	Labourers	Construction and mining labourers	19
Walgett (A)	Labourers	Factory process workers	18
Walgett (A)	Labourers	Farm forestry and garden workers	103
Walgett (A)	Labourers	Food preparation assistants	34
Walgett (A)	Labourers	Labourers nfd	12
Walgett (A)	Labourers	Other labourers	25
Walgett (A)	Machinery operators and drivers	Machine and stationary plant operators	50
Walgett (A)	Machinery operators and drivers	Mobile plant operators	61
Walgett (A)	Machinery operators and drivers	Road and rail drivers	49
Walgett (A)	Machinery operators and drivers	Storepersons	3
Walgett (A)	Managers	Chief executives general managers and legislators	12
Walgett (A)	Managers	Farmers and farm managers	363
Walgett (A)	Managers	Hospitality retail and service managers	65
Walgett (A)	Managers	Managers nfd	4
Walgett (A)	Managers	Specialist managers	58
Walgett (A)	Professionals	Arts and media professionals	5
Walgett (A)	Professionals	Business human resource and marketing professionals	34
Walgett (A)	Professionals	Design engineering science and transport professionals	13
Walgett (A)	Professionals	Education professionals	138
Walgett (A)	Professionals	Health professionals	85
Walgett (A)	Professionals	Legal social and welfare professionals	29
Walgett (A)	Sales workers	Sales assistants and salespersons	77
Walgett (A)	Sales workers	Sales representatives and agents	13
Walgett (A)	Sales workers	Sales support workers	26
Walgett (A)	Technicians and trades workers	Automotive and engineering trades workers	42
Walgett (A)	Technicians and trades workers	Construction trades workers	22
Walgett (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	24
Walgett (A)	Technicians and trades workers	Engineering ICT and science technicians	14
Walgett (A)	Technicians and trades workers	Food trades workers	25
Walgett (A)	Technicians and trades workers	Other technicians and trades workers	16
Walgett (A)	Technicians and trades workers	Skilled animal and horticultural workers	28
Warren (A)			22
Warren (A)	Clerical and administrative workers	Clerical and office support workers	10
Warren (A)	Clerical and administrative workers	General clerical workers	23
Warren (A)	Clerical and administrative workers	Inquiry clerks and receptionists	4
Warren (A)	Clerical and administrative workers	Numerical clerks	24
Warren (A)	Clerical and administrative workers	Office managers and program administrators	15
Warren (A)	Clerical and administrative workers	Other clerical and administrative workers	14
Warren (A)	Clerical and administrative workers	Personal assistants and secretaries	12
Warren (A)	Community and personal service workers	Carers and aides	48
Warren (A)	Community and personal service workers	Health and welfare support workers	17
Warren (A)	Community and personal service workers	Hospitality workers	17
Warren (A)	Community and personal service workers	Protective service workers	3
Warren (A)	Community and personal service workers	Sports and personal service workers	8
Warren (A)	Labourers	Cleaners and laundry workers	24
Warren (A)	Labourers	Construction and mining labourers	10
Warren (A)	Labourers	Farm forestry and garden workers	74
Warren (A)	Labourers	Food preparation assistants	3
Warren (A)	Labourers	Other labourers	16
Warren (A)	Machinery operators and drivers	Machine and stationary plant operators	13
Warren (A)	Machinery operators and drivers	Mobile plant operators	37
Warren (A)	Machinery operators and drivers	Road and rail drivers	27
Warren (A)	Machinery operators and drivers	Storepersons	11
Warren (A)	Managers	Farmers and farm managers	278
Warren (A)	Managers	Hospitality retail and service managers	40
Warren (A)	Managers	Managers nfd	3
Warren (A)	Managers	Specialist managers	22
Warren (A)	Professionals	Arts and media professionals	5
Warren (A)	Professionals	Business human resource and marketing professionals	21
Warren (A)	Professionals	Design engineering science and transport professionals	21
Warren (A)	Professionals	Education professionals	49
Warren (A)	Professionals	Health professionals	34
Warren (A)	Professionals	Legal social and welfare professionals	3
Warren (A)	Sales workers	Sales assistants and salespersons	42
Warren (A)	Sales workers	Sales representatives and agents	10
Warren (A)	Sales workers	Sales support workers	11
Warren (A)	Technicians and trades workers	Automotive and engineering trades workers	60
Warren (A)	Technicians and trades workers	Construction trades workers	9
Warren (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	12
Warren (A)	Technicians and trades workers	Engineering ICT and science technicians	6
Warren (A)	Technicians and trades workers	Food trades workers	12
Warren (A)	Technicians and trades workers	Other technicians and trades workers	8
Warren (A)	Technicians and trades workers	Skilled animal and horticultural workers	15
Warrumbungle Shire (A)			51
Warrumbungle Shire (A)	Clerical and administrative workers	Clerical and office support workers	19
Warrumbungle Shire (A)	Clerical and administrative workers	General clerical workers	71
Warrumbungle Shire (A)	Clerical and administrative workers	Inquiry clerks and receptionists	32
Warrumbungle Shire (A)	Clerical and administrative workers	Numerical clerks	48
Warrumbungle Shire (A)	Clerical and administrative workers	Office managers and program administrators	39
Warrumbungle Shire (A)	Clerical and administrative workers	Other clerical and administrative workers	19
Warrumbungle Shire (A)	Clerical and administrative workers	Personal assistants and secretaries	23
Warrumbungle Shire (A)	Community and personal service workers	Carers and aides	187
Warrumbungle Shire (A)	Community and personal service workers	Health and welfare support workers	68
Warrumbungle Shire (A)	Community and personal service workers	Hospitality workers	67
Warrumbungle Shire (A)	Community and personal service workers	Protective service workers	23
Warrumbungle Shire (A)	Community and personal service workers	Sports and personal service workers	15
Warrumbungle Shire (A)	Labourers	Cleaners and laundry workers	106
Warrumbungle Shire (A)	Labourers	Construction and mining labourers	41
Warrumbungle Shire (A)	Labourers	Factory process workers	19
Warrumbungle Shire (A)	Labourers	Farm forestry and garden workers	150
Warrumbungle Shire (A)	Labourers	Food preparation assistants	36
Warrumbungle Shire (A)	Labourers	Labourers nfd	12
Warrumbungle Shire (A)	Labourers	Other labourers	58
Warrumbungle Shire (A)	Machinery operators and drivers	Machine and stationary plant operators	33
Warrumbungle Shire (A)	Machinery operators and drivers	Machinery operators and drivers nfd	12
Warrumbungle Shire (A)	Machinery operators and drivers	Mobile plant operators	43
Warrumbungle Shire (A)	Machinery operators and drivers	Road and rail drivers	76
Warrumbungle Shire (A)	Machinery operators and drivers	Storepersons	6
Warrumbungle Shire (A)	Managers	Chief executives general managers and legislators	8
Warrumbungle Shire (A)	Managers	Farmers and farm managers	644
Warrumbungle Shire (A)	Managers	Hospitality retail and service managers	115
Warrumbungle Shire (A)	Managers	Managers nfd	6
Warrumbungle Shire (A)	Managers	Specialist managers	73
Warrumbungle Shire (A)	Professionals	Arts and media professionals	7
Warrumbungle Shire (A)	Professionals	Business human resource and marketing professionals	39
Warrumbungle Shire (A)	Professionals	Design engineering science and transport professionals	32
Warrumbungle Shire (A)	Professionals	Education professionals	199
Warrumbungle Shire (A)	Professionals	Health professionals	136
Warrumbungle Shire (A)	Professionals	Information and Communication Technology ICT professionals	4
Warrumbungle Shire (A)	Professionals	Legal social and welfare professionals	23
Warrumbungle Shire (A)	Sales workers	Sales assistants and salespersons	150
Warrumbungle Shire (A)	Sales workers	Sales representatives and agents	27
Warrumbungle Shire (A)	Sales workers	Sales support workers	31
Warrumbungle Shire (A)	Technicians and trades workers	Automotive and engineering trades workers	76
Warrumbungle Shire (A)	Technicians and trades workers	Construction trades workers	25
Warrumbungle Shire (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	32
Warrumbungle Shire (A)	Technicians and trades workers	Engineering ICT and science technicians	26
Warrumbungle Shire (A)	Technicians and trades workers	Food trades workers	53
Warrumbungle Shire (A)	Technicians and trades workers	Other technicians and trades workers	18
Warrumbungle Shire (A)	Technicians and trades workers	Skilled animal and horticultural workers	43
Warrumbungle Shire (A)	Technicians and trades workers	Technicians and trades workers nfd	3
Waverley (A)			445
Waverley (A)	Clerical and administrative workers	Clerical and office support workers	86
Waverley (A)	Clerical and administrative workers	General clerical workers	419
Waverley (A)	Clerical and administrative workers	Inquiry clerks and receptionists	619
Waverley (A)	Clerical and administrative workers	Numerical clerks	499
Waverley (A)	Clerical and administrative workers	Office managers and program administrators	513
Waverley (A)	Clerical and administrative workers	Other clerical and administrative workers	243
Waverley (A)	Clerical and administrative workers	Personal assistants and secretaries	239
Waverley (A)	Community and personal service workers	Carers and aides	1087
Waverley (A)	Community and personal service workers	Community and personal service workers nfd	3
Waverley (A)	Community and personal service workers	Health and welfare support workers	244
Waverley (A)	Community and personal service workers	Hospitality workers	985
Waverley (A)	Community and personal service workers	Protective service workers	241
Waverley (A)	Community and personal service workers	Sports and personal service workers	899
Waverley (A)	Labourers	Cleaners and laundry workers	523
Waverley (A)	Labourers	Construction and mining labourers	196
Waverley (A)	Labourers	Factory process workers	43
Waverley (A)	Labourers	Farm forestry and garden workers	29
Waverley (A)	Labourers	Food preparation assistants	330
Waverley (A)	Labourers	Labourers nfd	24
Waverley (A)	Labourers	Other labourers	326
Waverley (A)	Machinery operators and drivers	Machine and stationary plant operators	67
Waverley (A)	Machinery operators and drivers	Machinery operators and drivers nfd	3
Waverley (A)	Machinery operators and drivers	Mobile plant operators	16
Waverley (A)	Machinery operators and drivers	Road and rail drivers	482
Waverley (A)	Machinery operators and drivers	Storepersons	59
Waverley (A)	Managers	Chief executives general managers and legislators	375
Waverley (A)	Managers	Farmers and farm managers	7
Waverley (A)	Managers	Hospitality retail and service managers	1594
Waverley (A)	Managers	Managers nfd	86
Waverley (A)	Managers	Specialist managers	1339
Waverley (A)	Professionals	Arts and media professionals	509
Waverley (A)	Professionals	Business human resource and marketing professionals	1633
Waverley (A)	Professionals	Design engineering science and transport professionals	620
Waverley (A)	Professionals	Education professionals	1328
Waverley (A)	Professionals	Health professionals	1030
Waverley (A)	Professionals	Information and Communication Technology ICT professionals	360
Waverley (A)	Professionals	Legal social and welfare professionals	491
Waverley (A)	Professionals	Professionals nfd	63
Waverley (A)	Sales workers	Sales assistants and salespersons	2724
Waverley (A)	Sales workers	Sales representatives and agents	520
Waverley (A)	Sales workers	Sales support workers	461
Waverley (A)	Sales workers	Sales workers nfd	8
Waverley (A)	Technicians and trades workers	Automotive and engineering trades workers	130
Waverley (A)	Technicians and trades workers	Construction trades workers	671
Waverley (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	184
Waverley (A)	Technicians and trades workers	Engineering ICT and science technicians	289
Waverley (A)	Technicians and trades workers	Food trades workers	716
Waverley (A)	Technicians and trades workers	Other technicians and trades workers	411
Waverley (A)	Technicians and trades workers	Skilled animal and horticultural workers	154
Waverley (A)	Technicians and trades workers	Technicians and trades workers nfd	17
Weddin (A)			15
Weddin (A)	Clerical and administrative workers	Clerical and office support workers	9
Weddin (A)	Clerical and administrative workers	General clerical workers	17
Weddin (A)	Clerical and administrative workers	Inquiry clerks and receptionists	16
Weddin (A)	Clerical and administrative workers	Numerical clerks	28
Weddin (A)	Clerical and administrative workers	Office managers and program administrators	19
Weddin (A)	Clerical and administrative workers	Other clerical and administrative workers	5
Weddin (A)	Clerical and administrative workers	Personal assistants and secretaries	12
Weddin (A)	Community and personal service workers	Carers and aides	49
Weddin (A)	Community and personal service workers	Health and welfare support workers	19
Weddin (A)	Community and personal service workers	Hospitality workers	18
Weddin (A)	Community and personal service workers	Protective service workers	3
Weddin (A)	Community and personal service workers	Sports and personal service workers	3
Weddin (A)	Labourers	Cleaners and laundry workers	28
Weddin (A)	Labourers	Construction and mining labourers	16
Weddin (A)	Labourers	Factory process workers	6
Weddin (A)	Labourers	Farm forestry and garden workers	61
Weddin (A)	Labourers	Food preparation assistants	11
Weddin (A)	Labourers	Labourers nfd	11
Weddin (A)	Labourers	Other labourers	18
Weddin (A)	Machinery operators and drivers	Machine and stationary plant operators	12
Weddin (A)	Machinery operators and drivers	Mobile plant operators	27
Weddin (A)	Machinery operators and drivers	Road and rail drivers	38
Weddin (A)	Machinery operators and drivers	Storepersons	3
Weddin (A)	Managers	Chief executives general managers and legislators	4
Weddin (A)	Managers	Farmers and farm managers	393
Weddin (A)	Managers	Hospitality retail and service managers	34
Weddin (A)	Managers	Specialist managers	24
Weddin (A)	Professionals	Arts and media professionals	8
Weddin (A)	Professionals	Business human resource and marketing professionals	14
Weddin (A)	Professionals	Design engineering science and transport professionals	16
Weddin (A)	Professionals	Education professionals	61
Weddin (A)	Professionals	Health professionals	32
Weddin (A)	Professionals	Information and Communication Technology ICT professionals	5
Weddin (A)	Professionals	Legal social and welfare professionals	4
Weddin (A)	Sales workers	Sales assistants and salespersons	57
Weddin (A)	Sales workers	Sales representatives and agents	8
Weddin (A)	Sales workers	Sales support workers	9
Weddin (A)	Technicians and trades workers	Automotive and engineering trades workers	38
Weddin (A)	Technicians and trades workers	Construction trades workers	15
Weddin (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	5
Weddin (A)	Technicians and trades workers	Engineering ICT and science technicians	9
Weddin (A)	Technicians and trades workers	Food trades workers	20
Weddin (A)	Technicians and trades workers	Other technicians and trades workers	7
Weddin (A)	Technicians and trades workers	Skilled animal and horticultural workers	27
Wentworth (A)			63
Wentworth (A)	Clerical and administrative workers	Clerical and administrative workers nfd	3
Wentworth (A)	Clerical and administrative workers	Clerical and office support workers	7
Wentworth (A)	Clerical and administrative workers	General clerical workers	65
Wentworth (A)	Clerical and administrative workers	Inquiry clerks and receptionists	30
Wentworth (A)	Clerical and administrative workers	Numerical clerks	54
Wentworth (A)	Clerical and administrative workers	Office managers and program administrators	36
Wentworth (A)	Clerical and administrative workers	Other clerical and administrative workers	40
Wentworth (A)	Clerical and administrative workers	Personal assistants and secretaries	22
Wentworth (A)	Community and personal service workers	Carers and aides	109
Wentworth (A)	Community and personal service workers	Health and welfare support workers	30
Wentworth (A)	Community and personal service workers	Hospitality workers	72
Wentworth (A)	Community and personal service workers	Protective service workers	28
Wentworth (A)	Community and personal service workers	Sports and personal service workers	14
Wentworth (A)	Labourers	Cleaners and laundry workers	68
Wentworth (A)	Labourers	Construction and mining labourers	22
Wentworth (A)	Labourers	Factory process workers	135
Wentworth (A)	Labourers	Farm forestry and garden workers	214
Wentworth (A)	Labourers	Food preparation assistants	27
Wentworth (A)	Labourers	Labourers nfd	12
Wentworth (A)	Labourers	Other labourers	42
Wentworth (A)	Machinery operators and drivers	Machine and stationary plant operators	79
Wentworth (A)	Machinery operators and drivers	Machinery operators and drivers nfd	3
Wentworth (A)	Machinery operators and drivers	Mobile plant operators	78
Wentworth (A)	Machinery operators and drivers	Road and rail drivers	132
Wentworth (A)	Machinery operators and drivers	Storepersons	11
Wentworth (A)	Managers	Chief executives general managers and legislators	22
Wentworth (A)	Managers	Farmers and farm managers	372
Wentworth (A)	Managers	Hospitality retail and service managers	105
Wentworth (A)	Managers	Managers nfd	9
Wentworth (A)	Managers	Specialist managers	110
Wentworth (A)	Professionals	Arts and media professionals	3
Wentworth (A)	Professionals	Business human resource and marketing professionals	26
Wentworth (A)	Professionals	Design engineering science and transport professionals	65
Wentworth (A)	Professionals	Education professionals	108
Wentworth (A)	Professionals	Health professionals	56
Wentworth (A)	Professionals	Information and Communication Technology ICT professionals	7
Wentworth (A)	Professionals	Legal social and welfare professionals	24
Wentworth (A)	Sales workers	Sales assistants and salespersons	98
Wentworth (A)	Sales workers	Sales representatives and agents	10
Wentworth (A)	Sales workers	Sales support workers	18
Wentworth (A)	Technicians and trades workers	Automotive and engineering trades workers	105
Wentworth (A)	Technicians and trades workers	Construction trades workers	35
Wentworth (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	43
Wentworth (A)	Technicians and trades workers	Engineering ICT and science technicians	56
Wentworth (A)	Technicians and trades workers	Food trades workers	39
Wentworth (A)	Technicians and trades workers	Other technicians and trades workers	19
Wentworth (A)	Technicians and trades workers	Skilled animal and horticultural workers	39
Wentworth (A)	Technicians and trades workers	Technicians and trades workers nfd	4
Western Plains Regional (A)			357
Western Plains Regional (A)	Clerical and administrative workers	Clerical and administrative workers nfd	14
Western Plains Regional (A)	Clerical and administrative workers	Clerical and office support workers	143
Western Plains Regional (A)	Clerical and administrative workers	General clerical workers	665
Western Plains Regional (A)	Clerical and administrative workers	Inquiry clerks and receptionists	508
Western Plains Regional (A)	Clerical and administrative workers	Numerical clerks	548
Western Plains Regional (A)	Clerical and administrative workers	Office managers and program administrators	467
Western Plains Regional (A)	Clerical and administrative workers	Other clerical and administrative workers	390
Western Plains Regional (A)	Clerical and administrative workers	Personal assistants and secretaries	192
Western Plains Regional (A)	Community and personal service workers	Carers and aides	1256
Western Plains Regional (A)	Community and personal service workers	Community and personal service workers nfd	3
Western Plains Regional (A)	Community and personal service workers	Health and welfare support workers	449
Western Plains Regional (A)	Community and personal service workers	Hospitality workers	453
Western Plains Regional (A)	Community and personal service workers	Protective service workers	407
Western Plains Regional (A)	Community and personal service workers	Sports and personal service workers	237
Western Plains Regional (A)	Labourers	Cleaners and laundry workers	590
Western Plains Regional (A)	Labourers	Construction and mining labourers	233
Western Plains Regional (A)	Labourers	Factory process workers	475
Western Plains Regional (A)	Labourers	Farm forestry and garden workers	277
Western Plains Regional (A)	Labourers	Food preparation assistants	359
Western Plains Regional (A)	Labourers	Labourers nfd	75
Western Plains Regional (A)	Labourers	Other labourers	316
Western Plains Regional (A)	Machinery operators and drivers	Machine and stationary plant operators	168
Western Plains Regional (A)	Machinery operators and drivers	Machinery operators and drivers nfd	30
Western Plains Regional (A)	Machinery operators and drivers	Mobile plant operators	191
Western Plains Regional (A)	Machinery operators and drivers	Road and rail drivers	658
Western Plains Regional (A)	Machinery operators and drivers	Storepersons	143
Western Plains Regional (A)	Managers	Chief executives general managers and legislators	145
Western Plains Regional (A)	Managers	Farmers and farm managers	682
Western Plains Regional (A)	Managers	Hospitality retail and service managers	984
Western Plains Regional (A)	Managers	Managers nfd	61
Western Plains Regional (A)	Managers	Specialist managers	968
Western Plains Regional (A)	Professionals	Arts and media professionals	87
Western Plains Regional (A)	Professionals	Business human resource and marketing professionals	665
Western Plains Regional (A)	Professionals	Design engineering science and transport professionals	320
Western Plains Regional (A)	Professionals	Education professionals	1209
Western Plains Regional (A)	Professionals	Health professionals	1148
Western Plains Regional (A)	Professionals	Information and Communication Technology ICT professionals	57
Western Plains Regional (A)	Professionals	Legal social and welfare professionals	440
Western Plains Regional (A)	Professionals	Professionals nfd	19
Western Plains Regional (A)	Sales workers	Sales assistants and salespersons	1782
Western Plains Regional (A)	Sales workers	Sales representatives and agents	332
Western Plains Regional (A)	Sales workers	Sales support workers	265
Western Plains Regional (A)	Sales workers	Sales workers nfd	10
Western Plains Regional (A)	Technicians and trades workers	Automotive and engineering trades workers	757
Western Plains Regional (A)	Technicians and trades workers	Construction trades workers	521
Western Plains Regional (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	416
Western Plains Regional (A)	Technicians and trades workers	Engineering ICT and science technicians	317
Western Plains Regional (A)	Technicians and trades workers	Food trades workers	319
Western Plains Regional (A)	Technicians and trades workers	Other technicians and trades workers	298
Western Plains Regional (A)	Technicians and trades workers	Skilled animal and horticultural workers	270
Western Plains Regional (A)	Technicians and trades workers	Technicians and trades workers nfd	37
Willoughby (C)			973
Willoughby (C)	Clerical and administrative workers	Clerical and administrative workers nfd	11
Willoughby (C)	Clerical and administrative workers	Clerical and office support workers	525
Willoughby (C)	Clerical and administrative workers	General clerical workers	1323
Willoughby (C)	Clerical and administrative workers	Inquiry clerks and receptionists	1435
Willoughby (C)	Clerical and administrative workers	Numerical clerks	1859
Willoughby (C)	Clerical and administrative workers	Office managers and program administrators	1667
Willoughby (C)	Clerical and administrative workers	Other clerical and administrative workers	1146
Willoughby (C)	Clerical and administrative workers	Personal assistants and secretaries	562
Willoughby (C)	Community and personal service workers	Carers and aides	1763
Willoughby (C)	Community and personal service workers	Community and personal service workers nfd	3
Willoughby (C)	Community and personal service workers	Health and welfare support workers	511
Willoughby (C)	Community and personal service workers	Hospitality workers	1026
Willoughby (C)	Community and personal service workers	Protective service workers	306
Willoughby (C)	Community and personal service workers	Sports and personal service workers	784
Willoughby (C)	Labourers	Cleaners and laundry workers	988
Willoughby (C)	Labourers	Construction and mining labourers	215
Willoughby (C)	Labourers	Factory process workers	306
Willoughby (C)	Labourers	Farm forestry and garden workers	52
Willoughby (C)	Labourers	Food preparation assistants	554
Willoughby (C)	Labourers	Labourers nfd	42
Willoughby (C)	Labourers	Other labourers	561
Willoughby (C)	Machinery operators and drivers	Machine and stationary plant operators	223
Willoughby (C)	Machinery operators and drivers	Machinery operators and drivers nfd	21
Willoughby (C)	Machinery operators and drivers	Mobile plant operators	72
Willoughby (C)	Machinery operators and drivers	Road and rail drivers	757
Willoughby (C)	Machinery operators and drivers	Storepersons	341
Willoughby (C)	Managers	Chief executives general managers and legislators	1003
Willoughby (C)	Managers	Farmers and farm managers	8
Willoughby (C)	Managers	Hospitality retail and service managers	2426
Willoughby (C)	Managers	Managers nfd	263
Willoughby (C)	Managers	Specialist managers	5665
Willoughby (C)	Professionals	Arts and media professionals	1823
Willoughby (C)	Professionals	Business human resource and marketing professionals	5366
Willoughby (C)	Professionals	Design engineering science and transport professionals	2676
