LGA_NAME16	YearOfArrival.max	workers_born_overseas
Wingecarribee (A)	2015	279
Wingecarribee (A)	2016	23
Wingecarribee (A)		101
Wollondilly (A)	1991	934
Wollondilly (A)	1995	140
Wollondilly (A)	2000	148
Wollondilly (A)	2005	143
Wollondilly (A)	2010	210
Wollondilly (A)	2015	153
Wollondilly (A)	2016	3
Wollondilly (A)		43
Wollongong (C)	1991	8068
Wollongong (C)	1995	933
Wollongong (C)	2000	1172
Wollongong (C)	2005	1325
Wollongong (C)	2010	1777
Wollongong (C)	2015	1918
Wollongong (C)	2016	133
Wollongong (C)		378
Woollahra (A)	1991	2686
Woollahra (A)	1995	605
Woollahra (A)	2000	865
Woollahra (A)	2005	853
Woollahra (A)	2010	1399
Woollahra (A)	2015	1991
Woollahra (A)	2016	224
Woollahra (A)		198
Yass Valley (A)	1991	221
Yass Valley (A)	1995	23
Yass Valley (A)	2000	39
Yass Valley (A)	2005	42
Yass Valley (A)	2010	60
Yass Valley (A)	2015	67
Yass Valley (A)	2016	5
Yass Valley (A)		12
Unincorporated NSW	1991	25
Unincorporated NSW	1995	3
Unincorporated NSW	2000	9
Unincorporated NSW	2005	4
Unincorporated NSW	2010	12
Unincorporated NSW	2015	12
No usual address (NSW)	1991	15605
No usual address (NSW)	1995	3297
No usual address (NSW)	2000	4481
No usual address (NSW)	2005	3955
No usual address (NSW)	2010	4980
No usual address (NSW)	2015	5004
No usual address (NSW)	2016	519
No usual address (NSW)		1223
Migratory - Offshore - Shipping (NSW)	1991	5
Alpine (S)	1991	299
Alpine (S)	1995	27
Alpine (S)	2000	38
Alpine (S)	2005	48
Alpine (S)	2010	54
Alpine (S)	2015	65
Alpine (S)	2016	16
Alpine (S)		25
Ararat (RC)	1991	146
Ararat (RC)	1995	17
Ararat (RC)	2000	26
Ararat (RC)	2005	37
Ararat (RC)	2010	96
Ararat (RC)	2015	69
Ararat (RC)	2016	13
Ararat (RC)		24
Ballarat (C)	1991	1772
Ballarat (C)	1995	196
Ballarat (C)	2000	330
Ballarat (C)	2005	543
Ballarat (C)	2010	943
Ballarat (C)	2015	702
Ballarat (C)	2016	40
Ballarat (C)		120
Banyule (C)	1991	4230
Banyule (C)	1995	822
Banyule (C)	2000	924
Banyule (C)	2005	1189
Banyule (C)	2010	2050
Banyule (C)	2015	1553
Banyule (C)	2016	94
Banyule (C)		238
Bass Coast (S)	1991	709
Bass Coast (S)	1995	70
Bass Coast (S)	2000	98
Bass Coast (S)	2005	136
Bass Coast (S)	2010	235
Bass Coast (S)	2015	165
Bass Coast (S)	2016	3
Bass Coast (S)		56
Baw Baw (S)	1991	859
Baw Baw (S)	1995	74
Baw Baw (S)	2000	146
Baw Baw (S)	2005	164
Baw Baw (S)	2010	307
Baw Baw (S)	2015	191
Baw Baw (S)	2016	9
Baw Baw (S)		66
Bayside (C)	1991	3190
Bayside (C)	1995	696
Bayside (C)	2000	866
Bayside (C)	2005	1066
Bayside (C)	2010	1885
Bayside (C)	2015	1720
Bayside (C)	2016	129
Bayside (C)		175
Benalla (RC)	1991	218
Benalla (RC)	1995	13
Benalla (RC)	2000	31
Benalla (RC)	2005	46
Benalla (RC)	2010	58
Benalla (RC)	2015	57
Benalla (RC)		11
Boroondara (C)	1991	7624
Boroondara (C)	1995	1568
Boroondara (C)	2000	2245
Boroondara (C)	2005	2977
Boroondara (C)	2010	4605
Boroondara (C)	2015	4959
Boroondara (C)	2016	405
Boroondara (C)		481
Brimbank (C)	1991	9309
Brimbank (C)	1995	2352
Brimbank (C)	2000	2226
Brimbank (C)	2005	2880
Brimbank (C)	2010	5589
Brimbank (C)	2015	4395
Brimbank (C)	2016	261
Brimbank (C)		608
Buloke (S)	1991	56
Buloke (S)	1995	6
Buloke (S)	2000	10
Buloke (S)	2005	12
Buloke (S)	2010	30
Buloke (S)	2015	28
Buloke (S)		8
Campaspe (S)	1991	445
Campaspe (S)	1995	51
Campaspe (S)	2000	83
Campaspe (S)	2005	103
Campaspe (S)	2010	203
Campaspe (S)	2015	215
Campaspe (S)	2016	16
Campaspe (S)		49
Cardinia (S)	1991	1881
Cardinia (S)	1995	273
Cardinia (S)	2000	402
Cardinia (S)	2005	536
Cardinia (S)	2010	1007
Cardinia (S)	2015	642
Cardinia (S)	2016	36
Cardinia (S)		127
Casey (C)	1991	6821
Casey (C)	1995	1627
Casey (C)	2000	2230
Casey (C)	2005	3065
Casey (C)	2010	4985
Casey (C)	2015	3120
Casey (C)	2016	162
Casey (C)		438
Central Goldfields (S)	1991	170
Central Goldfields (S)	1995	12
Central Goldfields (S)	2000	20
Central Goldfields (S)	2005	20
Central Goldfields (S)	2010	64
Central Goldfields (S)	2015	49
Central Goldfields (S)		19
Colac-Otway (S)	1991	334
Colac-Otway (S)	1995	36
Colac-Otway (S)	2000	62
Colac-Otway (S)	2005	100
Colac-Otway (S)	2010	160
Colac-Otway (S)	2015	178
Colac-Otway (S)	2016	11
Colac-Otway (S)		28
Corangamite (S)	1991	175
Corangamite (S)	1995	17
Corangamite (S)	2000	76
Corangamite (S)	2005	80
Corangamite (S)	2010	77
Corangamite (S)	2015	74
Corangamite (S)	2016	6
Corangamite (S)		15
Darebin (C)	1991	5649
Darebin (C)	1995	1112
Darebin (C)	2000	1315
Darebin (C)	2005	1680
Darebin (C)	2010	3290
Darebin (C)	2015	3078
Darebin (C)	2016	235
Darebin (C)		357
East Gippsland (S)	1991	813
East Gippsland (S)	1995	72
East Gippsland (S)	2000	105
East Gippsland (S)	2005	143
East Gippsland (S)	2010	223
East Gippsland (S)	2015	213
East Gippsland (S)	2016	6
East Gippsland (S)		63
Frankston (C)	1991	4530
Frankston (C)	1995	719
Frankston (C)	2000	961
Frankston (C)	2005	1276
Frankston (C)	2010	2177
Frankston (C)	2015	1488
Frankston (C)	2016	62
Frankston (C)		229
Gannawarra (S)	1991	84
Gannawarra (S)	1995	9
Gannawarra (S)	2000	30
Gannawarra (S)	2005	12
Gannawarra (S)	2010	48
Gannawarra (S)	2015	35
Gannawarra (S)		13
Glen Eira (C)	1991	4884
Glen Eira (C)	1995	1163
Glen Eira (C)	2000	1380
Glen Eira (C)	2005	1634
Glen Eira (C)	2010	2948
Glen Eira (C)	2015	2821
Glen Eira (C)	2016	205
Glen Eira (C)		265
Glenelg (S)	1991	296
Glenelg (S)	1995	23
Glenelg (S)	2000	55
Glenelg (S)	2005	57
Glenelg (S)	2010	96
Glenelg (S)	2015	76
Glenelg (S)	2016	5
Glenelg (S)		20
Golden Plains (S)	1991	165
Golden Plains (S)	1995	17
Golden Plains (S)	2000	31
Golden Plains (S)	2005	32
Golden Plains (S)	2010	59
Golden Plains (S)	2015	59
Golden Plains (S)		11
Greater Bendigo (C)	1991	1426
Greater Bendigo (C)	1995	175
Greater Bendigo (C)	2000	305
Greater Bendigo (C)	2005	416
Greater Bendigo (C)	2010	939
Greater Bendigo (C)	2015	686
Greater Bendigo (C)	2016	40
Greater Bendigo (C)		114
Greater Dandenong (C)	1991	14687
Greater Dandenong (C)	1995	3970
Greater Dandenong (C)	2000	4172
Greater Dandenong (C)	2005	5317
Greater Dandenong (C)	2010	8889
Greater Dandenong (C)	2015	6497
Greater Dandenong (C)	2016	373
Greater Dandenong (C)		808
Greater Geelong (C)	1991	6196
Greater Geelong (C)	1995	758
Greater Geelong (C)	2000	1071
Greater Geelong (C)	2005	1480
Greater Geelong (C)	2010	3174
Greater Geelong (C)	2015	2274
Greater Geelong (C)	2016	165
Greater Geelong (C)		371
Greater Shepparton (C)	1991	1027
Greater Shepparton (C)	1995	190
Greater Shepparton (C)	2000	269
Greater Shepparton (C)	2005	431
Greater Shepparton (C)	2010	989
Greater Shepparton (C)	2015	792
Greater Shepparton (C)	2016	59
Greater Shepparton (C)		129
Hepburn (S)	1991	324
Hepburn (S)	1995	32
Hepburn (S)	2000	57
Hepburn (S)	2005	58
Hepburn (S)	2010	139
Hepburn (S)	2015	90
Hepburn (S)	2016	7
Hepburn (S)		27
Hindmarsh (S)	1991	55
Hindmarsh (S)	1995	6
Hindmarsh (S)	2000	7
Hindmarsh (S)	2005	18
Hindmarsh (S)	2010	83
Hindmarsh (S)	2015	38
Hobsons Bay (C)	1991	4732
Hobsons Bay (C)	1995	1021
Hobsons Bay (C)	2000	1031
Hobsons Bay (C)	2005	1383
Hobsons Bay (C)	2010	2491
Hobsons Bay (C)	2015	1900
Hobsons Bay (C)	2016	101
Hobsons Bay (C)		273
Horsham (RC)	1991	197
Horsham (RC)	1995	15
Horsham (RC)	2000	29
Horsham (RC)	2005	59
Horsham (RC)	2010	174
Horsham (RC)	2015	90
Horsham (RC)	2016	3
Horsham (RC)		18
Hume (C)	1991	10717
Hume (C)	1995	2601
Hume (C)	2000	2819
Hume (C)	2005	3577
Hume (C)	2010	6865
Hume (C)	2015	5235
Hume (C)	2016	317
Hume (C)		716
Indigo (S)	1991	245
Indigo (S)	1995	16
Indigo (S)	2000	37
Indigo (S)	2005	27
Indigo (S)	2010	66
Indigo (S)	2015	38
Indigo (S)	2016	3
Indigo (S)		10
Kingston (C) (Vic.)	1991	9573
Kingston (C) (Vic.)	1995	2222
Kingston (C) (Vic.)	2000	2533
Kingston (C) (Vic.)	2005	3305
Kingston (C) (Vic.)	2010	5339
Kingston (C) (Vic.)	2015	4332
Kingston (C) (Vic.)	2016	266
Kingston (C) (Vic.)		513
Knox (C)	1991	7861
Knox (C)	1995	1421
Knox (C)	2000	1717
Knox (C)	2005	2467
Knox (C)	2010	3780
Knox (C)	2015	2915
Knox (C)	2016	171
Knox (C)		355
Latrobe (C) (Vic.)	1991	1698
Latrobe (C) (Vic.)	1995	150
Latrobe (C) (Vic.)	2000	240
Latrobe (C) (Vic.)	2005	330
Latrobe (C) (Vic.)	2010	634
Latrobe (C) (Vic.)	2015	365
Latrobe (C) (Vic.)	2016	22
Latrobe (C) (Vic.)		119
Loddon (S)	1991	83
Loddon (S)	1995	3
Loddon (S)	2000	8
Loddon (S)	2005	16
Loddon (S)	2010	38
Loddon (S)	2015	58
Loddon (S)	2016	6
Loddon (S)		5
Macedon Ranges (S)	1991	895
Macedon Ranges (S)	1995	80
Macedon Ranges (S)	2000	154
Macedon Ranges (S)	2005	182
Macedon Ranges (S)	2010	252
Macedon Ranges (S)	2015	222
Macedon Ranges (S)	2016	12
Macedon Ranges (S)		52
Manningham (C)	1991	3408
Manningham (C)	1995	710
Manningham (C)	2000	887
Manningham (C)	2005	1208
Manningham (C)	2010	1924
Manningham (C)	2015	1664
Manningham (C)	2016	109
Manningham (C)		176
Mansfield (S)	1991	202
Mansfield (S)	1995	8
Mansfield (S)	2000	22
Mansfield (S)	2005	25
Mansfield (S)	2010	34
Mansfield (S)	2015	32
Mansfield (S)	2016	5
Mansfield (S)		24
Maribyrnong (C)	1991	5150
Maribyrnong (C)	1995	1177
Maribyrnong (C)	2000	1304
Maribyrnong (C)	2005	1681
Maribyrnong (C)	2010	2997
Maribyrnong (C)	2015	2612
Maribyrnong (C)	2016	189
Maribyrnong (C)		337
Maroondah (C)	1991	4214
Maroondah (C)	1995	764
Maroondah (C)	2000	865
Maroondah (C)	2005	1217
Maroondah (C)	2010	2136
Maroondah (C)	2015	1617
Maroondah (C)	2016	110
Maroondah (C)		206
Melbourne (C)	1991	43184
Melbourne (C)	1995	11209
Melbourne (C)	2000	15203
Melbourne (C)	2005	23421
Melbourne (C)	2010	36581
Melbourne (C)	2015	40908
Melbourne (C)	2016	4304
Melbourne (C)		3372
Melton (C)	1991	2449
Melton (C)	1995	538
Melton (C)	2000	731
Melton (C)	2005	989
Melton (C)	2010	1649
Melton (C)	2015	1145
Melton (C)	2016	61
Melton (C)		148
Mildura (RC)	1991	712
Mildura (RC)	1995	90
Mildura (RC)	2000	160
Mildura (RC)	2005	193
Mildura (RC)	2010	399
Mildura (RC)	2015	453
Mildura (RC)	2016	77
Mildura (RC)		128
Mitchell (S)	1991	573
Mitchell (S)	1995	76
Mitchell (S)	2000	91
Mitchell (S)	2005	139
Mitchell (S)	2010	261
Mitchell (S)	2015	191
Mitchell (S)	2016	18
Mitchell (S)		46
Moira (S)	1991	350
Moira (S)	1995	38
Moira (S)	2000	86
Moira (S)	2005	110
Moira (S)	2010	251
Moira (S)	2015	230
Moira (S)	2016	37
Moira (S)		36
Monash (C)	1991	13741
Monash (C)	1995	3401
Monash (C)	2000	3985
Monash (C)	2005	5686
Monash (C)	2010	9000
Monash (C)	2015	7636
Monash (C)	2016	556
Monash (C)		735
Moonee Valley (C)	1991	4019
Moonee Valley (C)	1995	782
Moonee Valley (C)	2000	855
Moonee Valley (C)	2005	1003
Moonee Valley (C)	2010	1975
Moonee Valley (C)	2015	1812
Moonee Valley (C)	2016	122
Moonee Valley (C)		287
Moorabool (S)	1991	522
Moorabool (S)	1995	41
Moorabool (S)	2000	71
Moorabool (S)	2005	110
Moorabool (S)	2010	264
Moorabool (S)	2015	167
Moorabool (S)	2016	3
Moorabool (S)		25
Moreland (C)	1991	4906
Moreland (C)	1995	954
Moreland (C)	2000	1129
Moreland (C)	2005	1312
Moreland (C)	2010	2998
Moreland (C)	2015	2764
Moreland (C)	2016	205
Moreland (C)		316
Mornington Peninsula (S)	1991	4361
Mornington Peninsula (S)	1995	511
Mornington Peninsula (S)	2000	790
Mornington Peninsula (S)	2005	998
Mornington Peninsula (S)	2010	1522
Mornington Peninsula (S)	2015	1089
Mornington Peninsula (S)	2016	62
Mornington Peninsula (S)		251
Mount Alexander (S)	1991	368
Mount Alexander (S)	1995	32
Mount Alexander (S)	2000	65
Mount Alexander (S)	2005	77
Mount Alexander (S)	2010	175
Mount Alexander (S)	2015	126
Mount Alexander (S)	2016	10
Mount Alexander (S)		46
Moyne (S)	1991	162
Moyne (S)	1995	19
Moyne (S)	2000	66
Moyne (S)	2005	71
Moyne (S)	2010	88
Moyne (S)	2015	111
Moyne (S)	2016	19
Moyne (S)		14
Murrindindi (S)	1991	293
Murrindindi (S)	1995	29
Murrindindi (S)	2000	27
Murrindindi (S)	2005	38
Murrindindi (S)	2010	57
Murrindindi (S)	2015	60
Murrindindi (S)	2016	4
Murrindindi (S)		20
Nillumbik (S)	1991	1107
Nillumbik (S)	1995	164
Nillumbik (S)	2000	181
Nillumbik (S)	2005	290
Nillumbik (S)	2010	403
Nillumbik (S)	2015	308
Nillumbik (S)	2016	23
Nillumbik (S)		36
Northern Grampians (S)	1991	145
Northern Grampians (S)	1995	28
Northern Grampians (S)	2000	25
Northern Grampians (S)	2005	37
Northern Grampians (S)	2010	60
Northern Grampians (S)	2015	118
Northern Grampians (S)	2016	9
Northern Grampians (S)		16
Port Phillip (C)	1991	7145
Port Phillip (C)	1995	1801
Port Phillip (C)	2000	2266
Port Phillip (C)	2005	3608
Port Phillip (C)	2010	6309
Port Phillip (C)	2015	7321
Port Phillip (C)	2016	770
Port Phillip (C)		613
Pyrenees (S)	1991	96
Pyrenees (S)	1995	12
Pyrenees (S)	2000	4
Pyrenees (S)	2005	12
Pyrenees (S)	2010	20
Pyrenees (S)	2015	16
Pyrenees (S)		6
Queenscliffe (B)	1991	82
Queenscliffe (B)	1995	6
Queenscliffe (B)	2000	10
Queenscliffe (B)	2005	17
Queenscliffe (B)	2010	20
Queenscliffe (B)	2015	14
Queenscliffe (B)		3
South Gippsland (S)	1991	616
South Gippsland (S)	1995	38
South Gippsland (S)	2000	80
South Gippsland (S)	2005	111
South Gippsland (S)	2010	166
South Gippsland (S)	2015	131
South Gippsland (S)	2016	9
South Gippsland (S)		39
Southern Grampians (S)	1991	211
Southern Grampians (S)	1995	31
Southern Grampians (S)	2000	29
Southern Grampians (S)	2005	58
Southern Grampians (S)	2010	108
Southern Grampians (S)	2015	91
Southern Grampians (S)	2016	7
Southern Grampians (S)		17
Stonnington (C)	1991	5121
Stonnington (C)	1995	1212
Stonnington (C)	2000	1626
Stonnington (C)	2005	2168
Stonnington (C)	2010	4070
Stonnington (C)	2015	4785
Stonnington (C)	2016	462
Stonnington (C)		448
Strathbogie (S)	1991	163
Strathbogie (S)	1995	13
Strathbogie (S)	2000	18
Strathbogie (S)	2005	25
Strathbogie (S)	2010	59
Strathbogie (S)	2015	78
Strathbogie (S)	2016	8
Strathbogie (S)		18
Surf Coast (S)	1991	466
Surf Coast (S)	1995	56
Surf Coast (S)	2000	84
Surf Coast (S)	2005	127
Surf Coast (S)	2010	253
Surf Coast (S)	2015	234
Surf Coast (S)	2016	17
Surf Coast (S)		42
Swan Hill (RC)	1991	241
Swan Hill (RC)	1995	46
Swan Hill (RC)	2000	86
Swan Hill (RC)	2005	110
Swan Hill (RC)	2010	253
Swan Hill (RC)	2015	297
Swan Hill (RC)	2016	44
Swan Hill (RC)		56
Towong (S)	1991	85
Towong (S)	1995	5
Towong (S)	2000	4
Towong (S)	2005	3
Towong (S)	2010	16
Towong (S)	2015	18
Wangaratta (RC)	1991	561
Wangaratta (RC)	1995	37
Wangaratta (RC)	2000	71
Wangaratta (RC)	2005	93
Wangaratta (RC)	2010	165
Wangaratta (RC)	2015	93
Wangaratta (RC)	2016	3
Wangaratta (RC)		30
Warrnambool (C)	1991	425
Warrnambool (C)	1995	74
Warrnambool (C)	2000	110
Warrnambool (C)	2005	145
Warrnambool (C)	2010	272
Warrnambool (C)	2015	327
Warrnambool (C)	2016	90
Warrnambool (C)		85
Wellington (S)	1991	782
Wellington (S)	1995	83
Wellington (S)	2000	117
Wellington (S)	2005	145
Wellington (S)	2010	329
Wellington (S)	2015	301
Wellington (S)	2016	17
Wellington (S)		75
West Wimmera (S)	1991	50
West Wimmera (S)	1995	3
West Wimmera (S)	2000	8
West Wimmera (S)	2005	10
West Wimmera (S)	2010	14
West Wimmera (S)	2015	17
West Wimmera (S)		3
Whitehorse (C)	1991	8037
Whitehorse (C)	1995	1878
Whitehorse (C)	2000	2486
Whitehorse (C)	2005	3528
Whitehorse (C)	2010	5535
Whitehorse (C)	2015	4727
Whitehorse (C)	2016	346
Whitehorse (C)		407
Whittlesea (C)	1991	5839
Whittlesea (C)	1995	1405
Whittlesea (C)	2000	1531
Whittlesea (C)	2005	2025
Whittlesea (C)	2010	4109
Whittlesea (C)	2015	3076
Whittlesea (C)	2016	171
Whittlesea (C)		379
Wodonga (C)	1991	772
Wodonga (C)	1995	73
Wodonga (C)	2000	129
Wodonga (C)	2005	192
Wodonga (C)	2010	436
Wodonga (C)	2015	262
Wodonga (C)	2016	19
Wodonga (C)		52
Wyndham (C)	1991	6315
Wyndham (C)	1995	1659
Wyndham (C)	2000	2087
Wyndham (C)	2005	3410
Wyndham (C)	2010	6684
Wyndham (C)	2015	4443
Wyndham (C)	2016	256
Wyndham (C)		453
Yarra (C)	1991	7781
Yarra (C)	1995	1806
Yarra (C)	2000	2299
Yarra (C)	2005	3520
Yarra (C)	2010	5890
Yarra (C)	2015	6874
Yarra (C)	2016	669
Yarra (C)		616
Yarra Ranges (S)	1991	3735
Yarra Ranges (S)	1995	454
Yarra Ranges (S)	2000	595
Yarra Ranges (S)	2005	739
Yarra Ranges (S)	2010	1144
Yarra Ranges (S)	2015	837
Yarra Ranges (S)	2016	51
Yarra Ranges (S)		195
Yarriambiack (S)	1991	52
Yarriambiack (S)	1995	3
Yarriambiack (S)	2000	3
Yarriambiack (S)	2005	3
Yarriambiack (S)	2010	31
Yarriambiack (S)	2015	30
Yarriambiack (S)	2016	3
Yarriambiack (S)		3
Unincorporated Vic	1991	94
Unincorporated Vic	1995	26
Unincorporated Vic	2000	29
Unincorporated Vic	2005	27
Unincorporated Vic	2010	34
Unincorporated Vic	2015	90
Unincorporated Vic	2016	23
Unincorporated Vic		29
No usual address (Vic.)	1991	11133
No usual address (Vic.)	1995	1948
No usual address (Vic.)	2000	2567
No usual address (Vic.)	2005	2847
No usual address (Vic.)	2010	4861
No usual address (Vic.)	2015	4373
No usual address (Vic.)	2016	457
No usual address (Vic.)		950
Migratory - Offshore - Shipping (Vic.)	1991	12
Aurukun (S)	1991	14
Aurukun (S)	1995	3
Aurukun (S)	2000	3
Aurukun (S)	2005	3
Aurukun (S)	2010	3
Aurukun (S)	2016	3
Balonne (S)	1991	49
Balonne (S)	1995	11
Balonne (S)	2000	12
Balonne (S)	2005	14
Balonne (S)	2010	27
Balonne (S)	2015	40
Balonne (S)	2016	10
Balonne (S)		12
Banana (S)	1991	256
Banana (S)	1995	32
Banana (S)	2000	65
Banana (S)	2005	65
Banana (S)	2010	218
Banana (S)	2015	253
Banana (S)	2016	22
Banana (S)		34
Barcaldine (R)	1991	34
Barcaldine (R)	1995	11
Barcaldine (R)	2000	12
Barcaldine (R)	2005	12
Barcaldine (R)	2010	12
Barcaldine (R)	2015	17
Barcoo (S)	1991	3
Barcoo (S)	2015	7
Blackall-Tambo (R)	1991	16
Blackall-Tambo (R)	1995	3
Blackall-Tambo (R)	2000	3
Blackall-Tambo (R)	2010	7
Blackall-Tambo (R)	2015	13
Boulia (S)	1991	7
Boulia (S)	2000	3
Boulia (S)	2015	5
Brisbane (C)	1991	63290
Brisbane (C)	1995	15942
Brisbane (C)	2000	23104
Brisbane (C)	2005	30310
Brisbane (C)	2010	49786
Brisbane (C)	2015	41424
Brisbane (C)	2016	3281
Brisbane (C)		4735
Bulloo (S)	1991	11
Bulloo (S)	1995	3
Bulloo (S)	2005	4
Bulloo (S)	2010	3
Bulloo (S)	2015	11
Bundaberg (R)	1991	1606
Bundaberg (R)	1995	209
Bundaberg (R)	2000	338
Bundaberg (R)	2005	389
Bundaberg (R)	2010	658
Bundaberg (R)	2015	696
Bundaberg (R)	2016	166
Bundaberg (R)		210
Burdekin (S)	1991	242
Burdekin (S)	1995	26
Burdekin (S)	2000	31
Burdekin (S)	2005	42
Burdekin (S)	2010	88
Burdekin (S)	2015	133
Burdekin (S)	2016	35
Burdekin (S)		69
Burke (S)	1991	3
Burke (S)	2005	3
Burke (S)	2010	5
Burke (S)	2015	3
Cairns (R)	1991	5916
Cairns (R)	1995	1305
Cairns (R)	2000	1662
Cairns (R)	2005	2164
Cairns (R)	2010	3567
Cairns (R)	2015	2787
Cairns (R)	2016	230
Cairns (R)		526
Carpentaria (S)	1991	37
Carpentaria (S)	1995	6
Carpentaria (S)	2000	6
Carpentaria (S)	2005	3
Carpentaria (S)	2010	20
Carpentaria (S)	2015	11
Carpentaria (S)	2016	3
Carpentaria (S)		5
Cassowary Coast (R)	1991	699
Cassowary Coast (R)	1995	118
Cassowary Coast (R)	2000	115
Cassowary Coast (R)	2005	123
Cassowary Coast (R)	2010	405
Cassowary Coast (R)	2015	432
Cassowary Coast (R)	2016	107
Cassowary Coast (R)		96
Central Highlands (R) (Qld)	1991	632
Central Highlands (R) (Qld)	1995	98
Central Highlands (R) (Qld)	2000	180
Central Highlands (R) (Qld)	2005	261
Central Highlands (R) (Qld)	2010	584
Central Highlands (R) (Qld)	2015	432
Central Highlands (R) (Qld)	2016	20
Central Highlands (R) (Qld)		80
Charters Towers (R)	1991	149
Charters Towers (R)	1995	21
Charters Towers (R)	2000	26
Charters Towers (R)	2005	38
Charters Towers (R)	2010	62
Charters Towers (R)	2015	54
Charters Towers (R)	2016	3
Charters Towers (R)		16
Cherbourg (S)	1991	9
Cherbourg (S)	2005	4
Cherbourg (S)	2010	3
Cloncurry (S)	1991	148
Cloncurry (S)	1995	25
Cloncurry (S)	2000	43
Cloncurry (S)	2005	42
Cloncurry (S)	2010	106
Cloncurry (S)	2015	98
Cloncurry (S)	2016	3
Cloncurry (S)		12
Cook (S)	1991	182
Cook (S)	1995	26
Cook (S)	2000	51
Cook (S)	2005	37
Cook (S)	2010	68
Cook (S)	2015	71
Cook (S)	2016	14
Cook (S)		52
Croydon (S)	1991	3
Croydon (S)	2010	3
Diamantina (S)	1991	9
Diamantina (S)	2005	3
Diamantina (S)	2010	8
Diamantina (S)	2015	7
Diamantina (S)		4
Doomadgee (S)	1991	12
Doomadgee (S)	2000	3
Doomadgee (S)	2005	5
Doomadgee (S)	2010	7
Doomadgee (S)	2015	10
Douglas (S)	1991	515
Douglas (S)	1995	68
Douglas (S)	2000	130
Douglas (S)	2005	166
Douglas (S)	2010	248
Douglas (S)	2015	328
Douglas (S)	2016	53
Douglas (S)		58
Etheridge (S)	1991	21
Etheridge (S)	2005	3
Etheridge (S)	2010	4
Etheridge (S)	2015	10
Flinders (S) (Qld)	1991	30
Flinders (S) (Qld)	1995	4
Flinders (S) (Qld)	2000	3
Flinders (S) (Qld)	2005	6
Flinders (S) (Qld)	2010	11
Flinders (S) (Qld)	2015	10
Flinders (S) (Qld)		3
Fraser Coast (R)	1991	1891
Fraser Coast (R)	1995	229
Fraser Coast (R)	2000	368
Fraser Coast (R)	2005	455
Fraser Coast (R)	2010	707
Fraser Coast (R)	2015	449
Fraser Coast (R)	2016	28
Fraser Coast (R)		121
Gladstone (R)	1991	1460
Gladstone (R)	1995	249
Gladstone (R)	2000	371
Gladstone (R)	2005	459
Gladstone (R)	2010	1064
Gladstone (R)	2015	1052
Gladstone (R)	2016	34
Gladstone (R)		95
Gold Coast (C)	1991	22093
Gold Coast (C)	1995	4740
Gold Coast (C)	2000	8803
Gold Coast (C)	2005	10189
Gold Coast (C)	2010	15863
Gold Coast (C)	2015	13026
Gold Coast (C)	2016	1105
Gold Coast (C)		1803
Goondiwindi (R)	1991	98
Goondiwindi (R)	1995	10
Goondiwindi (R)	2000	15
Goondiwindi (R)	2005	26
Goondiwindi (R)	2010	110
Goondiwindi (R)	2015	95
Goondiwindi (R)	2016	5
Goondiwindi (R)		12
Gympie (R)	1991	946
Gympie (R)	1995	100
Gympie (R)	2000	142
Gympie (R)	2005	199
Gympie (R)	2010	261
Gympie (R)	2015	190
Gympie (R)	2016	8
Gympie (R)		47
Hinchinbrook (S)	1991	197
Hinchinbrook (S)	1995	18
Hinchinbrook (S)	2000	17
Hinchinbrook (S)	2005	18
Hinchinbrook (S)	2010	47
Hinchinbrook (S)	2015	29
Hinchinbrook (S)	2016	3
Hinchinbrook (S)		10
Hope Vale (S)	1991	13
Hope Vale (S)	1995	4
Hope Vale (S)	2000	5
Ipswich (C)	1991	4848
Ipswich (C)	1995	980
Ipswich (C)	2000	1450
Ipswich (C)	2005	1943
Ipswich (C)	2010	3255
Ipswich (C)	2015	2133
Ipswich (C)	2016	106
Ipswich (C)		359
Isaac (R)	1991	920
Isaac (R)	1995	135
Isaac (R)	2000	276
Isaac (R)	2005	280
Isaac (R)	2010	682
Isaac (R)	2015	415
Isaac (R)	2016	15
Isaac (R)		64
Kowanyama (S)	1991	7
Kowanyama (S)	2005	6
Kowanyama (S)	2010	3
Livingstone (S)	1991	437
Livingstone (S)	1995	63
Livingstone (S)	2000	79
Livingstone (S)	2005	116
Livingstone (S)	2010	265
Livingstone (S)	2015	240
Livingstone (S)	2016	20
Livingstone (S)		45
Lockhart River (S)	1991	3
Lockhart River (S)	2005	3
Lockhart River (S)	2010	3
Lockhart River (S)	2015	3
Lockyer Valley (R)	1991	540
Lockyer Valley (R)	1995	70
Lockyer Valley (R)	2000	122
Lockyer Valley (R)	2005	184
Lockyer Valley (R)	2010	292
Lockyer Valley (R)	2015	589
Lockyer Valley (R)	2016	113
Lockyer Valley (R)		135
Logan (C)	1991	9160
Logan (C)	1995	1979
Logan (C)	2000	3045
Logan (C)	2005	3862
Logan (C)	2010	5856
Logan (C)	2015	4111
Logan (C)	2016	233
Logan (C)		608
Longreach (R)	1991	67
Longreach (R)	1995	9
Longreach (R)	2000	8
Longreach (R)	2005	17
Longreach (R)	2010	34
Longreach (R)	2015	35
Longreach (R)		10
Mackay (R)	1991	1942
Mackay (R)	1995	292
Mackay (R)	2000	432
Mackay (R)	2005	815
Mackay (R)	2010	1931
Mackay (R)	2015	1298
Mackay (R)	2016	61
Mackay (R)		139
McKinlay (S)	1991	56
