LGA_NAME16	EmploymentStatus	Sex	workers
Bass Coast (S)	Contributing family workers	F	175
Bass Coast (S)	Contributing family workers	M	164
Bass Coast (S)	Employee	F	4378
Bass Coast (S)	Employee	M	3196
Bass Coast (S)	Owner managers of incorporated enterprises	F	291
Bass Coast (S)	Owner managers of incorporated enterprises	M	520
Bass Coast (S)	Owner managers of unincorporated enterprises	F	508
Bass Coast (S)	Owner managers of unincorporated enterprises	M	835
Baw Baw (S)		F	119
Baw Baw (S)		M	163
Baw Baw (S)	Contributing family workers	F	295
Baw Baw (S)	Contributing family workers	M	253
Baw Baw (S)	Employee	F	6738
Baw Baw (S)	Employee	M	5060
Baw Baw (S)	Owner managers of incorporated enterprises	F	396
Baw Baw (S)	Owner managers of incorporated enterprises	M	870
Baw Baw (S)	Owner managers of unincorporated enterprises	F	730
Baw Baw (S)	Owner managers of unincorporated enterprises	M	1167
Bayside (C)		F	116
Bayside (C)		M	136
Bayside (C)	Contributing family workers	F	353
Bayside (C)	Contributing family workers	M	259
Bayside (C)	Employee	F	12634
Bayside (C)	Employee	M	9010
Bayside (C)	Owner managers of incorporated enterprises	F	1304
Bayside (C)	Owner managers of incorporated enterprises	M	2505
Bayside (C)	Owner managers of unincorporated enterprises	F	1559
Bayside (C)	Owner managers of unincorporated enterprises	M	1661
Benalla (RC)		F	39
Benalla (RC)		M	40
Benalla (RC)	Contributing family workers	F	106
Benalla (RC)	Contributing family workers	M	108
Benalla (RC)	Employee	F	2013
Benalla (RC)	Employee	M	1843
Benalla (RC)	Owner managers of incorporated enterprises	F	111
Benalla (RC)	Owner managers of incorporated enterprises	M	239
Benalla (RC)	Owner managers of unincorporated enterprises	F	204
Benalla (RC)	Owner managers of unincorporated enterprises	M	368
Boroondara (C)		F	257
Boroondara (C)		M	283
Boroondara (C)	Contributing family workers	F	617
Boroondara (C)	Contributing family workers	M	536
Boroondara (C)	Employee	F	32978
Boroondara (C)	Employee	M	24743
Boroondara (C)	Owner managers of incorporated enterprises	F	2307
Boroondara (C)	Owner managers of incorporated enterprises	M	4658
Boroondara (C)	Owner managers of unincorporated enterprises	F	2253
Boroondara (C)	Owner managers of unincorporated enterprises	M	2747
Brimbank (C)		F	319
Brimbank (C)		M	501
Brimbank (C)	Contributing family workers	F	355
Brimbank (C)	Contributing family workers	M	393
Brimbank (C)	Employee	F	25247
Brimbank (C)	Employee	M	31981
Brimbank (C)	Owner managers of incorporated enterprises	F	1064
Brimbank (C)	Owner managers of incorporated enterprises	M	3371
Brimbank (C)	Owner managers of unincorporated enterprises	F	1052
Brimbank (C)	Owner managers of unincorporated enterprises	M	2210
Buloke (S)		F	9
Buloke (S)		M	25
Buloke (S)	Contributing family workers	F	109
Buloke (S)	Contributing family workers	M	199
Buloke (S)	Employee	F	820
Buloke (S)	Employee	M	713
Buloke (S)	Owner managers of incorporated enterprises	F	74
Buloke (S)	Owner managers of incorporated enterprises	M	207
Buloke (S)	Owner managers of unincorporated enterprises	F	81
Buloke (S)	Owner managers of unincorporated enterprises	M	205
Campaspe (S)		F	111
Campaspe (S)		M	145
Campaspe (S)	Contributing family workers	F	270
Campaspe (S)	Contributing family workers	M	327
Campaspe (S)	Employee	F	6108
Campaspe (S)	Employee	M	5549
Campaspe (S)	Owner managers of incorporated enterprises	F	372
Campaspe (S)	Owner managers of incorporated enterprises	M	791
Campaspe (S)	Owner managers of unincorporated enterprises	F	639
Campaspe (S)	Owner managers of unincorporated enterprises	M	978
Cardinia (S)		F	131
Cardinia (S)		M	172
Cardinia (S)	Contributing family workers	F	333
Cardinia (S)	Contributing family workers	M	240
Cardinia (S)	Employee	F	9596
Cardinia (S)	Employee	M	8037
Cardinia (S)	Owner managers of incorporated enterprises	F	739
Cardinia (S)	Owner managers of incorporated enterprises	M	1575
Cardinia (S)	Owner managers of unincorporated enterprises	F	983
Cardinia (S)	Owner managers of unincorporated enterprises	M	1339
Casey (C)		F	292
Casey (C)		M	342
Casey (C)	Contributing family workers	F	569
Casey (C)	Contributing family workers	M	506
Casey (C)	Employee	F	29521
Casey (C)	Employee	M	22111
Casey (C)	Owner managers of incorporated enterprises	F	1575
Casey (C)	Owner managers of incorporated enterprises	M	3821
Casey (C)	Owner managers of unincorporated enterprises	F	2272
Casey (C)	Owner managers of unincorporated enterprises	M	3223
Central Goldfields (S)		F	36
Central Goldfields (S)		M	44
Central Goldfields (S)	Contributing family workers	F	53
Central Goldfields (S)	Contributing family workers	M	77
Central Goldfields (S)	Employee	F	1841
Central Goldfields (S)	Employee	M	1453
Central Goldfields (S)	Owner managers of incorporated enterprises	F	70
Central Goldfields (S)	Owner managers of incorporated enterprises	M	155
Central Goldfields (S)	Owner managers of unincorporated enterprises	F	137
Central Goldfields (S)	Owner managers of unincorporated enterprises	M	259
Colac-Otway (S)		F	64
Colac-Otway (S)		M	90
Colac-Otway (S)	Contributing family workers	F	160
Colac-Otway (S)	Contributing family workers	M	165
Colac-Otway (S)	Employee	F	3718
Colac-Otway (S)	Employee	M	3557
Colac-Otway (S)	Owner managers of incorporated enterprises	F	179
Colac-Otway (S)	Owner managers of incorporated enterprises	M	380
Colac-Otway (S)	Owner managers of unincorporated enterprises	F	386
Colac-Otway (S)	Owner managers of unincorporated enterprises	M	680
Corangamite (S)		F	66
Corangamite (S)		M	87
Corangamite (S)	Contributing family workers	F	209
Corangamite (S)	Contributing family workers	M	219
Corangamite (S)	Employee	F	2303
Corangamite (S)	Employee	M	2406
Corangamite (S)	Owner managers of incorporated enterprises	F	175
Corangamite (S)	Owner managers of incorporated enterprises	M	360
Corangamite (S)	Owner managers of unincorporated enterprises	F	470
Corangamite (S)	Owner managers of unincorporated enterprises	M	780
Darebin (C)		F	251
Darebin (C)		M	291
Darebin (C)	Contributing family workers	F	324
Darebin (C)	Contributing family workers	M	292
Darebin (C)	Employee	F	20890
Darebin (C)	Employee	M	18313
Darebin (C)	Owner managers of incorporated enterprises	F	984
Darebin (C)	Owner managers of incorporated enterprises	M	2552
Darebin (C)	Owner managers of unincorporated enterprises	F	1596
Darebin (C)	Owner managers of unincorporated enterprises	M	2185
East Gippsland (S)		F	139
East Gippsland (S)		M	160
East Gippsland (S)	Contributing family workers	F	283
East Gippsland (S)	Contributing family workers	M	297
East Gippsland (S)	Employee	F	6602
East Gippsland (S)	Employee	M	5373
East Gippsland (S)	Owner managers of incorporated enterprises	F	333
East Gippsland (S)	Owner managers of incorporated enterprises	M	722
East Gippsland (S)	Owner managers of unincorporated enterprises	F	687
East Gippsland (S)	Owner managers of unincorporated enterprises	M	1081
Frankston (C)		F	207
Frankston (C)		M	241
Frankston (C)	Contributing family workers	F	343
Frankston (C)	Contributing family workers	M	302
Frankston (C)	Employee	F	20296
Frankston (C)	Employee	M	14708
Frankston (C)	Owner managers of incorporated enterprises	F	1026
Frankston (C)	Owner managers of incorporated enterprises	M	2535
Frankston (C)	Owner managers of unincorporated enterprises	F	1282
Frankston (C)	Owner managers of unincorporated enterprises	M	1979
Gannawarra (S)		F	45
Gannawarra (S)		M	44
Gannawarra (S)	Contributing family workers	F	103
Gannawarra (S)	Contributing family workers	M	159
Gannawarra (S)	Employee	F	1339
Gannawarra (S)	Employee	M	1265
Gannawarra (S)	Owner managers of incorporated enterprises	F	136
Gannawarra (S)	Owner managers of incorporated enterprises	M	290
Gannawarra (S)	Owner managers of unincorporated enterprises	F	219
Gannawarra (S)	Owner managers of unincorporated enterprises	M	341
Glen Eira (C)		F	133
Glen Eira (C)		M	168
Glen Eira (C)	Contributing family workers	F	354
Glen Eira (C)	Contributing family workers	M	284
Glen Eira (C)	Employee	F	16929
Glen Eira (C)	Employee	M	11499
Glen Eira (C)	Owner managers of incorporated enterprises	F	1275
Glen Eira (C)	Owner managers of incorporated enterprises	M	2600
Glen Eira (C)	Owner managers of unincorporated enterprises	F	1817
Glen Eira (C)	Owner managers of unincorporated enterprises	M	2104
Glenelg (S)		F	56
Glenelg (S)		M	63
Glenelg (S)	Contributing family workers	F	143
Glenelg (S)	Contributing family workers	M	175
Glenelg (S)	Employee	F	2967
Glenelg (S)	Employee	M	3128
Glenelg (S)	Owner managers of incorporated enterprises	F	140
Glenelg (S)	Owner managers of incorporated enterprises	M	261
Glenelg (S)	Owner managers of unincorporated enterprises	F	321
Glenelg (S)	Owner managers of unincorporated enterprises	M	511
Golden Plains (S)		F	21
Golden Plains (S)		M	33
Golden Plains (S)	Contributing family workers	F	101
Golden Plains (S)	Contributing family workers	M	125
Golden Plains (S)	Employee	F	1073
Golden Plains (S)	Employee	M	1019
Golden Plains (S)	Owner managers of incorporated enterprises	F	141
Golden Plains (S)	Owner managers of incorporated enterprises	M	274
Golden Plains (S)	Owner managers of unincorporated enterprises	F	199
Golden Plains (S)	Owner managers of unincorporated enterprises	M	337
Greater Bendigo (C)		F	230
Greater Bendigo (C)		M	263
Greater Bendigo (C)	Contributing family workers	F	349
Greater Bendigo (C)	Contributing family workers	M	322
Greater Bendigo (C)	Employee	F	20552
Greater Bendigo (C)	Employee	M	17899
Greater Bendigo (C)	Owner managers of incorporated enterprises	F	783
Greater Bendigo (C)	Owner managers of incorporated enterprises	M	1839
Greater Bendigo (C)	Owner managers of unincorporated enterprises	F	1098
Greater Bendigo (C)	Owner managers of unincorporated enterprises	M	1717
Greater Dandenong (C)		F	376
Greater Dandenong (C)		M	643
Greater Dandenong (C)	Contributing family workers	F	400
Greater Dandenong (C)	Contributing family workers	M	483
Greater Dandenong (C)	Employee	F	33878
Greater Dandenong (C)	Employee	M	51189
Greater Dandenong (C)	Owner managers of incorporated enterprises	F	1390
Greater Dandenong (C)	Owner managers of incorporated enterprises	M	4520
Greater Dandenong (C)	Owner managers of unincorporated enterprises	F	1162
Greater Dandenong (C)	Owner managers of unincorporated enterprises	M	2659
Greater Geelong (C)		F	428
Greater Geelong (C)		M	467
Greater Geelong (C)	Contributing family workers	F	695
Greater Geelong (C)	Contributing family workers	M	521
Greater Geelong (C)	Employee	F	44334
Greater Geelong (C)	Employee	M	36796
Greater Geelong (C)	Owner managers of incorporated enterprises	F	1706
Greater Geelong (C)	Owner managers of incorporated enterprises	M	4094
Greater Geelong (C)	Owner managers of unincorporated enterprises	F	2458
Greater Geelong (C)	Owner managers of unincorporated enterprises	M	3558
Greater Shepparton (C)		F	164
Greater Shepparton (C)		M	199
Greater Shepparton (C)	Contributing family workers	F	299
Greater Shepparton (C)	Contributing family workers	M	324
Greater Shepparton (C)	Employee	F	12152
Greater Shepparton (C)	Employee	M	11112
Greater Shepparton (C)	Owner managers of incorporated enterprises	F	619
Greater Shepparton (C)	Owner managers of incorporated enterprises	M	1376
Greater Shepparton (C)	Owner managers of unincorporated enterprises	F	640
Greater Shepparton (C)	Owner managers of unincorporated enterprises	M	1138
Hepburn (S)		F	52
Hepburn (S)		M	43
Hepburn (S)	Contributing family workers	F	122
Hepburn (S)	Contributing family workers	M	126
Hepburn (S)	Employee	F	1873
Hepburn (S)	Employee	M	1196
Hepburn (S)	Owner managers of incorporated enterprises	F	146
Hepburn (S)	Owner managers of incorporated enterprises	M	275
Hepburn (S)	Owner managers of unincorporated enterprises	F	359
Hepburn (S)	Owner managers of unincorporated enterprises	M	467
Hindmarsh (S)		F	18
Hindmarsh (S)		M	16
Hindmarsh (S)	Contributing family workers	F	63
Hindmarsh (S)	Contributing family workers	M	131
Hindmarsh (S)	Employee	F	799
Hindmarsh (S)	Employee	M	675
Hindmarsh (S)	Owner managers of incorporated enterprises	F	55
Hindmarsh (S)	Owner managers of incorporated enterprises	M	106
Hindmarsh (S)	Owner managers of unincorporated enterprises	F	89
Hindmarsh (S)	Owner managers of unincorporated enterprises	M	228
Hobsons Bay (C)		F	128
Hobsons Bay (C)		M	242
Hobsons Bay (C)	Contributing family workers	F	223
Hobsons Bay (C)	Contributing family workers	M	170
Hobsons Bay (C)	Employee	F	11406
Hobsons Bay (C)	Employee	M	18314
Hobsons Bay (C)	Owner managers of incorporated enterprises	F	646
Hobsons Bay (C)	Owner managers of incorporated enterprises	M	1731
Hobsons Bay (C)	Owner managers of unincorporated enterprises	F	858
Hobsons Bay (C)	Owner managers of unincorporated enterprises	M	1270
Horsham (RC)		F	40
Horsham (RC)		M	68
Horsham (RC)	Contributing family workers	F	120
Horsham (RC)	Contributing family workers	M	192
Horsham (RC)	Employee	F	3842
Horsham (RC)	Employee	M	3280
Horsham (RC)	Owner managers of incorporated enterprises	F	199
Horsham (RC)	Owner managers of incorporated enterprises	M	414
Horsham (RC)	Owner managers of unincorporated enterprises	F	274
Horsham (RC)	Owner managers of unincorporated enterprises	M	449
Hume (C)		F	390
Hume (C)		M	691
Hume (C)	Contributing family workers	F	414
Hume (C)	Contributing family workers	M	447
Hume (C)	Employee	F	31191
Hume (C)	Employee	M	46555
Hume (C)	Owner managers of incorporated enterprises	F	1301
Hume (C)	Owner managers of incorporated enterprises	M	4367
Hume (C)	Owner managers of unincorporated enterprises	F	1435
Hume (C)	Owner managers of unincorporated enterprises	M	2697
Indigo (S)		F	41
Indigo (S)		M	45
Indigo (S)	Contributing family workers	F	104
Indigo (S)	Contributing family workers	M	142
Indigo (S)	Employee	F	1777
Indigo (S)	Employee	M	1667
Indigo (S)	Owner managers of incorporated enterprises	F	149
Indigo (S)	Owner managers of incorporated enterprises	M	246
Indigo (S)	Owner managers of unincorporated enterprises	F	260
Indigo (S)	Owner managers of unincorporated enterprises	M	402
Kingston (C) (Vic.)		F	259
Kingston (C) (Vic.)		M	432
Kingston (C) (Vic.)	Contributing family workers	F	485
Kingston (C) (Vic.)	Contributing family workers	M	475
Kingston (C) (Vic.)	Employee	F	27734
Kingston (C) (Vic.)	Employee	M	33669
Kingston (C) (Vic.)	Owner managers of incorporated enterprises	F	1608
Kingston (C) (Vic.)	Owner managers of incorporated enterprises	M	4684
Kingston (C) (Vic.)	Owner managers of unincorporated enterprises	F	1686
Kingston (C) (Vic.)	Owner managers of unincorporated enterprises	M	2792
Knox (C)		F	212
Knox (C)		M	305
Knox (C)	Contributing family workers	F	426
Knox (C)	Contributing family workers	M	358
Knox (C)	Employee	F	26744
Knox (C)	Employee	M	27398
Knox (C)	Owner managers of incorporated enterprises	F	1369
Knox (C)	Owner managers of incorporated enterprises	M	3533
Knox (C)	Owner managers of unincorporated enterprises	F	1482
Knox (C)	Owner managers of unincorporated enterprises	M	2388
Latrobe (C) (Vic.)		F	172
Latrobe (C) (Vic.)		M	187
Latrobe (C) (Vic.)	Contributing family workers	F	174
Latrobe (C) (Vic.)	Contributing family workers	M	166
Latrobe (C) (Vic.)	Employee	F	13922
Latrobe (C) (Vic.)	Employee	M	13125
Latrobe (C) (Vic.)	Owner managers of incorporated enterprises	F	399
Latrobe (C) (Vic.)	Owner managers of incorporated enterprises	M	1000
Latrobe (C) (Vic.)	Owner managers of unincorporated enterprises	F	566
Latrobe (C) (Vic.)	Owner managers of unincorporated enterprises	M	897
Loddon (S)		F	29
Loddon (S)		M	38
Loddon (S)	Contributing family workers	F	122
Loddon (S)	Contributing family workers	M	171
Loddon (S)	Employee	F	721
Loddon (S)	Employee	M	834
Loddon (S)	Owner managers of incorporated enterprises	F	67
Loddon (S)	Owner managers of incorporated enterprises	M	169
Loddon (S)	Owner managers of unincorporated enterprises	F	152
Loddon (S)	Owner managers of unincorporated enterprises	M	349
Macedon Ranges (S)		F	79
Macedon Ranges (S)		M	83
Macedon Ranges (S)	Contributing family workers	F	218
Macedon Ranges (S)	Contributing family workers	M	203
Macedon Ranges (S)	Employee	F	5357
Macedon Ranges (S)	Employee	M	3857
Macedon Ranges (S)	Owner managers of incorporated enterprises	F	447
Macedon Ranges (S)	Owner managers of incorporated enterprises	M	877
Macedon Ranges (S)	Owner managers of unincorporated enterprises	F	696
Macedon Ranges (S)	Owner managers of unincorporated enterprises	M	866
Manningham (C)		F	112
Manningham (C)		M	132
Manningham (C)	Contributing family workers	F	327
Manningham (C)	Contributing family workers	M	296
Manningham (C)	Employee	F	13197
Manningham (C)	Employee	M	9166
Manningham (C)	Owner managers of incorporated enterprises	F	1025
Manningham (C)	Owner managers of incorporated enterprises	M	2149
Manningham (C)	Owner managers of unincorporated enterprises	F	1039
Manningham (C)	Owner managers of unincorporated enterprises	M	1488
Mansfield (S)		F	16
Mansfield (S)		M	28
Mansfield (S)	Contributing family workers	F	90
Mansfield (S)	Contributing family workers	M	105
Mansfield (S)	Employee	F	1286
Mansfield (S)	Employee	M	931
Mansfield (S)	Owner managers of incorporated enterprises	F	108
Mansfield (S)	Owner managers of incorporated enterprises	M	206
Mansfield (S)	Owner managers of unincorporated enterprises	F	171
Mansfield (S)	Owner managers of unincorporated enterprises	M	281
Maribyrnong (C)		F	174
Maribyrnong (C)		M	222
Maribyrnong (C)	Contributing family workers	F	194
Maribyrnong (C)	Contributing family workers	M	190
Maribyrnong (C)	Employee	F	17102
Maribyrnong (C)	Employee	M	14885
Maribyrnong (C)	Owner managers of incorporated enterprises	F	618
Maribyrnong (C)	Owner managers of incorporated enterprises	M	1636
Maribyrnong (C)	Owner managers of unincorporated enterprises	F	923
Maribyrnong (C)	Owner managers of unincorporated enterprises	M	1318
Maroondah (C)		F	149
Maroondah (C)		M	197
Maroondah (C)	Contributing family workers	F	299
Maroondah (C)	Contributing family workers	M	259
Maroondah (C)	Employee	F	18507
Maroondah (C)	Employee	M	16636
Maroondah (C)	Owner managers of incorporated enterprises	F	930
Maroondah (C)	Owner managers of incorporated enterprises	M	2451
Maroondah (C)	Owner managers of unincorporated enterprises	F	1140
Maroondah (C)	Owner managers of unincorporated enterprises	M	1696
Melbourne (C)		F	1264
Melbourne (C)		M	1551
Melbourne (C)	Contributing family workers	F	718
Melbourne (C)	Contributing family workers	M	805
Melbourne (C)	Employee	F	195680
Melbourne (C)	Employee	M	212158
Melbourne (C)	Owner managers of incorporated enterprises	F	3462
Melbourne (C)	Owner managers of incorporated enterprises	M	10729
Melbourne (C)	Owner managers of unincorporated enterprises	F	3488
Melbourne (C)	Owner managers of unincorporated enterprises	M	6910
Melton (C)		F	128
Melton (C)		M	178
Melton (C)	Contributing family workers	F	258
Melton (C)	Contributing family workers	M	182
Melton (C)	Employee	F	10927
Melton (C)	Employee	M	8991
Melton (C)	Owner managers of incorporated enterprises	F	532
Melton (C)	Owner managers of incorporated enterprises	M	1530
Melton (C)	Owner managers of unincorporated enterprises	F	768
Melton (C)	Owner managers of unincorporated enterprises	M	1190
Mildura (RC)		F	142
Mildura (RC)		M	187
Mildura (RC)	Contributing family workers	F	295
Mildura (RC)	Contributing family workers	M	410
Mildura (RC)	Employee	F	9334
Mildura (RC)	Employee	M	8002
Mildura (RC)	Owner managers of incorporated enterprises	F	442
Mildura (RC)	Owner managers of incorporated enterprises	M	967
Mildura (RC)	Owner managers of unincorporated enterprises	F	575
Mildura (RC)	Owner managers of unincorporated enterprises	M	993
Mitchell (S)		F	91
Mitchell (S)		M	117
Mitchell (S)	Contributing family workers	F	142
Mitchell (S)	Contributing family workers	M	126
Mitchell (S)	Employee	F	4656
Mitchell (S)	Employee	M	4097
Mitchell (S)	Owner managers of incorporated enterprises	F	259
Mitchell (S)	Owner managers of incorporated enterprises	M	510
Mitchell (S)	Owner managers of unincorporated enterprises	F	354
Mitchell (S)	Owner managers of unincorporated enterprises	M	507
Moira (S)		F	67
Moira (S)		M	103
Moira (S)	Contributing family workers	F	240
Moira (S)	Contributing family workers	M	277
Moira (S)	Employee	F	4032
Moira (S)	Employee	M	3753
Moira (S)	Owner managers of incorporated enterprises	F	289
Moira (S)	Owner managers of incorporated enterprises	M	612
Moira (S)	Owner managers of unincorporated enterprises	F	389
Moira (S)	Owner managers of unincorporated enterprises	M	768
Monash (C)		F	295
Monash (C)		M	457
Monash (C)	Contributing family workers	F	523
Monash (C)	Contributing family workers	M	506
Monash (C)	Employee	F	45447
Monash (C)	Employee	M	47939
Monash (C)	Owner managers of incorporated enterprises	F	1679
Monash (C)	Owner managers of incorporated enterprises	M	4479
Monash (C)	Owner managers of unincorporated enterprises	F	1591
Monash (C)	Owner managers of unincorporated enterprises	M	2859
Moonee Valley (C)		F	184
Moonee Valley (C)		M	210
Moonee Valley (C)	Contributing family workers	F	314
Moonee Valley (C)	Contributing family workers	M	248
Moonee Valley (C)	Employee	F	16329
Moonee Valley (C)	Employee	M	12790
Moonee Valley (C)	Owner managers of incorporated enterprises	F	991
Moonee Valley (C)	Owner managers of incorporated enterprises	M	2276
Moonee Valley (C)	Owner managers of unincorporated enterprises	F	1135
Moonee Valley (C)	Owner managers of unincorporated enterprises	M	1572
Moorabool (S)		F	37
Moorabool (S)		M	65
Moorabool (S)	Contributing family workers	F	156
Moorabool (S)	Contributing family workers	M	131
Moorabool (S)	Employee	F	3173
Moorabool (S)	Employee	M	2479
Moorabool (S)	Owner managers of incorporated enterprises	F	217
Moorabool (S)	Owner managers of incorporated enterprises	M	524
Moorabool (S)	Owner managers of unincorporated enterprises	F	273
Moorabool (S)	Owner managers of unincorporated enterprises	M	433
Moreland (C)		F	192
Moreland (C)		M	278
Moreland (C)	Contributing family workers	F	313
Moreland (C)	Contributing family workers	M	301
Moreland (C)	Employee	F	16012
Moreland (C)	Employee	M	14014
Moreland (C)	Owner managers of incorporated enterprises	F	944
Moreland (C)	Owner managers of incorporated enterprises	M	2577
Moreland (C)	Owner managers of unincorporated enterprises	F	1629
Moreland (C)	Owner managers of unincorporated enterprises	M	2545
Mornington Peninsula (S)		F	262
Mornington Peninsula (S)		M	313
Mornington Peninsula (S)	Contributing family workers	F	652
Mornington Peninsula (S)	Contributing family workers	M	430
Mornington Peninsula (S)	Employee	F	21451
Mornington Peninsula (S)	Employee	M	16087
Mornington Peninsula (S)	Owner managers of incorporated enterprises	F	1703
Mornington Peninsula (S)	Owner managers of incorporated enterprises	M	3361
Mornington Peninsula (S)	Owner managers of unincorporated enterprises	F	2173
Mornington Peninsula (S)	Owner managers of unincorporated enterprises	M	3056
Mount Alexander (S)		F	43
Mount Alexander (S)		M	57
Mount Alexander (S)	Contributing family workers	F	103
Mount Alexander (S)	Contributing family workers	M	109
Mount Alexander (S)	Employee	F	2665
Mount Alexander (S)	Employee	M	2596
Mount Alexander (S)	Owner managers of incorporated enterprises	F	138
Mount Alexander (S)	Owner managers of incorporated enterprises	M	274
Mount Alexander (S)	Owner managers of unincorporated enterprises	F	395
Mount Alexander (S)	Owner managers of unincorporated enterprises	M	534
Moyne (S)		F	41
Moyne (S)		M	80
Moyne (S)	Contributing family workers	F	197
Moyne (S)	Contributing family workers	M	243
Moyne (S)	Employee	F	1615
Moyne (S)	Employee	M	2324
Moyne (S)	Owner managers of incorporated enterprises	F	168
Moyne (S)	Owner managers of incorporated enterprises	M	333
Moyne (S)	Owner managers of unincorporated enterprises	F	372
Moyne (S)	Owner managers of unincorporated enterprises	M	820
Murrindindi (S)		F	33
Murrindindi (S)		M	37
Murrindindi (S)	Contributing family workers	F	111
Murrindindi (S)	Contributing family workers	M	128
Murrindindi (S)	Employee	F	1538
Murrindindi (S)	Employee	M	1240
Murrindindi (S)	Owner managers of incorporated enterprises	F	142
Murrindindi (S)	Owner managers of incorporated enterprises	M	277
Murrindindi (S)	Owner managers of unincorporated enterprises	F	214
Murrindindi (S)	Owner managers of unincorporated enterprises	M	392
Nillumbik (S)		F	59
Nillumbik (S)		M	65
Nillumbik (S)	Contributing family workers	F	197
Nillumbik (S)	Contributing family workers	M	130
Nillumbik (S)	Employee	F	5396
Nillumbik (S)	Employee	M	3864
Nillumbik (S)	Owner managers of incorporated enterprises	F	621
Nillumbik (S)	Owner managers of incorporated enterprises	M	1266
Nillumbik (S)	Owner managers of unincorporated enterprises	F	786
Nillumbik (S)	Owner managers of unincorporated enterprises	M	920
Northern Grampians (S)		F	29
Northern Grampians (S)		M	42
Northern Grampians (S)	Contributing family workers	F	96
Northern Grampians (S)	Contributing family workers	M	145
Northern Grampians (S)	Employee	F	1888
Northern Grampians (S)	Employee	M	1740
Northern Grampians (S)	Owner managers of incorporated enterprises	F	103
Northern Grampians (S)	Owner managers of incorporated enterprises	M	229
Northern Grampians (S)	Owner managers of unincorporated enterprises	F	172
Northern Grampians (S)	Owner managers of unincorporated enterprises	M	306
Port Phillip (C)		F	237
Port Phillip (C)		M	330
Port Phillip (C)	Contributing family workers	F	345
Port Phillip (C)	Contributing family workers	M	375
Port Phillip (C)	Employee	F	29697
Port Phillip (C)	Employee	M	34188
Port Phillip (C)	Owner managers of incorporated enterprises	F	1805
Port Phillip (C)	Owner managers of incorporated enterprises	M	4662
Port Phillip (C)	Owner managers of unincorporated enterprises	F	1863
Port Phillip (C)	Owner managers of unincorporated enterprises	M	2427
Pyrenees (S)		F	19
Pyrenees (S)		M	23
Pyrenees (S)	Contributing family workers	F	82
Pyrenees (S)	Contributing family workers	M	135
Pyrenees (S)	Employee	F	623
Pyrenees (S)	Employee	M	673
Pyrenees (S)	Owner managers of incorporated enterprises	F	54
Pyrenees (S)	Owner managers of incorporated enterprises	M	128
Pyrenees (S)	Owner managers of unincorporated enterprises	F	81
Pyrenees (S)	Owner managers of unincorporated enterprises	M	189
Queenscliffe (B)		F	11
Queenscliffe (B)		M	6
Queenscliffe (B)	Contributing family workers	F	18
Queenscliffe (B)	Contributing family workers	M	18
Queenscliffe (B)	Employee	F	594
Queenscliffe (B)	Employee	M	376
Queenscliffe (B)	Owner managers of incorporated enterprises	F	53
Queenscliffe (B)	Owner managers of incorporated enterprises	M	61
Queenscliffe (B)	Owner managers of unincorporated enterprises	F	66
Queenscliffe (B)	Owner managers of unincorporated enterprises	M	75
South Gippsland (S)		F	69
South Gippsland (S)		M	95
South Gippsland (S)	Contributing family workers	F	301
South Gippsland (S)	Contributing family workers	M	277
South Gippsland (S)	Employee	F	3805
South Gippsland (S)	Employee	M	3463
South Gippsland (S)	Owner managers of incorporated enterprises	F	268
South Gippsland (S)	Owner managers of incorporated enterprises	M	538
South Gippsland (S)	Owner managers of unincorporated enterprises	F	715
South Gippsland (S)	Owner managers of unincorporated enterprises	M	1138
Southern Grampians (S)		F	53
Southern Grampians (S)		M	68
Southern Grampians (S)	Contributing family workers	F	182
Southern Grampians (S)	Contributing family workers	M	222
Southern Grampians (S)	Employee	F	2869
Southern Grampians (S)	Employee	M	2357
Southern Grampians (S)	Owner managers of incorporated enterprises	F	124
Southern Grampians (S)	Owner managers of incorporated enterprises	M	292
Southern Grampians (S)	Owner managers of unincorporated enterprises	F	349
Southern Grampians (S)	Owner managers of unincorporated enterprises	M	655
Stonnington (C)		F	229
Stonnington (C)		M	242
Stonnington (C)	Contributing family workers	F	442
Stonnington (C)	Contributing family workers	M	363
Stonnington (C)	Employee	F	26270
Stonnington (C)	Employee	M	18116
Stonnington (C)	Owner managers of incorporated enterprises	F	1784
Stonnington (C)	Owner managers of incorporated enterprises	M	3476
Stonnington (C)	Owner managers of unincorporated enterprises	F	1794
Stonnington (C)	Owner managers of unincorporated enterprises	M	2245
Strathbogie (S)		F	30
Strathbogie (S)		M	43
Strathbogie (S)	Contributing family workers	F	129
Strathbogie (S)	Contributing family workers	M	151
Strathbogie (S)	Employee	F	1204
Strathbogie (S)	Employee	M	1138
Strathbogie (S)	Owner managers of incorporated enterprises	F	100
Strathbogie (S)	Owner managers of incorporated enterprises	M	192
Strathbogie (S)	Owner managers of unincorporated enterprises	F	170
Strathbogie (S)	Owner managers of unincorporated enterprises	M	367
Surf Coast (S)		F	46
Surf Coast (S)		M	55
Surf Coast (S)	Contributing family workers	F	195
Surf Coast (S)	Contributing family workers	M	159
Surf Coast (S)	Employee	F	3303
Surf Coast (S)	Employee	M	2701
Surf Coast (S)	Owner managers of incorporated enterprises	F	309
Surf Coast (S)	Owner managers of incorporated enterprises	M	673
Surf Coast (S)	Owner managers of unincorporated enterprises	F	512
