LGA_NAME16	LabourForceStatus	Sex	workers
North Sydney (A)	Employed (full-time)	M	32937
North Sydney (A)	Employed (part-time)	F	9724
North Sydney (A)	Employed (part-time)	M	5335
Northern Beaches (A)		F	649
Northern Beaches (A)		M	777
Northern Beaches (A)	Employed (away from work)	F	1415
Northern Beaches (A)	Employed (away from work)	M	940
Northern Beaches (A)	Employed (full-time)	F	19056
Northern Beaches (A)	Employed (full-time)	M	30983
Northern Beaches (A)	Employed (part-time)	F	23132
Northern Beaches (A)	Employed (part-time)	M	11270
Oberon (A)		F	23
Oberon (A)		M	36
Oberon (A)	Employed (away from work)	F	34
Oberon (A)	Employed (away from work)	M	34
Oberon (A)	Employed (full-time)	F	371
Oberon (A)	Employed (full-time)	M	1090
Oberon (A)	Employed (part-time)	F	386
Oberon (A)	Employed (part-time)	M	193
Orange (C)		F	148
Orange (C)		M	170
Orange (C)	Employed (away from work)	F	439
Orange (C)	Employed (away from work)	M	271
Orange (C)	Employed (full-time)	F	5044
Orange (C)	Employed (full-time)	M	6819
Orange (C)	Employed (part-time)	F	4441
Orange (C)	Employed (part-time)	M	1632
Parkes (A)		F	64
Parkes (A)		M	68
Parkes (A)	Employed (away from work)	F	146
Parkes (A)	Employed (away from work)	M	103
Parkes (A)	Employed (full-time)	F	1228
Parkes (A)	Employed (full-time)	M	2270
Parkes (A)	Employed (part-time)	F	1248
Parkes (A)	Employed (part-time)	M	492
Parramatta (C)		F	1150
Parramatta (C)		M	1627
Parramatta (C)	Employed (away from work)	F	2920
Parramatta (C)	Employed (away from work)	M	1409
Parramatta (C)	Employed (full-time)	F	39990
Parramatta (C)	Employed (full-time)	M	55902
Parramatta (C)	Employed (part-time)	F	23274
Parramatta (C)	Employed (part-time)	M	11676
Penrith (C)		F	618
Penrith (C)		M	763
Penrith (C)	Employed (away from work)	F	1311
Penrith (C)	Employed (away from work)	M	778
Penrith (C)	Employed (full-time)	F	16480
Penrith (C)	Employed (full-time)	M	26383
Penrith (C)	Employed (part-time)	F	15340
Penrith (C)	Employed (part-time)	M	6918
Port Macquarie-Hastings (A)		F	245
Port Macquarie-Hastings (A)		M	293
Port Macquarie-Hastings (A)	Employed (away from work)	F	610
Port Macquarie-Hastings (A)	Employed (away from work)	M	396
Port Macquarie-Hastings (A)	Employed (full-time)	F	6104
Port Macquarie-Hastings (A)	Employed (full-time)	M	9176
Port Macquarie-Hastings (A)	Employed (part-time)	F	7368
Port Macquarie-Hastings (A)	Employed (part-time)	M	3314
Port Stephens (A)		F	184
Port Stephens (A)		M	270
Port Stephens (A)	Employed (away from work)	F	460
Port Stephens (A)	Employed (away from work)	M	444
Port Stephens (A)	Employed (full-time)	F	4341
Port Stephens (A)	Employed (full-time)	M	11684
Port Stephens (A)	Employed (part-time)	F	5678
Port Stephens (A)	Employed (part-time)	M	2658
Queanbeyan-Palerang Regional (A)		F	99
Queanbeyan-Palerang Regional (A)		M	173
Queanbeyan-Palerang Regional (A)	Employed (away from work)	F	248
Queanbeyan-Palerang Regional (A)	Employed (away from work)	M	226
Queanbeyan-Palerang Regional (A)	Employed (full-time)	F	3008
Queanbeyan-Palerang Regional (A)	Employed (full-time)	M	6474
Queanbeyan-Palerang Regional (A)	Employed (part-time)	F	2861
Queanbeyan-Palerang Regional (A)	Employed (part-time)	M	1634
Randwick (C)		F	465
Randwick (C)		M	471
Randwick (C)	Employed (away from work)	F	958
Randwick (C)	Employed (away from work)	M	504
Randwick (C)	Employed (full-time)	F	12178
Randwick (C)	Employed (full-time)	M	15763
Randwick (C)	Employed (part-time)	F	9965
Randwick (C)	Employed (part-time)	M	5682
Richmond Valley (A)		F	68
Richmond Valley (A)		M	98
Richmond Valley (A)	Employed (away from work)	F	136
Richmond Valley (A)	Employed (away from work)	M	114
Richmond Valley (A)	Employed (full-time)	F	1298
Richmond Valley (A)	Employed (full-time)	M	2517
Richmond Valley (A)	Employed (part-time)	F	1633
Richmond Valley (A)	Employed (part-time)	M	1057
Rockdale (C)		F	238
Rockdale (C)		M	346
Rockdale (C)	Employed (away from work)	F	472
Rockdale (C)	Employed (away from work)	M	367
Rockdale (C)	Employed (full-time)	F	5690
Rockdale (C)	Employed (full-time)	M	10005
Rockdale (C)	Employed (part-time)	F	5633
Rockdale (C)	Employed (part-time)	M	3764
Ryde (C)		F	599
Ryde (C)		M	863
Ryde (C)	Employed (away from work)	F	1423
Ryde (C)	Employed (away from work)	M	798
Ryde (C)	Employed (full-time)	F	23446
Ryde (C)	Employed (full-time)	M	36525
Ryde (C)	Employed (part-time)	F	13621
Ryde (C)	Employed (part-time)	M	7127
Shellharbour (C)		F	118
Shellharbour (C)		M	170
Shellharbour (C)	Employed (away from work)	F	426
Shellharbour (C)	Employed (away from work)	M	218
Shellharbour (C)	Employed (full-time)	F	3764
Shellharbour (C)	Employed (full-time)	M	5388
Shellharbour (C)	Employed (part-time)	F	5403
Shellharbour (C)	Employed (part-time)	M	2012
Shoalhaven (C)		F	327
Shoalhaven (C)		M	393
Shoalhaven (C)	Employed (away from work)	F	797
Shoalhaven (C)	Employed (away from work)	M	502
Shoalhaven (C)	Employed (full-time)	F	6724
Shoalhaven (C)	Employed (full-time)	M	11600
Shoalhaven (C)	Employed (part-time)	F	9085
Shoalhaven (C)	Employed (part-time)	M	4231
Singleton (A)		F	112
Singleton (A)		M	212
Singleton (A)	Employed (away from work)	F	215
Singleton (A)	Employed (away from work)	M	388
Singleton (A)	Employed (full-time)	F	2145
Singleton (A)	Employed (full-time)	M	8884
Singleton (A)	Employed (part-time)	F	2390
Singleton (A)	Employed (part-time)	M	1184
Snowy Monaro Regional (A)		F	108
Snowy Monaro Regional (A)		M	121
Snowy Monaro Regional (A)	Employed (away from work)	F	157
Snowy Monaro Regional (A)	Employed (away from work)	M	147
Snowy Monaro Regional (A)	Employed (full-time)	F	2440
Snowy Monaro Regional (A)	Employed (full-time)	M	3690
Snowy Monaro Regional (A)	Employed (part-time)	F	2003
Snowy Monaro Regional (A)	Employed (part-time)	M	1100
Snowy Valleys (A)		F	45
Snowy Valleys (A)		M	108
Snowy Valleys (A)	Employed (away from work)	F	116
Snowy Valleys (A)	Employed (away from work)	M	115
Snowy Valleys (A)	Employed (full-time)	F	1125
Snowy Valleys (A)	Employed (full-time)	M	2551
Snowy Valleys (A)	Employed (part-time)	F	1332
Snowy Valleys (A)	Employed (part-time)	M	503
Strathfield (A)		F	166
Strathfield (A)		M	318
Strathfield (A)	Employed (away from work)	F	283
Strathfield (A)	Employed (away from work)	M	276
Strathfield (A)	Employed (full-time)	F	4532
Strathfield (A)	Employed (full-time)	M	10268
Strathfield (A)	Employed (part-time)	F	3289
Strathfield (A)	Employed (part-time)	M	2669
Sutherland Shire (A)		F	507
Sutherland Shire (A)		M	595
Sutherland Shire (A)	Employed (away from work)	F	1218
Sutherland Shire (A)	Employed (away from work)	M	697
Sutherland Shire (A)	Employed (full-time)	F	13897
Sutherland Shire (A)	Employed (full-time)	M	22027
Sutherland Shire (A)	Employed (part-time)	F	19290
Sutherland Shire (A)	Employed (part-time)	M	8192
Sydney (C)		F	3665
Sydney (C)		M	4636
Sydney (C)	Employed (away from work)	F	9636
Sydney (C)	Employed (away from work)	M	4827
Sydney (C)	Employed (full-time)	F	157036
Sydney (C)	Employed (full-time)	M	217443
Sydney (C)	Employed (part-time)	F	63077
Sydney (C)	Employed (part-time)	M	38100
Tamworth Regional (A)		F	243
Tamworth Regional (A)		M	270
Tamworth Regional (A)	Employed (away from work)	F	550
Tamworth Regional (A)	Employed (away from work)	M	351
Tamworth Regional (A)	Employed (full-time)	F	6252
Tamworth Regional (A)	Employed (full-time)	M	9563
Tamworth Regional (A)	Employed (part-time)	F	5577
Tamworth Regional (A)	Employed (part-time)	M	2291
Temora (A)		F	28
Temora (A)		M	42
Temora (A)	Employed (away from work)	F	54
Temora (A)	Employed (away from work)	M	37
Temora (A)	Employed (full-time)	F	494
Temora (A)	Employed (full-time)	M	893
Temora (A)	Employed (part-time)	F	600
Temora (A)	Employed (part-time)	M	194
Tenterfield (A)		F	28
Tenterfield (A)		M	40
Tenterfield (A)	Employed (away from work)	F	54
Tenterfield (A)	Employed (away from work)	M	26
Tenterfield (A)	Employed (full-time)	F	457
Tenterfield (A)	Employed (full-time)	M	771
Tenterfield (A)	Employed (part-time)	F	509
Tenterfield (A)	Employed (part-time)	M	256
The Hills Shire (A)		F	470
The Hills Shire (A)		M	643
The Hills Shire (A)	Employed (away from work)	F	1074
The Hills Shire (A)	Employed (away from work)	M	576
The Hills Shire (A)	Employed (full-time)	F	15515
The Hills Shire (A)	Employed (full-time)	M	23086
The Hills Shire (A)	Employed (part-time)	F	15762
The Hills Shire (A)	Employed (part-time)	M	6740
Tweed (A)		F	294
Tweed (A)		M	322
Tweed (A)	Employed (away from work)	F	592
Tweed (A)	Employed (away from work)	M	345
Tweed (A)	Employed (full-time)	F	5898
Tweed (A)	Employed (full-time)	M	8591
Tweed (A)	Employed (part-time)	F	8317
Tweed (A)	Employed (part-time)	M	3801
Upper Hunter Shire (A)		F	48
Upper Hunter Shire (A)		M	63
Upper Hunter Shire (A)	Employed (away from work)	F	107
Upper Hunter Shire (A)	Employed (away from work)	M	66
Upper Hunter Shire (A)	Employed (full-time)	F	1260
Upper Hunter Shire (A)	Employed (full-time)	M	1749
Upper Hunter Shire (A)	Employed (part-time)	F	1243
Upper Hunter Shire (A)	Employed (part-time)	M	501
Upper Lachlan Shire (A)		F	20
Upper Lachlan Shire (A)		M	29
Upper Lachlan Shire (A)	Employed (away from work)	F	39
Upper Lachlan Shire (A)	Employed (away from work)	M	28
Upper Lachlan Shire (A)	Employed (full-time)	F	460
Upper Lachlan Shire (A)	Employed (full-time)	M	1012
Upper Lachlan Shire (A)	Employed (part-time)	F	594
Upper Lachlan Shire (A)	Employed (part-time)	M	307
Uralla (A)		F	16
Uralla (A)		M	23
Uralla (A)	Employed (away from work)	F	32
Uralla (A)	Employed (away from work)	M	17
Uralla (A)	Employed (full-time)	F	256
Uralla (A)	Employed (full-time)	M	549
Uralla (A)	Employed (part-time)	F	308
Uralla (A)	Employed (part-time)	M	160
Wagga Wagga (C)		F	245
Wagga Wagga (C)		M	331
Wagga Wagga (C)	Employed (away from work)	F	660
Wagga Wagga (C)	Employed (away from work)	M	403
Wagga Wagga (C)	Employed (full-time)	F	7516
Wagga Wagga (C)	Employed (full-time)	M	12191
Wagga Wagga (C)	Employed (part-time)	F	6656
Wagga Wagga (C)	Employed (part-time)	M	2607
Walcha (A)		F	17
Walcha (A)		M	8
Walcha (A)	Employed (away from work)	F	23
Walcha (A)	Employed (away from work)	M	17
Walcha (A)	Employed (full-time)	F	265
Walcha (A)	Employed (full-time)	M	614
Walcha (A)	Employed (part-time)	F	289
Walcha (A)	Employed (part-time)	M	134
Walgett (A)		F	26
Walgett (A)		M	42
Walgett (A)	Employed (away from work)	F	44
Walgett (A)	Employed (away from work)	M	28
Walgett (A)	Employed (full-time)	F	516
Walgett (A)	Employed (full-time)	M	797
Walgett (A)	Employed (part-time)	F	392
Walgett (A)	Employed (part-time)	M	214
Warren (A)		F	8
Warren (A)		M	14
Warren (A)	Employed (away from work)	F	24
Warren (A)	Employed (away from work)	M	22
Warren (A)	Employed (full-time)	F	258
Warren (A)	Employed (full-time)	M	521
Warren (A)	Employed (part-time)	F	185
Warren (A)	Employed (part-time)	M	67
Warrumbungle Shire (A)		F	42
Warrumbungle Shire (A)		M	44
Warrumbungle Shire (A)	Employed (away from work)	F	55
Warrumbungle Shire (A)	Employed (away from work)	M	49
Warrumbungle Shire (A)	Employed (full-time)	F	655
Warrumbungle Shire (A)	Employed (full-time)	M	1144
Warrumbungle Shire (A)	Employed (part-time)	F	746
Warrumbungle Shire (A)	Employed (part-time)	M	290
Waverley (A)		F	204
Waverley (A)		M	253
Waverley (A)	Employed (away from work)	F	393
Waverley (A)	Employed (away from work)	M	223
Waverley (A)	Employed (full-time)	F	5813
Waverley (A)	Employed (full-time)	M	7496
Waverley (A)	Employed (part-time)	F	6563
Waverley (A)	Employed (part-time)	M	3392
Weddin (A)		F	12
Weddin (A)		M	23
Weddin (A)	Employed (away from work)	F	29
Weddin (A)	Employed (away from work)	M	11
Weddin (A)	Employed (full-time)	F	241
Weddin (A)	Employed (full-time)	M	538
Weddin (A)	Employed (part-time)	F	265
Weddin (A)	Employed (part-time)	M	114
Wentworth (A)		F	32
Wentworth (A)		M	44
Wentworth (A)	Employed (away from work)	F	51
Wentworth (A)	Employed (away from work)	M	59
Wentworth (A)	Employed (full-time)	F	557
Wentworth (A)	Employed (full-time)	M	1266
Wentworth (A)	Employed (part-time)	F	468
Wentworth (A)	Employed (part-time)	M	269
Western Plains Regional (A)		F	192
Western Plains Regional (A)		M	230
Western Plains Regional (A)	Employed (away from work)	F	486
Western Plains Regional (A)	Employed (away from work)	M	279
Western Plains Regional (A)	Employed (full-time)	F	5800
Western Plains Regional (A)	Employed (full-time)	M	8417
Western Plains Regional (A)	Employed (part-time)	F	4545
Western Plains Regional (A)	Employed (part-time)	M	1755
Willoughby (C)		F	451
Willoughby (C)		M	532
Willoughby (C)	Employed (away from work)	F	1115
Willoughby (C)	Employed (away from work)	M	530
Willoughby (C)	Employed (full-time)	F	16097
Willoughby (C)	Employed (full-time)	M	23631
Willoughby (C)	Employed (part-time)	F	11450
Willoughby (C)	Employed (part-time)	M	5643
Wingecarribee (A)		F	141
Wingecarribee (A)		M	154
Wingecarribee (A)	Employed (away from work)	F	309
Wingecarribee (A)	Employed (away from work)	M	214
Wingecarribee (A)	Employed (full-time)	F	3888
Wingecarribee (A)	Employed (full-time)	M	6005
Wingecarribee (A)	Employed (part-time)	F	5038
Wingecarribee (A)	Employed (part-time)	M	2156
Wollondilly (A)		F	105
Wollondilly (A)		M	134
Wollondilly (A)	Employed (away from work)	F	173
Wollondilly (A)	Employed (away from work)	M	193
Wollondilly (A)	Employed (full-time)	F	2002
Wollondilly (A)	Employed (full-time)	M	5072
Wollondilly (A)	Employed (part-time)	F	2405
Wollondilly (A)	Employed (part-time)	M	1047
Wollongong (C)		F	564
Wollongong (C)		M	746
Wollongong (C)	Employed (away from work)	F	1752
Wollongong (C)	Employed (away from work)	M	1136
Wollongong (C)	Employed (full-time)	F	17286
Wollongong (C)	Employed (full-time)	M	28457
Wollongong (C)	Employed (part-time)	F	20561
Wollongong (C)	Employed (part-time)	M	8719
Woollahra (A)		F	159
Woollahra (A)		M	181
Woollahra (A)	Employed (away from work)	F	332
Woollahra (A)	Employed (away from work)	M	160
Woollahra (A)	Employed (full-time)	F	5296
Woollahra (A)	Employed (full-time)	M	6204
Woollahra (A)	Employed (part-time)	F	4968
Woollahra (A)	Employed (part-time)	M	2679
Yass Valley (A)		F	36
Yass Valley (A)		M	40
Yass Valley (A)	Employed (away from work)	F	84
Yass Valley (A)	Employed (away from work)	M	53
Yass Valley (A)	Employed (full-time)	F	772
Yass Valley (A)	Employed (full-time)	M	1302
Yass Valley (A)	Employed (part-time)	F	1018
Yass Valley (A)	Employed (part-time)	M	481
Unincorporated NSW		F	13
Unincorporated NSW		M	12
Unincorporated NSW	Employed (away from work)	F	25
Unincorporated NSW	Employed (away from work)	M	13
Unincorporated NSW	Employed (full-time)	F	134
Unincorporated NSW	Employed (full-time)	M	258
Unincorporated NSW	Employed (part-time)	F	68
Unincorporated NSW	Employed (part-time)	M	50
No usual address (NSW)		F	1126
No usual address (NSW)		M	2674
No usual address (NSW)	Employed (away from work)	F	2149
No usual address (NSW)	Employed (away from work)	M	3931
No usual address (NSW)	Employed (full-time)	F	9445
No usual address (NSW)	Employed (full-time)	M	72177
No usual address (NSW)	Employed (part-time)	F	21410
No usual address (NSW)	Employed (part-time)	M	30461
Migratory - Offshore - Shipping (NSW)	Employed (away from work)	F	3
Migratory - Offshore - Shipping (NSW)	Employed (away from work)	M	13
Migratory - Offshore - Shipping (NSW)	Employed (full-time)	F	3
Migratory - Offshore - Shipping (NSW)	Employed (full-time)	M	49
Migratory - Offshore - Shipping (NSW)	Employed (part-time)	F	3
Migratory - Offshore - Shipping (NSW)	Employed (part-time)	M	12
Alpine (S)		F	46
Alpine (S)		M	60
Alpine (S)	Employed (away from work)	F	115
Alpine (S)	Employed (away from work)	M	84
Alpine (S)	Employed (full-time)	F	912
Alpine (S)	Employed (full-time)	M	1565
Alpine (S)	Employed (part-time)	F	1224
Alpine (S)	Employed (part-time)	M	603
Ararat (RC)		F	46
Ararat (RC)		M	54
Ararat (RC)	Employed (away from work)	F	135
Ararat (RC)	Employed (away from work)	M	95
Ararat (RC)	Employed (full-time)	F	1002
Ararat (RC)	Employed (full-time)	M	1905
Ararat (RC)	Employed (part-time)	F	1068
Ararat (RC)	Employed (part-time)	M	568
Ballarat (C)		F	384
Ballarat (C)		M	448
Ballarat (C)	Employed (away from work)	F	1210
Ballarat (C)	Employed (away from work)	M	632
Ballarat (C)	Employed (full-time)	F	9638
Ballarat (C)	Employed (full-time)	M	15951
Ballarat (C)	Employed (part-time)	F	12577
Ballarat (C)	Employed (part-time)	M	4943
Banyule (C)		F	328
Banyule (C)		M	355
Banyule (C)	Employed (away from work)	F	1044
Banyule (C)	Employed (away from work)	M	405
Banyule (C)	Employed (full-time)	F	9417
Banyule (C)	Employed (full-time)	M	12080
Banyule (C)	Employed (part-time)	F	12276
Banyule (C)	Employed (part-time)	M	4439
Bass Coast (S)		F	86
Bass Coast (S)		M	124
Bass Coast (S)	Employed (away from work)	F	364
Bass Coast (S)	Employed (away from work)	M	233
Bass Coast (S)	Employed (full-time)	F	1798
Bass Coast (S)	Employed (full-time)	M	3062
Bass Coast (S)	Employed (part-time)	F	3200
Bass Coast (S)	Employed (part-time)	M	1394
Baw Baw (S)		F	160
Baw Baw (S)		M	187
Baw Baw (S)	Employed (away from work)	F	410
Baw Baw (S)	Employed (away from work)	M	217
Baw Baw (S)	Employed (full-time)	F	3125
Baw Baw (S)	Employed (full-time)	M	5316
Baw Baw (S)	Employed (part-time)	F	4577
Baw Baw (S)	Employed (part-time)	M	1804
Bayside (C)		F	227
Bayside (C)		M	263
Bayside (C)	Employed (away from work)	F	561
Bayside (C)	Employed (away from work)	M	267
Bayside (C)	Employed (full-time)	F	6360
Bayside (C)	Employed (full-time)	M	9030
Bayside (C)	Employed (part-time)	F	8825
Bayside (C)	Employed (part-time)	M	4011
Benalla (RC)		F	63
Benalla (RC)		M	52
Benalla (RC)	Employed (away from work)	F	138
Benalla (RC)	Employed (away from work)	M	100
Benalla (RC)	Employed (full-time)	F	956
Benalla (RC)	Employed (full-time)	M	1933
Benalla (RC)	Employed (part-time)	F	1323
Benalla (RC)	Employed (part-time)	M	522
Boroondara (C)		F	557
Boroondara (C)		M	631
Boroondara (C)	Employed (away from work)	F	1385
Boroondara (C)	Employed (away from work)	M	666
Boroondara (C)	Employed (full-time)	F	18215
Boroondara (C)	Employed (full-time)	M	23265
Boroondara (C)	Employed (part-time)	F	18255
Boroondara (C)	Employed (part-time)	M	8406
Brimbank (C)		F	646
Brimbank (C)		M	1012
Brimbank (C)	Employed (away from work)	F	1008
Brimbank (C)	Employed (away from work)	M	782
Brimbank (C)	Employed (full-time)	F	13223
Brimbank (C)	Employed (full-time)	M	28906
Brimbank (C)	Employed (part-time)	F	13158
Brimbank (C)	Employed (part-time)	M	7759
Buloke (S)		F	32
Buloke (S)		M	25
Buloke (S)	Employed (away from work)	F	55
Buloke (S)	Employed (away from work)	M	54
Buloke (S)	Employed (full-time)	F	390
Buloke (S)	Employed (full-time)	M	1030
Buloke (S)	Employed (part-time)	F	614
Buloke (S)	Employed (part-time)	M	243
Campaspe (S)		F	150
Campaspe (S)		M	194
Campaspe (S)	Employed (away from work)	F	379
Campaspe (S)	Employed (away from work)	M	274
Campaspe (S)	Employed (full-time)	F	3105
Campaspe (S)	Employed (full-time)	M	5843
Campaspe (S)	Employed (part-time)	F	3856
Campaspe (S)	Employed (part-time)	M	1481
Cardinia (S)		F	218
Cardinia (S)		M	292
Cardinia (S)	Employed (away from work)	F	435
Cardinia (S)	Employed (away from work)	M	258
Cardinia (S)	Employed (full-time)	F	4521
Cardinia (S)	Employed (full-time)	M	8144
Cardinia (S)	Employed (part-time)	F	6614
Cardinia (S)	Employed (part-time)	M	2664
Casey (C)		F	561
Casey (C)		M	749
Casey (C)	Employed (away from work)	F	1299
Casey (C)	Employed (away from work)	M	649
Casey (C)	Employed (full-time)	F	13777
Casey (C)	Employed (full-time)	M	20952
Casey (C)	Employed (part-time)	F	18597
Casey (C)	Employed (part-time)	M	7660
Central Goldfields (S)		F	46
Central Goldfields (S)		M	50
Central Goldfields (S)	Employed (away from work)	F	103
Central Goldfields (S)	Employed (away from work)	M	64
Central Goldfields (S)	Employed (full-time)	F	779
Central Goldfields (S)	Employed (full-time)	M	1325
Central Goldfields (S)	Employed (part-time)	F	1200
Central Goldfields (S)	Employed (part-time)	M	545
Colac-Otway (S)		F	91
Colac-Otway (S)		M	103
Colac-Otway (S)	Employed (away from work)	F	248
Colac-Otway (S)	Employed (away from work)	M	184
Colac-Otway (S)	Employed (full-time)	F	1749
Colac-Otway (S)	Employed (full-time)	M	3447
Colac-Otway (S)	Employed (part-time)	F	2426
Colac-Otway (S)	Employed (part-time)	M	1148
Corangamite (S)		F	68
Corangamite (S)		M	110
Corangamite (S)	Employed (away from work)	F	189
Corangamite (S)	Employed (away from work)	M	130
Corangamite (S)	Employed (full-time)	F	1297
Corangamite (S)	Employed (full-time)	M	2959
Corangamite (S)	Employed (part-time)	F	1673
Corangamite (S)	Employed (part-time)	M	657
Darebin (C)		F	452
Darebin (C)		M	567
Darebin (C)	Employed (away from work)	F	943
Darebin (C)	Employed (away from work)	M	465
Darebin (C)	Employed (full-time)	F	10482
Darebin (C)	Employed (full-time)	M	16552
Darebin (C)	Employed (part-time)	F	12168
Darebin (C)	Employed (part-time)	M	6052
East Gippsland (S)		F	169
East Gippsland (S)		M	198
East Gippsland (S)	Employed (away from work)	F	479
East Gippsland (S)	Employed (away from work)	M	326
East Gippsland (S)	Employed (full-time)	F	3009
East Gippsland (S)	Employed (full-time)	M	5143
East Gippsland (S)	Employed (part-time)	F	4391
East Gippsland (S)	Employed (part-time)	M	1972
Frankston (C)		F	363
Frankston (C)		M	449
Frankston (C)	Employed (away from work)	F	1022
Frankston (C)	Employed (away from work)	M	444
Frankston (C)	Employed (full-time)	F	9261
Frankston (C)	Employed (full-time)	M	14178
Frankston (C)	Employed (part-time)	F	12507
Frankston (C)	Employed (part-time)	M	4690
Gannawarra (S)		F	34
Gannawarra (S)		M	55
Gannawarra (S)	Employed (away from work)	F	90
Gannawarra (S)	Employed (away from work)	M	75
Gannawarra (S)	Employed (full-time)	F	727
Gannawarra (S)	Employed (full-time)	M	1593
Gannawarra (S)	Employed (part-time)	F	993
Gannawarra (S)	Employed (part-time)	M	373
Glen Eira (C)		F	287
Glen Eira (C)		M	319
Glen Eira (C)	Employed (away from work)	F	722
Glen Eira (C)	Employed (away from work)	M	320
Glen Eira (C)	Employed (full-time)	F	8539
Glen Eira (C)	Employed (full-time)	M	10909
Glen Eira (C)	Employed (part-time)	F	10964
Glen Eira (C)	Employed (part-time)	M	5107
Glenelg (S)		F	88
Glenelg (S)		M	107
Glenelg (S)	Employed (away from work)	F	198
Glenelg (S)	Employed (away from work)	M	173
Glenelg (S)	Employed (full-time)	F	1349
Glenelg (S)	Employed (full-time)	M	2988
Glenelg (S)	Employed (part-time)	F	1996
Glenelg (S)	Employed (part-time)	M	860
Golden Plains (S)		F	31
Golden Plains (S)		M	49
Golden Plains (S)	Employed (away from work)	F	87
Golden Plains (S)	Employed (away from work)	M	52
Golden Plains (S)	Employed (full-time)	F	530
Golden Plains (S)	Employed (full-time)	M	1273
Golden Plains (S)	Employed (part-time)	F	890
Golden Plains (S)	Employed (part-time)	M	417
Greater Bendigo (C)		F	343
Greater Bendigo (C)		M	415
Greater Bendigo (C)	Employed (away from work)	F	1185
Greater Bendigo (C)	Employed (away from work)	M	712
Greater Bendigo (C)	Employed (full-time)	F	9336
Greater Bendigo (C)	Employed (full-time)	M	15965
Greater Bendigo (C)	Employed (part-time)	F	12149
Greater Bendigo (C)	Employed (part-time)	M	4944
Greater Dandenong (C)		F	779
Greater Dandenong (C)		M	1263
Greater Dandenong (C)	Employed (away from work)	F	1358
Greater Dandenong (C)	Employed (away from work)	M	1073
Greater Dandenong (C)	Employed (full-time)	F	20071
Greater Dandenong (C)	Employed (full-time)	M	47680
Greater Dandenong (C)	Employed (part-time)	F	14992
Greater Dandenong (C)	Employed (part-time)	M	9470
Greater Geelong (C)		F	754
Greater Geelong (C)		M	892
Greater Geelong (C)	Employed (away from work)	F	2344
Greater Geelong (C)	Employed (away from work)	M	1266
Greater Geelong (C)	Employed (full-time)	F	20140
Greater Geelong (C)	Employed (full-time)	M	32702
Greater Geelong (C)	Employed (part-time)	F	26381
Greater Geelong (C)	Employed (part-time)	M	10574
Greater Shepparton (C)		F	261
Greater Shepparton (C)		M	374
Greater Shepparton (C)	Employed (away from work)	F	705
Greater Shepparton (C)	Employed (away from work)	M	497
Greater Shepparton (C)	Employed (full-time)	F	6246
Greater Shepparton (C)	Employed (full-time)	M	10669
Greater Shepparton (C)	Employed (part-time)	F	6659
Greater Shepparton (C)	Employed (part-time)	M	2617
Hepburn (S)		F	54
Hepburn (S)		M	55
Hepburn (S)	Employed (away from work)	F	150
Hepburn (S)	Employed (away from work)	M	77
Hepburn (S)	Employed (full-time)	F	832
Hepburn (S)	Employed (full-time)	M	1301
Hepburn (S)	Employed (part-time)	F	1514
Hepburn (S)	Employed (part-time)	M	671
Hindmarsh (S)		F	23
Hindmarsh (S)		M	32
Hindmarsh (S)	Employed (away from work)	F	51
Hindmarsh (S)	Employed (away from work)	M	37
Hindmarsh (S)	Employed (full-time)	F	425
Hindmarsh (S)	Employed (full-time)	M	886
Hindmarsh (S)	Employed (part-time)	F	518
Hindmarsh (S)	Employed (part-time)	M	207
Hobsons Bay (C)		F	258
Hobsons Bay (C)		M	466
Hobsons Bay (C)	Employed (away from work)	F	449
Hobsons Bay (C)	Employed (away from work)	M	514
Hobsons Bay (C)	Employed (full-time)	F	6278
Hobsons Bay (C)	Employed (full-time)	M	17092
Hobsons Bay (C)	Employed (part-time)	F	6273
Hobsons Bay (C)	Employed (part-time)	M	3662
Horsham (RC)		F	78
Horsham (RC)		M	100
Horsham (RC)	Employed (away from work)	F	238
Horsham (RC)	Employed (away from work)	M	148
Horsham (RC)	Employed (full-time)	F	1820
Horsham (RC)	Employed (full-time)	M	3260
Horsham (RC)	Employed (part-time)	F	2333
Horsham (RC)	Employed (part-time)	M	889
Hume (C)		F	759
Hume (C)		M	1277
Hume (C)	Employed (away from work)	F	1473
Hume (C)	Employed (away from work)	M	1242
Hume (C)	Employed (full-time)	F	16667
Hume (C)	Employed (full-time)	M	41994
Hume (C)	Employed (part-time)	F	15838
Hume (C)	Employed (part-time)	M	10247
Indigo (S)		F	47
Indigo (S)		M	55
Indigo (S)	Employed (away from work)	F	127
Indigo (S)	Employed (away from work)	M	106
Indigo (S)	Employed (full-time)	F	925
Indigo (S)	Employed (full-time)	M	1752
Indigo (S)	Employed (part-time)	F	1236
Indigo (S)	Employed (part-time)	M	582
Kingston (C) (Vic.)		F	572
Kingston (C) (Vic.)		M	756
Kingston (C) (Vic.)	Employed (away from work)	F	1060
Kingston (C) (Vic.)	Employed (away from work)	M	829
Kingston (C) (Vic.)	Employed (full-time)	F	14785
Kingston (C) (Vic.)	Employed (full-time)	M	31922
Kingston (C) (Vic.)	Employed (part-time)	F	15369
Kingston (C) (Vic.)	Employed (part-time)	M	8542
Knox (C)		F	469
Knox (C)		M	613
Knox (C)	Employed (away from work)	F	1146
