LGA_NAME16	Sex	workers
Swan (C)	M	31100
Tammin (S)	F	67
Tammin (S)	M	106
Three Springs (S)	F	133
Three Springs (S)	M	149
Toodyay (S)	F	423
Toodyay (S)	M	432
Trayning (S)	F	65
Trayning (S)	M	90
Upper Gascoyne (S)	F	23
Upper Gascoyne (S)	M	49
Victoria Park (T)	F	13224
Victoria Park (T)	M	14770
Victoria Plains (S)	F	170
Victoria Plains (S)	M	303
Vincent (C)	F	10428
Vincent (C)	M	10226
Wagin (S)	F	317
Wagin (S)	M	364
Wandering (S)	F	61
Wandering (S)	M	99
Wanneroo (C)	F	20368
Wanneroo (C)	M	23635
Waroona (S)	F	670
Waroona (S)	M	1496
West Arthur (S)	F	163
West Arthur (S)	M	217
Westonia (S)	F	52
Westonia (S)	M	233
Wickepin (S)	F	122
Wickepin (S)	M	172
Williams (S)	F	178
Williams (S)	M	276
Wiluna (S)	F	213
Wiluna (S)	M	942
Wongan-Ballidu (S)	F	303
Wongan-Ballidu (S)	M	389
Woodanilling (S)	F	66
Woodanilling (S)	M	124
Wyalkatchem (S)	F	96
Wyalkatchem (S)	M	120
Wyndham-East Kimberley (S)	F	1718
Wyndham-East Kimberley (S)	M	1981
Yalgoo (S)	F	131
Yalgoo (S)	M	581
Yilgarn (S)	F	290
Yilgarn (S)	M	1013
York (S)	F	543
York (S)	M	486
No usual address (WA)	F	13312
No usual address (WA)	M	41065
Migratory - Offshore - Shipping (WA)	F	99
Migratory - Offshore - Shipping (WA)	M	1495
Break O'Day (M)	F	876
Break O'Day (M)	M	824
Brighton (M)	F	1219
Brighton (M)	M	1590
Burnie (C)	F	5406
Burnie (C)	M	4889
Central Coast (M) (Tas.)	F	2900
Central Coast (M) (Tas.)	M	2824
Central Highlands (M) (Tas.)	F	235
Central Highlands (M) (Tas.)	M	427
Circular Head (M)	F	1619
Circular Head (M)	M	2000
Clarence (C)	F	7584
Clarence (C)	M	7819
Derwent Valley (M)	F	1100
Derwent Valley (M)	M	1227
Devonport (C)	F	5782
Devonport (C)	M	5805
Dorset (M)	F	1070
Dorset (M)	M	1176
Flinders (M) (Tas.)	F	193
Flinders (M) (Tas.)	M	222
George Town (M)	F	829
George Town (M)	M	1641
Glamorgan/Spring Bay (M)	F	712
Glamorgan/Spring Bay (M)	M	751
Glenorchy (C)	F	7698
Glenorchy (C)	M	11013
Hobart (C)	F	28271
Hobart (C)	M	21914
Huon Valley (M)	F	1994
Huon Valley (M)	M	2260
Kentish (M)	F	619
Kentish (M)	M	741
King Island (M)	F	364
King Island (M)	M	401
Kingborough (M)	F	4069
Kingborough (M)	M	4394
Latrobe (M) (Tas.)	F	1804
Latrobe (M) (Tas.)	M	1547
Launceston (C)	F	18175
Launceston (C)	M	16102
Meander Valley (M)	F	2689
Meander Valley (M)	M	2813
Northern Midlands (M)	F	1740
Northern Midlands (M)	M	3021
Sorell (M)	F	1274
Sorell (M)	M	1246
Southern Midlands (M)	F	483
Southern Midlands (M)	M	608
Tasman (M)	F	365
Tasman (M)	M	346
Waratah/Wynyard (M)	F	1694
Waratah/Wynyard (M)	M	2113
West Coast (M)	F	724
West Coast (M)	M	1193
West Tamar (M)	F	1958
West Tamar (M)	M	1803
No usual address (Tas.)	F	2349
No usual address (Tas.)	M	6784
Migratory - Offshore - Shipping (Tas.)	F	4
Migratory - Offshore - Shipping (Tas.)	M	53
Alice Springs (T)	F	6219
Alice Springs (T)	M	5667
Barkly (R)	F	972
Barkly (R)	M	1122
Belyuen (S)	F	21
Belyuen (S)	M	9
Central Desert (R)	F	462
Central Desert (R)	M	912
Coomalie (S)	F	274
Coomalie (S)	M	302
Darwin (C)	F	23698
Darwin (C)	M	22281
East Arnhem (R)	F	994
East Arnhem (R)	M	1602
Katherine (T)	F	2018
Katherine (T)	M	2354
Litchfield (M)	F	3869
Litchfield (M)	M	11746
MacDonnell (R)	F	892
MacDonnell (R)	M	1239
Palmerston (C)	F	3898
Palmerston (C)	M	3521
Roper Gulf (R)	F	738
Roper Gulf (R)	M	1039
Tiwi Islands (R)	F	287
Tiwi Islands (R)	M	287
Victoria Daly (R)	F	345
Victoria Daly (R)	M	441
Wagait (S)	F	26
Wagait (S)	M	24
West Arnhem (R)	F	741
West Arnhem (R)	M	1042
West Daly (R)	F	274
West Daly (R)	M	276
Unincorporated NT	F	2300
Unincorporated NT	M	4099
No usual address (NT)	F	849
No usual address (NT)	M	2830
Migratory - Offshore - Shipping (NT)	F	8
Migratory - Offshore - Shipping (NT)	M	85
Unincorporated ACT	F	110801
Unincorporated ACT	M	109850
No usual address (ACT)	F	1683
No usual address (ACT)	M	5137
Unincorp. Other Territories	F	1145
Unincorp. Other Territories	M	1545
No usual address (OT)	F	32
No usual address (OT)	M	83
