LGA_NAME16	Age	workers
Banyule (C)	60-64	2846
Banyule (C)	65-69	1306
Banyule (C)	70-74	420
Banyule (C)	75+	198
Bass Coast (S)	15-19	656
Bass Coast (S)	20-24	715
Bass Coast (S)	25-29	796
Bass Coast (S)	30-34	869
Bass Coast (S)	35-39	878
Bass Coast (S)	40-44	1091
Bass Coast (S)	45-49	1214
Bass Coast (S)	50-54	1175
Bass Coast (S)	55-59	1230
Bass Coast (S)	60-64	890
Bass Coast (S)	65-69	427
Bass Coast (S)	70-74	182
Bass Coast (S)	75+	131
Baw Baw (S)	15-19	1111
Baw Baw (S)	20-24	1449
Baw Baw (S)	25-29	1357
Baw Baw (S)	30-34	1440
Baw Baw (S)	35-39	1360
Baw Baw (S)	40-44	1557
Baw Baw (S)	45-49	1790
Baw Baw (S)	50-54	1718
Baw Baw (S)	55-59	1636
Baw Baw (S)	60-64	1274
Baw Baw (S)	65-69	598
Baw Baw (S)	70-74	287
Baw Baw (S)	75+	216
Bayside (C)	15-19	1480
Bayside (C)	20-24	2907
Bayside (C)	25-29	2965
Bayside (C)	30-34	2944
Bayside (C)	35-39	2690
Bayside (C)	40-44	3079
Bayside (C)	45-49	3447
Bayside (C)	50-54	3337
Bayside (C)	55-59	2782
Bayside (C)	60-64	1977
Bayside (C)	65-69	1201
Bayside (C)	70-74	482
Bayside (C)	75+	243
Benalla (RC)	15-19	285
Benalla (RC)	20-24	369
Benalla (RC)	25-29	334
Benalla (RC)	30-34	371
Benalla (RC)	35-39	385
Benalla (RC)	40-44	468
Benalla (RC)	45-49	554
Benalla (RC)	50-54	667
Benalla (RC)	55-59	691
Benalla (RC)	60-64	509
Benalla (RC)	65-69	264
Benalla (RC)	70-74	95
Benalla (RC)	75+	80
Boroondara (C)	15-19	2826
Boroondara (C)	20-24	6865
Boroondara (C)	25-29	8593
Boroondara (C)	30-34	8645
Boroondara (C)	35-39	7472
Boroondara (C)	40-44	7711
Boroondara (C)	45-49	7799
Boroondara (C)	50-54	7039
Boroondara (C)	55-59	6153
Boroondara (C)	60-64	4269
Boroondara (C)	65-69	2468
Boroondara (C)	70-74	1019
Boroondara (C)	75+	507
Brimbank (C)	15-19	2940
Brimbank (C)	20-24	5979
Brimbank (C)	25-29	7704
Brimbank (C)	30-34	8206
Brimbank (C)	35-39	7578
Brimbank (C)	40-44	7805
Brimbank (C)	45-49	7773
Brimbank (C)	50-54	7014
Brimbank (C)	55-59	5983
Brimbank (C)	60-64	3593
Brimbank (C)	65-69	1373
Brimbank (C)	70-74	386
Brimbank (C)	75+	161
Buloke (S)	15-19	116
Buloke (S)	20-24	129
Buloke (S)	25-29	156
Buloke (S)	30-34	163
Buloke (S)	35-39	164
Buloke (S)	40-44	224
Buloke (S)	45-49	297
Buloke (S)	50-54	314
Buloke (S)	55-59	344
Buloke (S)	60-64	276
Buloke (S)	65-69	150
Buloke (S)	70-74	53
Buloke (S)	75+	60
Campaspe (S)	15-19	1039
Campaspe (S)	20-24	1202
Campaspe (S)	25-29	1235
Campaspe (S)	30-34	1250
Campaspe (S)	35-39	1217
Campaspe (S)	40-44	1629
Campaspe (S)	45-49	1756
Campaspe (S)	50-54	1875
Campaspe (S)	55-59	1812
Campaspe (S)	60-64	1292
Campaspe (S)	65-69	578
Campaspe (S)	70-74	228
Campaspe (S)	75+	181
Cardinia (S)	15-19	1980
Cardinia (S)	20-24	2382
Cardinia (S)	25-29	2371
Cardinia (S)	30-34	2441
Cardinia (S)	35-39	2266
Cardinia (S)	40-44	2433
Cardinia (S)	45-49	2564
Cardinia (S)	50-54	2270
Cardinia (S)	55-59	2010
Cardinia (S)	60-64	1338
Cardinia (S)	65-69	630
Cardinia (S)	70-74	272
Cardinia (S)	75+	186
Casey (C)	15-19	5155
Casey (C)	20-24	7114
Casey (C)	25-29	6881
Casey (C)	30-34	7261
Casey (C)	35-39	6777
Casey (C)	40-44	6954
Casey (C)	45-49	7290
Casey (C)	50-54	6274
Casey (C)	55-59	5096
Casey (C)	60-64	3371
Casey (C)	65-69	1376
Casey (C)	70-74	468
Casey (C)	75+	212
Central Goldfields (S)	15-19	275
Central Goldfields (S)	20-24	324
Central Goldfields (S)	25-29	312
Central Goldfields (S)	30-34	305
Central Goldfields (S)	35-39	310
Central Goldfields (S)	40-44	418
Central Goldfields (S)	45-49	499
Central Goldfields (S)	50-54	523
Central Goldfields (S)	55-59	490
Central Goldfields (S)	60-64	391
Central Goldfields (S)	65-69	165
Central Goldfields (S)	70-74	52
Central Goldfields (S)	75+	56
Colac-Otway (S)	15-19	610
Colac-Otway (S)	20-24	814
Colac-Otway (S)	25-29	855
Colac-Otway (S)	30-34	817
Colac-Otway (S)	35-39	805
Colac-Otway (S)	40-44	909
Colac-Otway (S)	45-49	996
Colac-Otway (S)	50-54	1080
Colac-Otway (S)	55-59	1008
Colac-Otway (S)	60-64	796
Colac-Otway (S)	65-69	401
Colac-Otway (S)	70-74	161
Colac-Otway (S)	75+	136
Corangamite (S)	15-19	432
Corangamite (S)	20-24	505
Corangamite (S)	25-29	517
Corangamite (S)	30-34	513
Corangamite (S)	35-39	585
Corangamite (S)	40-44	693
Corangamite (S)	45-49	811
Corangamite (S)	50-54	894
Corangamite (S)	55-59	835
Corangamite (S)	60-64	643
Corangamite (S)	65-69	327
Corangamite (S)	70-74	195
Corangamite (S)	75+	130
Darebin (C)	15-19	2085
Darebin (C)	20-24	4796
Darebin (C)	25-29	5668
Darebin (C)	30-34	5697
Darebin (C)	35-39	5148
Darebin (C)	40-44	5226
Darebin (C)	45-49	5430
Darebin (C)	50-54	4833
Darebin (C)	55-59	4271
Darebin (C)	60-64	2793
Darebin (C)	65-69	1153
Darebin (C)	70-74	372
Darebin (C)	75+	207
East Gippsland (S)	15-19	902
East Gippsland (S)	20-24	1097
East Gippsland (S)	25-29	1196
East Gippsland (S)	30-34	1241
East Gippsland (S)	35-39	1292
East Gippsland (S)	40-44	1480
East Gippsland (S)	45-49	1776
East Gippsland (S)	50-54	1899
East Gippsland (S)	55-59	1971
East Gippsland (S)	60-64	1526
East Gippsland (S)	65-69	756
East Gippsland (S)	70-74	303
East Gippsland (S)	75+	230
Frankston (C)	15-19	2894
Frankston (C)	20-24	4127
Frankston (C)	25-29	4364
Frankston (C)	30-34	4388
Frankston (C)	35-39	4278
Frankston (C)	40-44	4541
Frankston (C)	45-49	4933
Frankston (C)	50-54	4646
Frankston (C)	55-59	4093
Frankston (C)	60-64	2797
Frankston (C)	65-69	1256
Frankston (C)	70-74	385
Frankston (C)	75+	198
Gannawarra (S)	15-19	194
Gannawarra (S)	20-24	257
Gannawarra (S)	25-29	241
Gannawarra (S)	30-34	304
Gannawarra (S)	35-39	312
Gannawarra (S)	40-44	378
Gannawarra (S)	45-49	459
Gannawarra (S)	50-54	497
Gannawarra (S)	55-59	478
Gannawarra (S)	60-64	400
Gannawarra (S)	65-69	237
Gannawarra (S)	70-74	106
Gannawarra (S)	75+	79
Glen Eira (C)	15-19	1594
Glen Eira (C)	20-24	3525
Glen Eira (C)	25-29	4155
Glen Eira (C)	30-34	4285
Glen Eira (C)	35-39	3758
Glen Eira (C)	40-44	3992
Glen Eira (C)	45-49	4131
Glen Eira (C)	50-54	3714
Glen Eira (C)	55-59	3346
Glen Eira (C)	60-64	2521
Glen Eira (C)	65-69	1344
Glen Eira (C)	70-74	534
Glen Eira (C)	75+	276
Glenelg (S)	15-19	498
Glenelg (S)	20-24	524
Glenelg (S)	25-29	504
Glenelg (S)	30-34	555
Glenelg (S)	35-39	639
Glenelg (S)	40-44	828
Glenelg (S)	45-49	917
Glenelg (S)	50-54	1062
Glenelg (S)	55-59	942
Glenelg (S)	60-64	706
Glenelg (S)	65-69	338
Glenelg (S)	70-74	140
Glenelg (S)	75+	120
Golden Plains (S)	15-19	152
Golden Plains (S)	20-24	254
Golden Plains (S)	25-29	258
Golden Plains (S)	30-34	310
Golden Plains (S)	35-39	323
Golden Plains (S)	40-44	382
Golden Plains (S)	45-49	423
Golden Plains (S)	50-54	341
Golden Plains (S)	55-59	310
Golden Plains (S)	60-64	264
Golden Plains (S)	65-69	177
Golden Plains (S)	70-74	92
Golden Plains (S)	75+	58
Greater Bendigo (C)	15-19	2888
Greater Bendigo (C)	20-24	4618
Greater Bendigo (C)	25-29	4629
Greater Bendigo (C)	30-34	4585
Greater Bendigo (C)	35-39	4344
Greater Bendigo (C)	40-44	4709
Greater Bendigo (C)	45-49	4916
Greater Bendigo (C)	50-54	4921
Greater Bendigo (C)	55-59	4540
Greater Bendigo (C)	60-64	3068
Greater Bendigo (C)	65-69	1219
Greater Bendigo (C)	70-74	374
Greater Bendigo (C)	75+	241
Greater Dandenong (C)	15-19	2704
Greater Dandenong (C)	20-24	7766
Greater Dandenong (C)	25-29	10226
Greater Dandenong (C)	30-34	11195
Greater Dandenong (C)	35-39	10765
Greater Dandenong (C)	40-44	11718
Greater Dandenong (C)	45-49	11980
Greater Dandenong (C)	50-54	11393
Greater Dandenong (C)	55-59	9360
Greater Dandenong (C)	60-64	6102
Greater Dandenong (C)	65-69	2450
Greater Dandenong (C)	70-74	732
Greater Dandenong (C)	75+	297
Greater Geelong (C)	15-19	5782
Greater Geelong (C)	20-24	9410
Greater Geelong (C)	25-29	9820
Greater Geelong (C)	30-34	10004
Greater Geelong (C)	35-39	9624
Greater Geelong (C)	40-44	10698
Greater Geelong (C)	45-49	10548
Greater Geelong (C)	50-54	10187
Greater Geelong (C)	55-59	9201
Greater Geelong (C)	60-64	6135
Greater Geelong (C)	65-69	2436
Greater Geelong (C)	70-74	802
Greater Geelong (C)	75+	410
Greater Shepparton (C)	15-19	1792
Greater Shepparton (C)	20-24	2420
Greater Shepparton (C)	25-29	2735
Greater Shepparton (C)	30-34	2682
Greater Shepparton (C)	35-39	2577
Greater Shepparton (C)	40-44	2990
Greater Shepparton (C)	45-49	3207
Greater Shepparton (C)	50-54	3207
Greater Shepparton (C)	55-59	2905
Greater Shepparton (C)	60-64	2068
Greater Shepparton (C)	65-69	913
Greater Shepparton (C)	70-74	306
Greater Shepparton (C)	75+	230
Hepburn (S)	15-19	199
Hepburn (S)	20-24	342
Hepburn (S)	25-29	307
Hepburn (S)	30-34	339
Hepburn (S)	35-39	373
Hepburn (S)	40-44	518
Hepburn (S)	45-49	538
Hepburn (S)	50-54	580
Hepburn (S)	55-59	565
Hepburn (S)	60-64	468
Hepburn (S)	65-69	248
Hepburn (S)	70-74	101
Hepburn (S)	75+	68
Hindmarsh (S)	15-19	88
Hindmarsh (S)	20-24	161
Hindmarsh (S)	25-29	172
Hindmarsh (S)	30-34	165
Hindmarsh (S)	35-39	154
Hindmarsh (S)	40-44	200
Hindmarsh (S)	45-49	234
Hindmarsh (S)	50-54	278
Hindmarsh (S)	55-59	307
Hindmarsh (S)	60-64	210
Hindmarsh (S)	65-69	84
Hindmarsh (S)	70-74	67
Hindmarsh (S)	75+	50
Hobsons Bay (C)	15-19	1309
Hobsons Bay (C)	20-24	2684
Hobsons Bay (C)	25-29	3616
Hobsons Bay (C)	30-34	4081
Hobsons Bay (C)	35-39	3877
Hobsons Bay (C)	40-44	4196
Hobsons Bay (C)	45-49	4351
Hobsons Bay (C)	50-54	4054
Hobsons Bay (C)	55-59	3427
Hobsons Bay (C)	60-64	2242
Hobsons Bay (C)	65-69	785
Hobsons Bay (C)	70-74	263
Hobsons Bay (C)	75+	99
Horsham (RC)	15-19	606
Horsham (RC)	20-24	785
Horsham (RC)	25-29	858
Horsham (RC)	30-34	792
Horsham (RC)	35-39	749
Horsham (RC)	40-44	901
Horsham (RC)	45-49	924
Horsham (RC)	50-54	1017
Horsham (RC)	55-59	1026
Horsham (RC)	60-64	665
Horsham (RC)	65-69	315
Horsham (RC)	70-74	119
Horsham (RC)	75+	100
Hume (C)	15-19	3640
Hume (C)	20-24	8196
Hume (C)	25-29	10299
Hume (C)	30-34	11103
Hume (C)	35-39	10253
Hume (C)	40-44	10576
Hume (C)	45-49	10809
Hume (C)	50-54	9876
Hume (C)	55-59	7685
Hume (C)	60-64	4738
Hume (C)	65-69	1661
Hume (C)	70-74	459
Hume (C)	75+	208
Indigo (S)	15-19	273
Indigo (S)	20-24	275
Indigo (S)	25-29	280
Indigo (S)	30-34	333
Indigo (S)	35-39	366
Indigo (S)	40-44	505
Indigo (S)	45-49	576
Indigo (S)	50-54	623
Indigo (S)	55-59	608
Indigo (S)	60-64	535
Indigo (S)	65-69	259
Indigo (S)	70-74	119
Indigo (S)	75+	72
Kingston (C) (Vic.)	15-19	3698
Kingston (C) (Vic.)	20-24	6974
Kingston (C) (Vic.)	25-29	7514
Kingston (C) (Vic.)	30-34	8185
Kingston (C) (Vic.)	35-39	7677
Kingston (C) (Vic.)	40-44	8259
Kingston (C) (Vic.)	45-49	8869
Kingston (C) (Vic.)	50-54	7979
Kingston (C) (Vic.)	55-59	6771
Kingston (C) (Vic.)	60-64	4614
Kingston (C) (Vic.)	65-69	2194
Kingston (C) (Vic.)	70-74	732
Kingston (C) (Vic.)	75+	367
Knox (C)	15-19	3750
Knox (C)	20-24	6018
Knox (C)	25-29	6443
Knox (C)	30-34	6479
Knox (C)	35-39	6424
Knox (C)	40-44	7057
Knox (C)	45-49	7629
Knox (C)	50-54	7223
Knox (C)	55-59	6252
Knox (C)	60-64	4264
Knox (C)	65-69	1866
Knox (C)	70-74	536
Knox (C)	75+	273
Latrobe (C) (Vic.)	15-19	1780
Latrobe (C) (Vic.)	20-24	2810
Latrobe (C) (Vic.)	25-29	3042
Latrobe (C) (Vic.)	30-34	3093
Latrobe (C) (Vic.)	35-39	2940
Latrobe (C) (Vic.)	40-44	3170
Latrobe (C) (Vic.)	45-49	3372
Latrobe (C) (Vic.)	50-54	3571
Latrobe (C) (Vic.)	55-59	3329
Latrobe (C) (Vic.)	60-64	2190
Latrobe (C) (Vic.)	65-69	867
Latrobe (C) (Vic.)	70-74	270
Latrobe (C) (Vic.)	75+	171
Loddon (S)	15-19	109
Loddon (S)	20-24	132
Loddon (S)	25-29	157
Loddon (S)	30-34	163
Loddon (S)	35-39	221
Loddon (S)	40-44	242
Loddon (S)	45-49	303
Loddon (S)	50-54	313
Loddon (S)	55-59	376
Loddon (S)	60-64	297
Loddon (S)	65-69	164
Loddon (S)	70-74	86
Loddon (S)	75+	75
Macedon Ranges (S)	15-19	947
Macedon Ranges (S)	20-24	1160
Macedon Ranges (S)	25-29	985
Macedon Ranges (S)	30-34	979
Macedon Ranges (S)	35-39	1092
Macedon Ranges (S)	40-44	1347
Macedon Ranges (S)	45-49	1567
Macedon Ranges (S)	50-54	1461
Macedon Ranges (S)	55-59	1284
Macedon Ranges (S)	60-64	934
Macedon Ranges (S)	65-69	542
Macedon Ranges (S)	70-74	241
Macedon Ranges (S)	75+	115
Manningham (C)	15-19	2099
Manningham (C)	20-24	3586
Manningham (C)	25-29	3141
Manningham (C)	30-34	2693
Manningham (C)	35-39	2417
Manningham (C)	40-44	2729
Manningham (C)	45-49	3089
Manningham (C)	50-54	3073
Manningham (C)	55-59	2594
Manningham (C)	60-64	1799
Manningham (C)	65-69	980
Manningham (C)	70-74	451
Manningham (C)	75+	271
Mansfield (S)	15-19	197
Mansfield (S)	20-24	204
Mansfield (S)	25-29	197
Mansfield (S)	30-34	237
Mansfield (S)	35-39	283
Mansfield (S)	40-44	322
Mansfield (S)	45-49	352
Mansfield (S)	50-54	382
Mansfield (S)	55-59	414
Mansfield (S)	60-64	328
Mansfield (S)	65-69	188
Mansfield (S)	70-74	78
Mansfield (S)	75+	45
Maribyrnong (C)	15-19	1746
Maribyrnong (C)	20-24	4197
Maribyrnong (C)	25-29	4630
Maribyrnong (C)	30-34	4522
Maribyrnong (C)	35-39	4131
Maribyrnong (C)	40-44	4121
Maribyrnong (C)	45-49	4000
Maribyrnong (C)	50-54	3627
Maribyrnong (C)	55-59	3132
Maribyrnong (C)	60-64	2027
Maribyrnong (C)	65-69	794
Maribyrnong (C)	70-74	244
Maribyrnong (C)	75+	94
Maroondah (C)	15-19	2890
Maroondah (C)	20-24	4584
Maroondah (C)	25-29	4199
Maroondah (C)	30-34	4120
Maroondah (C)	35-39	3901
Maroondah (C)	40-44	4416
Maroondah (C)	45-49	4712
Maroondah (C)	50-54	4728
Maroondah (C)	55-59	4009
Maroondah (C)	60-64	2766
Maroondah (C)	65-69	1274
Maroondah (C)	70-74	465
Maroondah (C)	75+	184
Melbourne (C)	15-19	6624
Melbourne (C)	20-24	37777
Melbourne (C)	25-29	66265
Melbourne (C)	30-34	74377
Melbourne (C)	35-39	63718
Melbourne (C)	40-44	52573
Melbourne (C)	45-49	45033
Melbourne (C)	50-54	35934
Melbourne (C)	55-59	27530
Melbourne (C)	60-64	16466
Melbourne (C)	65-69	7101
Melbourne (C)	70-74	2268
Melbourne (C)	75+	1084
Melton (C)	15-19	1918
Melton (C)	20-24	2595
Melton (C)	25-29	2838
Melton (C)	30-34	3026
Melton (C)	35-39	2988
Melton (C)	40-44	2901
Melton (C)	45-49	2646
Melton (C)	50-54	2241
Melton (C)	55-59	1696
Melton (C)	60-64	1213
Melton (C)	65-69	448
Melton (C)	70-74	123
Melton (C)	75+	46
Mildura (RC)	15-19	1442
Mildura (RC)	20-24	1897
Mildura (RC)	25-29	2163
Mildura (RC)	30-34	1958
Mildura (RC)	35-39	1934
Mildura (RC)	40-44	2217
Mildura (RC)	45-49	2454
Mildura (RC)	50-54	2315
Mildura (RC)	55-59	2255
Mildura (RC)	60-64	1609
Mildura (RC)	65-69	695
Mildura (RC)	70-74	259
Mildura (RC)	75+	156
Mitchell (S)	15-19	889
Mitchell (S)	20-24	1058
Mitchell (S)	25-29	993
Mitchell (S)	30-34	1019
Mitchell (S)	35-39	960
Mitchell (S)	40-44	1104
Mitchell (S)	45-49	1212
Mitchell (S)	50-54	1174
Mitchell (S)	55-59	1108
Mitchell (S)	60-64	767
Mitchell (S)	65-69	367
Mitchell (S)	70-74	129
Mitchell (S)	75+	70
Moira (S)	15-19	754
Moira (S)	20-24	815
Moira (S)	25-29	873
Moira (S)	30-34	896
Moira (S)	35-39	942
Moira (S)	40-44	1064
Moira (S)	45-49	1191
Moira (S)	50-54	1212
Moira (S)	55-59	1162
Moira (S)	60-64	892
Moira (S)	65-69	452
Moira (S)	70-74	154
Moira (S)	75+	131
Monash (C)	15-19	3206
Monash (C)	20-24	8901
Monash (C)	25-29	12216
Monash (C)	30-34	13307
Monash (C)	35-39	12396
Monash (C)	40-44	12499
Monash (C)	45-49	12580
Monash (C)	50-54	11168
Monash (C)	55-59	9229
Monash (C)	60-64	6252
Monash (C)	65-69	2719
Monash (C)	70-74	880
Monash (C)	75+	439
Moonee Valley (C)	15-19	2200
Moonee Valley (C)	20-24	3925
Moonee Valley (C)	25-29	4152
Moonee Valley (C)	30-34	4142
Moonee Valley (C)	35-39	3852
Moonee Valley (C)	40-44	3833
Moonee Valley (C)	45-49	3927
Moonee Valley (C)	50-54	3619
Moonee Valley (C)	55-59	2991
Moonee Valley (C)	60-64	2061
Moonee Valley (C)	65-69	868
Moonee Valley (C)	70-74	294
Moonee Valley (C)	75+	167
Moorabool (S)	15-19	590
Moorabool (S)	20-24	696
Moorabool (S)	25-29	648
Moorabool (S)	30-34	682
Moorabool (S)	35-39	721
Moorabool (S)	40-44	779
Moorabool (S)	45-49	859
Moorabool (S)	50-54	843
Moorabool (S)	55-59	719
Moorabool (S)	60-64	517
Moorabool (S)	65-69	255
Moorabool (S)	70-74	121
Moorabool (S)	75+	69
Moreland (C)	15-19	1343
Moreland (C)	20-24	3737
Moreland (C)	25-29	5064
Moreland (C)	30-34	4965
Moreland (C)	35-39	4295
Moreland (C)	40-44	4244
Moreland (C)	45-49	4221
Moreland (C)	50-54	3947
Moreland (C)	55-59	3295
Moreland (C)	60-64	2183
Moreland (C)	65-69	1003
Moreland (C)	70-74	341
Moreland (C)	75+	182
Mornington Peninsula (S)	15-19	3905
Mornington Peninsula (S)	20-24	4996
Mornington Peninsula (S)	25-29	4249
Mornington Peninsula (S)	30-34	4156
Mornington Peninsula (S)	35-39	4265
Mornington Peninsula (S)	40-44	5369
Mornington Peninsula (S)	45-49	5831
Mornington Peninsula (S)	50-54	5359
Mornington Peninsula (S)	55-59	4835
Mornington Peninsula (S)	60-64	3474
Mornington Peninsula (S)	65-69	1903
Mornington Peninsula (S)	70-74	768
Mornington Peninsula (S)	75+	379
Mount Alexander (S)	15-19	361
Mount Alexander (S)	20-24	585
Mount Alexander (S)	25-29	529
Mount Alexander (S)	30-34	509
Mount Alexander (S)	35-39	578
Mount Alexander (S)	40-44	680
Mount Alexander (S)	45-49	815
Mount Alexander (S)	50-54	852
Mount Alexander (S)	55-59	844
Mount Alexander (S)	60-64	686
Mount Alexander (S)	65-69	278
Mount Alexander (S)	70-74	107
Mount Alexander (S)	75+	99
Moyne (S)	15-19	275
Moyne (S)	20-24	418
Moyne (S)	25-29	470
Moyne (S)	30-34	506
Moyne (S)	35-39	528
Moyne (S)	40-44	638
Moyne (S)	45-49	709
Moyne (S)	50-54	783
Moyne (S)	55-59	718
Moyne (S)	60-64	562
Moyne (S)	65-69	304
Moyne (S)	70-74	145
Moyne (S)	75+	145
Murrindindi (S)	15-19	222
Murrindindi (S)	20-24	268
Murrindindi (S)	25-29	262
Murrindindi (S)	30-34	295
Murrindindi (S)	35-39	325
Murrindindi (S)	40-44	422
Murrindindi (S)	45-49	482
Murrindindi (S)	50-54	501
Murrindindi (S)	55-59	515
Murrindindi (S)	60-64	383
Murrindindi (S)	65-69	230
Murrindindi (S)	70-74	122
Murrindindi (S)	75+	102
Nillumbik (S)	15-19	1204
Nillumbik (S)	20-24	1365
Nillumbik (S)	25-29	1081
Nillumbik (S)	30-34	1041
Nillumbik (S)	35-39	1106
Nillumbik (S)	40-44	1407
Nillumbik (S)	45-49	1497
Nillumbik (S)	50-54	1426
Nillumbik (S)	55-59	1371
Nillumbik (S)	60-64	984
Nillumbik (S)	65-69	527
Nillumbik (S)	70-74	216
Nillumbik (S)	75+	78
Northern Grampians (S)	15-19	285
Northern Grampians (S)	20-24	392
Northern Grampians (S)	25-29	430
Northern Grampians (S)	30-34	348
Northern Grampians (S)	35-39	364
Northern Grampians (S)	40-44	440
Northern Grampians (S)	45-49	536
Northern Grampians (S)	50-54	566
Northern Grampians (S)	55-59	568
Northern Grampians (S)	60-64	447
Northern Grampians (S)	65-69	218
Northern Grampians (S)	70-74	104
Northern Grampians (S)	75+	62
Port Phillip (C)	15-19	1429
Port Phillip (C)	20-24	6869
Port Phillip (C)	25-29	12046
Port Phillip (C)	30-34	12619
Port Phillip (C)	35-39	10062
Port Phillip (C)	40-44	8642
Port Phillip (C)	45-49	7643
Port Phillip (C)	50-54	6144
Port Phillip (C)	55-59	4812
Port Phillip (C)	60-64	3202
Port Phillip (C)	65-69	1631
Port Phillip (C)	70-74	555
Port Phillip (C)	75+	280
Pyrenees (S)	15-19	94
Pyrenees (S)	20-24	117
Pyrenees (S)	25-29	127
Pyrenees (S)	30-34	122
Pyrenees (S)	35-39	156
Pyrenees (S)	40-44	216
Pyrenees (S)	45-49	235
Pyrenees (S)	50-54	244
Pyrenees (S)	55-59	261
Pyrenees (S)	60-64	204
Pyrenees (S)	65-69	128
Pyrenees (S)	70-74	55
Pyrenees (S)	75+	38
Queenscliffe (B)	15-19	90
Queenscliffe (B)	20-24	92
Queenscliffe (B)	25-29	68
Queenscliffe (B)	30-34	72
Queenscliffe (B)	35-39	106
Queenscliffe (B)	40-44	133
Queenscliffe (B)	45-49	148
Queenscliffe (B)	50-54	160
Queenscliffe (B)	55-59	172
Queenscliffe (B)	60-64	131
Queenscliffe (B)	65-69	69
Queenscliffe (B)	70-74	25
Queenscliffe (B)	75+	17
South Gippsland (S)	15-19	653
South Gippsland (S)	20-24	693
South Gippsland (S)	25-29	752
South Gippsland (S)	30-34	830
South Gippsland (S)	35-39	831
South Gippsland (S)	40-44	1053
South Gippsland (S)	45-49	1231
South Gippsland (S)	50-54	1324
South Gippsland (S)	55-59	1283
South Gippsland (S)	60-64	1023
South Gippsland (S)	65-69	567
South Gippsland (S)	70-74	238
South Gippsland (S)	75+	187
Southern Grampians (S)	15-19	419
Southern Grampians (S)	20-24	500
Southern Grampians (S)	25-29	527
Southern Grampians (S)	30-34	569
Southern Grampians (S)	35-39	588
Southern Grampians (S)	40-44	695
Southern Grampians (S)	45-49	813
Southern Grampians (S)	50-54	873
Southern Grampians (S)	55-59	857
Southern Grampians (S)	60-64	715
Southern Grampians (S)	65-69	346
Southern Grampians (S)	70-74	155
Southern Grampians (S)	75+	110
Stonnington (C)	15-19	2300
Stonnington (C)	20-24	7541
Stonnington (C)	25-29	8346
Stonnington (C)	30-34	7414
Stonnington (C)	35-39	5422
Stonnington (C)	40-44	5168
Stonnington (C)	45-49	5133
Stonnington (C)	50-54	4521
Stonnington (C)	55-59	3767
Stonnington (C)	60-64	2715
Stonnington (C)	65-69	1576
Stonnington (C)	70-74	670
Stonnington (C)	75+	393
Strathbogie (S)	15-19	182
Strathbogie (S)	20-24	224
Strathbogie (S)	25-29	264
Strathbogie (S)	30-34	262
Strathbogie (S)	35-39	251
Strathbogie (S)	40-44	286
Strathbogie (S)	45-49	330
Strathbogie (S)	50-54	417
Strathbogie (S)	55-59	423
Strathbogie (S)	60-64	413
Strathbogie (S)	65-69	248
Strathbogie (S)	70-74	110
Strathbogie (S)	75+	102
Surf Coast (S)	15-19	634
Surf Coast (S)	20-24	845
Surf Coast (S)	25-29	769
Surf Coast (S)	30-34	868
Surf Coast (S)	35-39	838
Surf Coast (S)	40-44	953
Surf Coast (S)	45-49	912
Surf Coast (S)	50-54	896
Surf Coast (S)	55-59	821
Surf Coast (S)	60-64	587
Surf Coast (S)	65-69	353
Surf Coast (S)	70-74	143
Surf Coast (S)	75+	67
Swan Hill (RC)	15-19	542
Swan Hill (RC)	20-24	815
Swan Hill (RC)	25-29	858
Swan Hill (RC)	30-34	812
Swan Hill (RC)	35-39	812
Swan Hill (RC)	40-44	798
Swan Hill (RC)	45-49	931
Swan Hill (RC)	50-54	1017
Swan Hill (RC)	55-59	980
Swan Hill (RC)	60-64	728
Swan Hill (RC)	65-69	311
Swan Hill (RC)	70-74	114
Swan Hill (RC)	75+	86
Towong (S)	15-19	107
Towong (S)	20-24	112
Towong (S)	25-29	113
Towong (S)	30-34	131
Towong (S)	35-39	123
Towong (S)	40-44	171
Towong (S)	45-49	195
Towong (S)	50-54	241
Towong (S)	55-59	280
Towong (S)	60-64	230
Towong (S)	65-69	164
Towong (S)	70-74	87
Towong (S)	75+	73
Wangaratta (RC)	15-19	783
Wangaratta (RC)	20-24	903
Wangaratta (RC)	25-29	919
Wangaratta (RC)	30-34	1048
Wangaratta (RC)	35-39	1112
Wangaratta (RC)	40-44	1270
Wangaratta (RC)	45-49	1398
Wangaratta (RC)	50-54	1513
Wangaratta (RC)	55-59	1468
Wangaratta (RC)	60-64	1064
Wangaratta (RC)	65-69	480
Wangaratta (RC)	70-74	179
Wangaratta (RC)	75+	159
Warrnambool (C)	15-19	1284
Warrnambool (C)	20-24	1574
Warrnambool (C)	25-29	1606
Warrnambool (C)	30-34	1385
Warrnambool (C)	35-39	1469
Warrnambool (C)	40-44	1614
Warrnambool (C)	45-49	1807
Warrnambool (C)	50-54	1751
Warrnambool (C)	55-59	1593
Warrnambool (C)	60-64	1068
Warrnambool (C)	65-69	411
Warrnambool (C)	70-74	109
Warrnambool (C)	75+	72
Wellington (S)	15-19	982
Wellington (S)	20-24	1360
Wellington (S)	25-29	1551
Wellington (S)	30-34	1694
Wellington (S)	35-39	1573
Wellington (S)	40-44	1657
Wellington (S)	45-49	1820
Wellington (S)	50-54	1927
Wellington (S)	55-59	1940
