LGA_NAME16	LabourForceStatus	workers
Mornington Peninsula (S)		964
Mornington Peninsula (S)	Employed (away from work)	1733
Mornington Peninsula (S)	Employed (full-time)	25361
Mornington Peninsula (S)	Employed (part-time)	21417
Mount Alexander (S)		122
Mount Alexander (S)	Employed (away from work)	277
Mount Alexander (S)	Employed (full-time)	3722
Mount Alexander (S)	Employed (part-time)	2789
Moyne (S)		155
Moyne (S)	Employed (away from work)	277
Moyne (S)	Employed (full-time)	3923
Moyne (S)	Employed (part-time)	1839
Murrindindi (S)		90
Murrindindi (S)	Employed (away from work)	196
Murrindindi (S)	Employed (full-time)	2179
Murrindindi (S)	Employed (part-time)	1652
Nillumbik (S)		240
Nillumbik (S)	Employed (away from work)	390
Nillumbik (S)	Employed (full-time)	6247
Nillumbik (S)	Employed (part-time)	6438
Northern Grampians (S)		109
Northern Grampians (S)	Employed (away from work)	228
Northern Grampians (S)	Employed (full-time)	2694
Northern Grampians (S)	Employed (part-time)	1724
Port Phillip (C)		1278
Port Phillip (C)	Employed (away from work)	1982
Port Phillip (C)	Employed (full-time)	53284
Port Phillip (C)	Employed (part-time)	19391
Pyrenees (S)		55
Pyrenees (S)	Employed (away from work)	97
Pyrenees (S)	Employed (full-time)	1156
Pyrenees (S)	Employed (part-time)	695
Queenscliffe (B)		27
Queenscliffe (B)	Employed (away from work)	80
Queenscliffe (B)	Employed (full-time)	575
Queenscliffe (B)	Employed (part-time)	606
South Gippsland (S)		253
South Gippsland (S)	Employed (away from work)	472
South Gippsland (S)	Employed (full-time)	5772
South Gippsland (S)	Employed (part-time)	4171
Southern Grampians (S)		142
Southern Grampians (S)	Employed (away from work)	316
Southern Grampians (S)	Employed (full-time)	4062
Southern Grampians (S)	Employed (part-time)	2644
Stonnington (C)		947
Stonnington (C)	Employed (away from work)	1497
Stonnington (C)	Employed (full-time)	30501
Stonnington (C)	Employed (part-time)	22016
Strathbogie (S)		95
Strathbogie (S)	Employed (away from work)	145
Strathbogie (S)	Employed (full-time)	1967
Strathbogie (S)	Employed (part-time)	1308
Surf Coast (S)		156
Surf Coast (S)	Employed (away from work)	333
Surf Coast (S)	Employed (full-time)	4169
Surf Coast (S)	Employed (part-time)	4027
Swan Hill (RC)		254
Swan Hill (RC)	Employed (away from work)	376
Swan Hill (RC)	Employed (full-time)	5382
Swan Hill (RC)	Employed (part-time)	2791
Towong (S)		55
Towong (S)	Employed (away from work)	95
Towong (S)	Employed (full-time)	1121
Towong (S)	Employed (part-time)	745
Wangaratta (RC)		241
Wangaratta (RC)	Employed (away from work)	570
Wangaratta (RC)	Employed (full-time)	6894
Wangaratta (RC)	Employed (part-time)	4613
Warrnambool (C)		285
Warrnambool (C)	Employed (away from work)	687
Warrnambool (C)	Employed (full-time)	8392
Warrnambool (C)	Employed (part-time)	6381
Wellington (S)		368
Wellington (S)	Employed (away from work)	748
Wellington (S)	Employed (full-time)	10148
Wellington (S)	Employed (part-time)	5802
West Wimmera (S)		36
West Wimmera (S)	Employed (away from work)	73
West Wimmera (S)	Employed (full-time)	1044
West Wimmera (S)	Employed (part-time)	527
Whitehorse (C)		1149
Whitehorse (C)	Employed (away from work)	2130
Whitehorse (C)	Employed (full-time)	39564
Whitehorse (C)	Employed (part-time)	26344
Whittlesea (C)		1163
Whittlesea (C)	Employed (away from work)	1612
Whittlesea (C)	Employed (full-time)	30978
Whittlesea (C)	Employed (part-time)	19391
Wodonga (C)		335
Wodonga (C)	Employed (away from work)	720
Wodonga (C)	Employed (full-time)	12057
Wodonga (C)	Employed (part-time)	5693
Wyndham (C)		1377
Wyndham (C)	Employed (away from work)	1733
Wyndham (C)	Employed (full-time)	38737
Wyndham (C)	Employed (part-time)	20054
Yarra (C)		1345
Yarra (C)	Employed (away from work)	2302
Yarra (C)	Employed (full-time)	53494
Yarra (C)	Employed (part-time)	23960
Yarra Ranges (S)		730
Yarra Ranges (S)	Employed (away from work)	1448
Yarra Ranges (S)	Employed (full-time)	20330
Yarra Ranges (S)	Employed (part-time)	17031
Yarriambiack (S)		66
Yarriambiack (S)	Employed (away from work)	102
Yarriambiack (S)	Employed (full-time)	1491
Yarriambiack (S)	Employed (part-time)	900
Unincorporated Vic		47
Unincorporated Vic	Employed (away from work)	37
Unincorporated Vic	Employed (full-time)	1537
Unincorporated Vic	Employed (part-time)	565
No usual address (Vic.)		3122
No usual address (Vic.)	Employed (away from work)	5166
No usual address (Vic.)	Employed (full-time)	68402
No usual address (Vic.)	Employed (part-time)	42343
Migratory - Offshore - Shipping (Vic.)		9
Migratory - Offshore - Shipping (Vic.)	Employed (away from work)	22
Migratory - Offshore - Shipping (Vic.)	Employed (full-time)	107
Migratory - Offshore - Shipping (Vic.)	Employed (part-time)	24
Aurukun (S)		7
Aurukun (S)	Employed (away from work)	11
Aurukun (S)	Employed (full-time)	202
Aurukun (S)	Employed (part-time)	64
Balonne (S)		48
Balonne (S)	Employed (away from work)	70
Balonne (S)	Employed (full-time)	1385
Balonne (S)	Employed (part-time)	603
Banana (S)		200
Banana (S)	Employed (away from work)	346
Banana (S)	Employed (full-time)	5791
Banana (S)	Employed (part-time)	1813
Barcaldine (R)		43
Barcaldine (R)	Employed (away from work)	47
Barcaldine (R)	Employed (full-time)	1049
Barcaldine (R)	Employed (part-time)	314
Barcoo (S)		3
Barcoo (S)	Employed (away from work)	6
Barcoo (S)	Employed (full-time)	181
Barcoo (S)	Employed (part-time)	19
Blackall-Tambo (R)		15
Blackall-Tambo (R)	Employed (away from work)	38
Blackall-Tambo (R)	Employed (full-time)	572
Blackall-Tambo (R)	Employed (part-time)	224
Boulia (S)		9
Boulia (S)	Employed (away from work)	6
Boulia (S)	Employed (full-time)	200
Boulia (S)	Employed (part-time)	35
Brisbane (C)		10961
Brisbane (C)	Employed (away from work)	23052
Brisbane (C)	Employed (full-time)	473389
Brisbane (C)	Employed (part-time)	206811
Bulloo (S)		9
Bulloo (S)	Employed (away from work)	16
Bulloo (S)	Employed (full-time)	235
Bulloo (S)	Employed (part-time)	24
Bundaberg (R)		651
Bundaberg (R)	Employed (away from work)	998
Bundaberg (R)	Employed (full-time)	18255
Bundaberg (R)	Employed (part-time)	11442
Burdekin (S)		180
Burdekin (S)	Employed (away from work)	235
Burdekin (S)	Employed (full-time)	4767
Burdekin (S)	Employed (part-time)	2207
Burke (S)		12
Burke (S)	Employed (away from work)	10
Burke (S)	Employed (full-time)	111
Burke (S)	Employed (part-time)	17
Cairns (R)		1215
Cairns (R)	Employed (away from work)	2257
Cairns (R)	Employed (full-time)	41919
Cairns (R)	Employed (part-time)	22070
Carpentaria (S)		35
Carpentaria (S)	Employed (away from work)	29
Carpentaria (S)	Employed (full-time)	651
Carpentaria (S)	Employed (part-time)	155
Cassowary Coast (R)		299
Cassowary Coast (R)	Employed (away from work)	384
Cassowary Coast (R)	Employed (full-time)	6936
Cassowary Coast (R)	Employed (part-time)	3897
Central Highlands (R) (Qld)		342
Central Highlands (R) (Qld)	Employed (away from work)	776
Central Highlands (R) (Qld)	Employed (full-time)	11501
Central Highlands (R) (Qld)	Employed (part-time)	3475
Charters Towers (R)		111
Charters Towers (R)	Employed (away from work)	180
Charters Towers (R)	Employed (full-time)	2706
Charters Towers (R)	Employed (part-time)	1270
Cherbourg (S)		11
Cherbourg (S)	Employed (away from work)	12
Cherbourg (S)	Employed (full-time)	189
Cherbourg (S)	Employed (part-time)	85
Cloncurry (S)		67
Cloncurry (S)	Employed (away from work)	161
Cloncurry (S)	Employed (full-time)	2507
Cloncurry (S)	Employed (part-time)	297
Cook (S)		71
Cook (S)	Employed (away from work)	128
Cook (S)	Employed (full-time)	2143
Cook (S)	Employed (part-time)	530
Croydon (S)		6
Croydon (S)	Employed (away from work)	3
Croydon (S)	Employed (full-time)	70
Croydon (S)	Employed (part-time)	35
Diamantina (S)		4
Diamantina (S)	Employed (away from work)	7
Diamantina (S)	Employed (full-time)	146
Diamantina (S)	Employed (part-time)	27
Doomadgee (S)		12
Doomadgee (S)	Employed (away from work)	14
Doomadgee (S)	Employed (full-time)	170
Doomadgee (S)	Employed (part-time)	131
Douglas (S)		132
Douglas (S)	Employed (away from work)	167
Douglas (S)	Employed (full-time)	3411
Douglas (S)	Employed (part-time)	1871
Etheridge (S)		11
Etheridge (S)	Employed (away from work)	16
Etheridge (S)	Employed (full-time)	279
Etheridge (S)	Employed (part-time)	69
Flinders (S) (Qld)		37
Flinders (S) (Qld)	Employed (away from work)	29
Flinders (S) (Qld)	Employed (full-time)	576
Flinders (S) (Qld)	Employed (part-time)	168
Fraser Coast (R)		577
Fraser Coast (R)	Employed (away from work)	1049
Fraser Coast (R)	Employed (full-time)	16100
Fraser Coast (R)	Employed (part-time)	11418
Gladstone (R)		457
Gladstone (R)	Employed (away from work)	1066
Gladstone (R)	Employed (full-time)	17610
Gladstone (R)	Employed (part-time)	7462
Gold Coast (C)		4216
Gold Coast (C)	Employed (away from work)	6539
Gold Coast (C)	Employed (full-time)	139135
Gold Coast (C)	Employed (part-time)	85644
Goondiwindi (R)		101
Goondiwindi (R)	Employed (away from work)	172
Goondiwindi (R)	Employed (full-time)	3154
Goondiwindi (R)	Employed (part-time)	1340
Gympie (R)		328
Gympie (R)	Employed (away from work)	607
Gympie (R)	Employed (full-time)	8651
Gympie (R)	Employed (part-time)	6113
Hinchinbrook (S)		110
Hinchinbrook (S)	Employed (away from work)	141
Hinchinbrook (S)	Employed (full-time)	2635
Hinchinbrook (S)	Employed (part-time)	1424
Hope Vale (S)		3
Hope Vale (S)	Employed (away from work)	15
Hope Vale (S)	Employed (full-time)	221
Hope Vale (S)	Employed (part-time)	81
Ipswich (C)		1143
Ipswich (C)	Employed (away from work)	2073
Ipswich (C)	Employed (full-time)	38440
Ipswich (C)	Employed (part-time)	20654
Isaac (R)		434
Isaac (R)	Employed (away from work)	1218
Isaac (R)	Employed (full-time)	15730
Isaac (R)	Employed (part-time)	2651
Kowanyama (S)		10
Kowanyama (S)	Employed (away from work)	3
Kowanyama (S)	Employed (full-time)	166
Kowanyama (S)	Employed (part-time)	81
Livingstone (S)		190
Livingstone (S)	Employed (away from work)	304
Livingstone (S)	Employed (full-time)	5062
Livingstone (S)	Employed (part-time)	3330
Lockhart River (S)		22
Lockhart River (S)	Employed (away from work)	4
Lockhart River (S)	Employed (full-time)	105
Lockhart River (S)	Employed (part-time)	63
Lockyer Valley (R)		274
Lockyer Valley (R)	Employed (away from work)	381
Lockyer Valley (R)	Employed (full-time)	6509
Lockyer Valley (R)	Employed (part-time)	4042
Logan (C)		1801
Logan (C)	Employed (away from work)	2712
Logan (C)	Employed (full-time)	53933
Logan (C)	Employed (part-time)	30647
Longreach (R)		50
Longreach (R)	Employed (away from work)	102
Longreach (R)	Employed (full-time)	1347
Longreach (R)	Employed (part-time)	419
Mackay (R)		906
Mackay (R)	Employed (away from work)	1638
Mackay (R)	Employed (full-time)	28902
Mackay (R)	Employed (part-time)	14261
McKinlay (S)		38
McKinlay (S)	Employed (away from work)	70
McKinlay (S)	Employed (full-time)	1039
McKinlay (S)	Employed (part-time)	76
Mapoon (S)	Employed (away from work)	3
Mapoon (S)	Employed (full-time)	64
Mapoon (S)	Employed (part-time)	10
Maranoa (R)		147
Maranoa (R)	Employed (away from work)	366
Maranoa (R)	Employed (full-time)	5009
Maranoa (R)	Employed (part-time)	1521
Mareeba (S)		183
Mareeba (S)	Employed (away from work)	263
Mareeba (S)	Employed (full-time)	4480
Mareeba (S)	Employed (part-time)	2447
Moreton Bay (R)		2069
Moreton Bay (R)	Employed (away from work)	3542
Moreton Bay (R)	Employed (full-time)	62856
Moreton Bay (R)	Employed (part-time)	44516
Mornington (S)		23
Mornington (S)	Employed (away from work)	12
Mornington (S)	Employed (full-time)	243
Mornington (S)	Employed (part-time)	76
Mount Isa (C)		189
Mount Isa (C)	Employed (away from work)	418
Mount Isa (C)	Employed (full-time)	6868
Mount Isa (C)	Employed (part-time)	1741
Murweh (S)		54
Murweh (S)	Employed (away from work)	74
Murweh (S)	Employed (full-time)	1362
Murweh (S)	Employed (part-time)	494
Napranum (S)		8
Napranum (S)	Employed (away from work)	5
Napranum (S)	Employed (full-time)	163
Napranum (S)	Employed (part-time)	46
Noosa (S)		333
Noosa (S)	Employed (away from work)	608
Noosa (S)	Employed (full-time)	10177
Noosa (S)	Employed (part-time)	9013
North Burnett (R)		129
North Burnett (R)	Employed (away from work)	150
North Burnett (R)	Employed (full-time)	2783
North Burnett (R)	Employed (part-time)	1323
Northern Peninsula Area (R)		20
Northern Peninsula Area (R)	Employed (away from work)	28
Northern Peninsula Area (R)	Employed (full-time)	573
Northern Peninsula Area (R)	Employed (part-time)	196
Palm Island (S)		9
Palm Island (S)	Employed (away from work)	17
Palm Island (S)	Employed (full-time)	342
Palm Island (S)	Employed (part-time)	216
Paroo (S)		23
Paroo (S)	Employed (away from work)	30
Paroo (S)	Employed (full-time)	513
Paroo (S)	Employed (part-time)	170
Pormpuraaw (S)		3
Pormpuraaw (S)	Employed (away from work)	3
Pormpuraaw (S)	Employed (full-time)	119
Pormpuraaw (S)	Employed (part-time)	91
Quilpie (S)		10
Quilpie (S)	Employed (away from work)	23
Quilpie (S)	Employed (full-time)	357
Quilpie (S)	Employed (part-time)	85
Redland (C)		661
Redland (C)	Employed (away from work)	1271
Redland (C)	Employed (full-time)	21708
Redland (C)	Employed (part-time)	16940
Richmond (S)		19
Richmond (S)	Employed (away from work)	8
Richmond (S)	Employed (full-time)	482
Richmond (S)	Employed (part-time)	225
Rockhampton (R)		575
Rockhampton (R)	Employed (away from work)	1432
Rockhampton (R)	Employed (full-time)	22982
Rockhampton (R)	Employed (part-time)	11588
Scenic Rim (R)		271
Scenic Rim (R)	Employed (away from work)	377
Scenic Rim (R)	Employed (full-time)	6870
Scenic Rim (R)	Employed (part-time)	4843
Somerset (R)		164
Somerset (R)	Employed (away from work)	192
Somerset (R)	Employed (full-time)	3600
Somerset (R)	Employed (part-time)	2145
South Burnett (R)		266
South Burnett (R)	Employed (away from work)	402
South Burnett (R)	Employed (full-time)	6481
South Burnett (R)	Employed (part-time)	3915
Southern Downs (R)		311
Southern Downs (R)	Employed (away from work)	502
Southern Downs (R)	Employed (full-time)	7707
Southern Downs (R)	Employed (part-time)	4788
Sunshine Coast (R)		1840
Sunshine Coast (R)	Employed (away from work)	3386
Sunshine Coast (R)	Employed (full-time)	61103
Sunshine Coast (R)	Employed (part-time)	44517
Tablelands (R)		196
Tablelands (R)	Employed (away from work)	347
Tablelands (R)	Employed (full-time)	4700
Tablelands (R)	Employed (part-time)	3328
Toowoomba (R)		1158
Toowoomba (R)	Employed (away from work)	2492
Toowoomba (R)	Employed (full-time)	43235
Toowoomba (R)	Employed (part-time)	22467
Torres (S)		85
Torres (S)	Employed (away from work)	68
Torres (S)	Employed (full-time)	1041
Torres (S)	Employed (part-time)	310
Torres Strait Island (R)		38
Torres Strait Island (R)	Employed (away from work)	35
Torres Strait Island (R)	Employed (full-time)	572
Torres Strait Island (R)	Employed (part-time)	354
Townsville (C)		1337
Townsville (C)	Employed (away from work)	3103
Townsville (C)	Employed (full-time)	52132
Townsville (C)	Employed (part-time)	25139
Weipa (T)		23
Weipa (T)	Employed (away from work)	56
Weipa (T)	Employed (full-time)	798
Weipa (T)	Employed (part-time)	283
Western Downs (R)		345
Western Downs (R)	Employed (away from work)	680
Western Downs (R)	Employed (full-time)	11012
Western Downs (R)	Employed (part-time)	4208
Whitsunday (R)		319
Whitsunday (R)	Employed (away from work)	533
Whitsunday (R)	Employed (full-time)	9996
Whitsunday (R)	Employed (part-time)	4258
Winton (S)		15
Winton (S)	Employed (away from work)	30
Winton (S)	Employed (full-time)	431
Winton (S)	Employed (part-time)	106
Woorabinda (S)		14
Woorabinda (S)	Employed (away from work)	12
Woorabinda (S)	Employed (full-time)	165
Woorabinda (S)	Employed (part-time)	73
Wujal Wujal (S)		8
Wujal Wujal (S)	Employed (away from work)	8
Wujal Wujal (S)	Employed (full-time)	58
Wujal Wujal (S)	Employed (part-time)	37
Yarrabah (S)		26
Yarrabah (S)	Employed (away from work)	15
Yarrabah (S)	Employed (full-time)	288
Yarrabah (S)	Employed (part-time)	114
No usual address (Qld)		2402
No usual address (Qld)	Employed (away from work)	4786
No usual address (Qld)	Employed (full-time)	57869
No usual address (Qld)	Employed (part-time)	33784
Migratory - Offshore - Shipping (Qld)		11
Migratory - Offshore - Shipping (Qld)	Employed (away from work)	24
Migratory - Offshore - Shipping (Qld)	Employed (full-time)	150
Migratory - Offshore - Shipping (Qld)	Employed (part-time)	14
Adelaide (C)		1534
Adelaide (C)	Employed (away from work)	4781
Adelaide (C)	Employed (full-time)	76044
Adelaide (C)	Employed (part-time)	35241
Adelaide Hills (DC)		154
Adelaide Hills (DC)	Employed (away from work)	353
Adelaide Hills (DC)	Employed (full-time)	4860
Adelaide Hills (DC)	Employed (part-time)	4467
Alexandrina (DC)		121
Alexandrina (DC)	Employed (away from work)	231
Alexandrina (DC)	Employed (full-time)	3183
Alexandrina (DC)	Employed (part-time)	3009
Anangu Pitjantjatjara (AC)		26
Anangu Pitjantjatjara (AC)	Employed (away from work)	26
Anangu Pitjantjatjara (AC)	Employed (full-time)	384
Anangu Pitjantjatjara (AC)	Employed (part-time)	184
Barossa (DC)		145
Barossa (DC)	Employed (away from work)	377
Barossa (DC)	Employed (full-time)	5831
Barossa (DC)	Employed (part-time)	3749
Barunga West (DC)		14
Barunga West (DC)	Employed (away from work)	41
Barunga West (DC)	Employed (full-time)	404
Barunga West (DC)	Employed (part-time)	266
Berri and Barmera (DC)		76
Berri and Barmera (DC)	Employed (away from work)	196
Berri and Barmera (DC)	Employed (full-time)	2666
Berri and Barmera (DC)	Employed (part-time)	1590
Burnside (C)		236
Burnside (C)	Employed (away from work)	605
Burnside (C)	Employed (full-time)	9066
Burnside (C)	Employed (part-time)	6846
Campbelltown (C) (SA)		149
Campbelltown (C) (SA)	Employed (away from work)	301
Campbelltown (C) (SA)	Employed (full-time)	4621
Campbelltown (C) (SA)	Employed (part-time)	4413
Ceduna (DC)		52
Ceduna (DC)	Employed (away from work)	84
Ceduna (DC)	Employed (full-time)	960
Ceduna (DC)	Employed (part-time)	480
Charles Sturt (C)		596
Charles Sturt (C)	Employed (away from work)	1323
Charles Sturt (C)	Employed (full-time)	22880
Charles Sturt (C)	Employed (part-time)	15086
Clare and Gilbert Valleys (DC)		81
Clare and Gilbert Valleys (DC)	Employed (away from work)	178
Clare and Gilbert Valleys (DC)	Employed (full-time)	2238
Clare and Gilbert Valleys (DC)	Employed (part-time)	1613
Cleve (DC)		28
Cleve (DC)	Employed (away from work)	35
Cleve (DC)	Employed (full-time)	506
Cleve (DC)	Employed (part-time)	264
Coober Pedy (DC)		27
Coober Pedy (DC)	Employed (away from work)	41
Coober Pedy (DC)	Employed (full-time)	436
Coober Pedy (DC)	Employed (part-time)	173
Copper Coast (DC)		98
Copper Coast (DC)	Employed (away from work)	203
Copper Coast (DC)	Employed (full-time)	2155
Copper Coast (DC)	Employed (part-time)	1906
Elliston (DC)		6
Elliston (DC)	Employed (away from work)	21
Elliston (DC)	Employed (full-time)	282
Elliston (DC)	Employed (part-time)	154
Flinders Ranges (DC)		14
Flinders Ranges (DC)	Employed (away from work)	20
Flinders Ranges (DC)	Employed (full-time)	297
Flinders Ranges (DC)	Employed (part-time)	178
Franklin Harbour (DC)		5
Franklin Harbour (DC)	Employed (away from work)	37
Franklin Harbour (DC)	Employed (full-time)	237
Franklin Harbour (DC)	Employed (part-time)	177
Gawler (T)		91
Gawler (T)	Employed (away from work)	230
Gawler (T)	Employed (full-time)	3007
Gawler (T)	Employed (part-time)	3160
Goyder (DC)		41
Goyder (DC)	Employed (away from work)	41
Goyder (DC)	Employed (full-time)	780
Goyder (DC)	Employed (part-time)	474
Grant (DC)		45
Grant (DC)	Employed (away from work)	93
Grant (DC)	Employed (full-time)	1457
Grant (DC)	Employed (part-time)	664
Holdfast Bay (C)		163
Holdfast Bay (C)	Employed (away from work)	416
Holdfast Bay (C)	Employed (full-time)	5660
Holdfast Bay (C)	Employed (part-time)	6111
Kangaroo Island (DC)		35
Kangaroo Island (DC)	Employed (away from work)	100
Kangaroo Island (DC)	Employed (full-time)	1017
Kangaroo Island (DC)	Employed (part-time)	888
Karoonda East Murray (DC)		4
Karoonda East Murray (DC)	Employed (away from work)	4
Karoonda East Murray (DC)	Employed (full-time)	327
Karoonda East Murray (DC)	Employed (part-time)	134
Kimba (DC)		10
Kimba (DC)	Employed (away from work)	29
Kimba (DC)	Employed (full-time)	338
Kimba (DC)	Employed (part-time)	157
Kingston (DC) (SA)		20
Kingston (DC) (SA)	Employed (away from work)	57
Kingston (DC) (SA)	Employed (full-time)	479
Kingston (DC) (SA)	Employed (part-time)	353
Light (RegC)		90
Light (RegC)	Employed (away from work)	181
Light (RegC)	Employed (full-time)	3048
Light (RegC)	Employed (part-time)	1525
Lower Eyre Peninsula (DC)		32
Lower Eyre Peninsula (DC)	Employed (away from work)	64
Lower Eyre Peninsula (DC)	Employed (full-time)	904
Lower Eyre Peninsula (DC)	Employed (part-time)	492
Loxton Waikerie (DC)		79
Loxton Waikerie (DC)	Employed (away from work)	171
Loxton Waikerie (DC)	Employed (full-time)	2628
Loxton Waikerie (DC)	Employed (part-time)	1605
Mallala (DC)		57
Mallala (DC)	Employed (away from work)	52
Mallala (DC)	Employed (full-time)	1154
Mallala (DC)	Employed (part-time)	707
Maralinga Tjarutja (AC)	Employed (full-time)	4
Marion (C)		288
Marion (C)	Employed (away from work)	833
Marion (C)	Employed (full-time)	11327
Marion (C)	Employed (part-time)	9240
Mid Murray (DC)		56
Mid Murray (DC)	Employed (away from work)	74
Mid Murray (DC)	Employed (full-time)	1289
Mid Murray (DC)	Employed (part-time)	936
Mitcham (C)		335
Mitcham (C)	Employed (away from work)	1186
Mitcham (C)	Employed (full-time)	14145
Mitcham (C)	Employed (part-time)	11801
Mount Barker (DC)		195
Mount Barker (DC)	Employed (away from work)	414
Mount Barker (DC)	Employed (full-time)	5132
Mount Barker (DC)	Employed (part-time)	4744
Mount Gambier (C)		187
Mount Gambier (C)	Employed (away from work)	488
Mount Gambier (C)	Employed (full-time)	7249
Mount Gambier (C)	Employed (part-time)	4709
Mount Remarkable (DC)		20
Mount Remarkable (DC)	Employed (away from work)	25
Mount Remarkable (DC)	Employed (full-time)	529
Mount Remarkable (DC)	Employed (part-time)	265
Murray Bridge (RC)		161
Murray Bridge (RC)	Employed (away from work)	344
Murray Bridge (RC)	Employed (full-time)	5464
Murray Bridge (RC)	Employed (part-time)	3033
Naracoorte and Lucindale (DC)		85
Naracoorte and Lucindale (DC)	Employed (away from work)	190
Naracoorte and Lucindale (DC)	Employed (full-time)	2392
Naracoorte and Lucindale (DC)	Employed (part-time)	1390
Northern Areas (DC)		28
Northern Areas (DC)	Employed (away from work)	70
Northern Areas (DC)	Employed (full-time)	1006
Northern Areas (DC)	Employed (part-time)	622
Norwood Payneham St Peters (C)		324
Norwood Payneham St Peters (C)	Employed (away from work)	654
Norwood Payneham St Peters (C)	Employed (full-time)	12920
Norwood Payneham St Peters (C)	Employed (part-time)	9153
Onkaparinga (C)		601
Onkaparinga (C)	Employed (away from work)	1393
Onkaparinga (C)	Employed (full-time)	19032
Onkaparinga (C)	Employed (part-time)	16701
Orroroo/Carrieton (DC)		6
Orroroo/Carrieton (DC)	Employed (away from work)	12
Orroroo/Carrieton (DC)	Employed (full-time)	224
Orroroo/Carrieton (DC)	Employed (part-time)	132
Peterborough (DC)		19
Peterborough (DC)	Employed (away from work)	9
Peterborough (DC)	Employed (full-time)	235
Peterborough (DC)	Employed (part-time)	208
Playford (C)		466
Playford (C)	Employed (away from work)	953
Playford (C)	Employed (full-time)	13315
Playford (C)	Employed (part-time)	9513
Port Adelaide Enfield (C)		1053
Port Adelaide Enfield (C)	Employed (away from work)	1929
Port Adelaide Enfield (C)	Employed (full-time)	42786
Port Adelaide Enfield (C)	Employed (part-time)	17384
Port Augusta (C)		116
Port Augusta (C)	Employed (away from work)	241
Port Augusta (C)	Employed (full-time)	3239
Port Augusta (C)	Employed (part-time)	1794
Port Lincoln (C)		124
Port Lincoln (C)	Employed (away from work)	235
Port Lincoln (C)	Employed (full-time)	3539
Port Lincoln (C)	Employed (part-time)	2728
Port Pirie City and Dists (M)		132
Port Pirie City and Dists (M)	Employed (away from work)	267
Port Pirie City and Dists (M)	Employed (full-time)	3789
Port Pirie City and Dists (M)	Employed (part-time)	2470
Prospect (C)		85
Prospect (C)	Employed (away from work)	163
Prospect (C)	Employed (full-time)	3091
Prospect (C)	Employed (part-time)	2387
Renmark Paringa (DC)		84
Renmark Paringa (DC)	Employed (away from work)	148
Renmark Paringa (DC)	Employed (full-time)	2238
Renmark Paringa (DC)	Employed (part-time)	1366
Robe (DC)		18
Robe (DC)	Employed (away from work)	49
Robe (DC)	Employed (full-time)	329
Robe (DC)	Employed (part-time)	234
Roxby Downs (M)		38
Roxby Downs (M)	Employed (away from work)	121
Roxby Downs (M)	Employed (full-time)	1650
Roxby Downs (M)	Employed (part-time)	423
Salisbury (C)		776
Salisbury (C)	Employed (away from work)	1458
Salisbury (C)	Employed (full-time)	29502
Salisbury (C)	Employed (part-time)	13583
Southern Mallee (DC)		29
Southern Mallee (DC)	Employed (away from work)	37
Southern Mallee (DC)	Employed (full-time)	616
Southern Mallee (DC)	Employed (part-time)	310
Streaky Bay (DC)		24
Streaky Bay (DC)	Employed (away from work)	43
Streaky Bay (DC)	Employed (full-time)	473
Streaky Bay (DC)	Employed (part-time)	310
Tatiara (DC)		72
Tatiara (DC)	Employed (away from work)	159
Tatiara (DC)	Employed (full-time)	2163
Tatiara (DC)	Employed (part-time)	1032
Tea Tree Gully (C)		338
Tea Tree Gully (C)	Employed (away from work)	689
Tea Tree Gully (C)	Employed (full-time)	10031
Tea Tree Gully (C)	Employed (part-time)	10222
The Coorong (DC)		45
The Coorong (DC)	Employed (away from work)	74
The Coorong (DC)	Employed (full-time)	1215
The Coorong (DC)	Employed (part-time)	704
Tumby Bay (DC)		23
Tumby Bay (DC)	Employed (away from work)	34
Tumby Bay (DC)	Employed (full-time)	503
Tumby Bay (DC)	Employed (part-time)	320
Unley (C)		259
Unley (C)	Employed (away from work)	655
Unley (C)	Employed (full-time)	10700
Unley (C)	Employed (part-time)	7766
Victor Harbor (C)		79
Victor Harbor (C)	Employed (away from work)	206
Victor Harbor (C)	Employed (full-time)	1831
Victor Harbor (C)	Employed (part-time)	2279
Wakefield (DC)		58
Wakefield (DC)	Employed (away from work)	106
Wakefield (DC)	Employed (full-time)	1636
Wakefield (DC)	Employed (part-time)	892
Walkerville (M)		54
Walkerville (M)	Employed (away from work)	83
Walkerville (M)	Employed (full-time)	1117
Walkerville (M)	Employed (part-time)	1097
Wattle Range (DC)		77
Wattle Range (DC)	Employed (away from work)	273
Wattle Range (DC)	Employed (full-time)	2671
Wattle Range (DC)	Employed (part-time)	1564
West Torrens (C)		607
West Torrens (C)	Employed (away from work)	1447
West Torrens (C)	Employed (full-time)	27668
West Torrens (C)	Employed (part-time)	13195
Whyalla (C)		138
Whyalla (C)	Employed (away from work)	311
Whyalla (C)	Employed (full-time)	4003
Whyalla (C)	Employed (part-time)	2682
Wudinna (DC)		12
Wudinna (DC)	Employed (away from work)	27
Wudinna (DC)	Employed (full-time)	401
Wudinna (DC)	Employed (part-time)	200
Yankalilla (DC)		20
Yankalilla (DC)	Employed (away from work)	74
Yankalilla (DC)	Employed (full-time)	652
Yankalilla (DC)	Employed (part-time)	662
Yorke Peninsula (DC)		89
Yorke Peninsula (DC)	Employed (away from work)	173
Yorke Peninsula (DC)	Employed (full-time)	2001
Yorke Peninsula (DC)	Employed (part-time)	1445
