STE_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
Queensland	Bus and tram includes light rail	2	Community and personal service workers	114
Queensland	Bus and tram includes light rail	2	Labourers	128
Queensland	Bus and tram includes light rail	2	Machinery operators and drivers	3
Queensland	Bus and tram includes light rail	2	Managers	29
Queensland	Bus and tram includes light rail	2	Professionals	68
Queensland	Bus and tram includes light rail	2	Sales workers	137
Queensland	Bus and tram includes light rail	2	Technicians and trades workers	46
Queensland	Bus and two other methods excludes train	3		31
Queensland	Bus and two other methods excludes train	3	Clerical and administrative workers	171
Queensland	Bus and two other methods excludes train	3	Community and personal service workers	173
Queensland	Bus and two other methods excludes train	3	Labourers	228
Queensland	Bus and two other methods excludes train	3	Machinery operators and drivers	204
Queensland	Bus and two other methods excludes train	3	Managers	158
Queensland	Bus and two other methods excludes train	3	Professionals	347
Queensland	Bus and two other methods excludes train	3	Sales workers	150
Queensland	Bus and two other methods excludes train	3	Technicians and trades workers	476
Queensland	Car as driver	1		16906
Queensland	Car as driver	1	Clerical and administrative workers	180762
Queensland	Car as driver	1	Community and personal service workers	155431
Queensland	Car as driver	1	Labourers	137241
Queensland	Car as driver	1	Machinery operators and drivers	100165
Queensland	Car as driver	1	Managers	167658
Queensland	Car as driver	1	Professionals	264677
Queensland	Car as driver	1	Sales workers	125388
Queensland	Car as driver	1	Technicians and trades workers	221795
Queensland	Car as passenger	1		1594
Queensland	Car as passenger	1	Clerical and administrative workers	11858
Queensland	Car as passenger	1	Community and personal service workers	12903
Queensland	Car as passenger	1	Labourers	25551
Queensland	Car as passenger	1	Machinery operators and drivers	6516
Queensland	Car as passenger	1	Managers	7594
Queensland	Car as passenger	1	Professionals	13672
Queensland	Car as passenger	1	Sales workers	19024
Queensland	Car as passenger	1	Technicians and trades workers	13563
Queensland	Did not go to work			2602
Queensland	Did not go to work		Clerical and administrative workers	26419
Queensland	Did not go to work		Community and personal service workers	32967
Queensland	Did not go to work		Labourers	22674
Queensland	Did not go to work		Machinery operators and drivers	13832
Queensland	Did not go to work		Managers	14311
Queensland	Did not go to work		Professionals	40518
Queensland	Did not go to work		Sales workers	30671
Queensland	Did not go to work		Technicians and trades workers	21801
Queensland	Ferry	1		90
Queensland	Ferry	1	Clerical and administrative workers	498
Queensland	Ferry	1	Community and personal service workers	217
Queensland	Ferry	1	Labourers	158
Queensland	Ferry	1	Machinery operators and drivers	69
Queensland	Ferry	1	Managers	409
Queensland	Ferry	1	Professionals	1082
Queensland	Ferry	1	Sales workers	147
Queensland	Ferry	1	Technicians and trades workers	255
Queensland	Method of travel not stated			5948
Queensland	Method of travel not stated		Clerical and administrative workers	1359
Queensland	Method of travel not stated		Community and personal service workers	1716
Queensland	Method of travel not stated		Labourers	2137
Queensland	Method of travel not stated		Machinery operators and drivers	1259
Queensland	Method of travel not stated		Managers	1468
Queensland	Method of travel not stated		Professionals	1556
Queensland	Method of travel not stated		Sales workers	1362
Queensland	Method of travel not stated		Technicians and trades workers	2026
Queensland	Motorbike scooter	1		311
Queensland	Motorbike scooter	1	Clerical and administrative workers	1802
Queensland	Motorbike scooter	1	Community and personal service workers	2074
Queensland	Motorbike scooter	1	Labourers	1976
Queensland	Motorbike scooter	1	Machinery operators and drivers	2508
Queensland	Motorbike scooter	1	Managers	2218
Queensland	Motorbike scooter	1	Professionals	3636
Queensland	Motorbike scooter	1	Sales workers	1118
Queensland	Motorbike scooter	1	Technicians and trades workers	4005
Queensland	(Other)	1		591
Queensland	(Other)	1	Clerical and administrative workers	1425
Queensland	(Other)	1	Community and personal service workers	1307
Queensland	(Other)	1	Labourers	1807
Queensland	(Other)	1	Machinery operators and drivers	1534
Queensland	(Other)	1	Managers	2801
Queensland	(Other)	1	Professionals	2196
Queensland	(Other)	1	Sales workers	650
Queensland	(Other)	1	Technicians and trades workers	2282
Queensland	Other three methods	3		13
Queensland	Other three methods	3	Clerical and administrative workers	66
Queensland	Other three methods	3	Community and personal service workers	81
Queensland	Other three methods	3	Labourers	85
Queensland	Other three methods	3	Machinery operators and drivers	67
Queensland	Other three methods	3	Managers	213
Queensland	Other three methods	3	Professionals	244
Queensland	Other three methods	3	Sales workers	36
Queensland	Other three methods	3	Technicians and trades workers	136
Queensland	Other two methods	2		252
Queensland	Other two methods	2	Clerical and administrative workers	1385
Queensland	Other two methods	2	Community and personal service workers	1520
Queensland	Other two methods	2	Labourers	1986
Queensland	Other two methods	2	Machinery operators and drivers	1552
Queensland	Other two methods	2	Managers	1872
Queensland	Other two methods	2	Professionals	3094
Queensland	Other two methods	2	Sales workers	1132
Queensland	Other two methods	2	Technicians and trades workers	2723
Queensland	Taxi	1		79
Queensland	Taxi	1	Clerical and administrative workers	278
Queensland	Taxi	1	Community and personal service workers	442
Queensland	Taxi	1	Labourers	432
Queensland	Taxi	1	Machinery operators and drivers	594
Queensland	Taxi	1	Managers	455
Queensland	Taxi	1	Professionals	660
Queensland	Taxi	1	Sales workers	321
Queensland	Taxi	1	Technicians and trades workers	252
Queensland	Train	1		877
Queensland	Train	1	Clerical and administrative workers	11665
Queensland	Train	1	Community and personal service workers	2935
Queensland	Train	1	Labourers	2452
Queensland	Train	1	Machinery operators and drivers	644
Queensland	Train	1	Managers	4206
Queensland	Train	1	Professionals	13991
Queensland	Train	1	Sales workers	2519
Queensland	Train	1	Technicians and trades workers	2817
Queensland	Train and bus	2		111
Queensland	Train and bus	2	Clerical and administrative workers	1437
Queensland	Train and bus	2	Community and personal service workers	800
Queensland	Train and bus	2	Labourers	816
Queensland	Train and bus	2	Machinery operators and drivers	201
Queensland	Train and bus	2	Managers	495
Queensland	Train and bus	2	Professionals	2083
Queensland	Train and bus	2	Sales workers	660
Queensland	Train and bus	2	Technicians and trades workers	540
Queensland	Train and car as driver	2		171
Queensland	Train and car as driver	2	Clerical and administrative workers	3586
Queensland	Train and car as driver	2	Community and personal service workers	613
Queensland	Train and car as driver	2	Labourers	280
Queensland	Train and car as driver	2	Machinery operators and drivers	116
Queensland	Train and car as driver	2	Managers	1482
Queensland	Train and car as driver	2	Professionals	4330
Queensland	Train and car as driver	2	Sales workers	494
Queensland	Train and car as driver	2	Technicians and trades workers	781
Queensland	Train and car as passenger	2		35
Queensland	Train and car as passenger	2	Clerical and administrative workers	623
Queensland	Train and car as passenger	2	Community and personal service workers	160
Queensland	Train and car as passenger	2	Labourers	182
Queensland	Train and car as passenger	2	Machinery operators and drivers	36
Queensland	Train and car as passenger	2	Managers	236
Queensland	Train and car as passenger	2	Professionals	703
Queensland	Train and car as passenger	2	Sales workers	181
Queensland	Train and car as passenger	2	Technicians and trades workers	185
Queensland	Train and ferry	2	Clerical and administrative workers	13
Queensland	Train and ferry	2	Community and personal service workers	7
Queensland	Train and ferry	2	Labourers	3
Queensland	Train and ferry	2	Managers	7
Queensland	Train and ferry	2	Professionals	16
Queensland	Train and ferry	2	Sales workers	4
Queensland	Train and ferry	2	Technicians and trades workers	10
Queensland	Train and other	2		11
Queensland	Train and other	2	Clerical and administrative workers	113
Queensland	Train and other	2	Community and personal service workers	69
Queensland	Train and other	2	Labourers	105
Queensland	Train and other	2	Machinery operators and drivers	66
Queensland	Train and other	2	Managers	126
Queensland	Train and other	2	Professionals	353
Queensland	Train and other	2	Sales workers	32
Queensland	Train and other	2	Technicians and trades workers	117
Queensland	Train and tram includes light rail	2	Clerical and administrative workers	10
Queensland	Train and tram includes light rail	2	Community and personal service workers	6
Queensland	Train and tram includes light rail	2	Labourers	10
Queensland	Train and tram includes light rail	2	Machinery operators and drivers	3
Queensland	Train and tram includes light rail	2	Managers	3
Queensland	Train and tram includes light rail	2	Professionals	3
Queensland	Train and tram includes light rail	2	Sales workers	7
Queensland	Train and tram includes light rail	2	Technicians and trades workers	6
Queensland	Train and two other methods	3		105
Queensland	Train and two other methods	3	Clerical and administrative workers	715
Queensland	Train and two other methods	3	Community and personal service workers	385
Queensland	Train and two other methods	3	Labourers	326
Queensland	Train and two other methods	3	Machinery operators and drivers	127
Queensland	Train and two other methods	3	Managers	306
Queensland	Train and two other methods	3	Professionals	1169
Queensland	Train and two other methods	3	Sales workers	286
Queensland	Train and two other methods	3	Technicians and trades workers	363
Queensland	Tram includes light rail	1		49
Queensland	Tram includes light rail	1	Clerical and administrative workers	155
Queensland	Tram includes light rail	1	Community and personal service workers	324
Queensland	Tram includes light rail	1	Labourers	315
Queensland	Tram includes light rail	1	Machinery operators and drivers	23
Queensland	Tram includes light rail	1	Managers	140
Queensland	Tram includes light rail	1	Professionals	382
Queensland	Tram includes light rail	1	Sales workers	265
Queensland	Tram includes light rail	1	Technicians and trades workers	158
Queensland	Truck	1		302
Queensland	Truck	1	Clerical and administrative workers	487
Queensland	Truck	1	Community and personal service workers	63
Queensland	Truck	1	Labourers	3232
Queensland	Truck	1	Machinery operators and drivers	7622
Queensland	Truck	1	Managers	2299
Queensland	Truck	1	Professionals	196
Queensland	Truck	1	Sales workers	424
Queensland	Truck	1	Technicians and trades workers	5315
Queensland	Walked only	1		989
Queensland	Walked only	1	Clerical and administrative workers	6790
Queensland	Walked only	1	Community and personal service workers	11261
Queensland	Walked only	1	Labourers	9917
Queensland	Walked only	1	Machinery operators and drivers	2577
Queensland	Walked only	1	Managers	10675
Queensland	Walked only	1	Professionals	13372
Queensland	Walked only	1	Sales workers	7183
Queensland	Walked only	1	Technicians and trades workers	6959
Queensland	Worked at home			2036
Queensland	Worked at home		Clerical and administrative workers	24632
Queensland	Worked at home		Community and personal service workers	7140
Queensland	Worked at home		Labourers	3584
Queensland	Worked at home		Machinery operators and drivers	1351
Queensland	Worked at home		Managers	30459
Queensland	Worked at home		Professionals	27757
Queensland	Worked at home		Sales workers	6625
Queensland	Worked at home		Technicians and trades workers	8368
South Australia	Bicycle	1		118
South Australia	Bicycle	1	Clerical and administrative workers	711
South Australia	Bicycle	1	Community and personal service workers	683
South Australia	Bicycle	1	Labourers	657
South Australia	Bicycle	1	Machinery operators and drivers	347
South Australia	Bicycle	1	Managers	825
South Australia	Bicycle	1	Professionals	2853
South Australia	Bicycle	1	Sales workers	344
South Australia	Bicycle	1	Technicians and trades workers	894
South Australia	Bus	1		449
South Australia	Bus	1	Clerical and administrative workers	7235
South Australia	Bus	1	Community and personal service workers	2848
South Australia	Bus	1	Labourers	2852
South Australia	Bus	1	Machinery operators and drivers	907
South Australia	Bus	1	Managers	2146
South Australia	Bus	1	Professionals	7689
South Australia	Bus	1	Sales workers	2926
South Australia	Bus	1	Technicians and trades workers	2145
South Australia	Bus and car as driver	2		44
South Australia	Bus and car as driver	2	Clerical and administrative workers	839
South Australia	Bus and car as driver	2	Community and personal service workers	252
South Australia	Bus and car as driver	2	Labourers	124
South Australia	Bus and car as driver	2	Machinery operators and drivers	93
South Australia	Bus and car as driver	2	Managers	246
South Australia	Bus and car as driver	2	Professionals	998
South Australia	Bus and car as driver	2	Sales workers	210
South Australia	Bus and car as driver	2	Technicians and trades workers	207
South Australia	Bus and car as passenger	2		19
South Australia	Bus and car as passenger	2	Clerical and administrative workers	189
South Australia	Bus and car as passenger	2	Community and personal service workers	161
South Australia	Bus and car as passenger	2	Labourers	222
South Australia	Bus and car as passenger	2	Machinery operators and drivers	27
South Australia	Bus and car as passenger	2	Managers	70
South Australia	Bus and car as passenger	2	Professionals	246
South Australia	Bus and car as passenger	2	Sales workers	226
South Australia	Bus and car as passenger	2	Technicians and trades workers	68
South Australia	Bus and ferry	2	Labourers	3
South Australia	Bus and other	2		6
South Australia	Bus and other	2	Clerical and administrative workers	59
South Australia	Bus and other	2	Community and personal service workers	45
South Australia	Bus and other	2	Labourers	44
South Australia	Bus and other	2	Machinery operators and drivers	17
South Australia	Bus and other	2	Managers	22
South Australia	Bus and other	2	Professionals	116
South Australia	Bus and other	2	Sales workers	29
South Australia	Bus and other	2	Technicians and trades workers	28
South Australia	Bus and tram includes light rail	2		5
South Australia	Bus and tram includes light rail	2	Clerical and administrative workers	67
South Australia	Bus and tram includes light rail	2	Community and personal service workers	44
South Australia	Bus and tram includes light rail	2	Labourers	40
South Australia	Bus and tram includes light rail	2	Machinery operators and drivers	7
South Australia	Bus and tram includes light rail	2	Managers	23
South Australia	Bus and tram includes light rail	2	Professionals	90
South Australia	Bus and tram includes light rail	2	Sales workers	25
South Australia	Bus and tram includes light rail	2	Technicians and trades workers	18
South Australia	Bus and two other methods excludes train	3		3
South Australia	Bus and two other methods excludes train	3	Clerical and administrative workers	69
South Australia	Bus and two other methods excludes train	3	Community and personal service workers	57
South Australia	Bus and two other methods excludes train	3	Labourers	35
South Australia	Bus and two other methods excludes train	3	Machinery operators and drivers	8
South Australia	Bus and two other methods excludes train	3	Managers	37
South Australia	Bus and two other methods excludes train	3	Professionals	121
South Australia	Bus and two other methods excludes train	3	Sales workers	57
South Australia	Bus and two other methods excludes train	3	Technicians and trades workers	45
South Australia	Car as driver	1		5820
South Australia	Car as driver	1	Clerical and administrative workers	61316
South Australia	Car as driver	1	Community and personal service workers	58938
South Australia	Car as driver	1	Labourers	52751
South Australia	Car as driver	1	Machinery operators and drivers	32997
South Australia	Car as driver	1	Managers	62754
South Australia	Car as driver	1	Professionals	98072
South Australia	Car as driver	1	Sales workers	43968
South Australia	Car as driver	1	Technicians and trades workers	74885
South Australia	Car as passenger	1		471
South Australia	Car as passenger	1	Clerical and administrative workers	3963
South Australia	Car as passenger	1	Community and personal service workers	3605
South Australia	Car as passenger	1	Labourers	7846
South Australia	Car as passenger	1	Machinery operators and drivers	1436
South Australia	Car as passenger	1	Managers	2644
South Australia	Car as passenger	1	Professionals	4719
South Australia	Car as passenger	1	Sales workers	5402
South Australia	Car as passenger	1	Technicians and trades workers	3710
South Australia	Did not go to work			939
South Australia	Did not go to work		Clerical and administrative workers	9977
South Australia	Did not go to work		Community and personal service workers	14625
South Australia	Did not go to work		Labourers	9393
South Australia	Did not go to work		Machinery operators and drivers	4013
South Australia	Did not go to work		Managers	5711
South Australia	Did not go to work		Professionals	15574
South Australia	Did not go to work		Sales workers	12047
South Australia	Did not go to work		Technicians and trades workers	7107
South Australia	Ferry	1		29
South Australia	Ferry	1	Clerical and administrative workers	5
South Australia	Ferry	1	Community and personal service workers	15
South Australia	Ferry	1	Labourers	22
South Australia	Ferry	1	Machinery operators and drivers	22
South Australia	Ferry	1	Managers	10
South Australia	Ferry	1	Professionals	12
South Australia	Ferry	1	Sales workers	12
South Australia	Ferry	1	Technicians and trades workers	18
South Australia	Method of travel not stated			2041
South Australia	Method of travel not stated		Clerical and administrative workers	444
South Australia	Method of travel not stated		Community and personal service workers	641
South Australia	Method of travel not stated		Labourers	792
South Australia	Method of travel not stated		Machinery operators and drivers	378
South Australia	Method of travel not stated		Managers	503
South Australia	Method of travel not stated		Professionals	645
South Australia	Method of travel not stated		Sales workers	524
South Australia	Method of travel not stated		Technicians and trades workers	591
South Australia	Motorbike scooter	1		59
South Australia	Motorbike scooter	1	Clerical and administrative workers	321
South Australia	Motorbike scooter	1	Community and personal service workers	387
South Australia	Motorbike scooter	1	Labourers	432
South Australia	Motorbike scooter	1	Machinery operators and drivers	351
South Australia	Motorbike scooter	1	Managers	436
South Australia	Motorbike scooter	1	Professionals	634
South Australia	Motorbike scooter	1	Sales workers	201
South Australia	Motorbike scooter	1	Technicians and trades workers	614
South Australia	(Other)	1		174
South Australia	(Other)	1	Clerical and administrative workers	491
South Australia	(Other)	1	Community and personal service workers	302
South Australia	(Other)	1	Labourers	526
South Australia	(Other)	1	Machinery operators and drivers	555
South Australia	(Other)	1	Managers	945
South Australia	(Other)	1	Professionals	547
South Australia	(Other)	1	Sales workers	168
South Australia	(Other)	1	Technicians and trades workers	1178
South Australia	Other three methods	3		4
South Australia	Other three methods	3	Clerical and administrative workers	26
South Australia	Other three methods	3	Community and personal service workers	24
South Australia	Other three methods	3	Labourers	13
South Australia	Other three methods	3	Machinery operators and drivers	14
South Australia	Other three methods	3	Managers	85
South Australia	Other three methods	3	Professionals	75
South Australia	Other three methods	3	Sales workers	4
South Australia	Other three methods	3	Technicians and trades workers	41
South Australia	Other two methods	2		87
South Australia	Other two methods	2	Clerical and administrative workers	793
South Australia	Other two methods	2	Community and personal service workers	527
South Australia	Other two methods	2	Labourers	613
South Australia	Other two methods	2	Machinery operators and drivers	428
South Australia	Other two methods	2	Managers	701
South Australia	Other two methods	2	Professionals	1210
South Australia	Other two methods	2	Sales workers	346
South Australia	Other two methods	2	Technicians and trades workers	812
South Australia	Taxi	1		26
South Australia	Taxi	1	Clerical and administrative workers	96
South Australia	Taxi	1	Community and personal service workers	109
South Australia	Taxi	1	Labourers	202
South Australia	Taxi	1	Machinery operators and drivers	416
South Australia	Taxi	1	Managers	161
South Australia	Taxi	1	Professionals	176
South Australia	Taxi	1	Sales workers	81
South Australia	Taxi	1	Technicians and trades workers	97
South Australia	Train	1		167
South Australia	Train	1	Clerical and administrative workers	2592
South Australia	Train	1	Community and personal service workers	702
South Australia	Train	1	Labourers	544
South Australia	Train	1	Machinery operators and drivers	118
South Australia	Train	1	Managers	820
South Australia	Train	1	Professionals	2790
South Australia	Train	1	Sales workers	687
South Australia	Train	1	Technicians and trades workers	561
South Australia	Train and bus	2		38
South Australia	Train and bus	2	Clerical and administrative workers	258
South Australia	Train and bus	2	Community and personal service workers	181
South Australia	Train and bus	2	Labourers	283
South Australia	Train and bus	2	Machinery operators and drivers	39
South Australia	Train and bus	2	Managers	76
South Australia	Train and bus	2	Professionals	340
South Australia	Train and bus	2	Sales workers	167
South Australia	Train and bus	2	Technicians and trades workers	148
South Australia	Train and car as driver	2		26
South Australia	Train and car as driver	2	Clerical and administrative workers	576
South Australia	Train and car as driver	2	Community and personal service workers	163
South Australia	Train and car as driver	2	Labourers	58
South Australia	Train and car as driver	2	Machinery operators and drivers	23
South Australia	Train and car as driver	2	Managers	185
South Australia	Train and car as driver	2	Professionals	595
South Australia	Train and car as driver	2	Sales workers	126
South Australia	Train and car as driver	2	Technicians and trades workers	142
South Australia	Train and car as passenger	2		4
South Australia	Train and car as passenger	2	Clerical and administrative workers	55
South Australia	Train and car as passenger	2	Community and personal service workers	23
South Australia	Train and car as passenger	2	Labourers	37
South Australia	Train and car as passenger	2	Machinery operators and drivers	3
South Australia	Train and car as passenger	2	Managers	25
South Australia	Train and car as passenger	2	Professionals	67
South Australia	Train and car as passenger	2	Sales workers	41
South Australia	Train and car as passenger	2	Technicians and trades workers	25
South Australia	Train and other	2	Clerical and administrative workers	19
South Australia	Train and other	2	Community and personal service workers	24
South Australia	Train and other	2	Labourers	17
South Australia	Train and other	2	Machinery operators and drivers	6
South Australia	Train and other	2	Managers	23
South Australia	Train and other	2	Professionals	74
South Australia	Train and other	2	Sales workers	9
South Australia	Train and other	2	Technicians and trades workers	28
South Australia	Train and tram includes light rail	2		5
South Australia	Train and tram includes light rail	2	Clerical and administrative workers	61
South Australia	Train and tram includes light rail	2	Community and personal service workers	19
South Australia	Train and tram includes light rail	2	Labourers	12
South Australia	Train and tram includes light rail	2	Machinery operators and drivers	3
South Australia	Train and tram includes light rail	2	Managers	19
South Australia	Train and tram includes light rail	2	Professionals	49
South Australia	Train and tram includes light rail	2	Sales workers	17
South Australia	Train and tram includes light rail	2	Technicians and trades workers	10
South Australia	Train and two other methods	3		26
South Australia	Train and two other methods	3	Clerical and administrative workers	181
South Australia	Train and two other methods	3	Community and personal service workers	115
South Australia	Train and two other methods	3	Labourers	75
South Australia	Train and two other methods	3	Machinery operators and drivers	21
South Australia	Train and two other methods	3	Managers	56
South Australia	Train and two other methods	3	Professionals	188
South Australia	Train and two other methods	3	Sales workers	80
South Australia	Train and two other methods	3	Technicians and trades workers	85
South Australia	Tram includes light rail	1		63
South Australia	Tram includes light rail	1	Clerical and administrative workers	750
South Australia	Tram includes light rail	1	Community and personal service workers	264
South Australia	Tram includes light rail	1	Labourers	103
South Australia	Tram includes light rail	1	Machinery operators and drivers	11
South Australia	Tram includes light rail	1	Managers	300
South Australia	Tram includes light rail	1	Professionals	873
South Australia	Tram includes light rail	1	Sales workers	225
South Australia	Tram includes light rail	1	Technicians and trades workers	142
South Australia	Truck	1		57
South Australia	Truck	1	Clerical and administrative workers	177
South Australia	Truck	1	Community and personal service workers	14
South Australia	Truck	1	Labourers	725
South Australia	Truck	1	Machinery operators and drivers	1722
South Australia	Truck	1	Managers	611
South Australia	Truck	1	Professionals	36
South Australia	Truck	1	Sales workers	114
South Australia	Truck	1	Technicians and trades workers	1060
South Australia	Walked only	1		224
South Australia	Walked only	1	Clerical and administrative workers	1849
South Australia	Walked only	1	Community and personal service workers	2734
South Australia	Walked only	1	Labourers	2849
South Australia	Walked only	1	Machinery operators and drivers	771
South Australia	Walked only	1	Managers	3802
South Australia	Walked only	1	Professionals	3912
South Australia	Walked only	1	Sales workers	2157
South Australia	Walked only	1	Technicians and trades workers	1983
South Australia	Worked at home			552
South Australia	Worked at home		Clerical and administrative workers	6216
South Australia	Worked at home		Community and personal service workers	1898
South Australia	Worked at home		Labourers	1233
South Australia	Worked at home		Machinery operators and drivers	411
South Australia	Worked at home		Managers	10413
South Australia	Worked at home		Professionals	7679
South Australia	Worked at home		Sales workers	1399
South Australia	Worked at home		Technicians and trades workers	2708
Western Australia	Bicycle	1		160
Western Australia	Bicycle	1	Clerical and administrative workers	907
Western Australia	Bicycle	1	Community and personal service workers	1162
Western Australia	Bicycle	1	Labourers	1065
Western Australia	Bicycle	1	Machinery operators and drivers	583
Western Australia	Bicycle	1	Managers	1435
Western Australia	Bicycle	1	Professionals	4393
Western Australia	Bicycle	1	Sales workers	649
Western Australia	Bicycle	1	Technicians and trades workers	1416
Western Australia	Bus	1		664
Western Australia	Bus	1	Clerical and administrative workers	4870
Western Australia	Bus	1	Community and personal service workers	2904
Western Australia	Bus	1	Labourers	5966
Western Australia	Bus	1	Machinery operators and drivers	7698
Western Australia	Bus	1	Managers	2667
Western Australia	Bus	1	Professionals	9164
Western Australia	Bus	1	Sales workers	3084
Western Australia	Bus	1	Technicians and trades workers	10547
Western Australia	Bus and car as driver	2		32
Western Australia	Bus and car as driver	2	Clerical and administrative workers	348
Western Australia	Bus and car as driver	2	Community and personal service workers	123
Western Australia	Bus and car as driver	2	Labourers	127
Western Australia	Bus and car as driver	2	Machinery operators and drivers	198
Western Australia	Bus and car as driver	2	Managers	162
Western Australia	Bus and car as driver	2	Professionals	560
Western Australia	Bus and car as driver	2	Sales workers	97
Western Australia	Bus and car as driver	2	Technicians and trades workers	207
Western Australia	Bus and car as passenger	2		15
Western Australia	Bus and car as passenger	2	Clerical and administrative workers	129
Western Australia	Bus and car as passenger	2	Community and personal service workers	193
Western Australia	Bus and car as passenger	2	Labourers	268
Western Australia	Bus and car as passenger	2	Machinery operators and drivers	47
Western Australia	Bus and car as passenger	2	Managers	65
Western Australia	Bus and car as passenger	2	Professionals	241
Western Australia	Bus and car as passenger	2	Sales workers	308
Western Australia	Bus and car as passenger	2	Technicians and trades workers	127
Western Australia	Bus and ferry	2	Clerical and administrative workers	9
Western Australia	Bus and ferry	2	Community and personal service workers	11
Western Australia	Bus and ferry	2	Labourers	3
Western Australia	Bus and ferry	2	Managers	3
Western Australia	Bus and ferry	2	Professionals	15
Western Australia	Bus and ferry	2	Technicians and trades workers	4
Western Australia	Bus and other	2		5
Western Australia	Bus and other	2	Clerical and administrative workers	59
Western Australia	Bus and other	2	Community and personal service workers	49
Western Australia	Bus and other	2	Labourers	75
Western Australia	Bus and other	2	Machinery operators and drivers	132
Western Australia	Bus and other	2	Managers	52
Western Australia	Bus and other	2	Professionals	164
Western Australia	Bus and other	2	Sales workers	28
Western Australia	Bus and other	2	Technicians and trades workers	191
Western Australia	Bus and tram includes light rail	2	Professionals	3
Western Australia	Bus and two other methods excludes train	3		8
Western Australia	Bus and two other methods excludes train	3	Clerical and administrative workers	25
Western Australia	Bus and two other methods excludes train	3	Community and personal service workers	52
Western Australia	Bus and two other methods excludes train	3	Labourers	59
Western Australia	Bus and two other methods excludes train	3	Machinery operators and drivers	82
Western Australia	Bus and two other methods excludes train	3	Managers	41
Western Australia	Bus and two other methods excludes train	3	Professionals	92
Western Australia	Bus and two other methods excludes train	3	Sales workers	44
Western Australia	Bus and two other methods excludes train	3	Technicians and trades workers	141
Western Australia	Car as driver	1		9677
Western Australia	Car as driver	1	Clerical and administrative workers	93817
Western Australia	Car as driver	1	Community and personal service workers	80025
Western Australia	Car as driver	1	Labourers	65130
Western Australia	Car as driver	1	Machinery operators and drivers	53048
Western Australia	Car as driver	1	Managers	93457
Western Australia	Car as driver	1	Professionals	149203
Western Australia	Car as driver	1	Sales workers	61948
Western Australia	Car as driver	1	Technicians and trades workers	127377
Western Australia	Car as passenger	1		845
Western Australia	Car as passenger	1	Clerical and administrative workers	5402
Western Australia	Car as passenger	1	Community and personal service workers	5640
Western Australia	Car as passenger	1	Labourers	11706
Western Australia	Car as passenger	1	Machinery operators and drivers	3788
Western Australia	Car as passenger	1	Managers	3880
Western Australia	Car as passenger	1	Professionals	7127
Western Australia	Car as passenger	1	Sales workers	8995
Western Australia	Car as passenger	1	Technicians and trades workers	9313
Western Australia	Did not go to work			1646
Western Australia	Did not go to work		Clerical and administrative workers	13923
Western Australia	Did not go to work		Community and personal service workers	17384
Western Australia	Did not go to work		Labourers	13017
Western Australia	Did not go to work		Machinery operators and drivers	10520
Western Australia	Did not go to work		Managers	8160
Western Australia	Did not go to work		Professionals	22577
Western Australia	Did not go to work		Sales workers	15357
Western Australia	Did not go to work		Technicians and trades workers	16593
Western Australia	Ferry	1		37
Western Australia	Ferry	1	Clerical and administrative workers	20
Western Australia	Ferry	1	Community and personal service workers	21
Western Australia	Ferry	1	Labourers	30
Western Australia	Ferry	1	Machinery operators and drivers	24
Western Australia	Ferry	1	Managers	22
Western Australia	Ferry	1	Professionals	37
Western Australia	Ferry	1	Sales workers	13
Western Australia	Ferry	1	Technicians and trades workers	51
Western Australia	Method of travel not stated			3020
Western Australia	Method of travel not stated		Clerical and administrative workers	958
Western Australia	Method of travel not stated		Community and personal service workers	1062
Western Australia	Method of travel not stated		Labourers	1396
Western Australia	Method of travel not stated		Machinery operators and drivers	1391
Western Australia	Method of travel not stated		Managers	1024
Western Australia	Method of travel not stated		Professionals	1433
Western Australia	Method of travel not stated		Sales workers	801
Western Australia	Method of travel not stated		Technicians and trades workers	2145
Western Australia	Motorbike scooter	1		100
Western Australia	Motorbike scooter	1	Clerical and administrative workers	540
Western Australia	Motorbike scooter	1	Community and personal service workers	597
Western Australia	Motorbike scooter	1	Labourers	582
Western Australia	Motorbike scooter	1	Machinery operators and drivers	547
Western Australia	Motorbike scooter	1	Managers	650
Western Australia	Motorbike scooter	1	Professionals	1208
Western Australia	Motorbike scooter	1	Sales workers	359
Western Australia	Motorbike scooter	1	Technicians and trades workers	1175
Western Australia	(Other)	1		493
Western Australia	(Other)	1	Clerical and administrative workers	956
Western Australia	(Other)	1	Community and personal service workers	846
Western Australia	(Other)	1	Labourers	2331
Western Australia	(Other)	1	Machinery operators and drivers	3276
Western Australia	(Other)	1	Managers	1879
Western Australia	(Other)	1	Professionals	2215
Western Australia	(Other)	1	Sales workers	273
Western Australia	(Other)	1	Technicians and trades workers	4755
Western Australia	Other three methods	3		10
Western Australia	Other three methods	3	Clerical and administrative workers	34
Western Australia	Other three methods	3	Community and personal service workers	26
Western Australia	Other three methods	3	Labourers	37
Western Australia	Other three methods	3	Machinery operators and drivers	31
Western Australia	Other three methods	3	Managers	78
Western Australia	Other three methods	3	Professionals	79
Western Australia	Other three methods	3	Sales workers	17
Western Australia	Other three methods	3	Technicians and trades workers	57
Western Australia	Other two methods	2		129
Western Australia	Other two methods	2	Clerical and administrative workers	542
Western Australia	Other two methods	2	Community and personal service workers	587
Western Australia	Other two methods	2	Labourers	831
