STE_NAME16	IncomeTotPersonal.max	Occupation	PublicSector	LevelOfGovt	workers
Queensland	15750	Professionals	1	National	634
Queensland	15750	Professionals	1	State territory	576
Queensland	15750	Sales workers			84
Queensland	15750	Sales workers	0		20101
Queensland	15750	Sales workers	1	Local	13
Queensland	15750	Sales workers	1	National	34
Queensland	15750	Sales workers	1	State territory	31
Queensland	15750	Technicians and trades workers			88
Queensland	15750	Technicians and trades workers	0		5926
Queensland	15750	Technicians and trades workers	1	Local	36
Queensland	15750	Technicians and trades workers	1	National	38
Queensland	15750	Technicians and trades workers	1	State territory	71
Queensland	21000				849
Queensland	21000		0		792
Queensland	21000		1	Local	10
Queensland	21000		1	National	24
Queensland	21000		1	State territory	16
Queensland	21000	Clerical and administrative workers			50
Queensland	21000	Clerical and administrative workers	0		9887
Queensland	21000	Clerical and administrative workers	1	Local	111
Queensland	21000	Clerical and administrative workers	1	National	410
Queensland	21000	Clerical and administrative workers	1	State territory	432
Queensland	21000	Community and personal service workers			136
Queensland	21000	Community and personal service workers	0		15493
Queensland	21000	Community and personal service workers	1	Local	65
Queensland	21000	Community and personal service workers	1	National	111
Queensland	21000	Community and personal service workers	1	State territory	1602
Queensland	21000	Labourers			213
Queensland	21000	Labourers	0		16277
Queensland	21000	Labourers	1	Local	80
Queensland	21000	Labourers	1	National	42
Queensland	21000	Labourers	1	State territory	553
Queensland	21000	Machinery operators and drivers			45
Queensland	21000	Machinery operators and drivers	0		3791
Queensland	21000	Machinery operators and drivers	1	Local	9
Queensland	21000	Machinery operators and drivers	1	National	13
Queensland	21000	Machinery operators and drivers	1	State territory	35
Queensland	21000	Managers			54
Queensland	21000	Managers	0		5873
Queensland	21000	Managers	1	Local	18
Queensland	21000	Managers	1	National	36
Queensland	21000	Managers	1	State territory	107
Queensland	21000	Professionals			47
Queensland	21000	Professionals	0		6161
Queensland	21000	Professionals	1	Local	36
Queensland	21000	Professionals	1	National	500
Queensland	21000	Professionals	1	State territory	856
Queensland	21000	Sales workers			81
Queensland	21000	Sales workers	0		16870
Queensland	21000	Sales workers	1	Local	5
Queensland	21000	Sales workers	1	National	60
Queensland	21000	Sales workers	1	State territory	47
Queensland	21000	Technicians and trades workers			120
Queensland	21000	Technicians and trades workers	0		9140
Queensland	21000	Technicians and trades workers	1	Local	65
Queensland	21000	Technicians and trades workers	1	National	36
Queensland	21000	Technicians and trades workers	1	State territory	106
Queensland	26250				884
Queensland	26250		0		904
Queensland	26250		1	Local	5
Queensland	26250		1	National	22
Queensland	26250		1	State territory	16
Queensland	26250	Clerical and administrative workers			75
Queensland	26250	Clerical and administrative workers	0		12766
Queensland	26250	Clerical and administrative workers	1	Local	210
Queensland	26250	Clerical and administrative workers	1	National	548
Queensland	26250	Clerical and administrative workers	1	State territory	769
Queensland	26250	Community and personal service workers			161
Queensland	26250	Community and personal service workers	0		18933
Queensland	26250	Community and personal service workers	1	Local	75
Queensland	26250	Community and personal service workers	1	National	179
Queensland	26250	Community and personal service workers	1	State territory	2521
Queensland	26250	Labourers			223
Queensland	26250	Labourers	0		18968
Queensland	26250	Labourers	1	Local	102
Queensland	26250	Labourers	1	National	48
Queensland	26250	Labourers	1	State territory	745
Queensland	26250	Machinery operators and drivers			73
Queensland	26250	Machinery operators and drivers	0		5058
Queensland	26250	Machinery operators and drivers	1	Local	40
Queensland	26250	Machinery operators and drivers	1	National	25
Queensland	26250	Machinery operators and drivers	1	State territory	53
Queensland	26250	Managers			50
Queensland	26250	Managers	0		6563
Queensland	26250	Managers	1	Local	19
Queensland	26250	Managers	1	National	36
Queensland	26250	Managers	1	State territory	132
Queensland	26250	Professionals			47
Queensland	26250	Professionals	0		7116
Queensland	26250	Professionals	1	Local	56
Queensland	26250	Professionals	1	National	614
Queensland	26250	Professionals	1	State territory	1072
Queensland	26250	Sales workers			75
Queensland	26250	Sales workers	0		18171
Queensland	26250	Sales workers	1	Local	8
Queensland	26250	Sales workers	1	National	60
Queensland	26250	Sales workers	1	State territory	61
Queensland	26250	Technicians and trades workers			124
Queensland	26250	Technicians and trades workers	0		13727
Queensland	26250	Technicians and trades workers	1	Local	97
Queensland	26250	Technicians and trades workers	1	National	53
Queensland	26250	Technicians and trades workers	1	State territory	144
Queensland	34125				940
Queensland	34125		0		1410
Queensland	34125		1	Local	11
Queensland	34125		1	National	30
Queensland	34125		1	State territory	52
Queensland	34125	Clerical and administrative workers			120
Queensland	34125	Clerical and administrative workers	0		23108
Queensland	34125	Clerical and administrative workers	1	Local	519
Queensland	34125	Clerical and administrative workers	1	National	993
Queensland	34125	Clerical and administrative workers	1	State territory	2002
Queensland	34125	Community and personal service workers			208
Queensland	34125	Community and personal service workers	0		31280
Queensland	34125	Community and personal service workers	1	Local	105
Queensland	34125	Community and personal service workers	1	National	212
Queensland	34125	Community and personal service workers	1	State territory	4933
Queensland	34125	Labourers			305
Queensland	34125	Labourers	0		28203
Queensland	34125	Labourers	1	Local	234
Queensland	34125	Labourers	1	National	68
Queensland	34125	Labourers	1	State territory	1349
Queensland	34125	Machinery operators and drivers			129
Queensland	34125	Machinery operators and drivers	0		9532
Queensland	34125	Machinery operators and drivers	1	Local	100
Queensland	34125	Machinery operators and drivers	1	National	55
Queensland	34125	Machinery operators and drivers	1	State territory	138
Queensland	34125	Managers			87
Queensland	34125	Managers	0		11435
Queensland	34125	Managers	1	Local	48
Queensland	34125	Managers	1	National	58
Queensland	34125	Managers	1	State territory	219
Queensland	34125	Professionals			73
Queensland	34125	Professionals	0		12323
Queensland	34125	Professionals	1	Local	162
Queensland	34125	Professionals	1	National	1190
Queensland	34125	Professionals	1	State territory	2570
Queensland	34125	Sales workers			113
Queensland	34125	Sales workers	0		25339
Queensland	34125	Sales workers	1	Local	26
Queensland	34125	Sales workers	1	National	119
Queensland	34125	Sales workers	1	State territory	120
Queensland	34125	Technicians and trades workers			205
Queensland	34125	Technicians and trades workers	0		22677
Queensland	34125	Technicians and trades workers	1	Local	182
Queensland	34125	Technicians and trades workers	1	National	101
Queensland	34125	Technicians and trades workers	1	State territory	355
Queensland	42000				1110
Queensland	42000		0		1927
Queensland	42000		1	Local	44
Queensland	42000		1	National	54
Queensland	42000		1	State territory	86
Queensland	42000	Clerical and administrative workers			161
Queensland	42000	Clerical and administrative workers	0		32496
Queensland	42000	Clerical and administrative workers	1	Local	680
Queensland	42000	Clerical and administrative workers	1	National	1503
Queensland	42000	Clerical and administrative workers	1	State territory	3222
Queensland	42000	Community and personal service workers			170
Queensland	42000	Community and personal service workers	0		34099
Queensland	42000	Community and personal service workers	1	Local	134
Queensland	42000	Community and personal service workers	1	National	335
Queensland	42000	Community and personal service workers	1	State territory	4600
Queensland	42000	Labourers			328
Queensland	42000	Labourers	0		34222
Queensland	42000	Labourers	1	Local	592
Queensland	42000	Labourers	1	National	72
Queensland	42000	Labourers	1	State territory	1965
Queensland	42000	Machinery operators and drivers			172
Queensland	42000	Machinery operators and drivers	0		18369
Queensland	42000	Machinery operators and drivers	1	Local	399
Queensland	42000	Machinery operators and drivers	1	National	115
Queensland	42000	Machinery operators and drivers	1	State territory	217
Queensland	42000	Managers			90
Queensland	42000	Managers	0		16892
Queensland	42000	Managers	1	Local	72
Queensland	42000	Managers	1	National	118
Queensland	42000	Managers	1	State territory	264
Queensland	42000	Professionals			83
Queensland	42000	Professionals	0		17044
Queensland	42000	Professionals	1	Local	247
Queensland	42000	Professionals	1	National	945
Queensland	42000	Professionals	1	State territory	4408
Queensland	42000	Sales workers			100
Queensland	42000	Sales workers	0		27562
Queensland	42000	Sales workers	1	Local	27
Queensland	42000	Sales workers	1	National	142
Queensland	42000	Sales workers	1	State territory	161
Queensland	42000	Technicians and trades workers			235
Queensland	42000	Technicians and trades workers	0		31350
Queensland	42000	Technicians and trades workers	1	Local	336
Queensland	42000	Technicians and trades workers	1	National	167
Queensland	42000	Technicians and trades workers	1	State territory	604
Queensland	52500				1074
Queensland	52500		0		2435
Queensland	52500		1	Local	63
Queensland	52500		1	National	100
Queensland	52500		1	State territory	150
Queensland	52500	Clerical and administrative workers			165
Queensland	52500	Clerical and administrative workers	0		41869
Queensland	52500	Clerical and administrative workers	1	Local	1295
Queensland	52500	Clerical and administrative workers	1	National	2479
Queensland	52500	Clerical and administrative workers	1	State territory	5319
Queensland	52500	Community and personal service workers			138
Queensland	52500	Community and personal service workers	0		26997
Queensland	52500	Community and personal service workers	1	Local	136
Queensland	52500	Community and personal service workers	1	National	886
Queensland	52500	Community and personal service workers	1	State territory	4271
Queensland	52500	Labourers			241
Queensland	52500	Labourers	0		31137
Queensland	52500	Labourers	1	Local	1160
Queensland	52500	Labourers	1	National	64
Queensland	52500	Labourers	1	State territory	2096
Queensland	52500	Machinery operators and drivers			203
Queensland	52500	Machinery operators and drivers	0		24699
Queensland	52500	Machinery operators and drivers	1	Local	977
Queensland	52500	Machinery operators and drivers	1	National	279
Queensland	52500	Machinery operators and drivers	1	State territory	458
Queensland	52500	Managers			109
Queensland	52500	Managers	0		26068
Queensland	52500	Managers	1	Local	130
Queensland	52500	Managers	1	National	204
Queensland	52500	Managers	1	State territory	453
Queensland	52500	Professionals			124
Queensland	52500	Professionals	0		25625
Queensland	52500	Professionals	1	Local	430
Queensland	52500	Professionals	1	National	1347
Queensland	52500	Professionals	1	State territory	7477
Queensland	52500	Sales workers			71
Queensland	52500	Sales workers	0		22636
Queensland	52500	Sales workers	1	Local	38
Queensland	52500	Sales workers	1	National	163
Queensland	52500	Sales workers	1	State territory	221
Queensland	52500	Technicians and trades workers			297
Queensland	52500	Technicians and trades workers	0		42923
Queensland	52500	Technicians and trades workers	1	Local	773
Queensland	52500	Technicians and trades workers	1	National	357
Queensland	52500	Technicians and trades workers	1	State territory	1028
Queensland	65625				864
Queensland	65625		0		2404
Queensland	65625		1	Local	95
Queensland	65625		1	National	188
Queensland	65625		1	State territory	230
Queensland	65625	Clerical and administrative workers			138
Queensland	65625	Clerical and administrative workers	0		38151
Queensland	65625	Clerical and administrative workers	1	Local	2711
Queensland	65625	Clerical and administrative workers	1	National	4685
Queensland	65625	Clerical and administrative workers	1	State territory	8922
Queensland	65625	Community and personal service workers			80
Queensland	65625	Community and personal service workers	0		16703
Queensland	65625	Community and personal service workers	1	Local	179
Queensland	65625	Community and personal service workers	1	National	1896
Queensland	65625	Community and personal service workers	1	State territory	5684
Queensland	65625	Labourers			144
Queensland	65625	Labourers	0		20290
Queensland	65625	Labourers	1	Local	1172
Queensland	65625	Labourers	1	National	63
Queensland	65625	Labourers	1	State territory	1226
Queensland	65625	Machinery operators and drivers			148
Queensland	65625	Machinery operators and drivers	0		22143
Queensland	65625	Machinery operators and drivers	1	Local	1362
Queensland	65625	Machinery operators and drivers	1	National	502
Queensland	65625	Machinery operators and drivers	1	State territory	678
Queensland	65625	Managers			111
Queensland	65625	Managers	0		31196
Queensland	65625	Managers	1	Local	341
Queensland	65625	Managers	1	National	475
Queensland	65625	Managers	1	State territory	996
Queensland	65625	Professionals			172
Queensland	65625	Professionals	0		37665
Queensland	65625	Professionals	1	Local	983
Queensland	65625	Professionals	1	National	2146
Queensland	65625	Professionals	1	State territory	15262
Queensland	65625	Sales workers			47
Queensland	65625	Sales workers	0		15970
Queensland	65625	Sales workers	1	Local	34
Queensland	65625	Sales workers	1	National	148
Queensland	65625	Sales workers	1	State territory	292
Queensland	65625	Technicians and trades workers			279
Queensland	65625	Technicians and trades workers	0		47800
Queensland	65625	Technicians and trades workers	1	Local	1315
Queensland	65625	Technicians and trades workers	1	National	989
Queensland	65625	Technicians and trades workers	1	State territory	1586
Queensland	78750				472
Queensland	78750		0		1562
Queensland	78750		1	Local	86
Queensland	78750		1	National	218
Queensland	78750		1	State territory	211
Queensland	78750	Clerical and administrative workers			76
Queensland	78750	Clerical and administrative workers	0		20010
Queensland	78750	Clerical and administrative workers	1	Local	1656
Queensland	78750	Clerical and administrative workers	1	National	4425
Queensland	78750	Clerical and administrative workers	1	State territory	6193
Queensland	78750	Community and personal service workers			40
Queensland	78750	Community and personal service workers	0		6662
Queensland	78750	Community and personal service workers	1	Local	147
Queensland	78750	Community and personal service workers	1	National	1680
Queensland	78750	Community and personal service workers	1	State territory	4965
Queensland	78750	Labourers			59
Queensland	78750	Labourers	0		9284
Queensland	78750	Labourers	1	Local	407
Queensland	78750	Labourers	1	National	36
Queensland	78750	Labourers	1	State territory	540
Queensland	78750	Machinery operators and drivers			60
Queensland	78750	Machinery operators and drivers	0		13457
Queensland	78750	Machinery operators and drivers	1	Local	591
Queensland	78750	Machinery operators and drivers	1	National	369
Queensland	78750	Machinery operators and drivers	1	State territory	486
Queensland	78750	Managers			64
Queensland	78750	Managers	0		22838
Queensland	78750	Managers	1	Local	395
Queensland	78750	Managers	1	National	849
Queensland	78750	Managers	1	State territory	1056
Queensland	78750	Professionals			120
Queensland	78750	Professionals	0		34184
Queensland	78750	Professionals	1	Local	1482
Queensland	78750	Professionals	1	National	3171
Queensland	78750	Professionals	1	State territory	18217
Queensland	78750	Sales workers			17
Queensland	78750	Sales workers	0		8883
Queensland	78750	Sales workers	1	Local	22
Queensland	78750	Sales workers	1	National	62
Queensland	78750	Sales workers	1	State territory	172
Queensland	78750	Technicians and trades workers			160
Queensland	78750	Technicians and trades workers	0		31105
Queensland	78750	Technicians and trades workers	1	Local	1061
Queensland	78750	Technicians and trades workers	1	National	1498
Queensland	78750	Technicians and trades workers	1	State territory	1501
Queensland	91875				332
Queensland	91875		0		1233
Queensland	91875		1	Local	57
Queensland	91875		1	National	163
Queensland	91875		1	State territory	244
Queensland	91875	Clerical and administrative workers			45
Queensland	91875	Clerical and administrative workers	0		12308
Queensland	91875	Clerical and administrative workers	1	Local	799
Queensland	91875	Clerical and administrative workers	1	National	2315
Queensland	91875	Clerical and administrative workers	1	State territory	4135
Queensland	91875	Community and personal service workers			22
Queensland	91875	Community and personal service workers	0		3277
Queensland	91875	Community and personal service workers	1	Local	85
Queensland	91875	Community and personal service workers	1	National	991
Queensland	91875	Community and personal service workers	1	State territory	4966
Queensland	91875	Labourers			24
Queensland	91875	Labourers	0		5685
Queensland	91875	Labourers	1	Local	181
Queensland	91875	Labourers	1	National	17
Queensland	91875	Labourers	1	State territory	357
Queensland	91875	Machinery operators and drivers			33
Queensland	91875	Machinery operators and drivers	0		10119
Queensland	91875	Machinery operators and drivers	1	Local	292
Queensland	91875	Machinery operators and drivers	1	National	149
Queensland	91875	Machinery operators and drivers	1	State territory	364
Queensland	91875	Managers			62
Queensland	91875	Managers	0		22295
Queensland	91875	Managers	1	Local	449
Queensland	91875	Managers	1	National	1308
Queensland	91875	Managers	1	State territory	1656
Queensland	91875	Professionals			94
Queensland	91875	Professionals	0		36110
Queensland	91875	Professionals	1	Local	1545
Queensland	91875	Professionals	1	National	4101
Queensland	91875	Professionals	1	State territory	24481
Queensland	91875	Sales workers			22
Queensland	91875	Sales workers	0		6418
Queensland	91875	Sales workers	1	Local	10
Queensland	91875	Sales workers	1	National	34
Queensland	91875	Sales workers	1	State territory	106
Queensland	91875	Technicians and trades workers			89
Queensland	91875	Technicians and trades workers	0		23317
Queensland	91875	Technicians and trades workers	1	Local	649
Queensland	91875	Technicians and trades workers	1	National	1006
Queensland	91875	Technicians and trades workers	1	State territory	1512
Queensland	105000				203
Queensland	105000		0		780
Queensland	105000		1	Local	47
Queensland	105000		1	National	83
Queensland	105000		1	State territory	230
Queensland	105000	Clerical and administrative workers			18
Queensland	105000	Clerical and administrative workers	0		5692
Queensland	105000	Clerical and administrative workers	1	Local	329
Queensland	105000	Clerical and administrative workers	1	National	931
Queensland	105000	Clerical and administrative workers	1	State territory	2109
Queensland	105000	Community and personal service workers			13
Queensland	105000	Community and personal service workers	0		1485
Queensland	105000	Community and personal service workers	1	Local	34
Queensland	105000	Community and personal service workers	1	National	504
Queensland	105000	Community and personal service workers	1	State territory	3764
Queensland	105000	Labourers			20
Queensland	105000	Labourers	0		3271
Queensland	105000	Labourers	1	Local	82
Queensland	105000	Labourers	1	National	9
Queensland	105000	Labourers	1	State territory	246
Queensland	105000	Machinery operators and drivers			26
Queensland	105000	Machinery operators and drivers	0		7652
Queensland	105000	Machinery operators and drivers	1	Local	113
Queensland	105000	Machinery operators and drivers	1	National	44
Queensland	105000	Machinery operators and drivers	1	State territory	296
Queensland	105000	Managers			45
Queensland	105000	Managers	0		15182
Queensland	105000	Managers	1	Local	434
Queensland	105000	Managers	1	National	1300
Queensland	105000	Managers	1	State territory	2333
Queensland	105000	Professionals			68
Queensland	105000	Professionals	0		24831
Queensland	105000	Professionals	1	Local	881
Queensland	105000	Professionals	1	National	2871
Queensland	105000	Professionals	1	State territory	15239
Queensland	105000	Sales workers			9
Queensland	105000	Sales workers	0		3472
Queensland	105000	Sales workers	1	Local	3
Queensland	105000	Sales workers	1	National	13
Queensland	105000	Sales workers	1	State territory	61
Queensland	105000	Technicians and trades workers			51
Queensland	105000	Technicians and trades workers	0		15089
Queensland	105000	Technicians and trades workers	1	Local	250
Queensland	105000	Technicians and trades workers	1	National	477
Queensland	105000	Technicians and trades workers	1	State territory	1245
Queensland	157500				233
Queensland	157500		0		1208
Queensland	157500		1	Local	35
Queensland	157500		1	National	83
Queensland	157500		1	State territory	218
Queensland	157500	Clerical and administrative workers			24
Queensland	157500	Clerical and administrative workers	0		7551
Queensland	157500	Clerical and administrative workers	1	Local	287
Queensland	157500	Clerical and administrative workers	1	National	917
Queensland	157500	Clerical and administrative workers	1	State territory	2151
Queensland	157500	Community and personal service workers			9
Queensland	157500	Community and personal service workers	0		1311
Queensland	157500	Community and personal service workers	1	Local	25
Queensland	157500	Community and personal service workers	1	National	454
Queensland	157500	Community and personal service workers	1	State territory	3354
Queensland	157500	Labourers			23
Queensland	157500	Labourers	0		3189
Queensland	157500	Labourers	1	Local	40
Queensland	157500	Labourers	1	National	10
Queensland	157500	Labourers	1	State territory	215
Queensland	157500	Machinery operators and drivers			18
Queensland	157500	Machinery operators and drivers	0		11096
Queensland	157500	Machinery operators and drivers	1	Local	44
Queensland	157500	Machinery operators and drivers	1	National	36
Queensland	157500	Machinery operators and drivers	1	State territory	565
Queensland	157500	Managers			49
Queensland	157500	Managers	0		30806
Queensland	157500	Managers	1	Local	926
Queensland	157500	Managers	1	National	2450
Queensland	157500	Managers	1	State territory	6564
Queensland	157500	Professionals			102
Queensland	157500	Professionals	0		37779
Queensland	157500	Professionals	1	Local	974
Queensland	157500	Professionals	1	National	4839
Queensland	157500	Professionals	1	State territory	14197
Queensland	157500	Sales workers			8
Queensland	157500	Sales workers	0		4670
Queensland	157500	Sales workers	1	Local	7
Queensland	157500	Sales workers	1	National	18
Queensland	157500	Sales workers	1	State territory	60
Queensland	157500	Technicians and trades workers			39
Queensland	157500	Technicians and trades workers	0		21236
Queensland	157500	Technicians and trades workers	1	Local	169
Queensland	157500	Technicians and trades workers	1	National	385
Queensland	157500	Technicians and trades workers	1	State territory	1666
Queensland	Inf				219
Queensland	Inf		0		937
Queensland	Inf		1	Local	5
Queensland	Inf		1	National	15
Queensland	Inf		1	State territory	50
Queensland	Inf	Clerical and administrative workers			13
Queensland	Inf	Clerical and administrative workers	0		4071
Queensland	Inf	Clerical and administrative workers	1	Local	61
Queensland	Inf	Clerical and administrative workers	1	National	159
Queensland	Inf	Clerical and administrative workers	1	State territory	316
Queensland	Inf	Community and personal service workers			12
Queensland	Inf	Community and personal service workers	0		772
Queensland	Inf	Community and personal service workers	1	Local	4
Queensland	Inf	Community and personal service workers	1	National	34
Queensland	Inf	Community and personal service workers	1	State territory	188
Queensland	Inf	Labourers			15
Queensland	Inf	Labourers	0		1233
Queensland	Inf	Labourers	1	Local	13
Queensland	Inf	Labourers	1	State territory	31
Queensland	Inf	Machinery operators and drivers			16
Queensland	Inf	Machinery operators and drivers	0		2945
Queensland	Inf	Machinery operators and drivers	1	Local	6
Queensland	Inf	Machinery operators and drivers	1	National	8
Queensland	Inf	Machinery operators and drivers	1	State territory	40
Queensland	Inf	Managers			49
Queensland	Inf	Managers	0		25580
Queensland	Inf	Managers	1	Local	571
Queensland	Inf	Managers	1	National	786
Queensland	Inf	Managers	1	State territory	1898
Queensland	Inf	Professionals			64
Queensland	Inf	Professionals	0		27856
Queensland	Inf	Professionals	1	Local	173
Queensland	Inf	Professionals	1	National	1733
Queensland	Inf	Professionals	1	State territory	4299
Queensland	Inf	Sales workers			19
Queensland	Inf	Sales workers	0		3021
Queensland	Inf	Sales workers	1	National	9
Queensland	Inf	Sales workers	1	State territory	23
Queensland	Inf	Technicians and trades workers			25
Queensland	Inf	Technicians and trades workers	0		7289
Queensland	Inf	Technicians and trades workers	1	Local	19
Queensland	Inf	Technicians and trades workers	1	National	36
Queensland	Inf	Technicians and trades workers	1	State territory	231
South Australia					898
South Australia			0		368
South Australia			1	Local	4
South Australia			1	National	13
South Australia			1	State territory	12
South Australia		Clerical and administrative workers			54
South Australia		Clerical and administrative workers	0		811
South Australia		Clerical and administrative workers	1	Local	10
South Australia		Clerical and administrative workers	1	National	68
South Australia		Clerical and administrative workers	1	State territory	99
South Australia		Community and personal service workers			80
South Australia		Community and personal service workers	0		855
South Australia		Community and personal service workers	1	Local	7
South Australia		Community and personal service workers	1	National	13
South Australia		Community and personal service workers	1	State territory	140
South Australia		Labourers			76
South Australia		Labourers	0		1200
South Australia		Labourers	1	Local	5
South Australia		Labourers	1	State territory	20
South Australia		Machinery operators and drivers			44
South Australia		Machinery operators and drivers	0		562
South Australia		Machinery operators and drivers	1	Local	12
South Australia		Machinery operators and drivers	1	National	4
South Australia		Machinery operators and drivers	1	State territory	12
South Australia		Managers			52
South Australia		Managers	0		1121
South Australia		Managers	1	Local	10
South Australia		Managers	1	National	21
South Australia		Managers	1	State territory	26
South Australia		Professionals			73
South Australia		Professionals	0		924
South Australia		Professionals	1	Local	10
South Australia		Professionals	1	National	68
South Australia		Professionals	1	State territory	252
South Australia		Sales workers			48
South Australia		Sales workers	0		915
South Australia		Sales workers	1	National	11
South Australia		Sales workers	1	State territory	7
South Australia		Technicians and trades workers			96
South Australia		Technicians and trades workers	0		1253
South Australia		Technicians and trades workers	1	Local	11
South Australia		Technicians and trades workers	1	National	24
South Australia		Technicians and trades workers	1	State territory	27
South Australia	0				216
South Australia	0		0		165
South Australia	0		1	Local	3
South Australia	0		1	National	7
South Australia	0		1	State territory	8
South Australia	0	Clerical and administrative workers			11
South Australia	0	Clerical and administrative workers	0		473
South Australia	0	Clerical and administrative workers	1	Local	4
South Australia	0	Clerical and administrative workers	1	National	56
South Australia	0	Clerical and administrative workers	1	State territory	27
South Australia	0	Community and personal service workers			13
South Australia	0	Community and personal service workers	0		461
South Australia	0	Community and personal service workers	1	National	5
South Australia	0	Community and personal service workers	1	State territory	29
South Australia	0	Labourers			23
South Australia	0	Labourers	0		698
South Australia	0	Labourers	1	Local	3
South Australia	0	Labourers	1	National	4
South Australia	0	Labourers	1	State territory	5
South Australia	0	Machinery operators and drivers			6
South Australia	0	Machinery operators and drivers	0		178
South Australia	0	Managers			17
South Australia	0	Managers	0		1423
South Australia	0	Managers	1	National	4
South Australia	0	Managers	1	State territory	3
South Australia	0	Professionals			11
South Australia	0	Professionals	0		416
South Australia	0	Professionals	1	National	23
South Australia	0	Professionals	1	State territory	34
South Australia	0	Sales workers			7
South Australia	0	Sales workers	0		582
South Australia	0	Technicians and trades workers			20
South Australia	0	Technicians and trades workers	0		480
South Australia	0	Technicians and trades workers	1	National	4
South Australia	7875				189
South Australia	7875		0		219
South Australia	7875		1	National	4
South Australia	7875		1	State territory	4
South Australia	7875	Clerical and administrative workers			7
South Australia	7875	Clerical and administrative workers	0		1184
South Australia	7875	Clerical and administrative workers	1	Local	12
South Australia	7875	Clerical and administrative workers	1	National	107
South Australia	7875	Clerical and administrative workers	1	State territory	46
South Australia	7875	Community and personal service workers			37
South Australia	7875	Community and personal service workers	0		4874
South Australia	7875	Community and personal service workers	1	Local	18
South Australia	7875	Community and personal service workers	1	National	22
South Australia	7875	Community and personal service workers	1	State territory	161
South Australia	7875	Labourers			53
South Australia	7875	Labourers	0		6899
South Australia	7875	Labourers	1	Local	7
South Australia	7875	Labourers	1	National	6
South Australia	7875	Labourers	1	State territory	42
South Australia	7875	Machinery operators and drivers			6
South Australia	7875	Machinery operators and drivers	0		549
South Australia	7875	Machinery operators and drivers	1	State territory	8
South Australia	7875	Managers			5
South Australia	7875	Managers	0		931
South Australia	7875	Managers	1	Local	4
South Australia	7875	Managers	1	National	7
South Australia	7875	Managers	1	State territory	10
South Australia	7875	Professionals			8
South Australia	7875	Professionals	0		1351
South Australia	7875	Professionals	1	Local	5
South Australia	7875	Professionals	1	National	141
South Australia	7875	Professionals	1	State territory	96
South Australia	7875	Sales workers			32
South Australia	7875	Sales workers	0		9310
South Australia	7875	Sales workers	1	Local	3
South Australia	7875	Sales workers	1	National	11
South Australia	7875	Sales workers	1	State territory	4
South Australia	7875	Technicians and trades workers			16
South Australia	7875	Technicians and trades workers	0		1101
South Australia	7875	Technicians and trades workers	1	National	8
South Australia	7875	Technicians and trades workers	1	State territory	21
South Australia	15750				270
South Australia	15750		0		242
South Australia	15750		1	National	8
South Australia	15750		1	State territory	4
South Australia	15750	Clerical and administrative workers			12
South Australia	15750	Clerical and administrative workers	0		2540
South Australia	15750	Clerical and administrative workers	1	Local	21
South Australia	15750	Clerical and administrative workers	1	National	195
South Australia	15750	Clerical and administrative workers	1	State territory	105
South Australia	15750	Community and personal service workers			38
South Australia	15750	Community and personal service workers	0		6026
South Australia	15750	Community and personal service workers	1	Local	18
South Australia	15750	Community and personal service workers	1	National	34
South Australia	15750	Community and personal service workers	1	State territory	402
South Australia	15750	Labourers			82
South Australia	15750	Labourers	0		6876
South Australia	15750	Labourers	1	Local	26
South Australia	15750	Labourers	1	National	4
South Australia	15750	Labourers	1	State territory	54
South Australia	15750	Machinery operators and drivers			12
South Australia	15750	Machinery operators and drivers	0		1040
South Australia	15750	Machinery operators and drivers	1	National	5
South Australia	15750	Machinery operators and drivers	1	State territory	20
South Australia	15750	Managers			21
South Australia	15750	Managers	0		1865
South Australia	15750	Managers	1	Local	5
South Australia	15750	Managers	1	National	11
South Australia	15750	Managers	1	State territory	26
South Australia	15750	Professionals			14
South Australia	15750	Professionals	0		2100
South Australia	15750	Professionals	1	Local	5
South Australia	15750	Professionals	1	National	172
South Australia	15750	Professionals	1	State territory	243
South Australia	15750	Sales workers			34
South Australia	15750	Sales workers	0		8000
South Australia	15750	Sales workers	1	Local	3
South Australia	15750	Sales workers	1	National	8
South Australia	15750	Sales workers	1	State territory	9
South Australia	15750	Technicians and trades workers			36
South Australia	15750	Technicians and trades workers	0		2324
South Australia	15750	Technicians and trades workers	1	Local	9
South Australia	15750	Technicians and trades workers	1	National	17
South Australia	15750	Technicians and trades workers	1	State territory	34
South Australia	21000				296
South Australia	21000		0		288
South Australia	21000		1	National	7
South Australia	21000		1	State territory	6
South Australia	21000	Clerical and administrative workers			16
South Australia	21000	Clerical and administrative workers	0		3474
South Australia	21000	Clerical and administrative workers	1	Local	40
South Australia	21000	Clerical and administrative workers	1	National	174
South Australia	21000	Clerical and administrative workers	1	State territory	210
South Australia	21000	Community and personal service workers			45
South Australia	21000	Community and personal service workers	0		5965
South Australia	21000	Community and personal service workers	1	Local	26
South Australia	21000	Community and personal service workers	1	National	33
South Australia	21000	Community and personal service workers	1	State territory	506
South Australia	21000	Labourers			54
South Australia	21000	Labourers	0		6810
South Australia	21000	Labourers	1	Local	19
South Australia	21000	Labourers	1	National	12
South Australia	21000	Labourers	1	State territory	107
South Australia	21000	Machinery operators and drivers			25
South Australia	21000	Machinery operators and drivers	0		1352
South Australia	21000	Machinery operators and drivers	1	National	10
South Australia	21000	Machinery operators and drivers	1	State territory	16
