STE_NAME16	Occupation	OccupationSubtype	Sex	workers
Western Australia	Sales workers	Sales workers nfd	F	129
Western Australia	Sales workers	Sales workers nfd	M	100
Western Australia	Technicians and trades workers	Automotive and engineering trades workers	F	663
Western Australia	Technicians and trades workers	Automotive and engineering trades workers	M	47600
Western Australia	Technicians and trades workers	Construction trades workers	F	599
Western Australia	Technicians and trades workers	Construction trades workers	M	34562
Western Australia	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	577
Western Australia	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	25371
Western Australia	Technicians and trades workers	Engineering ICT and science technicians	F	7293
Western Australia	Technicians and trades workers	Engineering ICT and science technicians	M	23544
Western Australia	Technicians and trades workers	Food trades workers	F	5726
Western Australia	Technicians and trades workers	Food trades workers	M	11380
Western Australia	Technicians and trades workers	Other technicians and trades workers	F	8957
Western Australia	Technicians and trades workers	Other technicians and trades workers	M	10197
Western Australia	Technicians and trades workers	Skilled animal and horticultural workers	F	4016
Western Australia	Technicians and trades workers	Skilled animal and horticultural workers	M	7992
Western Australia	Technicians and trades workers	Technicians and trades workers nfd	F	167
Western Australia	Technicians and trades workers	Technicians and trades workers nfd	M	2457
Tasmania			F	1546
Tasmania			M	2198
Tasmania	Clerical and administrative workers	Clerical and administrative workers nfd	F	61
Tasmania	Clerical and administrative workers	Clerical and administrative workers nfd	M	54
Tasmania	Clerical and administrative workers	Clerical and office support workers	F	808
Tasmania	Clerical and administrative workers	Clerical and office support workers	M	907
Tasmania	Clerical and administrative workers	General clerical workers	F	4564
Tasmania	Clerical and administrative workers	General clerical workers	M	809
Tasmania	Clerical and administrative workers	Inquiry clerks and receptionists	F	4855
Tasmania	Clerical and administrative workers	Inquiry clerks and receptionists	M	857
Tasmania	Clerical and administrative workers	Numerical clerks	F	4327
Tasmania	Clerical and administrative workers	Numerical clerks	M	992
Tasmania	Clerical and administrative workers	Office managers and program administrators	F	3395
Tasmania	Clerical and administrative workers	Office managers and program administrators	M	1223
Tasmania	Clerical and administrative workers	Other clerical and administrative workers	F	1922
Tasmania	Clerical and administrative workers	Other clerical and administrative workers	M	1737
Tasmania	Clerical and administrative workers	Personal assistants and secretaries	F	1539
Tasmania	Clerical and administrative workers	Personal assistants and secretaries	M	46
Tasmania	Community and personal service workers	Carers and aides	F	10477
Tasmania	Community and personal service workers	Carers and aides	M	1891
Tasmania	Community and personal service workers	Community and personal service workers nfd	F	12
Tasmania	Community and personal service workers	Community and personal service workers nfd	M	5
Tasmania	Community and personal service workers	Health and welfare support workers	F	2418
Tasmania	Community and personal service workers	Health and welfare support workers	M	778
Tasmania	Community and personal service workers	Hospitality workers	F	4106
Tasmania	Community and personal service workers	Hospitality workers	M	1445
Tasmania	Community and personal service workers	Protective service workers	F	587
Tasmania	Community and personal service workers	Protective service workers	M	1973
Tasmania	Community and personal service workers	Sports and personal service workers	F	1852
Tasmania	Community and personal service workers	Sports and personal service workers	M	1096
Tasmania	Labourers	Cleaners and laundry workers	F	4856
Tasmania	Labourers	Cleaners and laundry workers	M	2040
Tasmania	Labourers	Construction and mining labourers	F	33
Tasmania	Labourers	Construction and mining labourers	M	2086
Tasmania	Labourers	Factory process workers	F	1464
Tasmania	Labourers	Factory process workers	M	2909
Tasmania	Labourers	Farm forestry and garden workers	F	871
Tasmania	Labourers	Farm forestry and garden workers	M	2611
Tasmania	Labourers	Food preparation assistants	F	2068
Tasmania	Labourers	Food preparation assistants	M	1578
Tasmania	Labourers	Labourers nfd	F	77
Tasmania	Labourers	Labourers nfd	M	458
Tasmania	Labourers	Other labourers	F	918
Tasmania	Labourers	Other labourers	M	3129
Tasmania	Machinery operators and drivers	Machine and stationary plant operators	F	345
Tasmania	Machinery operators and drivers	Machine and stationary plant operators	M	2838
Tasmania	Machinery operators and drivers	Machinery operators and drivers nfd	F	3
Tasmania	Machinery operators and drivers	Machinery operators and drivers nfd	M	245
Tasmania	Machinery operators and drivers	Mobile plant operators	F	73
Tasmania	Machinery operators and drivers	Mobile plant operators	M	2431
Tasmania	Machinery operators and drivers	Road and rail drivers	F	395
Tasmania	Machinery operators and drivers	Road and rail drivers	M	5643
Tasmania	Machinery operators and drivers	Storepersons	F	179
Tasmania	Machinery operators and drivers	Storepersons	M	1393
Tasmania	Managers	Chief executives general managers and legislators	F	546
Tasmania	Managers	Chief executives general managers and legislators	M	1432
Tasmania	Managers	Farmers and farm managers	F	1148
Tasmania	Managers	Farmers and farm managers	M	3556
Tasmania	Managers	Hospitality retail and service managers	F	4103
Tasmania	Managers	Hospitality retail and service managers	M	4507
Tasmania	Managers	Managers nfd	F	171
Tasmania	Managers	Managers nfd	M	314
Tasmania	Managers	Specialist managers	F	3424
Tasmania	Managers	Specialist managers	M	7143
Tasmania	Professionals	Arts and media professionals	F	663
Tasmania	Professionals	Arts and media professionals	M	753
Tasmania	Professionals	Business human resource and marketing professionals	F	3712
Tasmania	Professionals	Business human resource and marketing professionals	M	3549
Tasmania	Professionals	Design engineering science and transport professionals	F	1465
Tasmania	Professionals	Design engineering science and transport professionals	M	3689
Tasmania	Professionals	Education professionals	F	6948
Tasmania	Professionals	Education professionals	M	3105
Tasmania	Professionals	Health professionals	F	8092
Tasmania	Professionals	Health professionals	M	2736
Tasmania	Professionals	Information and Communication Technology ICT professionals	F	269
Tasmania	Professionals	Information and Communication Technology ICT professionals	M	1511
Tasmania	Professionals	Legal social and welfare professionals	F	2253
Tasmania	Professionals	Legal social and welfare professionals	M	1183
Tasmania	Professionals	Professionals nfd	F	298
Tasmania	Professionals	Professionals nfd	M	311
Tasmania	Sales workers	Sales assistants and salespersons	F	10474
Tasmania	Sales workers	Sales assistants and salespersons	M	5371
Tasmania	Sales workers	Sales representatives and agents	F	1106
Tasmania	Sales workers	Sales representatives and agents	M	1552
Tasmania	Sales workers	Sales support workers	F	2102
Tasmania	Sales workers	Sales support workers	M	727
Tasmania	Sales workers	Sales workers nfd	F	13
Tasmania	Sales workers	Sales workers nfd	M	9
Tasmania	Technicians and trades workers	Automotive and engineering trades workers	F	71
Tasmania	Technicians and trades workers	Automotive and engineering trades workers	M	6076
Tasmania	Technicians and trades workers	Construction trades workers	F	71
Tasmania	Technicians and trades workers	Construction trades workers	M	5927
Tasmania	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	66
Tasmania	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	3588
Tasmania	Technicians and trades workers	Engineering ICT and science technicians	F	1023
Tasmania	Technicians and trades workers	Engineering ICT and science technicians	M	2923
Tasmania	Technicians and trades workers	Food trades workers	F	1357
Tasmania	Technicians and trades workers	Food trades workers	M	2491
Tasmania	Technicians and trades workers	Other technicians and trades workers	F	1927
Tasmania	Technicians and trades workers	Other technicians and trades workers	M	1551
Tasmania	Technicians and trades workers	Skilled animal and horticultural workers	F	733
Tasmania	Technicians and trades workers	Skilled animal and horticultural workers	M	1837
Tasmania	Technicians and trades workers	Technicians and trades workers nfd	F	23
Tasmania	Technicians and trades workers	Technicians and trades workers nfd	M	341
Northern Territory			F	998
Northern Territory			M	1661
Northern Territory	Clerical and administrative workers	Clerical and administrative workers nfd	F	34
Northern Territory	Clerical and administrative workers	Clerical and office support workers	F	468
Northern Territory	Clerical and administrative workers	Clerical and office support workers	M	356
Northern Territory	Clerical and administrative workers	General clerical workers	F	2750
Northern Territory	Clerical and administrative workers	General clerical workers	M	549
Northern Territory	Clerical and administrative workers	Inquiry clerks and receptionists	F	1798
Northern Territory	Clerical and administrative workers	Inquiry clerks and receptionists	M	282
Northern Territory	Clerical and administrative workers	Numerical clerks	F	2099
Northern Territory	Clerical and administrative workers	Numerical clerks	M	334
Northern Territory	Clerical and administrative workers	Office managers and program administrators	F	2118
Northern Territory	Clerical and administrative workers	Office managers and program administrators	M	838
Northern Territory	Clerical and administrative workers	Other clerical and administrative workers	F	1182
Northern Territory	Clerical and administrative workers	Other clerical and administrative workers	M	981
Northern Territory	Clerical and administrative workers	Personal assistants and secretaries	F	654
Northern Territory	Clerical and administrative workers	Personal assistants and secretaries	M	22
Northern Territory	Community and personal service workers	Carers and aides	F	3803
Northern Territory	Community and personal service workers	Carers and aides	M	856
Northern Territory	Community and personal service workers	Community and personal service workers nfd	F	11
Northern Territory	Community and personal service workers	Community and personal service workers nfd	M	11
Northern Territory	Community and personal service workers	Health and welfare support workers	F	1323
Northern Territory	Community and personal service workers	Health and welfare support workers	M	788
Northern Territory	Community and personal service workers	Hospitality workers	F	1432
Northern Territory	Community and personal service workers	Hospitality workers	M	635
Northern Territory	Community and personal service workers	Protective service workers	F	712
Northern Territory	Community and personal service workers	Protective service workers	M	3503
Northern Territory	Community and personal service workers	Sports and personal service workers	F	774
Northern Territory	Community and personal service workers	Sports and personal service workers	M	590
Northern Territory	Labourers	Cleaners and laundry workers	F	1931
Northern Territory	Labourers	Cleaners and laundry workers	M	1057
Northern Territory	Labourers	Construction and mining labourers	F	50
Northern Territory	Labourers	Construction and mining labourers	M	2127
Northern Territory	Labourers	Factory process workers	F	140
Northern Territory	Labourers	Factory process workers	M	386
Northern Territory	Labourers	Farm forestry and garden workers	F	259
Northern Territory	Labourers	Farm forestry and garden workers	M	793
Northern Territory	Labourers	Food preparation assistants	F	616
Northern Territory	Labourers	Food preparation assistants	M	676
Northern Territory	Labourers	Labourers nfd	F	34
Northern Territory	Labourers	Labourers nfd	M	315
Northern Territory	Labourers	Other labourers	F	395
Northern Territory	Labourers	Other labourers	M	1679
Northern Territory	Machinery operators and drivers	Machine and stationary plant operators	F	154
Northern Territory	Machinery operators and drivers	Machine and stationary plant operators	M	1689
Northern Territory	Machinery operators and drivers	Machinery operators and drivers nfd	F	15
Northern Territory	Machinery operators and drivers	Machinery operators and drivers nfd	M	112
Northern Territory	Machinery operators and drivers	Mobile plant operators	F	66
Northern Territory	Machinery operators and drivers	Mobile plant operators	M	888
Northern Territory	Machinery operators and drivers	Road and rail drivers	F	254
Northern Territory	Machinery operators and drivers	Road and rail drivers	M	2644
Northern Territory	Machinery operators and drivers	Storepersons	F	133
Northern Territory	Machinery operators and drivers	Storepersons	M	764
Northern Territory	Managers	Chief executives general managers and legislators	F	401
Northern Territory	Managers	Chief executives general managers and legislators	M	859
Northern Territory	Managers	Farmers and farm managers	F	209
Northern Territory	Managers	Farmers and farm managers	M	453
Northern Territory	Managers	Hospitality retail and service managers	F	1922
Northern Territory	Managers	Hospitality retail and service managers	M	2052
Northern Territory	Managers	Managers nfd	F	134
Northern Territory	Managers	Managers nfd	M	240
Northern Territory	Managers	Specialist managers	F	2588
Northern Territory	Managers	Specialist managers	M	4238
Northern Territory	Professionals	Arts and media professionals	F	360
Northern Territory	Professionals	Arts and media professionals	M	329
Northern Territory	Professionals	Business human resource and marketing professionals	F	2390
Northern Territory	Professionals	Business human resource and marketing professionals	M	1562
Northern Territory	Professionals	Design engineering science and transport professionals	F	854
Northern Territory	Professionals	Design engineering science and transport professionals	M	2983
Northern Territory	Professionals	Education professionals	F	3582
Northern Territory	Professionals	Education professionals	M	1291
Northern Territory	Professionals	Health professionals	F	4018
Northern Territory	Professionals	Health professionals	M	1473
Northern Territory	Professionals	Information and Communication Technology ICT professionals	F	152
Northern Territory	Professionals	Information and Communication Technology ICT professionals	M	673
Northern Territory	Professionals	Legal social and welfare professionals	F	1302
Northern Territory	Professionals	Legal social and welfare professionals	M	748
Northern Territory	Professionals	Professionals nfd	F	156
Northern Territory	Professionals	Professionals nfd	M	105
Northern Territory	Sales workers	Sales assistants and salespersons	F	3010
Northern Territory	Sales workers	Sales assistants and salespersons	M	1857
Northern Territory	Sales workers	Sales representatives and agents	F	628
Northern Territory	Sales workers	Sales representatives and agents	M	488
Northern Territory	Sales workers	Sales support workers	F	816
Northern Territory	Sales workers	Sales support workers	M	329
Northern Territory	Sales workers	Sales workers nfd	F	11
Northern Territory	Sales workers	Sales workers nfd	M	4
Northern Territory	Technicians and trades workers	Automotive and engineering trades workers	F	87
Northern Territory	Technicians and trades workers	Automotive and engineering trades workers	M	5033
Northern Territory	Technicians and trades workers	Construction trades workers	F	66
Northern Territory	Technicians and trades workers	Construction trades workers	M	2762
Northern Territory	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	89
Northern Territory	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	3777
Northern Territory	Technicians and trades workers	Engineering ICT and science technicians	F	471
Northern Territory	Technicians and trades workers	Engineering ICT and science technicians	M	2158
Northern Territory	Technicians and trades workers	Food trades workers	F	681
Northern Territory	Technicians and trades workers	Food trades workers	M	1101
Northern Territory	Technicians and trades workers	Other technicians and trades workers	F	473
Northern Territory	Technicians and trades workers	Other technicians and trades workers	M	827
Northern Territory	Technicians and trades workers	Skilled animal and horticultural workers	F	266
Northern Territory	Technicians and trades workers	Skilled animal and horticultural workers	M	681
Northern Territory	Technicians and trades workers	Technicians and trades workers nfd	F	18
Northern Territory	Technicians and trades workers	Technicians and trades workers nfd	M	306
Australian Capital Territory			F	2595
Australian Capital Territory			M	3166
Australian Capital Territory	Clerical and administrative workers	Clerical and administrative workers nfd	F	110
Australian Capital Territory	Clerical and administrative workers	Clerical and administrative workers nfd	M	72
Australian Capital Territory	Clerical and administrative workers	Clerical and office support workers	F	721
Australian Capital Territory	Clerical and administrative workers	Clerical and office support workers	M	1028
Australian Capital Territory	Clerical and administrative workers	General clerical workers	F	7436
Australian Capital Territory	Clerical and administrative workers	General clerical workers	M	3178
Australian Capital Territory	Clerical and administrative workers	Inquiry clerks and receptionists	F	3548
Australian Capital Territory	Clerical and administrative workers	Inquiry clerks and receptionists	M	917
Australian Capital Territory	Clerical and administrative workers	Numerical clerks	F	3801
Australian Capital Territory	Clerical and administrative workers	Numerical clerks	M	1229
Australian Capital Territory	Clerical and administrative workers	Office managers and program administrators	F	6864
Australian Capital Territory	Clerical and administrative workers	Office managers and program administrators	M	3452
Australian Capital Territory	Clerical and administrative workers	Other clerical and administrative workers	F	2550
Australian Capital Territory	Clerical and administrative workers	Other clerical and administrative workers	M	2023
Australian Capital Territory	Clerical and administrative workers	Personal assistants and secretaries	F	2707
Australian Capital Territory	Clerical and administrative workers	Personal assistants and secretaries	M	186
Australian Capital Territory	Community and personal service workers	Carers and aides	F	6974
Australian Capital Territory	Community and personal service workers	Carers and aides	M	1546
Australian Capital Territory	Community and personal service workers	Community and personal service workers nfd	F	4
Australian Capital Territory	Community and personal service workers	Community and personal service workers nfd	M	4
Australian Capital Territory	Community and personal service workers	Health and welfare support workers	F	1376
Australian Capital Territory	Community and personal service workers	Health and welfare support workers	M	592
Australian Capital Territory	Community and personal service workers	Hospitality workers	F	3290
Australian Capital Territory	Community and personal service workers	Hospitality workers	M	2234
Australian Capital Territory	Community and personal service workers	Protective service workers	F	916
Australian Capital Territory	Community and personal service workers	Protective service workers	M	3619
Australian Capital Territory	Community and personal service workers	Sports and personal service workers	F	1940
Australian Capital Territory	Community and personal service workers	Sports and personal service workers	M	1286
Australian Capital Territory	Labourers	Cleaners and laundry workers	F	1932
Australian Capital Territory	Labourers	Cleaners and laundry workers	M	1892
Australian Capital Territory	Labourers	Construction and mining labourers	F	33
Australian Capital Territory	Labourers	Construction and mining labourers	M	1632
Australian Capital Territory	Labourers	Factory process workers	F	131
Australian Capital Territory	Labourers	Factory process workers	M	354
Australian Capital Territory	Labourers	Farm forestry and garden workers	F	87
Australian Capital Territory	Labourers	Farm forestry and garden workers	M	313
Australian Capital Territory	Labourers	Food preparation assistants	F	899
Australian Capital Territory	Labourers	Food preparation assistants	M	1544
Australian Capital Territory	Labourers	Labourers nfd	F	16
Australian Capital Territory	Labourers	Labourers nfd	M	155
Australian Capital Territory	Labourers	Other labourers	F	369
Australian Capital Territory	Labourers	Other labourers	M	1754
Australian Capital Territory	Machinery operators and drivers	Machine and stationary plant operators	F	123
Australian Capital Territory	Machinery operators and drivers	Machine and stationary plant operators	M	482
Australian Capital Territory	Machinery operators and drivers	Machinery operators and drivers nfd	M	67
Australian Capital Territory	Machinery operators and drivers	Mobile plant operators	F	16
Australian Capital Territory	Machinery operators and drivers	Mobile plant operators	M	518
Australian Capital Territory	Machinery operators and drivers	Road and rail drivers	F	194
Australian Capital Territory	Machinery operators and drivers	Road and rail drivers	M	3072
Australian Capital Territory	Machinery operators and drivers	Storepersons	F	69
Australian Capital Territory	Machinery operators and drivers	Storepersons	M	590
Australian Capital Territory	Managers	Chief executives general managers and legislators	F	995
Australian Capital Territory	Managers	Chief executives general managers and legislators	M	2065
Australian Capital Territory	Managers	Farmers and farm managers	F	30
Australian Capital Territory	Managers	Farmers and farm managers	M	85
Australian Capital Territory	Managers	Hospitality retail and service managers	F	3298
Australian Capital Territory	Managers	Hospitality retail and service managers	M	4065
Australian Capital Territory	Managers	Managers nfd	F	423
Australian Capital Territory	Managers	Managers nfd	M	607
Australian Capital Territory	Managers	Specialist managers	F	10984
Australian Capital Territory	Managers	Specialist managers	M	14127
Australian Capital Territory	Professionals	Arts and media professionals	F	930
Australian Capital Territory	Professionals	Arts and media professionals	M	903
Australian Capital Territory	Professionals	Business human resource and marketing professionals	F	11832
Australian Capital Territory	Professionals	Business human resource and marketing professionals	M	9736
Australian Capital Territory	Professionals	Design engineering science and transport professionals	F	2116
Australian Capital Territory	Professionals	Design engineering science and transport professionals	M	4221
Australian Capital Territory	Professionals	Education professionals	F	6942
Australian Capital Territory	Professionals	Education professionals	M	3352
Australian Capital Territory	Professionals	Health professionals	F	6584
Australian Capital Territory	Professionals	Health professionals	M	2316
Australian Capital Territory	Professionals	Information and Communication Technology ICT professionals	F	2233
Australian Capital Territory	Professionals	Information and Communication Technology ICT professionals	M	9534
Australian Capital Territory	Professionals	Legal social and welfare professionals	F	3427
Australian Capital Territory	Professionals	Legal social and welfare professionals	M	1918
Australian Capital Territory	Professionals	Professionals nfd	F	1238
Australian Capital Territory	Professionals	Professionals nfd	M	1330
Australian Capital Territory	Sales workers	Sales assistants and salespersons	F	6424
Australian Capital Territory	Sales workers	Sales assistants and salespersons	M	4516
Australian Capital Territory	Sales workers	Sales representatives and agents	F	1003
Australian Capital Territory	Sales workers	Sales representatives and agents	M	1052
Australian Capital Territory	Sales workers	Sales support workers	F	1499
Australian Capital Territory	Sales workers	Sales support workers	M	704
Australian Capital Territory	Sales workers	Sales workers nfd	F	28
Australian Capital Territory	Sales workers	Sales workers nfd	M	16
Australian Capital Territory	Technicians and trades workers	Automotive and engineering trades workers	F	37
Australian Capital Territory	Technicians and trades workers	Automotive and engineering trades workers	M	2147
Australian Capital Territory	Technicians and trades workers	Construction trades workers	F	45
Australian Capital Territory	Technicians and trades workers	Construction trades workers	M	4589
Australian Capital Territory	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	116
Australian Capital Territory	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	2801
Australian Capital Territory	Technicians and trades workers	Engineering ICT and science technicians	F	1244
Australian Capital Territory	Technicians and trades workers	Engineering ICT and science technicians	M	3365
Australian Capital Territory	Technicians and trades workers	Food trades workers	F	639
Australian Capital Territory	Technicians and trades workers	Food trades workers	M	2122
Australian Capital Territory	Technicians and trades workers	Other technicians and trades workers	F	1163
Australian Capital Territory	Technicians and trades workers	Other technicians and trades workers	M	1061
Australian Capital Territory	Technicians and trades workers	Skilled animal and horticultural workers	F	520
Australian Capital Territory	Technicians and trades workers	Skilled animal and horticultural workers	M	1222
Australian Capital Territory	Technicians and trades workers	Technicians and trades workers nfd	F	36
Australian Capital Territory	Technicians and trades workers	Technicians and trades workers nfd	M	215
Other Territories			F	34
Other Territories			M	46
Other Territories	Clerical and administrative workers	Clerical and office support workers	F	5
Other Territories	Clerical and administrative workers	Clerical and office support workers	M	3
Other Territories	Clerical and administrative workers	General clerical workers	F	51
Other Territories	Clerical and administrative workers	General clerical workers	M	14
Other Territories	Clerical and administrative workers	Inquiry clerks and receptionists	F	24
Other Territories	Clerical and administrative workers	Inquiry clerks and receptionists	M	6
Other Territories	Clerical and administrative workers	Numerical clerks	F	58
Other Territories	Clerical and administrative workers	Numerical clerks	M	3
Other Territories	Clerical and administrative workers	Office managers and program administrators	F	39
Other Territories	Clerical and administrative workers	Office managers and program administrators	M	12
Other Territories	Clerical and administrative workers	Other clerical and administrative workers	F	29
Other Territories	Clerical and administrative workers	Other clerical and administrative workers	M	42
Other Territories	Clerical and administrative workers	Personal assistants and secretaries	F	12
Other Territories	Community and personal service workers	Carers and aides	F	74
Other Territories	Community and personal service workers	Carers and aides	M	9
Other Territories	Community and personal service workers	Health and welfare support workers	F	13
Other Territories	Community and personal service workers	Health and welfare support workers	M	5
Other Territories	Community and personal service workers	Hospitality workers	F	53
Other Territories	Community and personal service workers	Hospitality workers	M	16
Other Territories	Community and personal service workers	Protective service workers	F	31
Other Territories	Community and personal service workers	Protective service workers	M	145
Other Territories	Community and personal service workers	Sports and personal service workers	F	53
Other Territories	Community and personal service workers	Sports and personal service workers	M	20
Other Territories	Labourers	Cleaners and laundry workers	F	107
Other Territories	Labourers	Cleaners and laundry workers	M	27
Other Territories	Labourers	Construction and mining labourers	M	39
Other Territories	Labourers	Factory process workers	F	3
Other Territories	Labourers	Factory process workers	M	10
Other Territories	Labourers	Farm forestry and garden workers	F	3
Other Territories	Labourers	Farm forestry and garden workers	M	29
Other Territories	Labourers	Food preparation assistants	F	20
Other Territories	Labourers	Food preparation assistants	M	9
Other Territories	Labourers	Labourers nfd	M	8
Other Territories	Labourers	Other labourers	F	5
Other Territories	Labourers	Other labourers	M	66
Other Territories	Machinery operators and drivers	Machine and stationary plant operators	M	53
Other Territories	Machinery operators and drivers	Machinery operators and drivers nfd	M	14
Other Territories	Machinery operators and drivers	Mobile plant operators	M	43
Other Territories	Machinery operators and drivers	Road and rail drivers	F	5
Other Territories	Machinery operators and drivers	Road and rail drivers	M	28
Other Territories	Machinery operators and drivers	Storepersons	M	17
Other Territories	Managers	Chief executives general managers and legislators	F	13
Other Territories	Managers	Chief executives general managers and legislators	M	30
Other Territories	Managers	Farmers and farm managers	F	3
Other Territories	Managers	Farmers and farm managers	M	14
Other Territories	Managers	Hospitality retail and service managers	F	85
Other Territories	Managers	Hospitality retail and service managers	M	84
Other Territories	Managers	Managers nfd	F	4
Other Territories	Managers	Managers nfd	M	14
Other Territories	Managers	Specialist managers	F	73
Other Territories	Managers	Specialist managers	M	171
Other Territories	Professionals	Arts and media professionals	F	10
Other Territories	Professionals	Arts and media professionals	M	6
Other Territories	Professionals	Business human resource and marketing professionals	F	37
Other Territories	Professionals	Business human resource and marketing professionals	M	46
Other Territories	Professionals	Design engineering science and transport professionals	F	15
Other Territories	Professionals	Design engineering science and transport professionals	M	86
Other Territories	Professionals	Education professionals	F	75
Other Territories	Professionals	Education professionals	M	22
Other Territories	Professionals	Health professionals	F	51
Other Territories	Professionals	Health professionals	M	20
Other Territories	Professionals	Information and Communication Technology ICT professionals	F	4
Other Territories	Professionals	Information and Communication Technology ICT professionals	M	16
Other Territories	Professionals	Legal social and welfare professionals	F	19
Other Territories	Professionals	Legal social and welfare professionals	M	13
Other Territories	Professionals	Professionals nfd	M	3
Other Territories	Sales workers	Sales assistants and salespersons	F	74
Other Territories	Sales workers	Sales assistants and salespersons	M	27
Other Territories	Sales workers	Sales representatives and agents	F	9
Other Territories	Sales workers	Sales representatives and agents	M	3
Other Territories	Sales workers	Sales support workers	F	15
Other Territories	Sales workers	Sales support workers	M	3
Other Territories	Technicians and trades workers	Automotive and engineering trades workers	F	4
Other Territories	Technicians and trades workers	Automotive and engineering trades workers	M	86
Other Territories	Technicians and trades workers	Construction trades workers	M	88
Other Territories	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	60
Other Territories	Technicians and trades workers	Engineering ICT and science technicians	F	9
Other Territories	Technicians and trades workers	Engineering ICT and science technicians	M	44
Other Territories	Technicians and trades workers	Food trades workers	F	27
Other Territories	Technicians and trades workers	Food trades workers	M	34
Other Territories	Technicians and trades workers	Other technicians and trades workers	F	15
Other Territories	Technicians and trades workers	Other technicians and trades workers	M	13
Other Territories	Technicians and trades workers	Skilled animal and horticultural workers	F	3
Other Territories	Technicians and trades workers	Skilled animal and horticultural workers	M	52
Other Territories	Technicians and trades workers	Technicians and trades workers nfd	M	11
