STE_NAME16	IndustryOfEmployment	Occupation	workers
South Australia	Financial and insurance services	Machinery operators and drivers	50
South Australia	Financial and insurance services	Managers	2616
South Australia	Financial and insurance services	Professionals	5591
South Australia	Financial and insurance services	Sales workers	904
South Australia	Financial and insurance services	Technicians and trades workers	290
South Australia	Health care and social assistance		651
South Australia	Health care and social assistance	Clerical and administrative workers	15083
South Australia	Health care and social assistance	Community and personal service workers	37727
South Australia	Health care and social assistance	Labourers	5748
South Australia	Health care and social assistance	Machinery operators and drivers	728
South Australia	Health care and social assistance	Managers	5003
South Australia	Health care and social assistance	Professionals	40893
South Australia	Health care and social assistance	Sales workers	752
South Australia	Health care and social assistance	Technicians and trades workers	3701
South Australia	Information media and telecommunications		117
South Australia	Information media and telecommunications	Clerical and administrative workers	1757
South Australia	Information media and telecommunications	Community and personal service workers	55
South Australia	Information media and telecommunications	Labourers	352
South Australia	Information media and telecommunications	Machinery operators and drivers	103
South Australia	Information media and telecommunications	Managers	1224
South Australia	Information media and telecommunications	Professionals	2978
South Australia	Information media and telecommunications	Sales workers	1234
South Australia	Information media and telecommunications	Technicians and trades workers	1779
South Australia	Manufacturing		681
South Australia	Manufacturing	Clerical and administrative workers	5456
South Australia	Manufacturing	Community and personal service workers	750
South Australia	Manufacturing	Labourers	13420
South Australia	Manufacturing	Machinery operators and drivers	7643
South Australia	Manufacturing	Managers	8780
South Australia	Manufacturing	Professionals	5032
South Australia	Manufacturing	Sales workers	3608
South Australia	Manufacturing	Technicians and trades workers	14157
South Australia	Mining		120
South Australia	Mining	Clerical and administrative workers	606
South Australia	Mining	Community and personal service workers	73
South Australia	Mining	Labourers	375
South Australia	Mining	Machinery operators and drivers	2774
South Australia	Mining	Managers	900
South Australia	Mining	Professionals	1546
South Australia	Mining	Sales workers	28
South Australia	Mining	Technicians and trades workers	2283
South Australia	Other services		219
South Australia	Other services	Clerical and administrative workers	3193
South Australia	Other services	Community and personal service workers	4074
South Australia	Other services	Labourers	2525
South Australia	Other services	Machinery operators and drivers	523
South Australia	Other services	Managers	2201
South Australia	Other services	Professionals	2537
South Australia	Other services	Sales workers	609
South Australia	Other services	Technicians and trades workers	13177
South Australia	Professional scientific and technical services		337
South Australia	Professional scientific and technical services	Clerical and administrative workers	8488
South Australia	Professional scientific and technical services	Community and personal service workers	162
South Australia	Professional scientific and technical services	Labourers	753
South Australia	Professional scientific and technical services	Machinery operators and drivers	262
South Australia	Professional scientific and technical services	Managers	4140
South Australia	Professional scientific and technical services	Professionals	21689
South Australia	Professional scientific and technical services	Sales workers	686
South Australia	Professional scientific and technical services	Technicians and trades workers	4589
South Australia	Public administration and safety		1121
South Australia	Public administration and safety	Clerical and administrative workers	13936
South Australia	Public administration and safety	Community and personal service workers	12120
South Australia	Public administration and safety	Labourers	1568
South Australia	Public administration and safety	Machinery operators and drivers	989
South Australia	Public administration and safety	Managers	5708
South Australia	Public administration and safety	Professionals	13076
South Australia	Public administration and safety	Sales workers	326
South Australia	Public administration and safety	Technicians and trades workers	3833
South Australia	Rental hiring and real estate services		158
South Australia	Rental hiring and real estate services	Clerical and administrative workers	2099
South Australia	Rental hiring and real estate services	Community and personal service workers	225
South Australia	Rental hiring and real estate services	Labourers	549
South Australia	Rental hiring and real estate services	Machinery operators and drivers	227
South Australia	Rental hiring and real estate services	Managers	1226
South Australia	Rental hiring and real estate services	Professionals	871
South Australia	Rental hiring and real estate services	Sales workers	4176
South Australia	Rental hiring and real estate services	Technicians and trades workers	411
South Australia	Retail trade		353
South Australia	Retail trade	Clerical and administrative workers	4577
South Australia	Retail trade	Community and personal service workers	751
South Australia	Retail trade	Labourers	7767
South Australia	Retail trade	Machinery operators and drivers	3188
South Australia	Retail trade	Managers	11723
South Australia	Retail trade	Professionals	2966
South Australia	Retail trade	Sales workers	43601
South Australia	Retail trade	Technicians and trades workers	4680
South Australia	Transport postal and warehousing		295
South Australia	Transport postal and warehousing	Clerical and administrative workers	6903
South Australia	Transport postal and warehousing	Community and personal service workers	846
South Australia	Transport postal and warehousing	Labourers	1515
South Australia	Transport postal and warehousing	Machinery operators and drivers	13985
South Australia	Transport postal and warehousing	Managers	3033
South Australia	Transport postal and warehousing	Professionals	1517
South Australia	Transport postal and warehousing	Sales workers	1212
South Australia	Transport postal and warehousing	Technicians and trades workers	1501
South Australia	Wholesale trade		198
South Australia	Wholesale trade	Clerical and administrative workers	3149
South Australia	Wholesale trade	Community and personal service workers	53
South Australia	Wholesale trade	Labourers	1955
South Australia	Wholesale trade	Machinery operators and drivers	2975
South Australia	Wholesale trade	Managers	4003
South Australia	Wholesale trade	Professionals	2519
South Australia	Wholesale trade	Sales workers	4011
South Australia	Wholesale trade	Technicians and trades workers	2202
Western Australia		Clerical and administrative workers	6333
Western Australia		Community and personal service workers	2239
Western Australia		Labourers	6525
Western Australia		Machinery operators and drivers	4964
Western Australia		Managers	6368
Western Australia		Professionals	5867
Western Australia		Sales workers	3394
Western Australia		Technicians and trades workers	9680
Western Australia	Accommodation and food services		481
Western Australia	Accommodation and food services	Clerical and administrative workers	2818
Western Australia	Accommodation and food services	Community and personal service workers	20436
Western Australia	Accommodation and food services	Labourers	16412
Western Australia	Accommodation and food services	Machinery operators and drivers	1453
Western Australia	Accommodation and food services	Managers	12297
Western Australia	Accommodation and food services	Professionals	840
Western Australia	Accommodation and food services	Sales workers	9407
Western Australia	Accommodation and food services	Technicians and trades workers	10626
Western Australia	Administrative and support services		393
Western Australia	Administrative and support services	Clerical and administrative workers	5241
Western Australia	Administrative and support services	Community and personal service workers	3152
Western Australia	Administrative and support services	Labourers	16123
Western Australia	Administrative and support services	Machinery operators and drivers	1450
Western Australia	Administrative and support services	Managers	3333
Western Australia	Administrative and support services	Professionals	3605
Western Australia	Administrative and support services	Sales workers	783
Western Australia	Administrative and support services	Technicians and trades workers	4024
Western Australia	Agriculture forestry and fishing	Clerical and administrative workers	1410
Western Australia	Agriculture forestry and fishing	Community and personal service workers	83
Western Australia	Agriculture forestry and fishing	Labourers	6765
Western Australia	Agriculture forestry and fishing	Machinery operators and drivers	1612
Western Australia	Agriculture forestry and fishing	Managers	15241
Western Australia	Agriculture forestry and fishing	Professionals	1007
Western Australia	Agriculture forestry and fishing	Sales workers	380
Western Australia	Agriculture forestry and fishing	Technicians and trades workers	1929
Western Australia	Arts and recreation services		196
Western Australia	Arts and recreation services	Clerical and administrative workers	1968
Western Australia	Arts and recreation services	Community and personal service workers	5659
Western Australia	Arts and recreation services	Labourers	1489
Western Australia	Arts and recreation services	Machinery operators and drivers	159
Western Australia	Arts and recreation services	Managers	2807
Western Australia	Arts and recreation services	Professionals	3532
Western Australia	Arts and recreation services	Sales workers	870
Western Australia	Arts and recreation services	Technicians and trades workers	1793
Western Australia	Construction		1277
Western Australia	Construction	Clerical and administrative workers	12122
Western Australia	Construction	Community and personal service workers	266
Western Australia	Construction	Labourers	16912
Western Australia	Construction	Machinery operators and drivers	9439
Western Australia	Construction	Managers	12029
Western Australia	Construction	Professionals	5519
Western Australia	Construction	Sales workers	1644
Western Australia	Construction	Technicians and trades workers	56271
Western Australia	Education and training		536
Western Australia	Education and training	Clerical and administrative workers	8823
Western Australia	Education and training	Community and personal service workers	19426
Western Australia	Education and training	Labourers	3758
Western Australia	Education and training	Machinery operators and drivers	222
Western Australia	Education and training	Managers	7527
Western Australia	Education and training	Professionals	56240
Western Australia	Education and training	Sales workers	314
Western Australia	Education and training	Technicians and trades workers	4144
Western Australia	Electricity gas water and waste services		279
Western Australia	Electricity gas water and waste services	Clerical and administrative workers	2422
Western Australia	Electricity gas water and waste services	Community and personal service workers	48
Western Australia	Electricity gas water and waste services	Labourers	1019
Western Australia	Electricity gas water and waste services	Machinery operators and drivers	1842
Western Australia	Electricity gas water and waste services	Managers	1928
Western Australia	Electricity gas water and waste services	Professionals	2560
Western Australia	Electricity gas water and waste services	Sales workers	223
Western Australia	Electricity gas water and waste services	Technicians and trades workers	3291
Western Australia	Financial and insurance services		428
Western Australia	Financial and insurance services	Clerical and administrative workers	11812
Western Australia	Financial and insurance services	Community and personal service workers	109
Western Australia	Financial and insurance services	Labourers	152
Western Australia	Financial and insurance services	Machinery operators and drivers	260
Western Australia	Financial and insurance services	Managers	3814
Western Australia	Financial and insurance services	Professionals	8943
Western Australia	Financial and insurance services	Sales workers	1195
Western Australia	Financial and insurance services	Technicians and trades workers	512
Western Australia	Health care and social assistance		840
Western Australia	Health care and social assistance	Clerical and administrative workers	19721
Western Australia	Health care and social assistance	Community and personal service workers	42405
Western Australia	Health care and social assistance	Labourers	5770
Western Australia	Health care and social assistance	Machinery operators and drivers	1113
Western Australia	Health care and social assistance	Managers	6211
Western Australia	Health care and social assistance	Professionals	53579
Western Australia	Health care and social assistance	Sales workers	827
Western Australia	Health care and social assistance	Technicians and trades workers	5557
Western Australia	Information media and telecommunications		154
Western Australia	Information media and telecommunications	Clerical and administrative workers	1620
Western Australia	Information media and telecommunications	Community and personal service workers	82
Western Australia	Information media and telecommunications	Labourers	565
Western Australia	Information media and telecommunications	Machinery operators and drivers	144
Western Australia	Information media and telecommunications	Managers	1573
Western Australia	Information media and telecommunications	Professionals	3425
Western Australia	Information media and telecommunications	Sales workers	1547
Western Australia	Information media and telecommunications	Technicians and trades workers	2304
Western Australia	Manufacturing		818
Western Australia	Manufacturing	Clerical and administrative workers	6779
Western Australia	Manufacturing	Community and personal service workers	901
Western Australia	Manufacturing	Labourers	8768
Western Australia	Manufacturing	Machinery operators and drivers	8536
Western Australia	Manufacturing	Managers	9375
Western Australia	Manufacturing	Professionals	5659
Western Australia	Manufacturing	Sales workers	3867
Western Australia	Manufacturing	Technicians and trades workers	20063
Western Australia	Mining		1187
Western Australia	Mining	Clerical and administrative workers	5842
Western Australia	Mining	Community and personal service workers	584
Western Australia	Mining	Labourers	4078
Western Australia	Mining	Machinery operators and drivers	21004
Western Australia	Mining	Managers	7417
Western Australia	Mining	Professionals	14383
Western Australia	Mining	Sales workers	206
Western Australia	Mining	Technicians and trades workers	21710
Western Australia	Other services		362
Western Australia	Other services	Clerical and administrative workers	4919
Western Australia	Other services	Community and personal service workers	7082
Western Australia	Other services	Labourers	4008
Western Australia	Other services	Machinery operators and drivers	930
Western Australia	Other services	Managers	3676
Western Australia	Other services	Professionals	4044
Western Australia	Other services	Sales workers	871
Western Australia	Other services	Technicians and trades workers	20057
Western Australia	Professional scientific and technical services		600
Western Australia	Professional scientific and technical services	Clerical and administrative workers	13866
Western Australia	Professional scientific and technical services	Community and personal service workers	275
Western Australia	Professional scientific and technical services	Labourers	1434
Western Australia	Professional scientific and technical services	Machinery operators and drivers	696
Western Australia	Professional scientific and technical services	Managers	8304
Western Australia	Professional scientific and technical services	Professionals	38825
Western Australia	Professional scientific and technical services	Sales workers	1052
Western Australia	Professional scientific and technical services	Technicians and trades workers	9524
Western Australia	Public administration and safety		1396
Western Australia	Public administration and safety	Clerical and administrative workers	18022
Western Australia	Public administration and safety	Community and personal service workers	17113
Western Australia	Public administration and safety	Labourers	3324
Western Australia	Public administration and safety	Machinery operators and drivers	1768
Western Australia	Public administration and safety	Managers	8132
Western Australia	Public administration and safety	Professionals	16422
Western Australia	Public administration and safety	Sales workers	368
Western Australia	Public administration and safety	Technicians and trades workers	5612
Western Australia	Rental hiring and real estate services		256
Western Australia	Rental hiring and real estate services	Clerical and administrative workers	4436
Western Australia	Rental hiring and real estate services	Community and personal service workers	274
Western Australia	Rental hiring and real estate services	Labourers	823
Western Australia	Rental hiring and real estate services	Machinery operators and drivers	548
Western Australia	Rental hiring and real estate services	Managers	2692
Western Australia	Rental hiring and real estate services	Professionals	1807
Western Australia	Rental hiring and real estate services	Sales workers	8199
Western Australia	Rental hiring and real estate services	Technicians and trades workers	1110
Western Australia	Retail trade		558
Western Australia	Retail trade	Clerical and administrative workers	6547
Western Australia	Retail trade	Community and personal service workers	914
Western Australia	Retail trade	Labourers	10902
Western Australia	Retail trade	Machinery operators and drivers	4356
Western Australia	Retail trade	Managers	16136
Western Australia	Retail trade	Professionals	4474
Western Australia	Retail trade	Sales workers	60133
Western Australia	Retail trade	Technicians and trades workers	6304
Western Australia	Transport postal and warehousing		613
Western Australia	Transport postal and warehousing	Clerical and administrative workers	10847
Western Australia	Transport postal and warehousing	Community and personal service workers	1703
Western Australia	Transport postal and warehousing	Labourers	2862
Western Australia	Transport postal and warehousing	Machinery operators and drivers	23333
Western Australia	Transport postal and warehousing	Managers	5293
Western Australia	Transport postal and warehousing	Professionals	4013
Western Australia	Transport postal and warehousing	Sales workers	1883
Western Australia	Transport postal and warehousing	Technicians and trades workers	3338
Western Australia	Wholesale trade		291
Western Australia	Wholesale trade	Clerical and administrative workers	4995
Western Australia	Wholesale trade	Community and personal service workers	98
Western Australia	Wholesale trade	Labourers	2259
Western Australia	Wholesale trade	Machinery operators and drivers	4849
Western Australia	Wholesale trade	Managers	5447
Western Australia	Wholesale trade	Professionals	3242
Western Australia	Wholesale trade	Sales workers	5032
Western Australia	Wholesale trade	Technicians and trades workers	3252
Tasmania		Clerical and administrative workers	667
Tasmania		Community and personal service workers	388
Tasmania		Labourers	1051
Tasmania		Machinery operators and drivers	709
Tasmania		Managers	706
Tasmania		Professionals	523
Tasmania		Sales workers	534
Tasmania		Technicians and trades workers	1203
Tasmania	Accommodation and food services		105
Tasmania	Accommodation and food services	Clerical and administrative workers	640
Tasmania	Accommodation and food services	Community and personal service workers	4657
Tasmania	Accommodation and food services	Labourers	3824
Tasmania	Accommodation and food services	Machinery operators and drivers	197
Tasmania	Accommodation and food services	Managers	2686
Tasmania	Accommodation and food services	Professionals	140
Tasmania	Accommodation and food services	Sales workers	1992
Tasmania	Accommodation and food services	Technicians and trades workers	2251
Tasmania	Administrative and support services		97
Tasmania	Administrative and support services	Clerical and administrative workers	807
Tasmania	Administrative and support services	Community and personal service workers	619
Tasmania	Administrative and support services	Labourers	2727
Tasmania	Administrative and support services	Machinery operators and drivers	162
Tasmania	Administrative and support services	Managers	555
Tasmania	Administrative and support services	Professionals	564
Tasmania	Administrative and support services	Sales workers	117
Tasmania	Administrative and support services	Technicians and trades workers	741
Tasmania	Agriculture forestry and fishing	Clerical and administrative workers	564
Tasmania	Agriculture forestry and fishing	Community and personal service workers	36
Tasmania	Agriculture forestry and fishing	Labourers	3560
Tasmania	Agriculture forestry and fishing	Machinery operators and drivers	850
Tasmania	Agriculture forestry and fishing	Managers	4795
Tasmania	Agriculture forestry and fishing	Professionals	513
Tasmania	Agriculture forestry and fishing	Sales workers	140
Tasmania	Agriculture forestry and fishing	Technicians and trades workers	794
Tasmania	Arts and recreation services		51
Tasmania	Arts and recreation services	Clerical and administrative workers	414
Tasmania	Arts and recreation services	Community and personal service workers	1047
Tasmania	Arts and recreation services	Labourers	353
Tasmania	Arts and recreation services	Machinery operators and drivers	41
Tasmania	Arts and recreation services	Managers	564
Tasmania	Arts and recreation services	Professionals	841
Tasmania	Arts and recreation services	Sales workers	211
Tasmania	Arts and recreation services	Technicians and trades workers	503
Tasmania	Construction		178
Tasmania	Construction	Clerical and administrative workers	1338
Tasmania	Construction	Community and personal service workers	26
Tasmania	Construction	Labourers	2058
Tasmania	Construction	Machinery operators and drivers	1501
Tasmania	Construction	Managers	2569
Tasmania	Construction	Professionals	316
Tasmania	Construction	Sales workers	182
Tasmania	Construction	Technicians and trades workers	8164
Tasmania	Education and training		129
Tasmania	Education and training	Clerical and administrative workers	2064
Tasmania	Education and training	Community and personal service workers	3362
Tasmania	Education and training	Labourers	873
Tasmania	Education and training	Machinery operators and drivers	60
Tasmania	Education and training	Managers	1317
Tasmania	Education and training	Professionals	11306
Tasmania	Education and training	Sales workers	51
Tasmania	Education and training	Technicians and trades workers	872
Tasmania	Electricity gas water and waste services		74
Tasmania	Electricity gas water and waste services	Clerical and administrative workers	683
Tasmania	Electricity gas water and waste services	Community and personal service workers	14
Tasmania	Electricity gas water and waste services	Labourers	202
Tasmania	Electricity gas water and waste services	Machinery operators and drivers	533
Tasmania	Electricity gas water and waste services	Managers	438
Tasmania	Electricity gas water and waste services	Professionals	722
Tasmania	Electricity gas water and waste services	Sales workers	78
Tasmania	Electricity gas water and waste services	Technicians and trades workers	758
Tasmania	Financial and insurance services		76
Tasmania	Financial and insurance services	Clerical and administrative workers	2527
Tasmania	Financial and insurance services	Community and personal service workers	23
Tasmania	Financial and insurance services	Labourers	20
Tasmania	Financial and insurance services	Machinery operators and drivers	5
Tasmania	Financial and insurance services	Managers	547
Tasmania	Financial and insurance services	Professionals	1155
Tasmania	Financial and insurance services	Sales workers	134
Tasmania	Financial and insurance services	Technicians and trades workers	41
Tasmania	Health care and social assistance		214
Tasmania	Health care and social assistance	Clerical and administrative workers	3861
Tasmania	Health care and social assistance	Community and personal service workers	11449
Tasmania	Health care and social assistance	Labourers	1826
Tasmania	Health care and social assistance	Machinery operators and drivers	207
Tasmania	Health care and social assistance	Managers	1361
Tasmania	Health care and social assistance	Professionals	10535
Tasmania	Health care and social assistance	Sales workers	174
Tasmania	Health care and social assistance	Technicians and trades workers	1002
Tasmania	Information media and telecommunications		40
Tasmania	Information media and telecommunications	Clerical and administrative workers	639
Tasmania	Information media and telecommunications	Community and personal service workers	27
Tasmania	Information media and telecommunications	Labourers	80
Tasmania	Information media and telecommunications	Machinery operators and drivers	25
Tasmania	Information media and telecommunications	Managers	339
Tasmania	Information media and telecommunications	Professionals	828
Tasmania	Information media and telecommunications	Sales workers	320
Tasmania	Information media and telecommunications	Technicians and trades workers	608
Tasmania	Manufacturing		209
Tasmania	Manufacturing	Clerical and administrative workers	1026
Tasmania	Manufacturing	Community and personal service workers	320
Tasmania	Manufacturing	Labourers	3500
Tasmania	Manufacturing	Machinery operators and drivers	2057
Tasmania	Manufacturing	Managers	1834
Tasmania	Manufacturing	Professionals	925
Tasmania	Manufacturing	Sales workers	936
Tasmania	Manufacturing	Technicians and trades workers	3988
Tasmania	Mining		30
Tasmania	Mining	Clerical and administrative workers	88
Tasmania	Mining	Community and personal service workers	9
Tasmania	Mining	Labourers	106
Tasmania	Mining	Machinery operators and drivers	811
Tasmania	Mining	Managers	127
Tasmania	Mining	Professionals	185
Tasmania	Mining	Sales workers	9
Tasmania	Mining	Technicians and trades workers	514
Tasmania	Other services		66
Tasmania	Other services	Clerical and administrative workers	856
Tasmania	Other services	Community and personal service workers	1072
Tasmania	Other services	Labourers	807
Tasmania	Other services	Machinery operators and drivers	119
Tasmania	Other services	Managers	599
Tasmania	Other services	Professionals	688
Tasmania	Other services	Sales workers	136
Tasmania	Other services	Technicians and trades workers	3744
Tasmania	Professional scientific and technical services		103
Tasmania	Professional scientific and technical services	Clerical and administrative workers	2295
Tasmania	Professional scientific and technical services	Community and personal service workers	41
Tasmania	Professional scientific and technical services	Labourers	191
Tasmania	Professional scientific and technical services	Machinery operators and drivers	63
Tasmania	Professional scientific and technical services	Managers	810
Tasmania	Professional scientific and technical services	Professionals	5130
Tasmania	Professional scientific and technical services	Sales workers	119
Tasmania	Professional scientific and technical services	Technicians and trades workers	1385
Tasmania	Public administration and safety		441
Tasmania	Public administration and safety	Clerical and administrative workers	5090
Tasmania	Public administration and safety	Community and personal service workers	3022
Tasmania	Public administration and safety	Labourers	726
Tasmania	Public administration and safety	Machinery operators and drivers	329
Tasmania	Public administration and safety	Managers	1784
Tasmania	Public administration and safety	Professionals	4417
Tasmania	Public administration and safety	Sales workers	88
Tasmania	Public administration and safety	Technicians and trades workers	960
Tasmania	Rental hiring and real estate services		32
Tasmania	Rental hiring and real estate services	Clerical and administrative workers	512
Tasmania	Rental hiring and real estate services	Community and personal service workers	29
Tasmania	Rental hiring and real estate services	Labourers	167
Tasmania	Rental hiring and real estate services	Machinery operators and drivers	69
Tasmania	Rental hiring and real estate services	Managers	298
Tasmania	Rental hiring and real estate services	Professionals	230
Tasmania	Rental hiring and real estate services	Sales workers	1234
Tasmania	Rental hiring and real estate services	Technicians and trades workers	102
Tasmania	Retail trade		116
Tasmania	Retail trade	Clerical and administrative workers	1523
Tasmania	Retail trade	Community and personal service workers	169
Tasmania	Retail trade	Labourers	2058
Tasmania	Retail trade	Machinery operators and drivers	793
Tasmania	Retail trade	Managers	3361
Tasmania	Retail trade	Professionals	782
Tasmania	Retail trade	Sales workers	13302
Tasmania	Retail trade	Technicians and trades workers	1460
Tasmania	Transport postal and warehousing		86
Tasmania	Transport postal and warehousing	Clerical and administrative workers	1831
Tasmania	Transport postal and warehousing	Community and personal service workers	319
Tasmania	Transport postal and warehousing	Labourers	560
Tasmania	Transport postal and warehousing	Machinery operators and drivers	4200
Tasmania	Transport postal and warehousing	Managers	813
Tasmania	Transport postal and warehousing	Professionals	399
Tasmania	Transport postal and warehousing	Sales workers	453
Tasmania	Transport postal and warehousing	Technicians and trades workers	418
Tasmania	Wholesale trade		49
Tasmania	Wholesale trade	Clerical and administrative workers	678
Tasmania	Wholesale trade	Community and personal service workers	23
Tasmania	Wholesale trade	Labourers	396
Tasmania	Wholesale trade	Machinery operators and drivers	810
Tasmania	Wholesale trade	Managers	830
Tasmania	Wholesale trade	Professionals	344
Tasmania	Wholesale trade	Sales workers	1149
Tasmania	Wholesale trade	Technicians and trades workers	512
Northern Territory		Clerical and administrative workers	487
Northern Territory		Community and personal service workers	324
Northern Territory		Labourers	582
Northern Territory		Machinery operators and drivers	355
Northern Territory		Managers	431
Northern Territory		Professionals	424
Northern Territory		Sales workers	254
Northern Territory		Technicians and trades workers	1014
Northern Territory	Accommodation and food services		76
Northern Territory	Accommodation and food services	Clerical and administrative workers	482
Northern Territory	Accommodation and food services	Community and personal service workers	1678
Northern Territory	Accommodation and food services	Labourers	1656
Northern Territory	Accommodation and food services	Machinery operators and drivers	115
Northern Territory	Accommodation and food services	Managers	1296
Northern Territory	Accommodation and food services	Professionals	117
Northern Territory	Accommodation and food services	Sales workers	778
Northern Territory	Accommodation and food services	Technicians and trades workers	1028
Northern Territory	Administrative and support services		38
Northern Territory	Administrative and support services	Clerical and administrative workers	406
Northern Territory	Administrative and support services	Community and personal service workers	393
Northern Territory	Administrative and support services	Labourers	1259
Northern Territory	Administrative and support services	Machinery operators and drivers	101
Northern Territory	Administrative and support services	Managers	325
Northern Territory	Administrative and support services	Professionals	340
Northern Territory	Administrative and support services	Sales workers	88
Northern Territory	Administrative and support services	Technicians and trades workers	315
Northern Territory	Agriculture forestry and fishing	Clerical and administrative workers	165
Northern Territory	Agriculture forestry and fishing	Community and personal service workers	30
Northern Territory	Agriculture forestry and fishing	Labourers	820
Northern Territory	Agriculture forestry and fishing	Machinery operators and drivers	102
Northern Territory	Agriculture forestry and fishing	Managers	680
Northern Territory	Agriculture forestry and fishing	Professionals	225
Northern Territory	Agriculture forestry and fishing	Sales workers	25
Northern Territory	Agriculture forestry and fishing	Technicians and trades workers	218
Northern Territory	Arts and recreation services		26
Northern Territory	Arts and recreation services	Clerical and administrative workers	345
Northern Territory	Arts and recreation services	Community and personal service workers	522
Northern Territory	Arts and recreation services	Labourers	159
Northern Territory	Arts and recreation services	Machinery operators and drivers	25
Northern Territory	Arts and recreation services	Managers	374
Northern Territory	Arts and recreation services	Professionals	447
Northern Territory	Arts and recreation services	Sales workers	100
Northern Territory	Arts and recreation services	Technicians and trades workers	253
Northern Territory	Construction		160
Northern Territory	Construction	Clerical and administrative workers	1036
Northern Territory	Construction	Community and personal service workers	71
Northern Territory	Construction	Labourers	2134
Northern Territory	Construction	Machinery operators and drivers	1257
Northern Territory	Construction	Managers	1387
Northern Territory	Construction	Professionals	684
Northern Territory	Construction	Sales workers	114
Northern Territory	Construction	Technicians and trades workers	5575
Northern Territory	Education and training		99
Northern Territory	Education and training	Clerical and administrative workers	1029
Northern Territory	Education and training	Community and personal service workers	1903
Northern Territory	Education and training	Labourers	317
Northern Territory	Education and training	Machinery operators and drivers	21
Northern Territory	Education and training	Managers	823
Northern Territory	Education and training	Professionals	5189
Northern Territory	Education and training	Sales workers	31
Northern Territory	Education and training	Technicians and trades workers	312
Northern Territory	Electricity gas water and waste services		25
Northern Territory	Electricity gas water and waste services	Clerical and administrative workers	310
Northern Territory	Electricity gas water and waste services	Community and personal service workers	12
Northern Territory	Electricity gas water and waste services	Labourers	98
Northern Territory	Electricity gas water and waste services	Machinery operators and drivers	170
Northern Territory	Electricity gas water and waste services	Managers	265
Northern Territory	Electricity gas water and waste services	Professionals	281
Northern Territory	Electricity gas water and waste services	Sales workers	41
Northern Territory	Electricity gas water and waste services	Technicians and trades workers	515
Northern Territory	Financial and insurance services		13
Northern Territory	Financial and insurance services	Clerical and administrative workers	560
Northern Territory	Financial and insurance services	Community and personal service workers	14
Northern Territory	Financial and insurance services	Labourers	9
Northern Territory	Financial and insurance services	Machinery operators and drivers	5
Northern Territory	Financial and insurance services	Managers	146
Northern Territory	Financial and insurance services	Professionals	303
Northern Territory	Financial and insurance services	Sales workers	69
Northern Territory	Financial and insurance services	Technicians and trades workers	32
Northern Territory	Health care and social assistance		111
Northern Territory	Health care and social assistance	Clerical and administrative workers	1375
Northern Territory	Health care and social assistance	Community and personal service workers	3565
Northern Territory	Health care and social assistance	Labourers	489
Northern Territory	Health care and social assistance	Machinery operators and drivers	125
Northern Territory	Health care and social assistance	Managers	744
Northern Territory	Health care and social assistance	Professionals	4902
Northern Territory	Health care and social assistance	Sales workers	85
Northern Territory	Health care and social assistance	Technicians and trades workers	351
Northern Territory	Information media and telecommunications		20
Northern Territory	Information media and telecommunications	Clerical and administrative workers	130
Northern Territory	Information media and telecommunications	Community and personal service workers	3
Northern Territory	Information media and telecommunications	Labourers	19
Northern Territory	Information media and telecommunications	Machinery operators and drivers	9
Northern Territory	Information media and telecommunications	Managers	121
Northern Territory	Information media and telecommunications	Professionals	375
Northern Territory	Information media and telecommunications	Sales workers	118
Northern Territory	Information media and telecommunications	Technicians and trades workers	236
Northern Territory	Manufacturing		28
Northern Territory	Manufacturing	Clerical and administrative workers	254
Northern Territory	Manufacturing	Community and personal service workers	19
Northern Territory	Manufacturing	Labourers	233
Northern Territory	Manufacturing	Machinery operators and drivers	249
Northern Territory	Manufacturing	Managers	352
Northern Territory	Manufacturing	Professionals	159
Northern Territory	Manufacturing	Sales workers	184
Northern Territory	Manufacturing	Technicians and trades workers	1097
Northern Territory	Mining		57
Northern Territory	Mining	Clerical and administrative workers	245
Northern Territory	Mining	Community and personal service workers	52
Northern Territory	Mining	Labourers	270
Northern Territory	Mining	Machinery operators and drivers	1073
Northern Territory	Mining	Managers	274
Northern Territory	Mining	Professionals	503
Northern Territory	Mining	Sales workers	5
Northern Territory	Mining	Technicians and trades workers	1325
Northern Territory	Other services		106
Northern Territory	Other services	Clerical and administrative workers	482
Northern Territory	Other services	Community and personal service workers	549
Northern Territory	Other services	Labourers	460
Northern Territory	Other services	Machinery operators and drivers	107
Northern Territory	Other services	Managers	369
Northern Territory	Other services	Professionals	555
Northern Territory	Other services	Sales workers	86
Northern Territory	Other services	Technicians and trades workers	1567
Northern Territory	Professional scientific and technical services		85
Northern Territory	Professional scientific and technical services	Clerical and administrative workers	1161
Northern Territory	Professional scientific and technical services	Community and personal service workers	62
Northern Territory	Professional scientific and technical services	Labourers	300
Northern Territory	Professional scientific and technical services	Machinery operators and drivers	120
Northern Territory	Professional scientific and technical services	Managers	530
Northern Territory	Professional scientific and technical services	Professionals	2368
Northern Territory	Professional scientific and technical services	Sales workers	49
Northern Territory	Professional scientific and technical services	Technicians and trades workers	1904
Northern Territory	Public administration and safety		394
Northern Territory	Public administration and safety	Clerical and administrative workers	4146
Northern Territory	Public administration and safety	Community and personal service workers	4829
Northern Territory	Public administration and safety	Labourers	510
Northern Territory	Public administration and safety	Machinery operators and drivers	467
Northern Territory	Public administration and safety	Managers	2646
