STE_NAME16	IndustryOfEmployment	YearOfArrival.max	workers_born_overseas
Western Australia	Professional scientific and technical services	1995	2068
Western Australia	Professional scientific and technical services	2000	2816
Western Australia	Professional scientific and technical services	2005	4049
Western Australia	Professional scientific and technical services	2010	6796
Western Australia	Professional scientific and technical services	2015	5544
Western Australia	Professional scientific and technical services	2016	292
Western Australia	Professional scientific and technical services		381
Western Australia	Public administration and safety	1991	10817
Western Australia	Public administration and safety	1995	1734
Western Australia	Public administration and safety	2000	1967
Western Australia	Public administration and safety	2005	2515
Western Australia	Public administration and safety	2010	4417
Western Australia	Public administration and safety	2015	2953
Western Australia	Public administration and safety	2016	109
Western Australia	Public administration and safety		391
Western Australia	Rental hiring and real estate services	1991	2783
Western Australia	Rental hiring and real estate services	1995	421
Western Australia	Rental hiring and real estate services	2000	475
Western Australia	Rental hiring and real estate services	2005	681
Western Australia	Rental hiring and real estate services	2010	1190
Western Australia	Rental hiring and real estate services	2015	1150
Western Australia	Rental hiring and real estate services	2016	48
Western Australia	Rental hiring and real estate services		109
Western Australia	Retail trade	1991	10498
Western Australia	Retail trade	1995	2009
Western Australia	Retail trade	2000	3050
Western Australia	Retail trade	2005	4098
Western Australia	Retail trade	2010	8314
Western Australia	Retail trade	2015	7801
Western Australia	Retail trade	2016	436
Western Australia	Retail trade		737
Western Australia	Transport postal and warehousing	1991	6900
Western Australia	Transport postal and warehousing	1995	1188
Western Australia	Transport postal and warehousing	2000	1778
Western Australia	Transport postal and warehousing	2005	2138
Western Australia	Transport postal and warehousing	2010	5178
Western Australia	Transport postal and warehousing	2015	3633
Western Australia	Transport postal and warehousing	2016	134
Western Australia	Transport postal and warehousing		428
Western Australia	Wholesale trade	1991	3674
Western Australia	Wholesale trade	1995	622
Western Australia	Wholesale trade	2000	864
Western Australia	Wholesale trade	2005	1089
Western Australia	Wholesale trade	2010	2586
Western Australia	Wholesale trade	2015	2334
Western Australia	Wholesale trade	2016	84
Western Australia	Wholesale trade		195
Tasmania		1991	332
Tasmania		1995	47
Tasmania		2000	56
Tasmania		2005	75
Tasmania		2010	134
Tasmania		2015	131
Tasmania		2016	18
Tasmania			58
Tasmania	Accommodation and food services	1991	621
Tasmania	Accommodation and food services	1995	122
Tasmania	Accommodation and food services	2000	204
Tasmania	Accommodation and food services	2005	297
Tasmania	Accommodation and food services	2010	539
Tasmania	Accommodation and food services	2015	802
Tasmania	Accommodation and food services	2016	81
Tasmania	Accommodation and food services		70
Tasmania	Administrative and support services	1991	352
Tasmania	Administrative and support services	1995	44
Tasmania	Administrative and support services	2000	56
Tasmania	Administrative and support services	2005	64
Tasmania	Administrative and support services	2010	125
Tasmania	Administrative and support services	2015	161
Tasmania	Administrative and support services	2016	16
Tasmania	Administrative and support services		24
Tasmania	Agriculture forestry and fishing	1991	489
Tasmania	Agriculture forestry and fishing	1995	55
Tasmania	Agriculture forestry and fishing	2000	113
Tasmania	Agriculture forestry and fishing	2005	107
Tasmania	Agriculture forestry and fishing	2010	173
Tasmania	Agriculture forestry and fishing	2015	374
Tasmania	Agriculture forestry and fishing	2016	28
Tasmania	Agriculture forestry and fishing		67
Tasmania	Arts and recreation services	1991	247
Tasmania	Arts and recreation services	1995	39
Tasmania	Arts and recreation services	2000	38
Tasmania	Arts and recreation services	2005	43
Tasmania	Arts and recreation services	2010	67
Tasmania	Arts and recreation services	2015	53
Tasmania	Arts and recreation services	2016	8
Tasmania	Arts and recreation services		6
Tasmania	Construction	1991	579
Tasmania	Construction	1995	61
Tasmania	Construction	2000	90
Tasmania	Construction	2005	103
Tasmania	Construction	2010	132
Tasmania	Construction	2015	66
Tasmania	Construction	2016	4
Tasmania	Construction		30
Tasmania	Education and training	1991	1412
Tasmania	Education and training	1995	155
Tasmania	Education and training	2000	171
Tasmania	Education and training	2005	245
Tasmania	Education and training	2010	288
Tasmania	Education and training	2015	294
Tasmania	Education and training	2016	25
Tasmania	Education and training		59
Tasmania	Electricity gas water and waste services	1991	169
Tasmania	Electricity gas water and waste services	1995	35
Tasmania	Electricity gas water and waste services	2000	46
Tasmania	Electricity gas water and waste services	2005	57
Tasmania	Electricity gas water and waste services	2010	62
Tasmania	Electricity gas water and waste services	2015	34
Tasmania	Electricity gas water and waste services	2016	3
Tasmania	Electricity gas water and waste services		3
Tasmania	Financial and insurance services	1991	215
Tasmania	Financial and insurance services	1995	19
Tasmania	Financial and insurance services	2000	23
Tasmania	Financial and insurance services	2005	54
Tasmania	Financial and insurance services	2010	53
Tasmania	Financial and insurance services	2015	37
Tasmania	Financial and insurance services	2016	8
Tasmania	Financial and insurance services		5
Tasmania	Health care and social assistance	1991	2269
Tasmania	Health care and social assistance	1995	291
Tasmania	Health care and social assistance	2000	370
Tasmania	Health care and social assistance	2005	502
Tasmania	Health care and social assistance	2010	862
Tasmania	Health care and social assistance	2015	624
Tasmania	Health care and social assistance	2016	47
Tasmania	Health care and social assistance		79
Tasmania	Information media and telecommunications	1991	170
Tasmania	Information media and telecommunications	1995	11
Tasmania	Information media and telecommunications	2000	27
Tasmania	Information media and telecommunications	2005	31
Tasmania	Information media and telecommunications	2010	48
Tasmania	Information media and telecommunications	2015	36
Tasmania	Information media and telecommunications	2016	5
Tasmania	Information media and telecommunications		8
Tasmania	Manufacturing	1991	646
Tasmania	Manufacturing	1995	102
Tasmania	Manufacturing	2000	101
Tasmania	Manufacturing	2005	143
Tasmania	Manufacturing	2010	227
Tasmania	Manufacturing	2015	190
Tasmania	Manufacturing	2016	9
Tasmania	Manufacturing		51
Tasmania	Mining	1991	74
Tasmania	Mining	1995	6
Tasmania	Mining	2000	8
Tasmania	Mining	2005	8
Tasmania	Mining	2010	32
Tasmania	Mining	2015	16
Tasmania	Other services	1991	405
Tasmania	Other services	1995	46
Tasmania	Other services	2000	53
Tasmania	Other services	2005	63
Tasmania	Other services	2010	116
Tasmania	Other services	2015	85
Tasmania	Other services	2016	3
Tasmania	Other services		18
Tasmania	Professional scientific and technical services	1991	795
Tasmania	Professional scientific and technical services	1995	89
Tasmania	Professional scientific and technical services	2000	135
Tasmania	Professional scientific and technical services	2005	154
Tasmania	Professional scientific and technical services	2010	219
Tasmania	Professional scientific and technical services	2015	214
Tasmania	Professional scientific and technical services	2016	16
Tasmania	Professional scientific and technical services		35
Tasmania	Public administration and safety	1991	1171
Tasmania	Public administration and safety	1995	93
Tasmania	Public administration and safety	2000	151
Tasmania	Public administration and safety	2005	154
Tasmania	Public administration and safety	2010	186
Tasmania	Public administration and safety	2015	85
Tasmania	Public administration and safety	2016	8
Tasmania	Public administration and safety		39
Tasmania	Rental hiring and real estate services	1991	173
Tasmania	Rental hiring and real estate services	1995	12
Tasmania	Rental hiring and real estate services	2000	15
Tasmania	Rental hiring and real estate services	2005	12
Tasmania	Rental hiring and real estate services	2010	24
Tasmania	Rental hiring and real estate services	2015	22
Tasmania	Rental hiring and real estate services	2016	3
Tasmania	Rental hiring and real estate services		14
Tasmania	Retail trade	1991	849
Tasmania	Retail trade	1995	103
Tasmania	Retail trade	2000	155
Tasmania	Retail trade	2005	175
Tasmania	Retail trade	2010	295
Tasmania	Retail trade	2015	255
Tasmania	Retail trade	2016	19
Tasmania	Retail trade		61
Tasmania	Transport postal and warehousing	1991	450
Tasmania	Transport postal and warehousing	1995	35
Tasmania	Transport postal and warehousing	2000	52
Tasmania	Transport postal and warehousing	2005	74
Tasmania	Transport postal and warehousing	2010	144
Tasmania	Transport postal and warehousing	2015	130
Tasmania	Transport postal and warehousing	2016	7
Tasmania	Transport postal and warehousing		22
Tasmania	Wholesale trade	1991	207
Tasmania	Wholesale trade	1995	20
Tasmania	Wholesale trade	2000	35
Tasmania	Wholesale trade	2005	27
Tasmania	Wholesale trade	2010	52
Tasmania	Wholesale trade	2015	43
Tasmania	Wholesale trade		16
Northern Territory		1991	371
Northern Territory		1995	49
Northern Territory		2000	86
Northern Territory		2005	132
Northern Territory		2010	301
Northern Territory		2015	367
Northern Territory		2016	52
Northern Territory			127
Northern Territory	Accommodation and food services	1991	500
Northern Territory	Accommodation and food services	1995	108
Northern Territory	Accommodation and food services	2000	147
Northern Territory	Accommodation and food services	2005	178
Northern Territory	Accommodation and food services	2010	838
Northern Territory	Accommodation and food services	2015	1535
Northern Territory	Accommodation and food services	2016	283
Northern Territory	Accommodation and food services		153
Northern Territory	Administrative and support services	1991	298
Northern Territory	Administrative and support services	1995	53
Northern Territory	Administrative and support services	2000	76
Northern Territory	Administrative and support services	2005	84
Northern Territory	Administrative and support services	2010	248
Northern Territory	Administrative and support services	2015	357
Northern Territory	Administrative and support services	2016	51
Northern Territory	Administrative and support services		63
Northern Territory	Agriculture forestry and fishing	1991	158
Northern Territory	Agriculture forestry and fishing	1995	51
Northern Territory	Agriculture forestry and fishing	2000	39
Northern Territory	Agriculture forestry and fishing	2005	29
Northern Territory	Agriculture forestry and fishing	2010	58
Northern Territory	Agriculture forestry and fishing	2015	110
Northern Territory	Agriculture forestry and fishing	2016	20
Northern Territory	Agriculture forestry and fishing		28
Northern Territory	Arts and recreation services	1991	144
Northern Territory	Arts and recreation services	1995	27
Northern Territory	Arts and recreation services	2000	33
Northern Territory	Arts and recreation services	2005	46
Northern Territory	Arts and recreation services	2010	154
Northern Territory	Arts and recreation services	2015	187
Northern Territory	Arts and recreation services	2016	15
Northern Territory	Arts and recreation services		29
Northern Territory	Construction	1991	1066
Northern Territory	Construction	1995	154
Northern Territory	Construction	2000	239
Northern Territory	Construction	2005	267
Northern Territory	Construction	2010	696
Northern Territory	Construction	2015	796
Northern Territory	Construction	2016	48
Northern Territory	Construction		93
Northern Territory	Education and training	1991	845
Northern Territory	Education and training	1995	132
Northern Territory	Education and training	2000	176
Northern Territory	Education and training	2005	204
Northern Territory	Education and training	2010	480
Northern Territory	Education and training	2015	413
Northern Territory	Education and training	2016	39
Northern Territory	Education and training		61
Northern Territory	Electricity gas water and waste services	1991	173
Northern Territory	Electricity gas water and waste services	1995	26
Northern Territory	Electricity gas water and waste services	2000	24
Northern Territory	Electricity gas water and waste services	2005	44
Northern Territory	Electricity gas water and waste services	2010	95
Northern Territory	Electricity gas water and waste services	2015	62
Northern Territory	Electricity gas water and waste services	2016	11
Northern Territory	Electricity gas water and waste services		6
Northern Territory	Financial and insurance services	1991	84
Northern Territory	Financial and insurance services	1995	20
Northern Territory	Financial and insurance services	2000	24
Northern Territory	Financial and insurance services	2005	19
Northern Territory	Financial and insurance services	2010	60
Northern Territory	Financial and insurance services	2015	59
Northern Territory	Financial and insurance services		8
Northern Territory	Health care and social assistance	1991	968
Northern Territory	Health care and social assistance	1995	184
Northern Territory	Health care and social assistance	2000	245
Northern Territory	Health care and social assistance	2005	414
Northern Territory	Health care and social assistance	2010	1341
Northern Territory	Health care and social assistance	2015	1262
Northern Territory	Health care and social assistance	2016	74
Northern Territory	Health care and social assistance		116
Northern Territory	Information media and telecommunications	1991	104
Northern Territory	Information media and telecommunications	1995	14
Northern Territory	Information media and telecommunications	2000	16
Northern Territory	Information media and telecommunications	2005	20
Northern Territory	Information media and telecommunications	2010	51
Northern Territory	Information media and telecommunications	2015	60
Northern Territory	Information media and telecommunications	2016	3
Northern Territory	Manufacturing	1991	199
Northern Territory	Manufacturing	1995	28
Northern Territory	Manufacturing	2000	56
Northern Territory	Manufacturing	2005	54
Northern Territory	Manufacturing	2010	179
Northern Territory	Manufacturing	2015	228
Northern Territory	Manufacturing	2016	22
Northern Territory	Manufacturing		22
Northern Territory	Mining	1991	294
Northern Territory	Mining	1995	42
Northern Territory	Mining	2000	74
Northern Territory	Mining	2005	97
Northern Territory	Mining	2010	182
Northern Territory	Mining	2015	164
Northern Territory	Mining	2016	9
Northern Territory	Mining		29
Northern Territory	Other services	1991	273
Northern Territory	Other services	1995	45
Northern Territory	Other services	2000	42
Northern Territory	Other services	2005	76
Northern Territory	Other services	2010	193
Northern Territory	Other services	2015	256
Northern Territory	Other services	2016	30
Northern Territory	Other services		29
Northern Territory	Professional scientific and technical services	1991	583
Northern Territory	Professional scientific and technical services	1995	96
Northern Territory	Professional scientific and technical services	2000	111
Northern Territory	Professional scientific and technical services	2005	186
Northern Territory	Professional scientific and technical services	2010	446
Northern Territory	Professional scientific and technical services	2015	482
Northern Territory	Professional scientific and technical services	2016	35
Northern Territory	Professional scientific and technical services		43
Northern Territory	Public administration and safety	1991	1491
Northern Territory	Public administration and safety	1995	239
Northern Territory	Public administration and safety	2000	289
Northern Territory	Public administration and safety	2005	359
Northern Territory	Public administration and safety	2010	720
Northern Territory	Public administration and safety	2015	651
Northern Territory	Public administration and safety	2016	56
Northern Territory	Public administration and safety		103
Northern Territory	Rental hiring and real estate services	1991	143
Northern Territory	Rental hiring and real estate services	1995	21
Northern Territory	Rental hiring and real estate services	2000	26
Northern Territory	Rental hiring and real estate services	2005	24
Northern Territory	Rental hiring and real estate services	2010	69
Northern Territory	Rental hiring and real estate services	2015	103
Northern Territory	Rental hiring and real estate services	2016	4
Northern Territory	Rental hiring and real estate services		11
Northern Territory	Retail trade	1991	530
Northern Territory	Retail trade	1995	74
Northern Territory	Retail trade	2000	121
Northern Territory	Retail trade	2005	160
Northern Territory	Retail trade	2010	617
Northern Territory	Retail trade	2015	730
Northern Territory	Retail trade	2016	49
Northern Territory	Retail trade		75
Northern Territory	Transport postal and warehousing	1991	422
Northern Territory	Transport postal and warehousing	1995	66
Northern Territory	Transport postal and warehousing	2000	67
Northern Territory	Transport postal and warehousing	2005	101
Northern Territory	Transport postal and warehousing	2010	329
Northern Territory	Transport postal and warehousing	2015	260
Northern Territory	Transport postal and warehousing	2016	17
Northern Territory	Transport postal and warehousing		34
Northern Territory	Wholesale trade	1991	148
Northern Territory	Wholesale trade	1995	26
Northern Territory	Wholesale trade	2000	20
Northern Territory	Wholesale trade	2005	35
Northern Territory	Wholesale trade	2010	105
Northern Territory	Wholesale trade	2015	142
Northern Territory	Wholesale trade	2016	9
Northern Territory	Wholesale trade		10
Australian Capital Territory		1991	487
Australian Capital Territory		1995	107
Australian Capital Territory		2000	141
Australian Capital Territory		2005	214
Australian Capital Territory		2010	383
Australian Capital Territory		2015	387
Australian Capital Territory		2016	31
Australian Capital Territory			110
Australian Capital Territory	Accommodation and food services	1991	762
Australian Capital Territory	Accommodation and food services	1995	204
Australian Capital Territory	Accommodation and food services	2000	394
Australian Capital Territory	Accommodation and food services	2005	518
Australian Capital Territory	Accommodation and food services	2010	1368
Australian Capital Territory	Accommodation and food services	2015	1839
Australian Capital Territory	Accommodation and food services	2016	185
Australian Capital Territory	Accommodation and food services		127
Australian Capital Territory	Administrative and support services	1991	603
Australian Capital Territory	Administrative and support services	1995	126
Australian Capital Territory	Administrative and support services	2000	141
Australian Capital Territory	Administrative and support services	2005	192
Australian Capital Territory	Administrative and support services	2010	390
Australian Capital Territory	Administrative and support services	2015	676
Australian Capital Territory	Administrative and support services	2016	84
Australian Capital Territory	Administrative and support services		47
Australian Capital Territory	Agriculture forestry and fishing	1991	55
Australian Capital Territory	Agriculture forestry and fishing	1995	8
Australian Capital Territory	Agriculture forestry and fishing	2000	4
Australian Capital Territory	Agriculture forestry and fishing	2005	18
Australian Capital Territory	Agriculture forestry and fishing	2010	16
Australian Capital Territory	Agriculture forestry and fishing	2015	30
Australian Capital Territory	Agriculture forestry and fishing		3
Australian Capital Territory	Arts and recreation services	1991	297
Australian Capital Territory	Arts and recreation services	1995	54
Australian Capital Territory	Arts and recreation services	2000	73
Australian Capital Territory	Arts and recreation services	2005	85
Australian Capital Territory	Arts and recreation services	2010	90
Australian Capital Territory	Arts and recreation services	2015	124
Australian Capital Territory	Arts and recreation services	2016	9
Australian Capital Territory	Arts and recreation services		14
Australian Capital Territory	Construction	1991	1068
Australian Capital Territory	Construction	1995	139
Australian Capital Territory	Construction	2000	189
Australian Capital Territory	Construction	2005	260
Australian Capital Territory	Construction	2010	431
Australian Capital Territory	Construction	2015	400
Australian Capital Territory	Construction	2016	15
Australian Capital Territory	Construction		66
Australian Capital Territory	Education and training	1991	2020
Australian Capital Territory	Education and training	1995	437
Australian Capital Territory	Education and training	2000	552
Australian Capital Territory	Education and training	2005	730
Australian Capital Territory	Education and training	2010	1069
Australian Capital Territory	Education and training	2015	1224
Australian Capital Territory	Education and training	2016	86
Australian Capital Territory	Education and training		84
Australian Capital Territory	Electricity gas water and waste services	1991	131
Australian Capital Territory	Electricity gas water and waste services	1995	17
Australian Capital Territory	Electricity gas water and waste services	2000	29
Australian Capital Territory	Electricity gas water and waste services	2005	29
Australian Capital Territory	Electricity gas water and waste services	2010	78
Australian Capital Territory	Electricity gas water and waste services	2015	74
Australian Capital Territory	Electricity gas water and waste services		4
Australian Capital Territory	Financial and insurance services	1991	328
Australian Capital Territory	Financial and insurance services	1995	71
Australian Capital Territory	Financial and insurance services	2000	84
Australian Capital Territory	Financial and insurance services	2005	134
Australian Capital Territory	Financial and insurance services	2010	195
Australian Capital Territory	Financial and insurance services	2015	154
Australian Capital Territory	Financial and insurance services	2016	9
Australian Capital Territory	Financial and insurance services		12
Australian Capital Territory	Health care and social assistance	1991	2124
Australian Capital Territory	Health care and social assistance	1995	515
Australian Capital Territory	Health care and social assistance	2000	597
Australian Capital Territory	Health care and social assistance	2005	950
Australian Capital Territory	Health care and social assistance	2010	2237
Australian Capital Territory	Health care and social assistance	2015	2216
Australian Capital Territory	Health care and social assistance	2016	94
Australian Capital Territory	Health care and social assistance		126
Australian Capital Territory	Information media and telecommunications	1991	354
Australian Capital Territory	Information media and telecommunications	1995	87
Australian Capital Territory	Information media and telecommunications	2000	110
Australian Capital Territory	Information media and telecommunications	2005	150
Australian Capital Territory	Information media and telecommunications	2010	144
Australian Capital Territory	Information media and telecommunications	2015	120
Australian Capital Territory	Information media and telecommunications	2016	4
Australian Capital Territory	Information media and telecommunications		14
Australian Capital Territory	Manufacturing	1991	352
Australian Capital Territory	Manufacturing	1995	78
Australian Capital Territory	Manufacturing	2000	88
Australian Capital Territory	Manufacturing	2005	74
Australian Capital Territory	Manufacturing	2010	143
Australian Capital Territory	Manufacturing	2015	149
Australian Capital Territory	Manufacturing	2016	4
Australian Capital Territory	Manufacturing		26
Australian Capital Territory	Mining	1991	8
Australian Capital Territory	Mining	1995	3
Australian Capital Territory	Mining	2005	5
Australian Capital Territory	Mining	2010	3
Australian Capital Territory	Other services	1991	545
Australian Capital Territory	Other services	1995	116
Australian Capital Territory	Other services	2000	121
Australian Capital Territory	Other services	2005	159
Australian Capital Territory	Other services	2010	367
Australian Capital Territory	Other services	2015	371
Australian Capital Territory	Other services	2016	30
Australian Capital Territory	Other services		39
Australian Capital Territory	Professional scientific and technical services	1991	2142
Australian Capital Territory	Professional scientific and technical services	1995	532
Australian Capital Territory	Professional scientific and technical services	2000	647
Australian Capital Territory	Professional scientific and technical services	2005	967
Australian Capital Territory	Professional scientific and technical services	2010	1115
Australian Capital Territory	Professional scientific and technical services	2015	925
Australian Capital Territory	Professional scientific and technical services	2016	74
Australian Capital Territory	Professional scientific and technical services		86
Australian Capital Territory	Public administration and safety	1991	7803
Australian Capital Territory	Public administration and safety	1995	1782
Australian Capital Territory	Public administration and safety	2000	1931
Australian Capital Territory	Public administration and safety	2005	2124
Australian Capital Territory	Public administration and safety	2010	1582
Australian Capital Territory	Public administration and safety	2015	817
Australian Capital Territory	Public administration and safety	2016	97
Australian Capital Territory	Public administration and safety		269
Australian Capital Territory	Rental hiring and real estate services	1991	274
Australian Capital Territory	Rental hiring and real estate services	1995	53
Australian Capital Territory	Rental hiring and real estate services	2000	45
Australian Capital Territory	Rental hiring and real estate services	2005	66
Australian Capital Territory	Rental hiring and real estate services	2010	109
Australian Capital Territory	Rental hiring and real estate services	2015	97
Australian Capital Territory	Rental hiring and real estate services	2016	7
Australian Capital Territory	Rental hiring and real estate services		7
Australian Capital Territory	Retail trade	1991	983
Australian Capital Territory	Retail trade	1995	219
Australian Capital Territory	Retail trade	2000	326
Australian Capital Territory	Retail trade	2005	510
Australian Capital Territory	Retail trade	2010	974
Australian Capital Territory	Retail trade	2015	1093
Australian Capital Territory	Retail trade	2016	56
Australian Capital Territory	Retail trade		69
Australian Capital Territory	Transport postal and warehousing	1991	625
Australian Capital Territory	Transport postal and warehousing	1995	95
Australian Capital Territory	Transport postal and warehousing	2000	114
Australian Capital Territory	Transport postal and warehousing	2005	184
Australian Capital Territory	Transport postal and warehousing	2010	406
Australian Capital Territory	Transport postal and warehousing	2015	218
Australian Capital Territory	Transport postal and warehousing	2016	10
Australian Capital Territory	Transport postal and warehousing		28
Australian Capital Territory	Wholesale trade	1991	243
Australian Capital Territory	Wholesale trade	1995	33
Australian Capital Territory	Wholesale trade	2000	43
Australian Capital Territory	Wholesale trade	2005	63
Australian Capital Territory	Wholesale trade	2010	95
Australian Capital Territory	Wholesale trade	2015	85
Australian Capital Territory	Wholesale trade	2016	4
Australian Capital Territory	Wholesale trade		9
Other Territories		1991	18
Other Territories		1995	4
Other Territories		2000	6
Other Territories		2010	10
Other Territories		2015	10
Other Territories		2016	3
Other Territories			12
Other Territories	Accommodation and food services	1991	49
Other Territories	Accommodation and food services	1995	4
Other Territories	Accommodation and food services	2000	3
Other Territories	Accommodation and food services	2005	10
Other Territories	Accommodation and food services	2010	30
Other Territories	Accommodation and food services	2015	29
Other Territories	Accommodation and food services	2016	8
Other Territories	Accommodation and food services		5
Other Territories	Administrative and support services	1991	22
Other Territories	Administrative and support services	2005	4
Other Territories	Administrative and support services	2010	5
Other Territories	Administrative and support services	2015	3
Other Territories	Administrative and support services		3
Other Territories	Agriculture forestry and fishing	1991	5
Other Territories	Agriculture forestry and fishing		5
Other Territories	Arts and recreation services	1991	12
Other Territories	Construction	1991	32
Other Territories	Construction	1995	3
Other Territories	Construction	2005	5
Other Territories	Construction	2010	7
Other Territories	Construction	2015	5
Other Territories	Construction		6
Other Territories	Education and training	1991	25
Other Territories	Education and training	1995	5
Other Territories	Education and training	2000	5
Other Territories	Education and training	2005	4
Other Territories	Education and training	2016	5
Other Territories	Education and training		9
Other Territories	Electricity gas water and waste services	1991	11
Other Territories	Electricity gas water and waste services	1995	3
Other Territories	Financial and insurance services	1991	7
Other Territories	Health care and social assistance	1991	24
Other Territories	Health care and social assistance	2000	6
Other Territories	Health care and social assistance	2005	6
Other Territories	Health care and social assistance	2010	4
Other Territories	Health care and social assistance	2015	3
Other Territories	Health care and social assistance	2016	3
Other Territories	Health care and social assistance		3
Other Territories	Information media and telecommunications	1991	3
Other Territories	Information media and telecommunications	2015	3
Other Territories	Information media and telecommunications		3
Other Territories	Manufacturing	1991	17
Other Territories	Manufacturing	2015	3
Other Territories	Mining	1991	75
Other Territories	Mining	1995	3
Other Territories	Mining	2000	3
Other Territories	Mining	2010	15
Other Territories	Mining	2015	6
Other Territories	Mining		3
Other Territories	Other services	1991	14
Other Territories	Other services	1995	3
Other Territories	Other services	2010	3
Other Territories	Other services	2015	3
Other Territories	Other services		3
Other Territories	Professional scientific and technical services	1991	13
Other Territories	Professional scientific and technical services	2000	3
Other Territories	Professional scientific and technical services	2005	4
Other Territories	Professional scientific and technical services	2010	10
Other Territories	Professional scientific and technical services		4
Other Territories	Public administration and safety	1991	120
Other Territories	Public administration and safety	1995	8
Other Territories	Public administration and safety	2000	10
Other Territories	Public administration and safety	2005	18
Other Territories	Public administration and safety	2010	23
Other Territories	Public administration and safety	2015	15
Other Territories	Public administration and safety		9
Other Territories	Rental hiring and real estate services	1991	7
Other Territories	Rental hiring and real estate services	2000	4
Other Territories	Rental hiring and real estate services	2005	3
Other Territories	Rental hiring and real estate services	2010	3
Other Territories	Retail trade	1991	43
Other Territories	Retail trade	1995	3
Other Territories	Retail trade	2000	7
Other Territories	Retail trade	2005	5
Other Territories	Retail trade	2010	4
Other Territories	Retail trade	2015	5
Other Territories	Retail trade	2016	3
Other Territories	Retail trade		8
Other Territories	Transport postal and warehousing	1991	16
Other Territories	Transport postal and warehousing	1995	3
Other Territories	Transport postal and warehousing	2000	5
Other Territories	Transport postal and warehousing	2010	4
Other Territories	Transport postal and warehousing	2015	4
Other Territories	Transport postal and warehousing		6
Other Territories	Wholesale trade	1991	3
Other Territories	Wholesale trade	2005	3
Other Territories	Wholesale trade	2010	3
