SA3_NAME16	EmploymentStatus	workers
Whittlesea - Wallan	Owner managers of incorporated enterprises	4526
Whittlesea - Wallan	Owner managers of unincorporated enterprises	3482
Whittlesea - Wallan	Status in employment not stated	714
Keilor	Contributing family workers	374
Keilor	Employee	28085
Keilor	Owner managers of incorporated enterprises	2673
Keilor	Owner managers of unincorporated enterprises	1533
Keilor	Status in employment not stated	373
Macedon Ranges	Contributing family workers	229
Macedon Ranges	Employee	4845
Macedon Ranges	Owner managers of incorporated enterprises	808
Macedon Ranges	Owner managers of unincorporated enterprises	870
Macedon Ranges	Status in employment not stated	71
Moreland - North	Contributing family workers	214
Moreland - North	Employee	11291
Moreland - North	Owner managers of incorporated enterprises	1360
Moreland - North	Owner managers of unincorporated enterprises	1485
Moreland - North	Status in employment not stated	220
Sunbury	Contributing family workers	165
Sunbury	Employee	6094
Sunbury	Owner managers of incorporated enterprises	703
Sunbury	Owner managers of unincorporated enterprises	783
Sunbury	Status in employment not stated	87
Tullamarine - Broadmeadows	Contributing family workers	664
Tullamarine - Broadmeadows	Employee	66634
Tullamarine - Broadmeadows	Owner managers of incorporated enterprises	4641
Tullamarine - Broadmeadows	Owner managers of unincorporated enterprises	3279
Tullamarine - Broadmeadows	Status in employment not stated	948
Knox	Contributing family workers	787
Knox	Employee	54147
Knox	Owner managers of incorporated enterprises	4907
Knox	Owner managers of unincorporated enterprises	3866
Knox	Status in employment not stated	511
Manningham - East	Contributing family workers	156
Manningham - East	Employee	3007
Manningham - East	Owner managers of incorporated enterprises	801
Manningham - East	Owner managers of unincorporated enterprises	615
Manningham - East	Status in employment not stated	43
Maroondah	Contributing family workers	558
Maroondah	Employee	35124
Maroondah	Owner managers of incorporated enterprises	3374
Maroondah	Owner managers of unincorporated enterprises	2832
Maroondah	Status in employment not stated	341
Whitehorse - East	Contributing family workers	318
Whitehorse - East	Employee	18822
Whitehorse - East	Owner managers of incorporated enterprises	1840
Whitehorse - East	Owner managers of unincorporated enterprises	1487
Whitehorse - East	Status in employment not stated	169
Yarra Ranges	Contributing family workers	998
Yarra Ranges	Employee	29838
Yarra Ranges	Owner managers of incorporated enterprises	3782
Yarra Ranges	Owner managers of unincorporated enterprises	4385
Yarra Ranges	Status in employment not stated	456
Cardinia	Contributing family workers	576
Cardinia	Employee	17648
Cardinia	Owner managers of incorporated enterprises	2313
Cardinia	Owner managers of unincorporated enterprises	2324
Cardinia	Status in employment not stated	303
Casey - North	Contributing family workers	539
Casey - North	Employee	32389
Casey - North	Owner managers of incorporated enterprises	3212
Casey - North	Owner managers of unincorporated enterprises	2799
Casey - North	Status in employment not stated	363
Casey - South	Contributing family workers	532
Casey - South	Employee	19249
Casey - South	Owner managers of incorporated enterprises	2189
Casey - South	Owner managers of unincorporated enterprises	2696
Casey - South	Status in employment not stated	278
Dandenong	Contributing family workers	1039
Dandenong	Employee	93848
Dandenong	Owner managers of incorporated enterprises	6798
Dandenong	Owner managers of unincorporated enterprises	4596
Dandenong	Status in employment not stated	1124
Monash	Contributing family workers	1015
Monash	Employee	92274
Monash	Owner managers of incorporated enterprises	6023
Monash	Owner managers of unincorporated enterprises	4311
Monash	Status in employment not stated	740
Brimbank	Contributing family workers	648
Brimbank	Employee	47025
Brimbank	Owner managers of incorporated enterprises	3434
Brimbank	Owner managers of unincorporated enterprises	2851
Brimbank	Status in employment not stated	683
Hobsons Bay	Contributing family workers	377
Hobsons Bay	Employee	28177
Hobsons Bay	Owner managers of incorporated enterprises	2299
Hobsons Bay	Owner managers of unincorporated enterprises	2044
Hobsons Bay	Status in employment not stated	354
Maribyrnong	Contributing family workers	387
Maribyrnong	Employee	31989
Maribyrnong	Owner managers of incorporated enterprises	2259
Maribyrnong	Owner managers of unincorporated enterprises	2234
Maribyrnong	Status in employment not stated	394
Melton - Bacchus Marsh	Contributing family workers	539
Melton - Bacchus Marsh	Employee	23971
Melton - Bacchus Marsh	Owner managers of incorporated enterprises	2484
Melton - Bacchus Marsh	Owner managers of unincorporated enterprises	2306
Melton - Bacchus Marsh	Status in employment not stated	362
Wyndham	Contributing family workers	808
Wyndham	Employee	53978
Wyndham	Owner managers of incorporated enterprises	4209
Wyndham	Owner managers of unincorporated enterprises	3940
Wyndham	Status in employment not stated	703
Frankston	Contributing family workers	648
Frankston	Employee	35006
Frankston	Owner managers of incorporated enterprises	3558
Frankston	Owner managers of unincorporated enterprises	3261
Frankston	Status in employment not stated	448
Mornington Peninsula	Contributing family workers	1077
Mornington Peninsula	Employee	37534
Mornington Peninsula	Owner managers of incorporated enterprises	5062
Mornington Peninsula	Owner managers of unincorporated enterprises	5224
Mornington Peninsula	Status in employment not stated	571
Grampians	Contributing family workers	1471
Grampians	Employee	18537
Grampians	Owner managers of incorporated enterprises	1821
Grampians	Owner managers of unincorporated enterprises	2697
Grampians	Status in employment not stated	341
Mildura	Contributing family workers	704
Mildura	Employee	17335
Mildura	Owner managers of incorporated enterprises	1410
Mildura	Owner managers of unincorporated enterprises	1572
Mildura	Status in employment not stated	324
Murray River - Swan Hill	Contributing family workers	953
Murray River - Swan Hill	Employee	10931
Murray River - Swan Hill	Owner managers of incorporated enterprises	1421
Murray River - Swan Hill	Owner managers of unincorporated enterprises	1571
Murray River - Swan Hill	Status in employment not stated	296
Campaspe	Contributing family workers	601
Campaspe	Employee	11683
Campaspe	Owner managers of incorporated enterprises	1171
Campaspe	Owner managers of unincorporated enterprises	1634
Campaspe	Status in employment not stated	261
Moira	Contributing family workers	518
Moira	Employee	7786
Moira	Owner managers of incorporated enterprises	902
Moira	Owner managers of unincorporated enterprises	1150
Moira	Status in employment not stated	171
Shepparton	Contributing family workers	614
Shepparton	Employee	23222
Shepparton	Owner managers of incorporated enterprises	1980
Shepparton	Owner managers of unincorporated enterprises	1755
Shepparton	Status in employment not stated	361
Glenelg - Southern Grampians	Contributing family workers	731
Glenelg - Southern Grampians	Employee	11331
Glenelg - Southern Grampians	Owner managers of incorporated enterprises	820
Glenelg - Southern Grampians	Owner managers of unincorporated enterprises	1838
Glenelg - Southern Grampians	Status in employment not stated	239
Colac - Corangamite	Contributing family workers	754
Colac - Corangamite	Employee	11986
Colac - Corangamite	Owner managers of incorporated enterprises	1097
Colac - Corangamite	Owner managers of unincorporated enterprises	2320
Colac - Corangamite	Status in employment not stated	303
Warrnambool	Contributing family workers	612
Warrnambool	Employee	17451
Warrnambool	Owner managers of incorporated enterprises	1293
Warrnambool	Owner managers of unincorporated enterprises	2218
Warrnambool	Status in employment not stated	319
Migratory - Offshore - Shipping (Vic.)	Contributing family workers	3
Migratory - Offshore - Shipping (Vic.)	Employee	146
Migratory - Offshore - Shipping (Vic.)	Owner managers of incorporated enterprises	3
Migratory - Offshore - Shipping (Vic.)	Owner managers of unincorporated enterprises	4
Migratory - Offshore - Shipping (Vic.)	Status in employment not stated	3
No usual address (Vic.)	Contributing family workers	1616
No usual address (Vic.)	Employee	66022
No usual address (Vic.)	Owner managers of incorporated enterprises	15171
No usual address (Vic.)	Owner managers of unincorporated enterprises	33984
No usual address (Vic.)	Status in employment not stated	2241
Capalaba	Contributing family workers	346
Capalaba	Employee	14628
Capalaba	Owner managers of incorporated enterprises	2062
Capalaba	Owner managers of unincorporated enterprises	1652
Capalaba	Status in employment not stated	165
Cleveland - Stradbroke	Contributing family workers	494
Cleveland - Stradbroke	Employee	18510
Cleveland - Stradbroke	Owner managers of incorporated enterprises	2115
Cleveland - Stradbroke	Owner managers of unincorporated enterprises	2050
Cleveland - Stradbroke	Status in employment not stated	207
Wynnum - Manly	Contributing family workers	310
Wynnum - Manly	Employee	33401
Wynnum - Manly	Owner managers of incorporated enterprises	2406
Wynnum - Manly	Owner managers of unincorporated enterprises	1918
Wynnum - Manly	Status in employment not stated	284
Bald Hills - Everton Park	Contributing family workers	131
Bald Hills - Everton Park	Employee	5971
Bald Hills - Everton Park	Owner managers of incorporated enterprises	714
Bald Hills - Everton Park	Owner managers of unincorporated enterprises	753
Bald Hills - Everton Park	Status in employment not stated	64
Chermside	Contributing family workers	264
Chermside	Employee	31851
Chermside	Owner managers of incorporated enterprises	2033
Chermside	Owner managers of unincorporated enterprises	1809
Chermside	Status in employment not stated	213
Nundah	Contributing family workers	244
Nundah	Employee	53208
Nundah	Owner managers of incorporated enterprises	2041
Nundah	Owner managers of unincorporated enterprises	1496
Nundah	Status in employment not stated	383
Sandgate	Contributing family workers	149
Sandgate	Employee	9154
Sandgate	Owner managers of incorporated enterprises	799
Sandgate	Owner managers of unincorporated enterprises	1128
Sandgate	Status in employment not stated	98
Carindale	Contributing family workers	175
Carindale	Employee	13194
Carindale	Owner managers of incorporated enterprises	1156
Carindale	Owner managers of unincorporated enterprises	1145
Carindale	Status in employment not stated	97
Holland Park - Yeronga	Contributing family workers	332
Holland Park - Yeronga	Employee	34340
Holland Park - Yeronga	Owner managers of incorporated enterprises	2369
Holland Park - Yeronga	Owner managers of unincorporated enterprises	2166
Holland Park - Yeronga	Status in employment not stated	241
Mt Gravatt	Contributing family workers	419
Mt Gravatt	Employee	29357
Mt Gravatt	Owner managers of incorporated enterprises	1919
Mt Gravatt	Owner managers of unincorporated enterprises	1627
Mt Gravatt	Status in employment not stated	233
Nathan	Contributing family workers	243
Nathan	Employee	17891
Nathan	Owner managers of incorporated enterprises	1556
Nathan	Owner managers of unincorporated enterprises	1194
Nathan	Status in employment not stated	152
Rocklea - Acacia Ridge	Contributing family workers	357
Rocklea - Acacia Ridge	Employee	33333
Rocklea - Acacia Ridge	Owner managers of incorporated enterprises	2174
Rocklea - Acacia Ridge	Owner managers of unincorporated enterprises	1533
Rocklea - Acacia Ridge	Status in employment not stated	319
Sunnybank	Contributing family workers	208
Sunnybank	Employee	6154
Sunnybank	Owner managers of incorporated enterprises	831
Sunnybank	Owner managers of unincorporated enterprises	915
Sunnybank	Status in employment not stated	64
Centenary	Contributing family workers	157
Centenary	Employee	6874
Centenary	Owner managers of incorporated enterprises	840
Centenary	Owner managers of unincorporated enterprises	804
Centenary	Status in employment not stated	54
Kenmore - Brookfield - Moggill	Contributing family workers	232
Kenmore - Brookfield - Moggill	Employee	5848
Kenmore - Brookfield - Moggill	Owner managers of incorporated enterprises	1210
Kenmore - Brookfield - Moggill	Owner managers of unincorporated enterprises	1034
Kenmore - Brookfield - Moggill	Status in employment not stated	62
Sherwood - Indooroopilly	Contributing family workers	217
Sherwood - Indooroopilly	Employee	22206
Sherwood - Indooroopilly	Owner managers of incorporated enterprises	1201
Sherwood - Indooroopilly	Owner managers of unincorporated enterprises	1249
Sherwood - Indooroopilly	Status in employment not stated	132
The Gap - Enoggera	Contributing family workers	152
The Gap - Enoggera	Employee	15215
The Gap - Enoggera	Owner managers of incorporated enterprises	955
The Gap - Enoggera	Owner managers of unincorporated enterprises	1109
The Gap - Enoggera	Status in employment not stated	80
Brisbane Inner	Contributing family workers	721
Brisbane Inner	Employee	185378
Brisbane Inner	Owner managers of incorporated enterprises	6961
Brisbane Inner	Owner managers of unincorporated enterprises	5085
Brisbane Inner	Status in employment not stated	1029
Brisbane Inner - East	Contributing family workers	213
Brisbane Inner - East	Employee	11391
Brisbane Inner - East	Owner managers of incorporated enterprises	1525
Brisbane Inner - East	Owner managers of unincorporated enterprises	1076
Brisbane Inner - East	Status in employment not stated	83
Brisbane Inner - North	Contributing family workers	543
Brisbane Inner - North	Employee	55273
Brisbane Inner - North	Owner managers of incorporated enterprises	3642
Brisbane Inner - North	Owner managers of unincorporated enterprises	2882
Brisbane Inner - North	Status in employment not stated	341
Brisbane Inner - West	Contributing family workers	318
Brisbane Inner - West	Employee	30477
Brisbane Inner - West	Owner managers of incorporated enterprises	2741
Brisbane Inner - West	Owner managers of unincorporated enterprises	2186
Brisbane Inner - West	Status in employment not stated	191
Cairns - North	Contributing family workers	234
Cairns - North	Employee	11037
Cairns - North	Owner managers of incorporated enterprises	909
Cairns - North	Owner managers of unincorporated enterprises	1476
Cairns - North	Status in employment not stated	136
Cairns - South	Contributing family workers	613
Cairns - South	Employee	45321
Cairns - South	Owner managers of incorporated enterprises	3083
Cairns - South	Owner managers of unincorporated enterprises	3193
Cairns - South	Status in employment not stated	507
Innisfail - Cassowary Coast	Contributing family workers	554
Innisfail - Cassowary Coast	Employee	10032
Innisfail - Cassowary Coast	Owner managers of incorporated enterprises	846
Innisfail - Cassowary Coast	Owner managers of unincorporated enterprises	1265
Innisfail - Cassowary Coast	Status in employment not stated	218
Port Douglas - Daintree	Contributing family workers	166
Port Douglas - Daintree	Employee	4291
Port Douglas - Daintree	Owner managers of incorporated enterprises	430
Port Douglas - Daintree	Owner managers of unincorporated enterprises	628
Port Douglas - Daintree	Status in employment not stated	75
Tablelands (East) - Kuranda	Contributing family workers	606
Tablelands (East) - Kuranda	Employee	10783
Tablelands (East) - Kuranda	Owner managers of incorporated enterprises	940
Tablelands (East) - Kuranda	Owner managers of unincorporated enterprises	1730
Tablelands (East) - Kuranda	Status in employment not stated	238
Darling Downs (West) - Maranoa	Contributing family workers	1548
Darling Downs (West) - Maranoa	Employee	16613
Darling Downs (West) - Maranoa	Owner managers of incorporated enterprises	1623
Darling Downs (West) - Maranoa	Owner managers of unincorporated enterprises	2345
Darling Downs (West) - Maranoa	Status in employment not stated	329
Darling Downs - East	Contributing family workers	997
Darling Downs - East	Employee	14347
Darling Downs - East	Owner managers of incorporated enterprises	1164
Darling Downs - East	Owner managers of unincorporated enterprises	1964
Darling Downs - East	Status in employment not stated	260
Granite Belt	Contributing family workers	808
Granite Belt	Employee	10965
Granite Belt	Owner managers of incorporated enterprises	1001
Granite Belt	Owner managers of unincorporated enterprises	1741
Granite Belt	Status in employment not stated	237
Central Highlands (Qld)	Contributing family workers	461
Central Highlands (Qld)	Employee	13888
Central Highlands (Qld)	Owner managers of incorporated enterprises	861
Central Highlands (Qld)	Owner managers of unincorporated enterprises	942
Central Highlands (Qld)	Status in employment not stated	208
Rockhampton	Contributing family workers	865
Rockhampton	Employee	39049
Rockhampton	Owner managers of incorporated enterprises	2115
Rockhampton	Owner managers of unincorporated enterprises	2994
Rockhampton	Status in employment not stated	441
Biloela	Contributing family workers	478
Biloela	Employee	6389
Biloela	Owner managers of incorporated enterprises	380
Biloela	Owner managers of unincorporated enterprises	786
Biloela	Status in employment not stated	118
Gladstone	Contributing family workers	472
Gladstone	Employee	23580
Gladstone	Owner managers of incorporated enterprises	1019
Gladstone	Owner managers of unincorporated enterprises	1315
Gladstone	Status in employment not stated	214
Broadbeach - Burleigh	Contributing family workers	544
Broadbeach - Burleigh	Employee	26304
Broadbeach - Burleigh	Owner managers of incorporated enterprises	3422
Broadbeach - Burleigh	Owner managers of unincorporated enterprises	2670
Broadbeach - Burleigh	Status in employment not stated	309
Coolangatta	Contributing family workers	301
Coolangatta	Employee	14145
Coolangatta	Owner managers of incorporated enterprises	1571
Coolangatta	Owner managers of unincorporated enterprises	1817
Coolangatta	Status in employment not stated	207
Gold Coast - North	Contributing family workers	409
Gold Coast - North	Employee	14101
Gold Coast - North	Owner managers of incorporated enterprises	2010
Gold Coast - North	Owner managers of unincorporated enterprises	1738
Gold Coast - North	Status in employment not stated	188
Gold Coast Hinterland	Contributing family workers	196
Gold Coast Hinterland	Employee	2955
Gold Coast Hinterland	Owner managers of incorporated enterprises	491
Gold Coast Hinterland	Owner managers of unincorporated enterprises	781
Gold Coast Hinterland	Status in employment not stated	73
Mudgeeraba - Tallebudgera	Contributing family workers	227
Mudgeeraba - Tallebudgera	Employee	4386
Mudgeeraba - Tallebudgera	Owner managers of incorporated enterprises	862
Mudgeeraba - Tallebudgera	Owner managers of unincorporated enterprises	1009
Mudgeeraba - Tallebudgera	Status in employment not stated	65
Nerang	Contributing family workers	422
Nerang	Employee	14096
Nerang	Owner managers of incorporated enterprises	2015
Nerang	Owner managers of unincorporated enterprises	1920
Nerang	Status in employment not stated	170
Ormeau - Oxenford	Contributing family workers	761
Ormeau - Oxenford	Employee	38718
Ormeau - Oxenford	Owner managers of incorporated enterprises	4072
Ormeau - Oxenford	Owner managers of unincorporated enterprises	3267
Ormeau - Oxenford	Status in employment not stated	412
Robina	Contributing family workers	297
Robina	Employee	20088
Robina	Owner managers of incorporated enterprises	1684
Robina	Owner managers of unincorporated enterprises	1453
Robina	Status in employment not stated	167
Southport	Contributing family workers	477
Southport	Employee	36679
Southport	Owner managers of incorporated enterprises	3159
Southport	Owner managers of unincorporated enterprises	2399
Southport	Status in employment not stated	354
Surfers Paradise	Contributing family workers	396
Surfers Paradise	Employee	21131
Surfers Paradise	Owner managers of incorporated enterprises	2342
Surfers Paradise	Owner managers of unincorporated enterprises	1774
Surfers Paradise	Status in employment not stated	229
Forest Lake - Oxley	Contributing family workers	273
Forest Lake - Oxley	Employee	29625
Forest Lake - Oxley	Owner managers of incorporated enterprises	1582
Forest Lake - Oxley	Owner managers of unincorporated enterprises	1527
Forest Lake - Oxley	Status in employment not stated	283
Ipswich Hinterland	Contributing family workers	746
Ipswich Hinterland	Employee	14626
Ipswich Hinterland	Owner managers of incorporated enterprises	1076
Ipswich Hinterland	Owner managers of unincorporated enterprises	1810
Ipswich Hinterland	Status in employment not stated	250
Ipswich Inner	Contributing family workers	386
Ipswich Inner	Employee	30928
Ipswich Inner	Owner managers of incorporated enterprises	1553
Ipswich Inner	Owner managers of unincorporated enterprises	1960
Ipswich Inner	Status in employment not stated	299
Springfield - Redbank	Contributing family workers	219
Springfield - Redbank	Employee	18213
Springfield - Redbank	Owner managers of incorporated enterprises	1036
Springfield - Redbank	Owner managers of unincorporated enterprises	1354
Springfield - Redbank	Status in employment not stated	161
Beaudesert	Contributing family workers	210
Beaudesert	Employee	4019
Beaudesert	Owner managers of incorporated enterprises	374
Beaudesert	Owner managers of unincorporated enterprises	460
Beaudesert	Status in employment not stated	87
Beenleigh	Contributing family workers	146
Beenleigh	Employee	8608
Beenleigh	Owner managers of incorporated enterprises	649
Beenleigh	Owner managers of unincorporated enterprises	814
Beenleigh	Status in employment not stated	90
Browns Plains	Contributing family workers	329
Browns Plains	Employee	15441
Browns Plains	Owner managers of incorporated enterprises	1271
Browns Plains	Owner managers of unincorporated enterprises	1425
Browns Plains	Status in employment not stated	189
Jimboomba	Contributing family workers	278
Jimboomba	Employee	4519
Jimboomba	Owner managers of incorporated enterprises	881
Jimboomba	Owner managers of unincorporated enterprises	1080
Jimboomba	Status in employment not stated	83
Loganlea - Carbrook	Contributing family workers	287
Loganlea - Carbrook	Employee	19492
Loganlea - Carbrook	Owner managers of incorporated enterprises	1575
Loganlea - Carbrook	Owner managers of unincorporated enterprises	1344
Loganlea - Carbrook	Status in employment not stated	191
Springwood - Kingston	Contributing family workers	410
Springwood - Kingston	Employee	25589
Springwood - Kingston	Owner managers of incorporated enterprises	2223
Springwood - Kingston	Owner managers of unincorporated enterprises	1923
Springwood - Kingston	Status in employment not stated	279
Bowen Basin - North	Contributing family workers	496
Bowen Basin - North	Employee	23179
Bowen Basin - North	Owner managers of incorporated enterprises	953
Bowen Basin - North	Owner managers of unincorporated enterprises	963
Bowen Basin - North	Status in employment not stated	269
Mackay	Contributing family workers	964
Mackay	Employee	38831
Mackay	Owner managers of incorporated enterprises	2648
Mackay	Owner managers of unincorporated enterprises	2753
Mackay	Status in employment not stated	509
Whitsunday	Contributing family workers	248
Whitsunday	Employee	7416
Whitsunday	Owner managers of incorporated enterprises	695
Whitsunday	Owner managers of unincorporated enterprises	815
Whitsunday	Status in employment not stated	112
Bribie - Beachmere	Contributing family workers	149
Bribie - Beachmere	Employee	3931
Bribie - Beachmere	Owner managers of incorporated enterprises	432
Bribie - Beachmere	Owner managers of unincorporated enterprises	737
Bribie - Beachmere	Status in employment not stated	77
Caboolture	Contributing family workers	329
Caboolture	Employee	20114
Caboolture	Owner managers of incorporated enterprises	1240
Caboolture	Owner managers of unincorporated enterprises	1493
Caboolture	Status in employment not stated	217
Caboolture Hinterland	Contributing family workers	165
Caboolture Hinterland	Employee	3037
Caboolture Hinterland	Owner managers of incorporated enterprises	238
Caboolture Hinterland	Owner managers of unincorporated enterprises	438
Caboolture Hinterland	Status in employment not stated	69
Narangba - Burpengary	Contributing family workers	260
Narangba - Burpengary	Employee	10828
Narangba - Burpengary	Owner managers of incorporated enterprises	1149
Narangba - Burpengary	Owner managers of unincorporated enterprises	1195
Narangba - Burpengary	Status in employment not stated	118
Redcliffe	Contributing family workers	317
Redcliffe	Employee	15818
Redcliffe	Owner managers of incorporated enterprises	1279
Redcliffe	Owner managers of unincorporated enterprises	1441
Redcliffe	Status in employment not stated	178
The Hills District	Contributing family workers	437
The Hills District	Employee	9478
The Hills District	Owner managers of incorporated enterprises	1975
The Hills District	Owner managers of unincorporated enterprises	2052
The Hills District	Status in employment not stated	127
North Lakes	Contributing family workers	241
North Lakes	Employee	12914
North Lakes	Owner managers of incorporated enterprises	1003
North Lakes	Owner managers of unincorporated enterprises	1230
North Lakes	Status in employment not stated	101
Strathpine	Contributing family workers	202
Strathpine	Employee	17631
Strathpine	Owner managers of incorporated enterprises	1417
Strathpine	Owner managers of unincorporated enterprises	1072
Strathpine	Status in employment not stated	140
Far North	Contributing family workers	372
Far North	Employee	9488
Far North	Owner managers of incorporated enterprises	439
Far North	Owner managers of unincorporated enterprises	732
Far North	Status in employment not stated	138
Outback - North	Contributing family workers	301
Outback - North	Employee	14888
Outback - North	Owner managers of incorporated enterprises	634
Outback - North	Owner managers of unincorporated enterprises	680
Outback - North	Status in employment not stated	182
Outback - South	Contributing family workers	719
Outback - South	Employee	6394
Outback - South	Owner managers of incorporated enterprises	555
Outback - South	Owner managers of unincorporated enterprises	1108
Outback - South	Status in employment not stated	140
Buderim	Contributing family workers	366
Buderim	Employee	14091
Buderim	Owner managers of incorporated enterprises	1795
Buderim	Owner managers of unincorporated enterprises	1747
Buderim	Status in employment not stated	146
Caloundra	Contributing family workers	544
Caloundra	Employee	23283
Caloundra	Owner managers of incorporated enterprises	2706
Caloundra	Owner managers of unincorporated enterprises	2572
Caloundra	Status in employment not stated	275
Maroochy	Contributing family workers	440
Maroochy	Employee	23246
Maroochy	Owner managers of incorporated enterprises	2538
Maroochy	Owner managers of unincorporated enterprises	2364
Maroochy	Status in employment not stated	262
Noosa	Contributing family workers	381
Noosa	Employee	12636
Noosa	Owner managers of incorporated enterprises	1993
Noosa	Owner managers of unincorporated enterprises	2011
Noosa	Status in employment not stated	159
Sunshine Coast Hinterland	Contributing family workers	572
Sunshine Coast Hinterland	Employee	8741
Sunshine Coast Hinterland	Owner managers of incorporated enterprises	1286
Sunshine Coast Hinterland	Owner managers of unincorporated enterprises	2062
Sunshine Coast Hinterland	Status in employment not stated	159
Nambour	Contributing family workers	385
Nambour	Employee	16100
Nambour	Owner managers of incorporated enterprises	1285
Nambour	Owner managers of unincorporated enterprises	1709
Nambour	Status in employment not stated	170
Noosa Hinterland	Contributing family workers	216
Noosa Hinterland	Employee	3114
Noosa Hinterland	Owner managers of incorporated enterprises	637
Noosa Hinterland	Owner managers of unincorporated enterprises	943
Noosa Hinterland	Status in employment not stated	64
Toowoomba	Contributing family workers	1068
Toowoomba	Employee	55026
Toowoomba	Owner managers of incorporated enterprises	3665
Toowoomba	Owner managers of unincorporated enterprises	3721
Toowoomba	Status in employment not stated	580
Charters Towers - Ayr - Ingham	Contributing family workers	743
Charters Towers - Ayr - Ingham	Employee	12966
Charters Towers - Ayr - Ingham	Owner managers of incorporated enterprises	1060
Charters Towers - Ayr - Ingham	Owner managers of unincorporated enterprises	1502
Charters Towers - Ayr - Ingham	Status in employment not stated	278
Townsville	Contributing family workers	853
Townsville	Employee	72237
Townsville	Owner managers of incorporated enterprises	3722
Townsville	Owner managers of unincorporated enterprises	4322
Townsville	Status in employment not stated	586
Bundaberg	Contributing family workers	756
Bundaberg	Employee	25010
Bundaberg	Owner managers of incorporated enterprises	1685
Bundaberg	Owner managers of unincorporated enterprises	2302
Bundaberg	Status in employment not stated	290
Burnett	Contributing family workers	1116
Burnett	Employee	12772
Burnett	Owner managers of incorporated enterprises	866
Burnett	Owner managers of unincorporated enterprises	1986
Burnett	Status in employment not stated	300
Gympie - Cooloola	Contributing family workers	672
Gympie - Cooloola	Employee	12088
Gympie - Cooloola	Owner managers of incorporated enterprises	918
Gympie - Cooloola	Owner managers of unincorporated enterprises	1821
Gympie - Cooloola	Status in employment not stated	188
Hervey Bay	Contributing family workers	323
Hervey Bay	Employee	13367
Hervey Bay	Owner managers of incorporated enterprises	982
Hervey Bay	Owner managers of unincorporated enterprises	1291
Hervey Bay	Status in employment not stated	183
Maryborough	Contributing family workers	369
Maryborough	Employee	10700
Maryborough	Owner managers of incorporated enterprises	648
Maryborough	Owner managers of unincorporated enterprises	1087
Maryborough	Status in employment not stated	194
Migratory - Offshore - Shipping (Qld)	Contributing family workers	6
Migratory - Offshore - Shipping (Qld)	Employee	174
Migratory - Offshore - Shipping (Qld)	Owner managers of incorporated enterprises	12
Migratory - Offshore - Shipping (Qld)	Owner managers of unincorporated enterprises	15
No usual address (Qld)	Contributing family workers	1522
No usual address (Qld)	Employee	58038
No usual address (Qld)	Owner managers of incorporated enterprises	10356
No usual address (Qld)	Owner managers of unincorporated enterprises	27349
No usual address (Qld)	Status in employment not stated	1566
Adelaide City	Contributing family workers	546
Adelaide City	Employee	109180
Adelaide City	Owner managers of incorporated enterprises	3744
Adelaide City	Owner managers of unincorporated enterprises	3343
Adelaide City	Status in employment not stated	792
Adelaide Hills	Contributing family workers	618
Adelaide Hills	Employee	14939
Adelaide Hills	Owner managers of incorporated enterprises	1681
Adelaide Hills	Owner managers of unincorporated enterprises	2798
Adelaide Hills	Status in employment not stated	261
Burnside	Contributing family workers	260
Burnside	Employee	13537
Burnside	Owner managers of incorporated enterprises	1371
Burnside	Owner managers of unincorporated enterprises	1454
Burnside	Status in employment not stated	130
Campbelltown (SA)	Contributing family workers	176
Campbelltown (SA)	Employee	7388
Campbelltown (SA)	Owner managers of incorporated enterprises	737
Campbelltown (SA)	Owner managers of unincorporated enterprises	1118
Campbelltown (SA)	Status in employment not stated	84
Norwood - Payneham - St Peters	Contributing family workers	285
Norwood - Payneham - St Peters	Employee	18909
Norwood - Payneham - St Peters	Owner managers of incorporated enterprises	1914
Norwood - Payneham - St Peters	Owner managers of unincorporated enterprises	1730
Norwood - Payneham - St Peters	Status in employment not stated	206
Prospect - Walkerville	Contributing family workers	136
Prospect - Walkerville	Employee	6378
Prospect - Walkerville	Owner managers of incorporated enterprises	717
Prospect - Walkerville	Owner managers of unincorporated enterprises	788
Prospect - Walkerville	Status in employment not stated	70
Unley	Contributing family workers	245
Unley	Employee	16079
Unley	Owner managers of incorporated enterprises	1470
Unley	Owner managers of unincorporated enterprises	1466
Unley	Status in employment not stated	125
Gawler - Two Wells	Contributing family workers	189
Gawler - Two Wells	Employee	7666
Gawler - Two Wells	Owner managers of incorporated enterprises	514
Gawler - Two Wells	Owner managers of unincorporated enterprises	965
Gawler - Two Wells	Status in employment not stated	110
Playford	Contributing family workers	421
Playford	Employee	21522
Playford	Owner managers of incorporated enterprises	845
Playford	Owner managers of unincorporated enterprises	1641
Playford	Status in employment not stated	271
Port Adelaide - East	Contributing family workers	239
Port Adelaide - East	Employee	20519
Port Adelaide - East	Owner managers of incorporated enterprises	1102
Port Adelaide - East	Owner managers of unincorporated enterprises	1475
Port Adelaide - East	Status in employment not stated	203
Salisbury	Contributing family workers	455
Salisbury	Employee	39428
Salisbury	Owner managers of incorporated enterprises	1997
Salisbury	Owner managers of unincorporated enterprises	2611
Salisbury	Status in employment not stated	414
Tea Tree Gully	Contributing family workers	310
Tea Tree Gully	Employee	17773
Tea Tree Gully	Owner managers of incorporated enterprises	1277
Tea Tree Gully	Owner managers of unincorporated enterprises	2001
Tea Tree Gully	Status in employment not stated	175
