SA3_NAME16	IndustryOfEmployment	workers_born_overseas
Blacktown	Arts and recreation services	90
Blacktown	Construction	1431
Blacktown	Education and training	984
Blacktown	Electricity gas water and waste services	138
Blacktown	Financial and insurance services	365
Blacktown	Health care and social assistance	3444
Blacktown	Information media and telecommunications	208
Blacktown	Manufacturing	2661
Blacktown	Mining	31
Blacktown	Other services	815
Blacktown	Professional scientific and technical services	814
Blacktown	Public administration and safety	753
Blacktown	Rental hiring and real estate services	219
Blacktown	Retail trade	2017
Blacktown	Transport postal and warehousing	1594
Blacktown	Wholesale trade	1054
Blacktown - North		327
Blacktown - North	Accommodation and food services	383
Blacktown - North	Administrative and support services	174
Blacktown - North	Agriculture forestry and fishing	79
Blacktown - North	Arts and recreation services	46
Blacktown - North	Construction	618
Blacktown - North	Education and training	624
Blacktown - North	Electricity gas water and waste services	24
Blacktown - North	Financial and insurance services	97
Blacktown - North	Health care and social assistance	625
Blacktown - North	Information media and telecommunications	30
Blacktown - North	Manufacturing	321
Blacktown - North	Mining	3
Blacktown - North	Other services	170
Blacktown - North	Professional scientific and technical services	365
Blacktown - North	Public administration and safety	223
Blacktown - North	Rental hiring and real estate services	76
Blacktown - North	Retail trade	661
Blacktown - North	Transport postal and warehousing	446
Blacktown - North	Wholesale trade	128
Mount Druitt		1368
Mount Druitt	Accommodation and food services	702
Mount Druitt	Administrative and support services	637
Mount Druitt	Agriculture forestry and fishing	73
Mount Druitt	Arts and recreation services	86
Mount Druitt	Construction	993
Mount Druitt	Education and training	834
Mount Druitt	Electricity gas water and waste services	555
Mount Druitt	Financial and insurance services	108
Mount Druitt	Health care and social assistance	1741
Mount Druitt	Information media and telecommunications	147
Mount Druitt	Manufacturing	2230
Mount Druitt	Mining	17
Mount Druitt	Other services	514
Mount Druitt	Professional scientific and technical services	408
Mount Druitt	Public administration and safety	382
Mount Druitt	Rental hiring and real estate services	134
Mount Druitt	Retail trade	2089
Mount Druitt	Transport postal and warehousing	3228
Mount Druitt	Wholesale trade	1810
Botany		1423
Botany	Accommodation and food services	2459
Botany	Administrative and support services	1501
Botany	Agriculture forestry and fishing	44
Botany	Arts and recreation services	89
Botany	Construction	1491
Botany	Education and training	204
Botany	Electricity gas water and waste services	142
Botany	Financial and insurance services	389
Botany	Health care and social assistance	759
Botany	Information media and telecommunications	220
Botany	Manufacturing	2067
Botany	Mining	9
Botany	Other services	558
Botany	Professional scientific and technical services	995
Botany	Public administration and safety	1229
Botany	Rental hiring and real estate services	473
Botany	Retail trade	2338
Botany	Transport postal and warehousing	9107
Botany	Wholesale trade	1119
Marrickville - Sydenham - Petersham		964
Marrickville - Sydenham - Petersham	Accommodation and food services	1101
Marrickville - Sydenham - Petersham	Administrative and support services	339
Marrickville - Sydenham - Petersham	Agriculture forestry and fishing	30
Marrickville - Sydenham - Petersham	Arts and recreation services	137
Marrickville - Sydenham - Petersham	Construction	773
Marrickville - Sydenham - Petersham	Education and training	501
Marrickville - Sydenham - Petersham	Electricity gas water and waste services	30
Marrickville - Sydenham - Petersham	Financial and insurance services	179
Marrickville - Sydenham - Petersham	Health care and social assistance	943
Marrickville - Sydenham - Petersham	Information media and telecommunications	129
Marrickville - Sydenham - Petersham	Manufacturing	1984
Marrickville - Sydenham - Petersham	Mining	5
Marrickville - Sydenham - Petersham	Other services	626
Marrickville - Sydenham - Petersham	Professional scientific and technical services	595
Marrickville - Sydenham - Petersham	Public administration and safety	389
Marrickville - Sydenham - Petersham	Rental hiring and real estate services	84
Marrickville - Sydenham - Petersham	Retail trade	1358
Marrickville - Sydenham - Petersham	Transport postal and warehousing	930
Marrickville - Sydenham - Petersham	Wholesale trade	720
Sydney Inner City		10827
Sydney Inner City	Accommodation and food services	24453
Sydney Inner City	Administrative and support services	12468
Sydney Inner City	Agriculture forestry and fishing	184
Sydney Inner City	Arts and recreation services	4455
Sydney Inner City	Construction	7253
Sydney Inner City	Education and training	13547
Sydney Inner City	Electricity gas water and waste services	1194
Sydney Inner City	Financial and insurance services	43276
Sydney Inner City	Health care and social assistance	13112
Sydney Inner City	Information media and telecommunications	11214
Sydney Inner City	Manufacturing	3903
Sydney Inner City	Mining	532
Sydney Inner City	Other services	5246
Sydney Inner City	Professional scientific and technical services	45496
Sydney Inner City	Public administration and safety	11712
Sydney Inner City	Rental hiring and real estate services	5546
Sydney Inner City	Retail trade	13727
Sydney Inner City	Transport postal and warehousing	6623
Sydney Inner City	Wholesale trade	4644
Eastern Suburbs - North		1233
Eastern Suburbs - North	Accommodation and food services	3297
Eastern Suburbs - North	Administrative and support services	1122
Eastern Suburbs - North	Agriculture forestry and fishing	37
Eastern Suburbs - North	Arts and recreation services	645
Eastern Suburbs - North	Construction	1449
Eastern Suburbs - North	Education and training	1913
Eastern Suburbs - North	Electricity gas water and waste services	35
Eastern Suburbs - North	Financial and insurance services	677
Eastern Suburbs - North	Health care and social assistance	3058
Eastern Suburbs - North	Information media and telecommunications	548
Eastern Suburbs - North	Manufacturing	347
Eastern Suburbs - North	Mining	13
Eastern Suburbs - North	Other services	1208
Eastern Suburbs - North	Professional scientific and technical services	2290
Eastern Suburbs - North	Public administration and safety	779
Eastern Suburbs - North	Rental hiring and real estate services	587
Eastern Suburbs - North	Retail trade	3078
Eastern Suburbs - North	Transport postal and warehousing	335
Eastern Suburbs - North	Wholesale trade	368
Eastern Suburbs - South		781
Eastern Suburbs - South	Accommodation and food services	2111
Eastern Suburbs - South	Administrative and support services	571
Eastern Suburbs - South	Agriculture forestry and fishing	18
Eastern Suburbs - South	Arts and recreation services	341
Eastern Suburbs - South	Construction	896
Eastern Suburbs - South	Education and training	4427
Eastern Suburbs - South	Electricity gas water and waste services	28
Eastern Suburbs - South	Financial and insurance services	234
Eastern Suburbs - South	Health care and social assistance	5545
Eastern Suburbs - South	Information media and telecommunications	127
Eastern Suburbs - South	Manufacturing	258
Eastern Suburbs - South	Mining	10
Eastern Suburbs - South	Other services	606
Eastern Suburbs - South	Professional scientific and technical services	1020
Eastern Suburbs - South	Public administration and safety	978
Eastern Suburbs - South	Rental hiring and real estate services	198
Eastern Suburbs - South	Retail trade	1233
Eastern Suburbs - South	Transport postal and warehousing	370
Eastern Suburbs - South	Wholesale trade	135
Bankstown		2320
Bankstown	Accommodation and food services	1369
Bankstown	Administrative and support services	848
Bankstown	Agriculture forestry and fishing	55
Bankstown	Arts and recreation services	134
Bankstown	Construction	2243
Bankstown	Education and training	1497
Bankstown	Electricity gas water and waste services	248
Bankstown	Financial and insurance services	404
Bankstown	Health care and social assistance	4002
Bankstown	Information media and telecommunications	200
Bankstown	Manufacturing	4955
Bankstown	Mining	25
Bankstown	Other services	1092
Bankstown	Professional scientific and technical services	956
Bankstown	Public administration and safety	728
Bankstown	Rental hiring and real estate services	275
Bankstown	Retail trade	2440
Bankstown	Transport postal and warehousing	2876
Bankstown	Wholesale trade	1391
Canterbury		1246
Canterbury	Accommodation and food services	1016
Canterbury	Administrative and support services	618
Canterbury	Agriculture forestry and fishing	26
Canterbury	Arts and recreation services	93
Canterbury	Construction	1465
Canterbury	Education and training	748
Canterbury	Electricity gas water and waste services	26
Canterbury	Financial and insurance services	212
Canterbury	Health care and social assistance	2684
Canterbury	Information media and telecommunications	117
Canterbury	Manufacturing	1376
Canterbury	Mining	7
Canterbury	Other services	731
Canterbury	Professional scientific and technical services	699
Canterbury	Public administration and safety	439
Canterbury	Rental hiring and real estate services	201
Canterbury	Retail trade	1620
Canterbury	Transport postal and warehousing	1438
Canterbury	Wholesale trade	768
Hurstville		762
Hurstville	Accommodation and food services	1188
Hurstville	Administrative and support services	506
Hurstville	Agriculture forestry and fishing	15
Hurstville	Arts and recreation services	86
Hurstville	Construction	923
Hurstville	Education and training	698
Hurstville	Electricity gas water and waste services	86
Hurstville	Financial and insurance services	565
Hurstville	Health care and social assistance	2149
Hurstville	Information media and telecommunications	102
Hurstville	Manufacturing	515
Hurstville	Mining	6
Hurstville	Other services	543
Hurstville	Professional scientific and technical services	798
Hurstville	Public administration and safety	353
Hurstville	Rental hiring and real estate services	316
Hurstville	Retail trade	1464
Hurstville	Transport postal and warehousing	512
Hurstville	Wholesale trade	237
Kogarah - Rockdale		833
Kogarah - Rockdale	Accommodation and food services	1314
Kogarah - Rockdale	Administrative and support services	647
Kogarah - Rockdale	Agriculture forestry and fishing	6
Kogarah - Rockdale	Arts and recreation services	91
Kogarah - Rockdale	Construction	1134
Kogarah - Rockdale	Education and training	651
Kogarah - Rockdale	Electricity gas water and waste services	22
Kogarah - Rockdale	Financial and insurance services	958
Kogarah - Rockdale	Health care and social assistance	4067
Kogarah - Rockdale	Information media and telecommunications	113
Kogarah - Rockdale	Manufacturing	552
Kogarah - Rockdale	Mining	9
Kogarah - Rockdale	Other services	522
Kogarah - Rockdale	Professional scientific and technical services	1019
Kogarah - Rockdale	Public administration and safety	345
Kogarah - Rockdale	Rental hiring and real estate services	238
Kogarah - Rockdale	Retail trade	1406
Kogarah - Rockdale	Transport postal and warehousing	738
Kogarah - Rockdale	Wholesale trade	200
Canada Bay		806
Canada Bay	Accommodation and food services	1345
Canada Bay	Administrative and support services	500
Canada Bay	Agriculture forestry and fishing	7
Canada Bay	Arts and recreation services	107
Canada Bay	Construction	848
Canada Bay	Education and training	405
Canada Bay	Electricity gas water and waste services	145
Canada Bay	Financial and insurance services	1988
Canada Bay	Health care and social assistance	2983
Canada Bay	Information media and telecommunications	292
Canada Bay	Manufacturing	1044
Canada Bay	Mining	10
Canada Bay	Other services	708
Canada Bay	Professional scientific and technical services	1411
Canada Bay	Public administration and safety	182
Canada Bay	Rental hiring and real estate services	332
Canada Bay	Retail trade	1302
Canada Bay	Transport postal and warehousing	608
Canada Bay	Wholesale trade	994
Leichhardt		480
Leichhardt	Accommodation and food services	894
Leichhardt	Administrative and support services	338
Leichhardt	Agriculture forestry and fishing	9
Leichhardt	Arts and recreation services	132
Leichhardt	Construction	614
Leichhardt	Education and training	497
Leichhardt	Electricity gas water and waste services	14
Leichhardt	Financial and insurance services	185
Leichhardt	Health care and social assistance	1408
Leichhardt	Information media and telecommunications	194
Leichhardt	Manufacturing	369
Leichhardt	Mining	3
Leichhardt	Other services	347
Leichhardt	Professional scientific and technical services	975
Leichhardt	Public administration and safety	384
Leichhardt	Rental hiring and real estate services	163
Leichhardt	Retail trade	1033
Leichhardt	Transport postal and warehousing	258
Leichhardt	Wholesale trade	192
Strathfield - Burwood - Ashfield		1724
Strathfield - Burwood - Ashfield	Accommodation and food services	2231
Strathfield - Burwood - Ashfield	Administrative and support services	1050
Strathfield - Burwood - Ashfield	Agriculture forestry and fishing	92
Strathfield - Burwood - Ashfield	Arts and recreation services	118
Strathfield - Burwood - Ashfield	Construction	2064
Strathfield - Burwood - Ashfield	Education and training	1775
Strathfield - Burwood - Ashfield	Electricity gas water and waste services	104
Strathfield - Burwood - Ashfield	Financial and insurance services	991
Strathfield - Burwood - Ashfield	Health care and social assistance	4183
Strathfield - Burwood - Ashfield	Information media and telecommunications	261
Strathfield - Burwood - Ashfield	Manufacturing	739
Strathfield - Burwood - Ashfield	Mining	9
Strathfield - Burwood - Ashfield	Other services	905
Strathfield - Burwood - Ashfield	Professional scientific and technical services	1778
Strathfield - Burwood - Ashfield	Public administration and safety	1461
Strathfield - Burwood - Ashfield	Rental hiring and real estate services	605
Strathfield - Burwood - Ashfield	Retail trade	3317
Strathfield - Burwood - Ashfield	Transport postal and warehousing	2340
Strathfield - Burwood - Ashfield	Wholesale trade	1044
Chatswood - Lane Cove		2087
Chatswood - Lane Cove	Accommodation and food services	2499
Chatswood - Lane Cove	Administrative and support services	1352
Chatswood - Lane Cove	Agriculture forestry and fishing	27
Chatswood - Lane Cove	Arts and recreation services	314
Chatswood - Lane Cove	Construction	1976
Chatswood - Lane Cove	Education and training	1496
Chatswood - Lane Cove	Electricity gas water and waste services	137
Chatswood - Lane Cove	Financial and insurance services	1623
Chatswood - Lane Cove	Health care and social assistance	6711
Chatswood - Lane Cove	Information media and telecommunications	2433
Chatswood - Lane Cove	Manufacturing	1844
Chatswood - Lane Cove	Mining	97
Chatswood - Lane Cove	Other services	1353
Chatswood - Lane Cove	Professional scientific and technical services	6233
Chatswood - Lane Cove	Public administration and safety	1095
Chatswood - Lane Cove	Rental hiring and real estate services	852
Chatswood - Lane Cove	Retail trade	3566
Chatswood - Lane Cove	Transport postal and warehousing	974
Chatswood - Lane Cove	Wholesale trade	2047
Hornsby		515
Hornsby	Accommodation and food services	776
Hornsby	Administrative and support services	295
Hornsby	Agriculture forestry and fishing	38
Hornsby	Arts and recreation services	85
Hornsby	Construction	658
Hornsby	Education and training	732
Hornsby	Electricity gas water and waste services	45
Hornsby	Financial and insurance services	239
Hornsby	Health care and social assistance	2193
Hornsby	Information media and telecommunications	92
Hornsby	Manufacturing	764
Hornsby	Mining	11
Hornsby	Other services	400
Hornsby	Professional scientific and technical services	800
Hornsby	Public administration and safety	253
Hornsby	Rental hiring and real estate services	130
Hornsby	Retail trade	1226
Hornsby	Transport postal and warehousing	300
Hornsby	Wholesale trade	352
Ku-ring-gai		650
Ku-ring-gai	Accommodation and food services	874
Ku-ring-gai	Administrative and support services	414
Ku-ring-gai	Agriculture forestry and fishing	19
Ku-ring-gai	Arts and recreation services	113
Ku-ring-gai	Construction	861
Ku-ring-gai	Education and training	1438
Ku-ring-gai	Electricity gas water and waste services	14
Ku-ring-gai	Financial and insurance services	414
Ku-ring-gai	Health care and social assistance	3181
Ku-ring-gai	Information media and telecommunications	181
Ku-ring-gai	Manufacturing	306
Ku-ring-gai	Mining	18
Ku-ring-gai	Other services	463
Ku-ring-gai	Professional scientific and technical services	1507
Ku-ring-gai	Public administration and safety	236
Ku-ring-gai	Rental hiring and real estate services	342
Ku-ring-gai	Retail trade	986
Ku-ring-gai	Transport postal and warehousing	224
Ku-ring-gai	Wholesale trade	375
North Sydney - Mosman		1787
North Sydney - Mosman	Accommodation and food services	2757
North Sydney - Mosman	Administrative and support services	1624
North Sydney - Mosman	Agriculture forestry and fishing	43
North Sydney - Mosman	Arts and recreation services	574
North Sydney - Mosman	Construction	1874
North Sydney - Mosman	Education and training	1671
North Sydney - Mosman	Electricity gas water and waste services	344
North Sydney - Mosman	Financial and insurance services	3602
North Sydney - Mosman	Health care and social assistance	2563
North Sydney - Mosman	Information media and telecommunications	2486
North Sydney - Mosman	Manufacturing	857
North Sydney - Mosman	Mining	113
North Sydney - Mosman	Other services	1029
North Sydney - Mosman	Professional scientific and technical services	10119
North Sydney - Mosman	Public administration and safety	1011
North Sydney - Mosman	Rental hiring and real estate services	685
North Sydney - Mosman	Retail trade	2002
North Sydney - Mosman	Transport postal and warehousing	764
North Sydney - Mosman	Wholesale trade	999
Manly		302
Manly	Accommodation and food services	1127
Manly	Administrative and support services	198
Manly	Agriculture forestry and fishing	8
Manly	Arts and recreation services	83
Manly	Construction	298
Manly	Education and training	388
Manly	Electricity gas water and waste services	27
Manly	Financial and insurance services	168
Manly	Health care and social assistance	973
Manly	Information media and telecommunications	84
Manly	Manufacturing	113
Manly	Mining	3
Manly	Other services	229
Manly	Professional scientific and technical services	648
Manly	Public administration and safety	146
Manly	Rental hiring and real estate services	91
Manly	Retail trade	661
Manly	Transport postal and warehousing	56
Manly	Wholesale trade	97
Pittwater		439
Pittwater	Accommodation and food services	616
Pittwater	Administrative and support services	218
Pittwater	Agriculture forestry and fishing	23
Pittwater	Arts and recreation services	83
Pittwater	Construction	564
Pittwater	Education and training	367
Pittwater	Electricity gas water and waste services	12
Pittwater	Financial and insurance services	156
Pittwater	Health care and social assistance	1153
Pittwater	Information media and telecommunications	106
Pittwater	Manufacturing	623
Pittwater	Mining	10
Pittwater	Other services	293
Pittwater	Professional scientific and technical services	664
Pittwater	Public administration and safety	170
Pittwater	Rental hiring and real estate services	106
Pittwater	Retail trade	783
Pittwater	Transport postal and warehousing	117
Pittwater	Wholesale trade	223
Warringah		1240
Warringah	Accommodation and food services	1473
Warringah	Administrative and support services	715
Warringah	Agriculture forestry and fishing	65
Warringah	Arts and recreation services	241
Warringah	Construction	1462
Warringah	Education and training	1409
Warringah	Electricity gas water and waste services	101
Warringah	Financial and insurance services	329
Warringah	Health care and social assistance	2905
Warringah	Information media and telecommunications	379
Warringah	Manufacturing	1652
Warringah	Mining	27
Warringah	Other services	860
Warringah	Professional scientific and technical services	2033
Warringah	Public administration and safety	429
Warringah	Rental hiring and real estate services	295
Warringah	Retail trade	2664
Warringah	Transport postal and warehousing	653
Warringah	Wholesale trade	1523
Camden		297
Camden	Accommodation and food services	263
Camden	Administrative and support services	137
Camden	Agriculture forestry and fishing	22
Camden	Arts and recreation services	26
Camden	Construction	560
Camden	Education and training	229
Camden	Electricity gas water and waste services	49
Camden	Financial and insurance services	66
Camden	Health care and social assistance	575
Camden	Information media and telecommunications	17
Camden	Manufacturing	365
Camden	Mining	30
Camden	Other services	159
Camden	Professional scientific and technical services	174
Camden	Public administration and safety	109
Camden	Rental hiring and real estate services	57
Camden	Retail trade	502
Camden	Transport postal and warehousing	326
Camden	Wholesale trade	185
Campbelltown (NSW)		1243
Campbelltown (NSW)	Accommodation and food services	921
Campbelltown (NSW)	Administrative and support services	503
Campbelltown (NSW)	Agriculture forestry and fishing	28
Campbelltown (NSW)	Arts and recreation services	65
Campbelltown (NSW)	Construction	1029
Campbelltown (NSW)	Education and training	1183
Campbelltown (NSW)	Electricity gas water and waste services	121
Campbelltown (NSW)	Financial and insurance services	226
Campbelltown (NSW)	Health care and social assistance	2860
Campbelltown (NSW)	Information media and telecommunications	115
Campbelltown (NSW)	Manufacturing	3055
Campbelltown (NSW)	Mining	30
Campbelltown (NSW)	Other services	574
Campbelltown (NSW)	Professional scientific and technical services	460
Campbelltown (NSW)	Public administration and safety	507
Campbelltown (NSW)	Rental hiring and real estate services	193
Campbelltown (NSW)	Retail trade	1445
Campbelltown (NSW)	Transport postal and warehousing	1021
Campbelltown (NSW)	Wholesale trade	507
Wollondilly		87
Wollondilly	Accommodation and food services	81
Wollondilly	Administrative and support services	44
Wollondilly	Agriculture forestry and fishing	141
Wollondilly	Arts and recreation services	21
Wollondilly	Construction	161
Wollondilly	Education and training	114
Wollondilly	Electricity gas water and waste services	24
Wollondilly	Financial and insurance services	7
Wollondilly	Health care and social assistance	171
Wollondilly	Information media and telecommunications	4
Wollondilly	Manufacturing	175
Wollondilly	Mining	113
Wollondilly	Other services	59
Wollondilly	Professional scientific and technical services	58
Wollondilly	Public administration and safety	72
Wollondilly	Rental hiring and real estate services	18
Wollondilly	Retail trade	122
Wollondilly	Transport postal and warehousing	70
Wollondilly	Wholesale trade	21
Blue Mountains		146
Blue Mountains	Accommodation and food services	619
Blue Mountains	Administrative and support services	114
Blue Mountains	Agriculture forestry and fishing	39
Blue Mountains	Arts and recreation services	102
Blue Mountains	Construction	206
Blue Mountains	Education and training	352
Blue Mountains	Electricity gas water and waste services	17
Blue Mountains	Financial and insurance services	57
Blue Mountains	Health care and social assistance	814
Blue Mountains	Information media and telecommunications	44
Blue Mountains	Manufacturing	92
Blue Mountains	Mining	10
Blue Mountains	Other services	113
Blue Mountains	Professional scientific and technical services	256
Blue Mountains	Public administration and safety	213
Blue Mountains	Rental hiring and real estate services	78
Blue Mountains	Retail trade	328
Blue Mountains	Transport postal and warehousing	107
Blue Mountains	Wholesale trade	27
Penrith		580
Penrith	Accommodation and food services	832
Penrith	Administrative and support services	319
Penrith	Agriculture forestry and fishing	176
Penrith	Arts and recreation services	92
Penrith	Construction	815
Penrith	Education and training	1147
Penrith	Electricity gas water and waste services	119
Penrith	Financial and insurance services	177
Penrith	Health care and social assistance	2988
Penrith	Information media and telecommunications	80
Penrith	Manufacturing	815
Penrith	Mining	22
Penrith	Other services	399
Penrith	Professional scientific and technical services	426
Penrith	Public administration and safety	833
Penrith	Rental hiring and real estate services	107
Penrith	Retail trade	1175
Penrith	Transport postal and warehousing	467
Penrith	Wholesale trade	152
Richmond - Windsor		183
Richmond - Windsor	Accommodation and food services	265
Richmond - Windsor	Administrative and support services	81
Richmond - Windsor	Agriculture forestry and fishing	171
Richmond - Windsor	Arts and recreation services	60
Richmond - Windsor	Construction	200
Richmond - Windsor	Education and training	348
Richmond - Windsor	Electricity gas water and waste services	83
Richmond - Windsor	Financial and insurance services	26
Richmond - Windsor	Health care and social assistance	584
Richmond - Windsor	Information media and telecommunications	60
Richmond - Windsor	Manufacturing	408
Richmond - Windsor	Mining	4
Richmond - Windsor	Other services	93
Richmond - Windsor	Professional scientific and technical services	114
Richmond - Windsor	Public administration and safety	481
Richmond - Windsor	Rental hiring and real estate services	27
Richmond - Windsor	Retail trade	253
Richmond - Windsor	Transport postal and warehousing	97
Richmond - Windsor	Wholesale trade	47
St Marys		575
St Marys	Accommodation and food services	284
St Marys	Administrative and support services	195
St Marys	Agriculture forestry and fishing	18
St Marys	Arts and recreation services	22
St Marys	Construction	395
St Marys	Education and training	275
St Marys	Electricity gas water and waste services	107
St Marys	Financial and insurance services	84
St Marys	Health care and social assistance	510
St Marys	Information media and telecommunications	36
St Marys	Manufacturing	1297
St Marys	Mining	11
St Marys	Other services	168
St Marys	Professional scientific and technical services	165
St Marys	Public administration and safety	132
St Marys	Rental hiring and real estate services	119
St Marys	Retail trade	725
St Marys	Transport postal and warehousing	987
St Marys	Wholesale trade	375
Auburn		2434
Auburn	Accommodation and food services	1317
Auburn	Administrative and support services	1023
Auburn	Agriculture forestry and fishing	102
Auburn	Arts and recreation services	403
Auburn	Construction	2312
Auburn	Education and training	998
Auburn	Electricity gas water and waste services	262
Auburn	Financial and insurance services	2283
Auburn	Health care and social assistance	2141
Auburn	Information media and telecommunications	345
Auburn	Manufacturing	3726
Auburn	Mining	32
Auburn	Other services	996
Auburn	Professional scientific and technical services	1832
Auburn	Public administration and safety	1210
Auburn	Rental hiring and real estate services	447
Auburn	Retail trade	2709
Auburn	Transport postal and warehousing	2050
Auburn	Wholesale trade	2437
Carlingford		789
Carlingford	Accommodation and food services	410
Carlingford	Administrative and support services	419
Carlingford	Agriculture forestry and fishing	5
Carlingford	Arts and recreation services	54
Carlingford	Construction	932
Carlingford	Education and training	627
Carlingford	Electricity gas water and waste services	32
Carlingford	Financial and insurance services	244
Carlingford	Health care and social assistance	1008
Carlingford	Information media and telecommunications	68
Carlingford	Manufacturing	2042
Carlingford	Mining	13
Carlingford	Other services	326
Carlingford	Professional scientific and technical services	502
Carlingford	Public administration and safety	338
Carlingford	Rental hiring and real estate services	146
Carlingford	Retail trade	787
Carlingford	Transport postal and warehousing	436
Carlingford	Wholesale trade	669
Merrylands - Guildford		2411
Merrylands - Guildford	Accommodation and food services	994
Merrylands - Guildford	Administrative and support services	671
Merrylands - Guildford	Agriculture forestry and fishing	41
Merrylands - Guildford	Arts and recreation services	132
Merrylands - Guildford	Construction	2192
Merrylands - Guildford	Education and training	1062
Merrylands - Guildford	Electricity gas water and waste services	219
Merrylands - Guildford	Financial and insurance services	319
Merrylands - Guildford	Health care and social assistance	2440
Merrylands - Guildford	Information media and telecommunications	180
Merrylands - Guildford	Manufacturing	4980
Merrylands - Guildford	Mining	31
Merrylands - Guildford	Other services	987
Merrylands - Guildford	Professional scientific and technical services	788
Merrylands - Guildford	Public administration and safety	789
Merrylands - Guildford	Rental hiring and real estate services	163
Merrylands - Guildford	Retail trade	2414
Merrylands - Guildford	Transport postal and warehousing	3204
Merrylands - Guildford	Wholesale trade	2052
Parramatta		2350
Parramatta	Accommodation and food services	2435
Parramatta	Administrative and support services	1609
Parramatta	Agriculture forestry and fishing	86
Parramatta	Arts and recreation services	217
Parramatta	Construction	2023
Parramatta	Education and training	1997
Parramatta	Electricity gas water and waste services	603
Parramatta	Financial and insurance services	4065
Parramatta	Health care and social assistance	9534
Parramatta	Information media and telecommunications	486
Parramatta	Manufacturing	2648
Parramatta	Mining	31
Parramatta	Other services	1332
Parramatta	Professional scientific and technical services	2994
Parramatta	Public administration and safety	5538
Parramatta	Rental hiring and real estate services	582
Parramatta	Retail trade	2723
Parramatta	Transport postal and warehousing	1281
Parramatta	Wholesale trade	1277
Pennant Hills - Epping		265
Pennant Hills - Epping	Accommodation and food services	301
Pennant Hills - Epping	Administrative and support services	144
Pennant Hills - Epping	Agriculture forestry and fishing	6
Pennant Hills - Epping	Arts and recreation services	36
Pennant Hills - Epping	Construction	373
Pennant Hills - Epping	Education and training	488
Pennant Hills - Epping	Electricity gas water and waste services	3
Pennant Hills - Epping	Financial and insurance services	319
Pennant Hills - Epping	Health care and social assistance	779
Pennant Hills - Epping	Information media and telecommunications	270
Pennant Hills - Epping	Manufacturing	69
Pennant Hills - Epping	Other services	245
Pennant Hills - Epping	Professional scientific and technical services	407
Pennant Hills - Epping	Public administration and safety	48
Pennant Hills - Epping	Rental hiring and real estate services	149
Pennant Hills - Epping	Retail trade	440
Pennant Hills - Epping	Transport postal and warehousing	82
Pennant Hills - Epping	Wholesale trade	66
Ryde - Hunters Hill		2227
Ryde - Hunters Hill	Accommodation and food services	2425
Ryde - Hunters Hill	Administrative and support services	1502
Ryde - Hunters Hill	Agriculture forestry and fishing	55
Ryde - Hunters Hill	Arts and recreation services	198
Ryde - Hunters Hill	Construction	2202
Ryde - Hunters Hill	Education and training	3331
Ryde - Hunters Hill	Electricity gas water and waste services	180
Ryde - Hunters Hill	Financial and insurance services	625
Ryde - Hunters Hill	Health care and social assistance	6092
Ryde - Hunters Hill	Information media and telecommunications	4170
Ryde - Hunters Hill	Manufacturing	3347
Ryde - Hunters Hill	Mining	41
Ryde - Hunters Hill	Other services	1119
Ryde - Hunters Hill	Professional scientific and technical services	5942
Ryde - Hunters Hill	Public administration and safety	1181
Ryde - Hunters Hill	Rental hiring and real estate services	520
Ryde - Hunters Hill	Retail trade	3258
Ryde - Hunters Hill	Transport postal and warehousing	804
Ryde - Hunters Hill	Wholesale trade	5668
Bringelly - Green Valley		390
Bringelly - Green Valley	Accommodation and food services	236
Bringelly - Green Valley	Administrative and support services	269
Bringelly - Green Valley	Agriculture forestry and fishing	634
Bringelly - Green Valley	Arts and recreation services	38
Bringelly - Green Valley	Construction	700
Bringelly - Green Valley	Education and training	775
Bringelly - Green Valley	Electricity gas water and waste services	52
Bringelly - Green Valley	Financial and insurance services	70
Bringelly - Green Valley	Health care and social assistance	832
Bringelly - Green Valley	Information media and telecommunications	50
Bringelly - Green Valley	Manufacturing	177
Bringelly - Green Valley	Mining	13
Bringelly - Green Valley	Other services	226
Bringelly - Green Valley	Professional scientific and technical services	204
Bringelly - Green Valley	Public administration and safety	140
Bringelly - Green Valley	Rental hiring and real estate services	72
Bringelly - Green Valley	Retail trade	518
Bringelly - Green Valley	Transport postal and warehousing	466
Bringelly - Green Valley	Wholesale trade	80
Fairfield		2370
Fairfield	Accommodation and food services	2010
Fairfield	Administrative and support services	991
Fairfield	Agriculture forestry and fishing	215
Fairfield	Arts and recreation services	136
Fairfield	Construction	2158
Fairfield	Education and training	1646
Fairfield	Electricity gas water and waste services	109
Fairfield	Financial and insurance services	423
Fairfield	Health care and social assistance	3444
Fairfield	Information media and telecommunications	175
Fairfield	Manufacturing	3885
Fairfield	Mining	21
Fairfield	Other services	1177
Fairfield	Professional scientific and technical services	887
Fairfield	Public administration and safety	715
Fairfield	Rental hiring and real estate services	373
Fairfield	Retail trade	2749
Fairfield	Transport postal and warehousing	1696
Fairfield	Wholesale trade	1352
Liverpool		1794
Liverpool	Accommodation and food services	945
Liverpool	Administrative and support services	796
Liverpool	Agriculture forestry and fishing	33
Liverpool	Arts and recreation services	139
Liverpool	Construction	1498
Liverpool	Education and training	1050
Liverpool	Electricity gas water and waste services	111
Liverpool	Financial and insurance services	290
Liverpool	Health care and social assistance	4932
Liverpool	Information media and telecommunications	196
Liverpool	Manufacturing	3597
