SA4_NAME16	Occupation	OccupationSubtype	workers
Hunter Valley exc Newcastle	Professionals	Education professionals	4424
Hunter Valley exc Newcastle	Professionals	Health professionals	3605
Hunter Valley exc Newcastle	Professionals	Information and Communication Technology ICT professionals	394
Hunter Valley exc Newcastle	Professionals	Legal social and welfare professionals	964
Hunter Valley exc Newcastle	Professionals	Professionals nfd	64
Hunter Valley exc Newcastle	Sales workers	Sales assistants and salespersons	7387
Hunter Valley exc Newcastle	Sales workers	Sales representatives and agents	1135
Hunter Valley exc Newcastle	Sales workers	Sales support workers	1230
Hunter Valley exc Newcastle	Sales workers	Sales workers nfd	16
Hunter Valley exc Newcastle	Technicians and trades workers	Automotive and engineering trades workers	7175
Hunter Valley exc Newcastle	Technicians and trades workers	Construction trades workers	1794
Hunter Valley exc Newcastle	Technicians and trades workers	Electrotechnology and telecommunications trades workers	2282
Hunter Valley exc Newcastle	Technicians and trades workers	Engineering ICT and science technicians	2183
Hunter Valley exc Newcastle	Technicians and trades workers	Food trades workers	1643
Hunter Valley exc Newcastle	Technicians and trades workers	Other technicians and trades workers	1280
Hunter Valley exc Newcastle	Technicians and trades workers	Skilled animal and horticultural workers	1228
Hunter Valley exc Newcastle	Technicians and trades workers	Technicians and trades workers nfd	224
Illawarra			1591
Illawarra	Clerical and administrative workers	Clerical and administrative workers nfd	42
Illawarra	Clerical and administrative workers	Clerical and office support workers	744
Illawarra	Clerical and administrative workers	General clerical workers	3039
Illawarra	Clerical and administrative workers	Inquiry clerks and receptionists	2953
Illawarra	Clerical and administrative workers	Numerical clerks	2934
Illawarra	Clerical and administrative workers	Office managers and program administrators	2028
Illawarra	Clerical and administrative workers	Other clerical and administrative workers	1858
Illawarra	Clerical and administrative workers	Personal assistants and secretaries	961
Illawarra	Community and personal service workers	Carers and aides	5405
Illawarra	Community and personal service workers	Community and personal service workers nfd	7
Illawarra	Community and personal service workers	Health and welfare support workers	1689
Illawarra	Community and personal service workers	Hospitality workers	3268
Illawarra	Community and personal service workers	Protective service workers	1057
Illawarra	Community and personal service workers	Sports and personal service workers	1755
Illawarra	Labourers	Cleaners and laundry workers	2460
Illawarra	Labourers	Construction and mining labourers	1320
Illawarra	Labourers	Factory process workers	803
Illawarra	Labourers	Farm forestry and garden workers	393
Illawarra	Labourers	Food preparation assistants	1914
Illawarra	Labourers	Labourers nfd	248
Illawarra	Labourers	Other labourers	2066
Illawarra	Machinery operators and drivers	Machine and stationary plant operators	2011
Illawarra	Machinery operators and drivers	Machinery operators and drivers nfd	209
Illawarra	Machinery operators and drivers	Mobile plant operators	551
Illawarra	Machinery operators and drivers	Road and rail drivers	3220
Illawarra	Machinery operators and drivers	Storepersons	511
Illawarra	Managers	Chief executives general managers and legislators	711
Illawarra	Managers	Farmers and farm managers	219
Illawarra	Managers	Hospitality retail and service managers	4172
Illawarra	Managers	Managers nfd	281
Illawarra	Managers	Specialist managers	4904
Illawarra	Professionals	Arts and media professionals	581
Illawarra	Professionals	Business human resource and marketing professionals	3448
Illawarra	Professionals	Design engineering science and transport professionals	2543
Illawarra	Professionals	Education professionals	6303
Illawarra	Professionals	Health professionals	5807
Illawarra	Professionals	Information and Communication Technology ICT professionals	1130
Illawarra	Professionals	Legal social and welfare professionals	1782
Illawarra	Professionals	Professionals nfd	448
Illawarra	Sales workers	Sales assistants and salespersons	7869
Illawarra	Sales workers	Sales representatives and agents	1291
Illawarra	Sales workers	Sales support workers	1414
Illawarra	Sales workers	Sales workers nfd	16
Illawarra	Technicians and trades workers	Automotive and engineering trades workers	3215
Illawarra	Technicians and trades workers	Construction trades workers	2759
Illawarra	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1833
Illawarra	Technicians and trades workers	Engineering ICT and science technicians	1991
Illawarra	Technicians and trades workers	Food trades workers	1635
Illawarra	Technicians and trades workers	Other technicians and trades workers	1520
Illawarra	Technicians and trades workers	Skilled animal and horticultural workers	947
Illawarra	Technicians and trades workers	Technicians and trades workers nfd	181
Mid North Coast			1160
Mid North Coast	Clerical and administrative workers	Clerical and administrative workers nfd	7
Mid North Coast	Clerical and administrative workers	Clerical and office support workers	557
Mid North Coast	Clerical and administrative workers	General clerical workers	1744
Mid North Coast	Clerical and administrative workers	Inquiry clerks and receptionists	1734
Mid North Coast	Clerical and administrative workers	Numerical clerks	1656
Mid North Coast	Clerical and administrative workers	Office managers and program administrators	1312
Mid North Coast	Clerical and administrative workers	Other clerical and administrative workers	819
Mid North Coast	Clerical and administrative workers	Personal assistants and secretaries	613
Mid North Coast	Community and personal service workers	Carers and aides	4484
Mid North Coast	Community and personal service workers	Community and personal service workers nfd	10
Mid North Coast	Community and personal service workers	Health and welfare support workers	1149
Mid North Coast	Community and personal service workers	Hospitality workers	1976
Mid North Coast	Community and personal service workers	Protective service workers	704
Mid North Coast	Community and personal service workers	Sports and personal service workers	875
Mid North Coast	Labourers	Cleaners and laundry workers	2156
Mid North Coast	Labourers	Construction and mining labourers	1071
Mid North Coast	Labourers	Factory process workers	1022
Mid North Coast	Labourers	Farm forestry and garden workers	929
Mid North Coast	Labourers	Food preparation assistants	1309
Mid North Coast	Labourers	Labourers nfd	195
Mid North Coast	Labourers	Other labourers	1453
Mid North Coast	Machinery operators and drivers	Machine and stationary plant operators	768
Mid North Coast	Machinery operators and drivers	Machinery operators and drivers nfd	107
Mid North Coast	Machinery operators and drivers	Mobile plant operators	676
Mid North Coast	Machinery operators and drivers	Road and rail drivers	2092
Mid North Coast	Machinery operators and drivers	Storepersons	292
Mid North Coast	Managers	Chief executives general managers and legislators	372
Mid North Coast	Managers	Farmers and farm managers	2003
Mid North Coast	Managers	Hospitality retail and service managers	3166
Mid North Coast	Managers	Managers nfd	115
Mid North Coast	Managers	Specialist managers	2651
Mid North Coast	Professionals	Arts and media professionals	286
Mid North Coast	Professionals	Business human resource and marketing professionals	1583
Mid North Coast	Professionals	Design engineering science and transport professionals	1140
Mid North Coast	Professionals	Education professionals	3740
Mid North Coast	Professionals	Health professionals	4321
Mid North Coast	Professionals	Information and Communication Technology ICT professionals	251
Mid North Coast	Professionals	Legal social and welfare professionals	1023
Mid North Coast	Professionals	Professionals nfd	54
Mid North Coast	Sales workers	Sales assistants and salespersons	5773
Mid North Coast	Sales workers	Sales representatives and agents	1031
Mid North Coast	Sales workers	Sales support workers	1014
Mid North Coast	Sales workers	Sales workers nfd	7
Mid North Coast	Technicians and trades workers	Automotive and engineering trades workers	1957
Mid North Coast	Technicians and trades workers	Construction trades workers	1644
Mid North Coast	Technicians and trades workers	Electrotechnology and telecommunications trades workers	941
Mid North Coast	Technicians and trades workers	Engineering ICT and science technicians	1054
Mid North Coast	Technicians and trades workers	Food trades workers	1402
Mid North Coast	Technicians and trades workers	Other technicians and trades workers	1020
Mid North Coast	Technicians and trades workers	Skilled animal and horticultural workers	857
Mid North Coast	Technicians and trades workers	Technicians and trades workers nfd	88
Murray			811
Murray	Clerical and administrative workers	Clerical and administrative workers nfd	16
Murray	Clerical and administrative workers	Clerical and office support workers	277
Murray	Clerical and administrative workers	General clerical workers	1459
Murray	Clerical and administrative workers	Inquiry clerks and receptionists	1071
Murray	Clerical and administrative workers	Numerical clerks	1257
Murray	Clerical and administrative workers	Office managers and program administrators	988
Murray	Clerical and administrative workers	Other clerical and administrative workers	690
Murray	Clerical and administrative workers	Personal assistants and secretaries	347
Murray	Community and personal service workers	Carers and aides	2391
Murray	Community and personal service workers	Health and welfare support workers	752
Murray	Community and personal service workers	Hospitality workers	1578
Murray	Community and personal service workers	Protective service workers	439
Murray	Community and personal service workers	Sports and personal service workers	500
Murray	Labourers	Cleaners and laundry workers	1542
Murray	Labourers	Construction and mining labourers	466
Murray	Labourers	Factory process workers	1073
Murray	Labourers	Farm forestry and garden workers	1385
Murray	Labourers	Food preparation assistants	771
Murray	Labourers	Labourers nfd	113
Murray	Labourers	Other labourers	731
Murray	Machinery operators and drivers	Machine and stationary plant operators	724
Murray	Machinery operators and drivers	Machinery operators and drivers nfd	74
Murray	Machinery operators and drivers	Mobile plant operators	738
Murray	Machinery operators and drivers	Road and rail drivers	1648
Murray	Machinery operators and drivers	Storepersons	304
Murray	Managers	Chief executives general managers and legislators	326
Murray	Managers	Farmers and farm managers	3511
Murray	Managers	Hospitality retail and service managers	2217
Murray	Managers	Managers nfd	116
Murray	Managers	Specialist managers	2058
Murray	Professionals	Arts and media professionals	198
Murray	Professionals	Business human resource and marketing professionals	1462
Murray	Professionals	Design engineering science and transport professionals	809
Murray	Professionals	Education professionals	2153
Murray	Professionals	Health professionals	2201
Murray	Professionals	Information and Communication Technology ICT professionals	201
Murray	Professionals	Legal social and welfare professionals	558
Murray	Professionals	Professionals nfd	49
Murray	Sales workers	Sales assistants and salespersons	3521
Murray	Sales workers	Sales representatives and agents	568
Murray	Sales workers	Sales support workers	637
Murray	Sales workers	Sales workers nfd	5
Murray	Technicians and trades workers	Automotive and engineering trades workers	1750
Murray	Technicians and trades workers	Construction trades workers	901
Murray	Technicians and trades workers	Electrotechnology and telecommunications trades workers	763
Murray	Technicians and trades workers	Engineering ICT and science technicians	666
Murray	Technicians and trades workers	Food trades workers	961
Murray	Technicians and trades workers	Other technicians and trades workers	684
Murray	Technicians and trades workers	Skilled animal and horticultural workers	637
Murray	Technicians and trades workers	Technicians and trades workers nfd	74
New England and North West			1286
New England and North West	Clerical and administrative workers	Clerical and administrative workers nfd	16
New England and North West	Clerical and administrative workers	Clerical and office support workers	473
New England and North West	Clerical and administrative workers	General clerical workers	1964
New England and North West	Clerical and administrative workers	Inquiry clerks and receptionists	1197
New England and North West	Clerical and administrative workers	Numerical clerks	1695
New England and North West	Clerical and administrative workers	Office managers and program administrators	1416
New England and North West	Clerical and administrative workers	Other clerical and administrative workers	954
New England and North West	Clerical and administrative workers	Personal assistants and secretaries	696
New England and North West	Community and personal service workers	Carers and aides	3705
New England and North West	Community and personal service workers	Community and personal service workers nfd	7
New England and North West	Community and personal service workers	Health and welfare support workers	1188
New England and North West	Community and personal service workers	Hospitality workers	1516
New England and North West	Community and personal service workers	Protective service workers	742
New England and North West	Community and personal service workers	Sports and personal service workers	611
New England and North West	Labourers	Cleaners and laundry workers	2130
New England and North West	Labourers	Construction and mining labourers	727
New England and North West	Labourers	Factory process workers	1868
New England and North West	Labourers	Farm forestry and garden workers	2485
New England and North West	Labourers	Food preparation assistants	1084
New England and North West	Labourers	Labourers nfd	247
New England and North West	Labourers	Other labourers	1284
New England and North West	Machinery operators and drivers	Machine and stationary plant operators	1311
New England and North West	Machinery operators and drivers	Machinery operators and drivers nfd	122
New England and North West	Machinery operators and drivers	Mobile plant operators	1174
New England and North West	Machinery operators and drivers	Road and rail drivers	2499
New England and North West	Machinery operators and drivers	Storepersons	384
New England and North West	Managers	Chief executives general managers and legislators	432
New England and North West	Managers	Farmers and farm managers	6584
New England and North West	Managers	Hospitality retail and service managers	2830
New England and North West	Managers	Managers nfd	144
