SA4_NAME16	IncomeTotPersonal.max	Occupation	PublicSector	LevelOfGovt	workers
Mid North Coast	105000	Professionals	1	Local	86
Mid North Coast	105000	Professionals	1	National	41
Mid North Coast	105000	Professionals	1	State territory	684
Mid North Coast	105000	Sales workers	0		64
Mid North Coast	105000	Technicians and trades workers	0		186
Mid North Coast	105000	Technicians and trades workers	1	Local	40
Mid North Coast	105000	Technicians and trades workers	1	National	3
Mid North Coast	105000	Technicians and trades workers	1	State territory	12
Mid North Coast	157500				5
Mid North Coast	157500		0		17
Mid North Coast	157500		1	State territory	4
Mid North Coast	157500	Clerical and administrative workers	0		97
Mid North Coast	157500	Clerical and administrative workers	1	Local	32
Mid North Coast	157500	Clerical and administrative workers	1	National	9
Mid North Coast	157500	Clerical and administrative workers	1	State territory	23
Mid North Coast	157500	Community and personal service workers	0		38
Mid North Coast	157500	Community and personal service workers	1	State territory	178
Mid North Coast	157500	Labourers	0		38
Mid North Coast	157500	Machinery operators and drivers	0		142
Mid North Coast	157500	Machinery operators and drivers	1	Local	4
Mid North Coast	157500	Machinery operators and drivers	1	State territory	5
Mid North Coast	157500	Managers	0		551
Mid North Coast	157500	Managers	1	Local	81
Mid North Coast	157500	Managers	1	National	9
Mid North Coast	157500	Managers	1	State territory	186
Mid North Coast	157500	Professionals	0		715
Mid North Coast	157500	Professionals	1	Local	122
Mid North Coast	157500	Professionals	1	National	22
Mid North Coast	157500	Professionals	1	State territory	363
Mid North Coast	157500	Sales workers	0		95
Mid North Coast	157500	Sales workers	1	State territory	3
Mid North Coast	157500	Technicians and trades workers			3
Mid North Coast	157500	Technicians and trades workers	0		184
Mid North Coast	157500	Technicians and trades workers	1	Local	67
Mid North Coast	157500	Technicians and trades workers	1	State territory	7
Mid North Coast	Inf				9
Mid North Coast	Inf		0		10
Mid North Coast	Inf	Clerical and administrative workers	0		61
Mid North Coast	Inf	Clerical and administrative workers	1	Local	13
Mid North Coast	Inf	Clerical and administrative workers	1	State territory	3
Mid North Coast	Inf	Community and personal service workers	0		21
Mid North Coast	Inf	Community and personal service workers	1	State territory	17
Mid North Coast	Inf	Labourers	0		28
Mid North Coast	Inf	Machinery operators and drivers	0		25
Mid North Coast	Inf	Managers	0		300
Mid North Coast	Inf	Managers	1	Local	78
Mid North Coast	Inf	Managers	1	National	3
Mid North Coast	Inf	Managers	1	State territory	34
Mid North Coast	Inf	Professionals	0		571
Mid North Coast	Inf	Professionals	1	Local	26
Mid North Coast	Inf	Professionals	1	National	4
Mid North Coast	Inf	Professionals	1	State territory	61
Mid North Coast	Inf	Sales workers	0		56
Mid North Coast	Inf	Technicians and trades workers	0		76
Mid North Coast	Inf	Technicians and trades workers	1	Local	3
Murray					88
Murray			0		30
Murray			1	Local	3
Murray		Clerical and administrative workers	0		68
Murray		Clerical and administrative workers	1	Local	3
Murray		Clerical and administrative workers	1	National	6
Murray		Clerical and administrative workers	1	State territory	9
Murray		Community and personal service workers			3
Murray		Community and personal service workers	0		85
Murray		Community and personal service workers	1	Local	3
Murray		Community and personal service workers	1	State territory	9
Murray		Labourers			15
Murray		Labourers	0		110
Murray		Labourers	1	State territory	3
Murray		Machinery operators and drivers			8
Murray		Machinery operators and drivers	0		63
Murray		Managers			4
Murray		Managers	0		162
Murray		Professionals			8
Murray		Professionals	0		52
Murray		Professionals	1	Local	3
Murray		Professionals	1	National	3
Murray		Professionals	1	State territory	27
Murray		Sales workers			8
Murray		Sales workers	0		86
Murray		Sales workers	1	National	3
Murray		Technicians and trades workers			16
Murray		Technicians and trades workers	0		105
Murray		Technicians and trades workers	1	Local	3
Murray	0				29
Murray	0		0		12
Murray	0	Clerical and administrative workers	0		41
Murray	0	Clerical and administrative workers	1	National	3
Murray	0	Community and personal service workers	0		39
Murray	0	Labourers	0		72
Murray	0	Machinery operators and drivers	0		18
Murray	0	Managers			3
Murray	0	Managers	0		234
Murray	0	Professionals	0		18
Murray	0	Professionals	1	State territory	3
Murray	0	Sales workers	0		34
Murray	0	Technicians and trades workers	0		24
Murray	7875				14
Murray	7875		0		8
Murray	7875	Clerical and administrative workers	0		85
Murray	7875	Clerical and administrative workers	1	Local	6
Murray	7875	Clerical and administrative workers	1	National	7
Murray	7875	Community and personal service workers	0		282
Murray	7875	Community and personal service workers	1	Local	3
Murray	7875	Community and personal service workers	1	National	4
Murray	7875	Community and personal service workers	1	State territory	6
Murray	7875	Labourers			12
Murray	7875	Labourers	0		437
Murray	7875	Labourers	1	Local	4
Murray	7875	Machinery operators and drivers	0		32
Murray	7875	Managers	0		163
Murray	7875	Professionals	0		55
Murray	7875	Professionals	1	State territory	4
Murray	7875	Sales workers			3
Murray	7875	Sales workers	0		726
Murray	7875	Technicians and trades workers	0		60
Murray	7875	Technicians and trades workers	1	State territory	3
Murray	15750				21
Murray	15750		0		16
Murray	15750	Clerical and administrative workers	0		170
Murray	15750	Clerical and administrative workers	1	Local	3
Murray	15750	Clerical and administrative workers	1	National	14
Murray	15750	Clerical and administrative workers	1	State territory	5
Murray	15750	Community and personal service workers			3
Murray	15750	Community and personal service workers	0		374
Murray	15750	Community and personal service workers	1	Local	3
Murray	15750	Community and personal service workers	1	State territory	13
Murray	15750	Labourers			6
Murray	15750	Labourers	0		451
Murray	15750	Labourers	1	Local	3
Murray	15750	Labourers	1	National	4
Murray	15750	Labourers	1	State territory	7
Murray	15750	Machinery operators and drivers	0		65
Murray	15750	Managers	0		234
Murray	15750	Professionals	0		97
Murray	15750	Professionals	1	National	8
Murray	15750	Professionals	1	State territory	13
Murray	15750	Sales workers			5
Murray	15750	Sales workers	0		440
Murray	15750	Technicians and trades workers			3
Murray	15750	Technicians and trades workers	0		122
Murray	15750	Technicians and trades workers	1	State territory	3
Murray	21000				20
Murray	21000		0		15
Murray	21000	Clerical and administrative workers	0		235
Murray	21000	Clerical and administrative workers	1	Local	4
Murray	21000	Clerical and administrative workers	1	National	29
Murray	21000	Clerical and administrative workers	1	State territory	11
Murray	21000	Community and personal service workers			3
Murray	21000	Community and personal service workers	0		427
Murray	21000	Community and personal service workers	1	National	3
Murray	21000	Community and personal service workers	1	State territory	28
Murray	21000	Labourers			9
Murray	21000	Labourers	0		488
Murray	21000	Labourers	1	Local	4
Murray	21000	Labourers	1	State territory	16
Murray	21000	Machinery operators and drivers	0		93
Murray	21000	Managers	0		297
Murray	21000	Professionals	0		110
Murray	21000	Professionals	1	State territory	19
Murray	21000	Sales workers	0		380
Murray	21000	Technicians and trades workers	0		242
Murray	21000	Technicians and trades workers	1	State territory	3
Murray	26250				16
Murray	26250		0		19
Murray	26250	Clerical and administrative workers			3
Murray	26250	Clerical and administrative workers	0		342
Murray	26250	Clerical and administrative workers	1	Local	7
Murray	26250	Clerical and administrative workers	1	National	65
Murray	26250	Clerical and administrative workers	1	State territory	16
Murray	26250	Community and personal service workers			3
Murray	26250	Community and personal service workers	0		495
Murray	26250	Community and personal service workers	1	Local	3
Murray	26250	Community and personal service workers	1	National	9
Murray	26250	Community and personal service workers	1	State territory	38
Murray	26250	Labourers			6
Murray	26250	Labourers	0		514
Murray	26250	Labourers	1	Local	5
Murray	26250	Labourers	1	National	3
Murray	26250	Labourers	1	State territory	13
Murray	26250	Machinery operators and drivers			3
Murray	26250	Machinery operators and drivers	0		116
Murray	26250	Machinery operators and drivers	1	State territory	4
Murray	26250	Managers			4
Murray	26250	Managers	0		349
Murray	26250	Professionals	0		155
Murray	26250	Professionals	1	Local	5
Murray	26250	Professionals	1	National	6
Murray	26250	Professionals	1	State territory	27
Murray	26250	Sales workers	0		468
Murray	26250	Sales workers	1	National	3
Murray	26250	Technicians and trades workers	0		412
Murray	26250	Technicians and trades workers	1	State territory	5
Murray	34125				39
Murray	34125		0		40
Murray	34125		1	National	5
Murray	34125		1	State territory	3
Murray	34125	Clerical and administrative workers			8
Murray	34125	Clerical and administrative workers	0		576
Murray	34125	Clerical and administrative workers	1	Local	20
Murray	34125	Clerical and administrative workers	1	National	85
Murray	34125	Clerical and administrative workers	1	State territory	43
Murray	34125	Community and personal service workers			3
Murray	34125	Community and personal service workers	0		827
Murray	34125	Community and personal service workers	1	Local	8
Murray	34125	Community and personal service workers	1	National	4
Murray	34125	Community and personal service workers	1	State territory	98
Murray	34125	Labourers			12
Murray	34125	Labourers	0		774
Murray	34125	Labourers	1	Local	4
Murray	34125	Labourers	1	National	3
Murray	34125	Labourers	1	State territory	31
Murray	34125	Machinery operators and drivers	0		267
Murray	34125	Machinery operators and drivers	1	Local	3
Murray	34125	Managers			11
Murray	34125	Managers	0		630
Murray	34125	Managers	1	Local	3
Murray	34125	Professionals	0		296
Murray	34125	Professionals	1	Local	4
Murray	34125	Professionals	1	National	17
Murray	34125	Professionals	1	State territory	78
Murray	34125	Sales workers			3
Murray	34125	Sales workers	0		649
Murray	34125	Technicians and trades workers			5
Murray	34125	Technicians and trades workers	0		642
Murray	34125	Technicians and trades workers	1	Local	11
Murray	34125	Technicians and trades workers	1	National	3
Murray	34125	Technicians and trades workers	1	State territory	16
Murray	42000				21
Murray	42000		0		57
Murray	42000		1	Local	3
Murray	42000		1	State territory	3
Murray	42000	Clerical and administrative workers			3
Murray	42000	Clerical and administrative workers	0		773
Murray	42000	Clerical and administrative workers	1	Local	32
Murray	42000	Clerical and administrative workers	1	National	79
Murray	42000	Clerical and administrative workers	1	State territory	65
Murray	42000	Community and personal service workers	0		775
Murray	42000	Community and personal service workers	1	Local	10
Murray	42000	Community and personal service workers	1	National	6
Murray	42000	Community and personal service workers	1	State territory	83
Murray	42000	Labourers			7
Murray	42000	Labourers	0		914
Murray	42000	Labourers	1	Local	14
Murray	42000	Labourers	1	National	3
Murray	42000	Labourers	1	State territory	27
Murray	42000	Machinery operators and drivers			3
Murray	42000	Machinery operators and drivers	0		436
Murray	42000	Machinery operators and drivers	1	Local	20
Murray	42000	Machinery operators and drivers	1	State territory	6
Murray	42000	Managers			3
Murray	42000	Managers	0		742
Murray	42000	Managers	1	National	5
Murray	42000	Managers	1	State territory	6
Murray	42000	Professionals	0		395
Murray	42000	Professionals	1	Local	10
Murray	42000	Professionals	1	National	18
Murray	42000	Professionals	1	State territory	116
Murray	42000	Sales workers	0		644
Murray	42000	Sales workers	1	National	5
Murray	42000	Sales workers	1	State territory	4
Murray	42000	Technicians and trades workers			12
Murray	42000	Technicians and trades workers	0		850
Murray	42000	Technicians and trades workers	1	Local	21
Murray	42000	Technicians and trades workers	1	State territory	20
Murray	52500				22
Murray	52500		0		64
Murray	52500		1	Local	3
Murray	52500		1	National	8
Murray	52500		1	State territory	5
Murray	52500	Clerical and administrative workers	0		873
Murray	52500	Clerical and administrative workers	1	Local	52
Murray	52500	Clerical and administrative workers	1	National	122
Murray	52500	Clerical and administrative workers	1	State territory	94
Murray	52500	Community and personal service workers			5
Murray	52500	Community and personal service workers	0		680
Murray	52500	Community and personal service workers	1	Local	12
Murray	52500	Community and personal service workers	1	National	7
Murray	52500	Community and personal service workers	1	State territory	108
Murray	52500	Labourers			7
Murray	52500	Labourers	0		807
Murray	52500	Labourers	1	Local	41
Murray	52500	Labourers	1	National	3
Murray	52500	Labourers	1	State territory	48
Murray	52500	Machinery operators and drivers			6
Murray	52500	Machinery operators and drivers	0		637
Murray	52500	Machinery operators and drivers	1	Local	77
Murray	52500	Machinery operators and drivers	1	National	3
Murray	52500	Machinery operators and drivers	1	State territory	10
Murray	52500	Managers			6
Murray	52500	Managers	0		946
Murray	52500	Managers	1	Local	8
Murray	52500	Managers	1	National	3
Murray	52500	Managers	1	State territory	12
Murray	52500	Professionals	0		611
Murray	52500	Professionals	1	Local	13
Murray	52500	Professionals	1	National	23
Murray	52500	Professionals	1	State territory	165
Murray	52500	Sales workers	0		467
Murray	52500	Sales workers	1	National	11
Murray	52500	Sales workers	1	State territory	3
Murray	52500	Technicians and trades workers			7
Murray	52500	Technicians and trades workers	0		1103
Murray	52500	Technicians and trades workers	1	Local	48
Murray	52500	Technicians and trades workers	1	National	6
Murray	52500	Technicians and trades workers	1	State territory	19
Murray	65625				16
Murray	65625		0		39
Murray	65625		1	Local	5
Murray	65625		1	National	11
Murray	65625		1	State territory	7
Murray	65625	Clerical and administrative workers			3
Murray	65625	Clerical and administrative workers	0		555
Murray	65625	Clerical and administrative workers	1	Local	58
Murray	65625	Clerical and administrative workers	1	National	170
Murray	65625	Clerical and administrative workers	1	State territory	105
Murray	65625	Community and personal service workers	0		353
Murray	65625	Community and personal service workers	1	Local	11
Murray	65625	Community and personal service workers	1	National	13
Murray	65625	Community and personal service workers	1	State territory	90
Murray	65625	Labourers			3
Murray	65625	Labourers	0		581
Murray	65625	Labourers	1	Local	33
Murray	65625	Labourers	1	State territory	29
Murray	65625	Machinery operators and drivers	0		610
Murray	65625	Machinery operators and drivers	1	Local	72
Murray	65625	Machinery operators and drivers	1	National	3
Murray	65625	Machinery operators and drivers	1	State territory	11
Murray	65625	Managers	0		1108
Murray	65625	Managers	1	Local	14
Murray	65625	Managers	1	National	5
Murray	65625	Managers	1	State territory	12
Murray	65625	Professionals			7
Murray	65625	Professionals	0		757
Murray	65625	Professionals	1	Local	28
Murray	65625	Professionals	1	National	48
Murray	65625	Professionals	1	State territory	295
Murray	65625	Sales workers	0		305
Murray	65625	Sales workers	1	National	3
Murray	65625	Technicians and trades workers			7
Murray	65625	Technicians and trades workers	0		1033
Murray	65625	Technicians and trades workers	1	Local	56
Murray	65625	Technicians and trades workers	1	National	7
Murray	65625	Technicians and trades workers	1	State territory	21
Murray	78750				11
Murray	78750		0		31
Murray	78750		1	National	10
Murray	78750		1	State territory	4
Murray	78750	Clerical and administrative workers			3
Murray	78750	Clerical and administrative workers	0		312
Murray	78750	Clerical and administrative workers	1	Local	52
Murray	78750	Clerical and administrative workers	1	National	153
Murray	78750	Clerical and administrative workers	1	State territory	54
Murray	78750	Community and personal service workers	0		154
Murray	78750	Community and personal service workers	1	Local	3
Murray	78750	Community and personal service workers	1	National	3
Murray	78750	Community and personal service workers	1	State territory	64
Murray	78750	Labourers			4
Murray	78750	Labourers	0		258
Murray	78750	Labourers	1	Local	9
Murray	78750	Labourers	1	State territory	9
Murray	78750	Machinery operators and drivers	0		383
Murray	78750	Machinery operators and drivers	1	Local	38
Murray	78750	Machinery operators and drivers	1	State territory	8
Murray	78750	Managers			4
Murray	78750	Managers	0		721
Murray	78750	Managers	1	Local	21
Murray	78750	Managers	1	National	13
Murray	78750	Managers	1	State territory	20
Murray	78750	Professionals			6
Murray	78750	Professionals	0		649
Murray	78750	Professionals	1	Local	38
Murray	78750	Professionals	1	National	84
Murray	78750	Professionals	1	State territory	341
Murray	78750	Sales workers	0		162
Murray	78750	Sales workers	1	State territory	5
Murray	78750	Technicians and trades workers	0		568
Murray	78750	Technicians and trades workers	1	Local	42
Murray	78750	Technicians and trades workers	1	National	10
Murray	78750	Technicians and trades workers	1	State territory	12
Murray	91875				6
Murray	91875		0		27
Murray	91875		1	Local	4
Murray	91875		1	National	8
Murray	91875		1	State territory	3
Murray	91875	Clerical and administrative workers	0		213
Murray	91875	Clerical and administrative workers	1	Local	18
Murray	91875	Clerical and administrative workers	1	National	60
Murray	91875	Clerical and administrative workers	1	State territory	36
Murray	91875	Community and personal service workers	0		83
Murray	91875	Community and personal service workers	1	Local	3
Murray	91875	Community and personal service workers	1	National	7
Murray	91875	Community and personal service workers	1	State territory	69
Murray	91875	Labourers	0		150
Murray	91875	Labourers	1	Local	3
Murray	91875	Labourers	1	State territory	7
Murray	91875	Machinery operators and drivers	0		219
Murray	91875	Machinery operators and drivers	1	Local	9
Murray	91875	Machinery operators and drivers	1	State territory	6
Murray	91875	Managers	0		639
Murray	91875	Managers	1	Local	18
Murray	91875	Managers	1	National	22
Murray	91875	Managers	1	State territory	24
Murray	91875	Professionals			3
Murray	91875	Professionals	0		537
Murray	91875	Professionals	1	Local	25
Murray	91875	Professionals	1	National	78
Murray	91875	Professionals	1	State territory	357
Murray	91875	Sales workers	0		92
Murray	91875	Technicians and trades workers	0		375
Murray	91875	Technicians and trades workers	1	Local	34
Murray	91875	Technicians and trades workers	1	National	4
Murray	91875	Technicians and trades workers	1	State territory	13
Murray	105000				3
Murray	105000		0		16
Murray	105000		1	National	4
Murray	105000		1	State territory	6
Murray	105000	Clerical and administrative workers	0		91
Murray	105000	Clerical and administrative workers	1	Local	9
Murray	105000	Clerical and administrative workers	1	National	19
Murray	105000	Clerical and administrative workers	1	State territory	15
Murray	105000	Community and personal service workers	0		39
Murray	105000	Community and personal service workers	1	Local	3
Murray	105000	Community and personal service workers	1	National	3
Murray	105000	Community and personal service workers	1	State territory	112
Murray	105000	Labourers	0		47
Murray	105000	Labourers	1	State territory	4
Murray	105000	Machinery operators and drivers	0		139
Murray	105000	Machinery operators and drivers	1	State territory	4
Murray	105000	Managers	0		374
Murray	105000	Managers	1	Local	23
Murray	105000	Managers	1	National	20
Murray	105000	Managers	1	State territory	33
Murray	105000	Professionals			3
Murray	105000	Professionals	0		398
Murray	105000	Professionals	1	Local	16
Murray	105000	Professionals	1	National	63
Murray	105000	Professionals	1	State territory	343
Murray	105000	Sales workers	0		67
Murray	105000	Sales workers	1	State territory	3
Murray	105000	Technicians and trades workers	0		204
Murray	105000	Technicians and trades workers	1	Local	31
Murray	105000	Technicians and trades workers	1	National	4
Murray	105000	Technicians and trades workers	1	State territory	5
Murray	157500		0		22
Murray	157500		1	Local	3
Murray	157500		1	National	3
Murray	157500		1	State territory	3
Murray	157500	Clerical and administrative workers	0		107
Murray	157500	Clerical and administrative workers	1	Local	8
Murray	157500	Clerical and administrative workers	1	National	20
Murray	157500	Clerical and administrative workers	1	State territory	24
Murray	157500	Community and personal service workers	0		20
Murray	157500	Community and personal service workers	1	State territory	137
Murray	157500	Labourers	0		41
Murray	157500	Machinery operators and drivers	0		74
Murray	157500	Machinery operators and drivers	1	State territory	4
Murray	157500	Managers	0		643
Murray	157500	Managers	1	Local	52
Murray	157500	Managers	1	National	43
Murray	157500	Managers	1	State territory	140
Murray	157500	Professionals	0		501
Murray	157500	Professionals	1	Local	20
Murray	157500	Professionals	1	National	70
Murray	157500	Professionals	1	State territory	234
Murray	157500	Sales workers	0		69
Murray	157500	Technicians and trades workers	0		164
Murray	157500	Technicians and trades workers	1	Local	16
Murray	157500	Technicians and trades workers	1	National	3
Murray	157500	Technicians and trades workers	1	State territory	3
Murray	Inf		0		6
Murray	Inf	Clerical and administrative workers	0		55
Murray	Inf	Clerical and administrative workers	1	Local	3
Murray	Inf	Clerical and administrative workers	1	State territory	5
Murray	Inf	Community and personal service workers	0		16
Murray	Inf	Community and personal service workers	1	State territory	7
Murray	Inf	Labourers	0		37
Murray	Inf	Machinery operators and drivers	0		24
Murray	Inf	Managers	0		394
Murray	Inf	Managers	1	Local	20
Murray	Inf	Managers	1	National	4
Murray	Inf	Managers	1	State territory	22
Murray	Inf	Professionals			3
Murray	Inf	Professionals	0		298
Murray	Inf	Professionals	1	National	12
Murray	Inf	Professionals	1	State territory	38
Murray	Inf	Sales workers	0		52
Murray	Inf	Technicians and trades workers	0		40
New England and North West					135
New England and North West			0		66
New England and North West		Clerical and administrative workers			7
New England and North West		Clerical and administrative workers	0		104
New England and North West		Clerical and administrative workers	1	Local	7
New England and North West		Clerical and administrative workers	1	National	3
New England and North West		Community and personal service workers			6
New England and North West		Community and personal service workers	0		96
New England and North West		Community and personal service workers	1	State territory	15
New England and North West		Labourers			21
New England and North West		Labourers	0		192
New England and North West		Labourers	1	Local	6
New England and North West		Labourers	1	State territory	8
New England and North West		Machinery operators and drivers			9
New England and North West		Machinery operators and drivers	0		95
New England and North West		Machinery operators and drivers	1	Local	7
New England and North West		Machinery operators and drivers	1	State territory	4
New England and North West		Managers			3
New England and North West		Managers	0		294
New England and North West		Managers	1	State territory	3
New England and North West		Professionals			5
New England and North West		Professionals	0		94
New England and North West		Professionals	1	Local	7
New England and North West		Professionals	1	National	3
New England and North West		Professionals	1	State territory	29
New England and North West		Sales workers			10
New England and North West		Sales workers	0		109
New England and North West		Technicians and trades workers			19
New England and North West		Technicians and trades workers	0		148
New England and North West		Technicians and trades workers	1	Local	7
New England and North West	0				36
New England and North West	0		0		17
New England and North West	0	Clerical and administrative workers			3
New England and North West	0	Clerical and administrative workers	0		59
New England and North West	0	Clerical and administrative workers	1	National	3
New England and North West	0	Clerical and administrative workers	1	State territory	3
New England and North West	0	Community and personal service workers	0		34
New England and North West	0	Community and personal service workers	1	State territory	4
New England and North West	0	Labourers			4
New England and North West	0	Labourers	0		96
New England and North West	0	Machinery operators and drivers	0		25
New England and North West	0	Managers			15
New England and North West	0	Managers	0		542
New England and North West	0	Professionals	0		36
New England and North West	0	Professionals	1	Local	3
New England and North West	0	Professionals	1	State territory	4
New England and North West	0	Sales workers			8
New England and North West	0	Sales workers	0		69
New England and North West	0	Technicians and trades workers			5
New England and North West	0	Technicians and trades workers	0		53
New England and North West	0	Technicians and trades workers	1	State territory	3
New England and North West	7875				23
New England and North West	7875		0		33
New England and North West	7875	Clerical and administrative workers	0		122
New England and North West	7875	Clerical and administrative workers	1	Local	4
New England and North West	7875	Clerical and administrative workers	1	National	12
New England and North West	7875	Clerical and administrative workers	1	State territory	5
New England and North West	7875	Community and personal service workers			4
New England and North West	7875	Community and personal service workers	0		328
New England and North West	7875	Community and personal service workers	1	National	3
New England and North West	7875	Community and personal service workers	1	State territory	26
New England and North West	7875	Labourers			6
New England and North West	7875	Labourers	0		583
New England and North West	7875	Labourers	1	State territory	5
New England and North West	7875	Machinery operators and drivers	0		54
New England and North West	7875	Managers			8
New England and North West	7875	Managers	0		255
New England and North West	7875	Professionals	0		82
New England and North West	7875	Professionals	1	National	16
New England and North West	7875	Professionals	1	State territory	22
New England and North West	7875	Sales workers			6
New England and North West	7875	Sales workers	0		961
New England and North West	7875	Technicians and trades workers			5
New England and North West	7875	Technicians and trades workers	0		134
New England and North West	15750				32
New England and North West	15750		0		21
New England and North West	15750		1	National	3
New England and North West	15750	Clerical and administrative workers	0		229
New England and North West	15750	Clerical and administrative workers	1	National	32
New England and North West	15750	Clerical and administrative workers	1	State territory	15
New England and North West	15750	Community and personal service workers			3
New England and North West	15750	Community and personal service workers	0		444
New England and North West	15750	Community and personal service workers	1	Local	6
New England and North West	15750	Community and personal service workers	1	State territory	31
New England and North West	15750	Labourers			9
New England and North West	15750	Labourers	0		665
New England and North West	15750	Labourers	1	Local	6
New England and North West	15750	Labourers	1	National	3
New England and North West	15750	Labourers	1	State territory	16
New England and North West	15750	Machinery operators and drivers	0		90
New England and North West	15750	Machinery operators and drivers	1	State territory	3
New England and North West	15750	Managers			6
New England and North West	15750	Managers	0		485
New England and North West	15750	Managers	1	National	3
New England and North West	15750	Professionals	0		161
New England and North West	15750	Professionals	1	Local	3
New England and North West	15750	Professionals	1	National	32
New England and North West	15750	Professionals	1	State territory	18
New England and North West	15750	Sales workers			3
New England and North West	15750	Sales workers	0		599
New England and North West	15750	Technicians and trades workers			6
New England and North West	15750	Technicians and trades workers	0		203
New England and North West	15750	Technicians and trades workers	1	National	5
New England and North West	15750	Technicians and trades workers	1	State territory	3
New England and North West	21000				32
New England and North West	21000		0		44
New England and North West	21000	Clerical and administrative workers			3
New England and North West	21000	Clerical and administrative workers	0		323
New England and North West	21000	Clerical and administrative workers	1	Local	11
New England and North West	21000	Clerical and administrative workers	1	National	21
New England and North West	21000	Clerical and administrative workers	1	State territory	23
New England and North West	21000	Community and personal service workers			5
New England and North West	21000	Community and personal service workers	0		482
New England and North West	21000	Community and personal service workers	1	Local	4
New England and North West	21000	Community and personal service workers	1	National	3
New England and North West	21000	Community and personal service workers	1	State territory	59
New England and North West	21000	Labourers			9
New England and North West	21000	Labourers	0		742
New England and North West	21000	Labourers	1	Local	5
New England and North West	21000	Labourers	1	State territory	28
New England and North West	21000	Machinery operators and drivers	0		160
New England and North West	21000	Managers			5
New England and North West	21000	Managers	0		596
New England and North West	21000	Managers	1	State territory	6
New England and North West	21000	Professionals	0		172
New England and North West	21000	Professionals	1	Local	3
New England and North West	21000	Professionals	1	National	24
New England and North West	21000	Professionals	1	State territory	44
New England and North West	21000	Sales workers	0		523
New England and North West	21000	Sales workers	1	National	3
New England and North West	21000	Technicians and trades workers			5
New England and North West	21000	Technicians and trades workers	0		377
New England and North West	21000	Technicians and trades workers	1	National	3
New England and North West	21000	Technicians and trades workers	1	State territory	3
New England and North West	26250				36
New England and North West	26250		0		39
New England and North West	26250	Clerical and administrative workers			3
New England and North West	26250	Clerical and administrative workers	0		464
New England and North West	26250	Clerical and administrative workers	1	Local	6
New England and North West	26250	Clerical and administrative workers	1	National	18
New England and North West	26250	Clerical and administrative workers	1	State territory	31
New England and North West	26250	Community and personal service workers			5
New England and North West	26250	Community and personal service workers	0		643
New England and North West	26250	Community and personal service workers	1	Local	10
New England and North West	26250	Community and personal service workers	1	National	3
New England and North West	26250	Community and personal service workers	1	State territory	80
New England and North West	26250	Labourers			5
New England and North West	26250	Labourers	0		788
New England and North West	26250	Labourers	1	Local	14
New England and North West	26250	Labourers	1	State territory	31
New England and North West	26250	Machinery operators and drivers			7
New England and North West	26250	Machinery operators and drivers	0		180
New England and North West	26250	Managers			7
New England and North West	26250	Managers	0		663
New England and North West	26250	Managers	1	Local	3
New England and North West	26250	Managers	1	State territory	3
New England and North West	26250	Professionals	0		237
New England and North West	26250	Professionals	1	Local	3
New England and North West	26250	Professionals	1	National	27
New England and North West	26250	Professionals	1	State territory	51
New England and North West	26250	Sales workers			6
New England and North West	26250	Sales workers	0		645
New England and North West	26250	Sales workers	1	National	5
New England and North West	26250	Sales workers	1	State territory	4
New England and North West	26250	Technicians and trades workers			7
New England and North West	26250	Technicians and trades workers	0		561
New England and North West	26250	Technicians and trades workers	1	Local	3
New England and North West	26250	Technicians and trades workers	1	National	5
New England and North West	26250	Technicians and trades workers	1	State territory	11
New England and North West	34125				53
New England and North West	34125		0		62
New England and North West	34125		1	National	5
New England and North West	34125		1	State territory	3
New England and North West	34125	Clerical and administrative workers			3
New England and North West	34125	Clerical and administrative workers	0		830
New England and North West	34125	Clerical and administrative workers	1	Local	27
New England and North West	34125	Clerical and administrative workers	1	National	42
New England and North West	34125	Clerical and administrative workers	1	State territory	63
New England and North West	34125	Community and personal service workers			3
New England and North West	34125	Community and personal service workers	0		989
New England and North West	34125	Community and personal service workers	1	Local	17
New England and North West	34125	Community and personal service workers	1	National	7
New England and North West	34125	Community and personal service workers	1	State territory	141
New England and North West	34125	Labourers			21
New England and North West	34125	Labourers	0		1256
New England and North West	34125	Labourers	1	Local	15
New England and North West	34125	Labourers	1	National	4
New England and North West	34125	Labourers	1	State territory	45
New England and North West	34125	Machinery operators and drivers			3
New England and North West	34125	Machinery operators and drivers	0		343
New England and North West	34125	Machinery operators and drivers	1	Local	12
New England and North West	34125	Managers			8
New England and North West	34125	Managers	0		970
New England and North West	34125	Professionals			3
New England and North West	34125	Professionals	0		458
New England and North West	34125	Professionals	1	Local	5
New England and North West	34125	Professionals	1	National	42
New England and North West	34125	Professionals	1	State territory	112
New England and North West	34125	Sales workers			8
New England and North West	34125	Sales workers	0		977
New England and North West	34125	Sales workers	1	National	3
New England and North West	34125	Technicians and trades workers			13
New England and North West	34125	Technicians and trades workers	0		872
New England and North West	34125	Technicians and trades workers	1	Local	7
New England and North West	34125	Technicians and trades workers	1	State territory	14
New England and North West	42000				42
New England and North West	42000		0		64
New England and North West	42000		1	Local	3
New England and North West	42000		1	State territory	5
New England and North West	42000	Clerical and administrative workers			3
New England and North West	42000	Clerical and administrative workers	0		1105
New England and North West	42000	Clerical and administrative workers	1	Local	55
New England and North West	42000	Clerical and administrative workers	1	National	41
New England and North West	42000	Clerical and administrative workers	1	State territory	123
New England and North West	42000	Community and personal service workers			10
