SA4_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Coffs Harbour - Grafton	0	0		412
Coffs Harbour - Grafton	0	1	Local	3
Coffs Harbour - Grafton	0	1	National	6
Coffs Harbour - Grafton	0	1	State territory	8
Coffs Harbour - Grafton	7875			28
Coffs Harbour - Grafton	7875	0		1988
Coffs Harbour - Grafton	7875	1	National	6
Coffs Harbour - Grafton	7875	1	State territory	22
Coffs Harbour - Grafton	15750			33
Coffs Harbour - Grafton	15750	0		2078
Coffs Harbour - Grafton	15750	1	Local	5
Coffs Harbour - Grafton	15750	1	National	18
Coffs Harbour - Grafton	15750	1	State territory	61
Coffs Harbour - Grafton	21000			67
Coffs Harbour - Grafton	21000	0		2591
Coffs Harbour - Grafton	21000	1	Local	8
Coffs Harbour - Grafton	21000	1	National	36
Coffs Harbour - Grafton	21000	1	State territory	74
Coffs Harbour - Grafton	26250			70
Coffs Harbour - Grafton	26250	0		3215
Coffs Harbour - Grafton	26250	1	Local	19
Coffs Harbour - Grafton	26250	1	National	35
Coffs Harbour - Grafton	26250	1	State territory	162
Coffs Harbour - Grafton	34125			64
Coffs Harbour - Grafton	34125	0		5188
Coffs Harbour - Grafton	34125	1	Local	51
Coffs Harbour - Grafton	34125	1	National	49
Coffs Harbour - Grafton	34125	1	State territory	274
Coffs Harbour - Grafton	42000			59
Coffs Harbour - Grafton	42000	0		6337
Coffs Harbour - Grafton	42000	1	Local	100
Coffs Harbour - Grafton	42000	1	National	80
Coffs Harbour - Grafton	42000	1	State territory	420
Coffs Harbour - Grafton	52500			39
Coffs Harbour - Grafton	52500	0		6020
Coffs Harbour - Grafton	52500	1	Local	220
Coffs Harbour - Grafton	52500	1	National	126
Coffs Harbour - Grafton	52500	1	State territory	615
Coffs Harbour - Grafton	65625			40
Coffs Harbour - Grafton	65625	0		4422
Coffs Harbour - Grafton	65625	1	Local	296
Coffs Harbour - Grafton	65625	1	National	212
Coffs Harbour - Grafton	65625	1	State territory	781
Coffs Harbour - Grafton	78750			25
Coffs Harbour - Grafton	78750	0		2507
Coffs Harbour - Grafton	78750	1	Local	193
Coffs Harbour - Grafton	78750	1	National	223
Coffs Harbour - Grafton	78750	1	State territory	714
Coffs Harbour - Grafton	91875			4
Coffs Harbour - Grafton	91875	0		1792
Coffs Harbour - Grafton	91875	1	Local	149
Coffs Harbour - Grafton	91875	1	National	135
Coffs Harbour - Grafton	91875	1	State territory	750
Coffs Harbour - Grafton	105000			8
Coffs Harbour - Grafton	105000	0		1103
Coffs Harbour - Grafton	105000	1	Local	100
Coffs Harbour - Grafton	105000	1	National	58
Coffs Harbour - Grafton	105000	1	State territory	813
Coffs Harbour - Grafton	157500			6
Coffs Harbour - Grafton	157500	0		1310
Coffs Harbour - Grafton	157500	1	Local	80
Coffs Harbour - Grafton	157500	1	National	78
Coffs Harbour - Grafton	157500	1	State territory	717
Coffs Harbour - Grafton	Inf			9
Coffs Harbour - Grafton	Inf	0		777
Coffs Harbour - Grafton	Inf	1	Local	16
Coffs Harbour - Grafton	Inf	1	National	7
Coffs Harbour - Grafton	Inf	1	State territory	126
Far West and Orana				153
Far West and Orana		0		831
Far West and Orana		1	Local	25
Far West and Orana		1	National	5
Far West and Orana		1	State territory	61
Far West and Orana	0			31
Far West and Orana	0	0		581
Far West and Orana	0	1	Local	6
Far West and Orana	0	1	State territory	13
Far West and Orana	7875			32
Far West and Orana	7875	0		1327
Far West and Orana	7875	1	Local	8
Far West and Orana	7875	1	National	8
Far West and Orana	7875	1	State territory	29
Far West and Orana	15750			53
Far West and Orana	15750	0		1574
Far West and Orana	15750	1	Local	17
Far West and Orana	15750	1	National	16
Far West and Orana	15750	1	State territory	59
Far West and Orana	21000			48
Far West and Orana	21000	0		1837
Far West and Orana	21000	1	Local	30
Far West and Orana	21000	1	National	9
Far West and Orana	21000	1	State territory	75
Far West and Orana	26250			48
Far West and Orana	26250	0		2448
Far West and Orana	26250	1	Local	29
Far West and Orana	26250	1	National	21
Far West and Orana	26250	1	State territory	133
Far West and Orana	34125			58
Far West and Orana	34125	0		4048
Far West and Orana	34125	1	Local	77
Far West and Orana	34125	1	National	29
Far West and Orana	34125	1	State territory	257
Far West and Orana	42000			80
Far West and Orana	42000	0		4943
Far West and Orana	42000	1	Local	164
Far West and Orana	42000	1	National	43
Far West and Orana	42000	1	State territory	479
Far West and Orana	52500			76
