SA4_NAME16	CountryOfBirth	EmploymentStatus	workers
Sydney - Parramatta	GRC	Employee	336
Sydney - Parramatta	GRC	Owner managers of incorporated enterprises	30
Sydney - Parramatta	GRC	Owner managers of unincorporated enterprises	44
Sydney - Parramatta	GRC	Status in employment not stated	14
Sydney - Parramatta	HKG	Contributing family workers	22
Sydney - Parramatta	HKG	Employee	2005
Sydney - Parramatta	HKG	Owner managers of incorporated enterprises	171
Sydney - Parramatta	HKG	Owner managers of unincorporated enterprises	141
Sydney - Parramatta	HKG	Status in employment not stated	13
Sydney - Parramatta	IND	Contributing family workers	93
Sydney - Parramatta	IND	Employee	12674
Sydney - Parramatta	IND	Owner managers of incorporated enterprises	809
Sydney - Parramatta	IND	Owner managers of unincorporated enterprises	551
Sydney - Parramatta	IND	Status in employment not stated	80
Sydney - Parramatta	IDN	Contributing family workers	3
Sydney - Parramatta	IDN	Employee	1208
Sydney - Parramatta	IDN	Owner managers of incorporated enterprises	65
Sydney - Parramatta	IDN	Owner managers of unincorporated enterprises	69
Sydney - Parramatta	IDN	Status in employment not stated	16
Sydney - Parramatta	IRN	Contributing family workers	17
Sydney - Parramatta	IRN	Employee	1247
Sydney - Parramatta	IRN	Owner managers of incorporated enterprises	146
Sydney - Parramatta	IRN	Owner managers of unincorporated enterprises	116
Sydney - Parramatta	IRN	Status in employment not stated	14
Sydney - Parramatta	IRQ	Contributing family workers	15
Sydney - Parramatta	IRQ	Employee	1527
Sydney - Parramatta	IRQ	Owner managers of incorporated enterprises	176
Sydney - Parramatta	IRQ	Owner managers of unincorporated enterprises	151
Sydney - Parramatta	IRQ	Status in employment not stated	31
Sydney - Parramatta	IRL	Employee	825
Sydney - Parramatta	IRL	Owner managers of incorporated enterprises	64
Sydney - Parramatta	IRL	Owner managers of unincorporated enterprises	15
Sydney - Parramatta	IRL	Status in employment not stated	6
Sydney - Parramatta	ITA	Contributing family workers	19
Sydney - Parramatta	ITA	Employee	778
Sydney - Parramatta	ITA	Owner managers of incorporated enterprises	108
Sydney - Parramatta	ITA	Owner managers of unincorporated enterprises	60
Sydney - Parramatta	ITA	Status in employment not stated	13
Sydney - Parramatta	JPN	Contributing family workers	3
Sydney - Parramatta	JPN	Employee	196
Sydney - Parramatta	JPN	Owner managers of incorporated enterprises	10
Sydney - Parramatta	JPN	Owner managers of unincorporated enterprises	12
Sydney - Parramatta	JPN	Status in employment not stated	3
Sydney - Parramatta	LBN	Contributing family workers	105
Sydney - Parramatta	LBN	Employee	2627
Sydney - Parramatta	LBN	Owner managers of incorporated enterprises	803
Sydney - Parramatta	LBN	Owner managers of unincorporated enterprises	713
Sydney - Parramatta	LBN	Status in employment not stated	92
Sydney - Parramatta	MYS	Contributing family workers	17
Sydney - Parramatta	MYS	Employee	1446
Sydney - Parramatta	MYS	Owner managers of incorporated enterprises	94
Sydney - Parramatta	MYS	Owner managers of unincorporated enterprises	60
Sydney - Parramatta	MYS	Status in employment not stated	8
Sydney - Parramatta	MLT	Contributing family workers	4
Sydney - Parramatta	MLT	Employee	367
Sydney - Parramatta	MLT	Owner managers of incorporated enterprises	24
Sydney - Parramatta	MLT	Owner managers of unincorporated enterprises	22
Sydney - Parramatta	MLT	Status in employment not stated	11
Sydney - Parramatta	NLD	Contributing family workers	3
Sydney - Parramatta	NLD	Employee	201
Sydney - Parramatta	NLD	Owner managers of incorporated enterprises	17
Sydney - Parramatta	NLD	Owner managers of unincorporated enterprises	4
Sydney - Parramatta	NZL	Contributing family workers	23
Sydney - Parramatta	NZL	Employee	4701
Sydney - Parramatta	NZL	Owner managers of incorporated enterprises	161
Sydney - Parramatta	NZL	Owner managers of unincorporated enterprises	99
Sydney - Parramatta	NZL	Status in employment not stated	69
Sydney - Parramatta	PAK	Contributing family workers	14
Sydney - Parramatta	PAK	Employee	1430
Sydney - Parramatta	PAK	Owner managers of incorporated enterprises	148
Sydney - Parramatta	PAK	Owner managers of unincorporated enterprises	198
Sydney - Parramatta	PAK	Status in employment not stated	29
Sydney - Parramatta	PHL	Contributing family workers	20
Sydney - Parramatta	PHL	Employee	7394
Sydney - Parramatta	PHL	Owner managers of incorporated enterprises	75
Sydney - Parramatta	PHL	Owner managers of unincorporated enterprises	94
Sydney - Parramatta	PHL	Status in employment not stated	46
Sydney - Parramatta	POL	Contributing family workers	7
Sydney - Parramatta	POL	Employee	498
Sydney - Parramatta	POL	Owner managers of incorporated enterprises	33
Sydney - Parramatta	POL	Owner managers of unincorporated enterprises	41
Sydney - Parramatta	POL	Status in employment not stated	4
Sydney - Parramatta	SGP	Contributing family workers	7
Sydney - Parramatta	SGP	Employee	439
Sydney - Parramatta	SGP	Owner managers of incorporated enterprises	27
Sydney - Parramatta	SGP	Owner managers of unincorporated enterprises	33
Sydney - Parramatta	SGP	Status in employment not stated	3
Sydney - Parramatta	ZAF	Contributing family workers	5
Sydney - Parramatta	ZAF	Employee	1325
Sydney - Parramatta	ZAF	Owner managers of incorporated enterprises	75
Sydney - Parramatta	ZAF	Owner managers of unincorporated enterprises	54
Sydney - Parramatta	ZAF	Status in employment not stated	4
Sydney - Parramatta	KOR	Contributing family workers	130
Sydney - Parramatta	KOR	Employee	2513
Sydney - Parramatta	KOR	Owner managers of incorporated enterprises	597
Sydney - Parramatta	KOR	Owner managers of unincorporated enterprises	551
Sydney - Parramatta	KOR	Status in employment not stated	25
Sydney - Parramatta	LKA	Contributing family workers	28
Sydney - Parramatta	LKA	Employee	2923
Sydney - Parramatta	LKA	Owner managers of incorporated enterprises	172
Sydney - Parramatta	LKA	Owner managers of unincorporated enterprises	158
Sydney - Parramatta	LKA	Status in employment not stated	33
Sydney - Parramatta	THA	Contributing family workers	13
Sydney - Parramatta	THA	Employee	787
Sydney - Parramatta	THA	Owner managers of incorporated enterprises	25
Sydney - Parramatta	THA	Owner managers of unincorporated enterprises	38
Sydney - Parramatta	THA	Status in employment not stated	8
Sydney - Parramatta	TUR	Contributing family workers	21
Sydney - Parramatta	TUR	Employee	847
Sydney - Parramatta	TUR	Owner managers of incorporated enterprises	148
Sydney - Parramatta	TUR	Owner managers of unincorporated enterprises	184
Sydney - Parramatta	TUR	Status in employment not stated	30
Sydney - Parramatta	GBR	Contributing family workers	32
Sydney - Parramatta	GBR	Employee	5596
Sydney - Parramatta	GBR	Owner managers of incorporated enterprises	273
Sydney - Parramatta	GBR	Owner managers of unincorporated enterprises	178
Sydney - Parramatta	GBR	Status in employment not stated	38
Sydney - Parramatta	USA	Contributing family workers	5
Sydney - Parramatta	USA	Employee	575
Sydney - Parramatta	USA	Owner managers of incorporated enterprises	15
Sydney - Parramatta	USA	Owner managers of unincorporated enterprises	13
Sydney - Parramatta	VNM	Contributing family workers	82
Sydney - Parramatta	VNM	Employee	5519
Sydney - Parramatta	VNM	Owner managers of incorporated enterprises	360
Sydney - Parramatta	VNM	Owner managers of unincorporated enterprises	374
Sydney - Parramatta	VNM	Status in employment not stated	61
Sydney - Parramatta	ZWE	Contributing family workers	3
Sydney - Parramatta	ZWE	Employee	318
Sydney - Parramatta	ZWE	Owner managers of incorporated enterprises	15
Sydney - Parramatta	ZWE	Owner managers of unincorporated enterprises	3
Sydney - Parramatta	ZWE	Status in employment not stated	5
Sydney - Ryde		Contributing family workers	61
Sydney - Ryde		Employee	7973
Sydney - Ryde		Owner managers of incorporated enterprises	348
Sydney - Ryde		Owner managers of unincorporated enterprises	354
Sydney - Ryde		Status in employment not stated	109
Sydney - Ryde	AUS	Contributing family workers	314
Sydney - Ryde	AUS	Employee	44263
Sydney - Ryde	AUS	Owner managers of incorporated enterprises	2592
Sydney - Ryde	AUS	Owner managers of unincorporated enterprises	2073
Sydney - Ryde	AUS	Status in employment not stated	272
Sydney - Ryde	CAN	Contributing family workers	4
Sydney - Ryde	CAN	Employee	311
Sydney - Ryde	CAN	Owner managers of incorporated enterprises	11
Sydney - Ryde	CAN	Owner managers of unincorporated enterprises	13
Sydney - Ryde	CHN	Contributing family workers	172
Sydney - Ryde	CHN	Employee	5235
Sydney - Ryde	CHN	Owner managers of incorporated enterprises	667
Sydney - Ryde	CHN	Owner managers of unincorporated enterprises	515
Sydney - Ryde	CHN	Status in employment not stated	34
Sydney - Ryde	HRV	Employee	127
Sydney - Ryde	HRV	Owner managers of incorporated enterprises	15
Sydney - Ryde	HRV	Owner managers of unincorporated enterprises	6
Sydney - Ryde	EGY	Contributing family workers	6
Sydney - Ryde	EGY	Employee	229
Sydney - Ryde	EGY	Owner managers of incorporated enterprises	26
Sydney - Ryde	EGY	Owner managers of unincorporated enterprises	20
Sydney - Ryde	FJI	Contributing family workers	3
Sydney - Ryde	FJI	Employee	796
Sydney - Ryde	FJI	Owner managers of incorporated enterprises	18
Sydney - Ryde	FJI	Owner managers of unincorporated enterprises	10
Sydney - Ryde	FJI	Status in employment not stated	4
Sydney - Ryde	MKD	Employee	102
Sydney - Ryde	MKD	Owner managers of incorporated enterprises	5
Sydney - Ryde	MKD	Status in employment not stated	3
Sydney - Ryde	DEU	Employee	398
Sydney - Ryde	DEU	Owner managers of incorporated enterprises	12
Sydney - Ryde	DEU	Owner managers of unincorporated enterprises	20
Sydney - Ryde	DEU	Status in employment not stated	3
Sydney - Ryde	GRC	Contributing family workers	4
Sydney - Ryde	GRC	Employee	118
Sydney - Ryde	GRC	Owner managers of incorporated enterprises	14
Sydney - Ryde	GRC	Owner managers of unincorporated enterprises	13
Sydney - Ryde	HKG	Contributing family workers	13
Sydney - Ryde	HKG	Employee	1621
Sydney - Ryde	HKG	Owner managers of incorporated enterprises	126
Sydney - Ryde	HKG	Owner managers of unincorporated enterprises	124
Sydney - Ryde	HKG	Status in employment not stated	5
Sydney - Ryde	IND	Contributing family workers	23
Sydney - Ryde	IND	Employee	5399
Sydney - Ryde	IND	Owner managers of incorporated enterprises	193
Sydney - Ryde	IND	Owner managers of unincorporated enterprises	99
Sydney - Ryde	IND	Status in employment not stated	19
Sydney - Ryde	IDN	Contributing family workers	3
Sydney - Ryde	IDN	Employee	839
Sydney - Ryde	IDN	Owner managers of incorporated enterprises	24
Sydney - Ryde	IDN	Owner managers of unincorporated enterprises	38
Sydney - Ryde	IDN	Status in employment not stated	3
Sydney - Ryde	IRN	Contributing family workers	10
Sydney - Ryde	IRN	Employee	776
Sydney - Ryde	IRN	Owner managers of incorporated enterprises	78
Sydney - Ryde	IRN	Owner managers of unincorporated enterprises	84
Sydney - Ryde	IRN	Status in employment not stated	9
Sydney - Ryde	IRQ	Employee	186
Sydney - Ryde	IRQ	Owner managers of incorporated enterprises	18
Sydney - Ryde	IRQ	Owner managers of unincorporated enterprises	11
Sydney - Ryde	IRQ	Status in employment not stated	3
Sydney - Ryde	IRL	Contributing family workers	3
Sydney - Ryde	IRL	Employee	531
Sydney - Ryde	IRL	Owner managers of incorporated enterprises	47
Sydney - Ryde	IRL	Owner managers of unincorporated enterprises	15
Sydney - Ryde	IRL	Status in employment not stated	3
Sydney - Ryde	ITA	Contributing family workers	12
Sydney - Ryde	ITA	Employee	439
Sydney - Ryde	ITA	Owner managers of incorporated enterprises	41
Sydney - Ryde	ITA	Owner managers of unincorporated enterprises	53
Sydney - Ryde	ITA	Status in employment not stated	9
Sydney - Ryde	JPN	Employee	308
Sydney - Ryde	JPN	Owner managers of incorporated enterprises	14
Sydney - Ryde	JPN	Owner managers of unincorporated enterprises	23
Sydney - Ryde	JPN	Status in employment not stated	3
Sydney - Ryde	LBN	Contributing family workers	14
Sydney - Ryde	LBN	Employee	486
Sydney - Ryde	LBN	Owner managers of incorporated enterprises	77
Sydney - Ryde	LBN	Owner managers of unincorporated enterprises	58
Sydney - Ryde	LBN	Status in employment not stated	9
Sydney - Ryde	MYS	Contributing family workers	6
Sydney - Ryde	MYS	Employee	1089
Sydney - Ryde	MYS	Owner managers of incorporated enterprises	69
Sydney - Ryde	MYS	Owner managers of unincorporated enterprises	51
Sydney - Ryde	MYS	Status in employment not stated	7
Sydney - Ryde	MLT	Employee	59
Sydney - Ryde	MLT	Owner managers of incorporated enterprises	4
Sydney - Ryde	MLT	Owner managers of unincorporated enterprises	5
Sydney - Ryde	MLT	Status in employment not stated	3
Sydney - Ryde	NLD	Employee	189
Sydney - Ryde	NLD	Owner managers of incorporated enterprises	14
Sydney - Ryde	NLD	Owner managers of unincorporated enterprises	7
Sydney - Ryde	NZL	Contributing family workers	14
Sydney - Ryde	NZL	Employee	2000
Sydney - Ryde	NZL	Owner managers of incorporated enterprises	94
Sydney - Ryde	NZL	Owner managers of unincorporated enterprises	72
Sydney - Ryde	NZL	Status in employment not stated	9
Sydney - Ryde	PAK	Employee	549
Sydney - Ryde	PAK	Owner managers of incorporated enterprises	31
Sydney - Ryde	PAK	Owner managers of unincorporated enterprises	11
Sydney - Ryde	PHL	Contributing family workers	6
Sydney - Ryde	PHL	Employee	2603
Sydney - Ryde	PHL	Owner managers of incorporated enterprises	24
Sydney - Ryde	PHL	Owner managers of unincorporated enterprises	27
Sydney - Ryde	PHL	Status in employment not stated	15
Sydney - Ryde	POL	Employee	269
Sydney - Ryde	POL	Owner managers of incorporated enterprises	11
Sydney - Ryde	POL	Owner managers of unincorporated enterprises	15
Sydney - Ryde	SGP	Contributing family workers	4
Sydney - Ryde	SGP	Employee	393
Sydney - Ryde	SGP	Owner managers of incorporated enterprises	18
Sydney - Ryde	SGP	Owner managers of unincorporated enterprises	17
Sydney - Ryde	ZAF	Contributing family workers	3
Sydney - Ryde	ZAF	Employee	1198
Sydney - Ryde	ZAF	Owner managers of incorporated enterprises	72
Sydney - Ryde	ZAF	Owner managers of unincorporated enterprises	47
Sydney - Ryde	ZAF	Status in employment not stated	3
Sydney - Ryde	KOR	Contributing family workers	75
Sydney - Ryde	KOR	Employee	1808
Sydney - Ryde	KOR	Owner managers of incorporated enterprises	368
Sydney - Ryde	KOR	Owner managers of unincorporated enterprises	374
Sydney - Ryde	KOR	Status in employment not stated	27
Sydney - Ryde	LKA	Contributing family workers	3
Sydney - Ryde	LKA	Employee	1171
Sydney - Ryde	LKA	Owner managers of incorporated enterprises	51
Sydney - Ryde	LKA	Owner managers of unincorporated enterprises	34
Sydney - Ryde	LKA	Status in employment not stated	13
Sydney - Ryde	THA	Contributing family workers	10
Sydney - Ryde	THA	Employee	489
Sydney - Ryde	THA	Owner managers of incorporated enterprises	18
Sydney - Ryde	THA	Owner managers of unincorporated enterprises	20
Sydney - Ryde	THA	Status in employment not stated	8
Sydney - Ryde	TUR	Contributing family workers	4
Sydney - Ryde	TUR	Employee	178
Sydney - Ryde	TUR	Owner managers of incorporated enterprises	16
Sydney - Ryde	TUR	Owner managers of unincorporated enterprises	9
Sydney - Ryde	GBR	Contributing family workers	27
Sydney - Ryde	GBR	Employee	4233
Sydney - Ryde	GBR	Owner managers of incorporated enterprises	243
Sydney - Ryde	GBR	Owner managers of unincorporated enterprises	161
Sydney - Ryde	GBR	Status in employment not stated	15
Sydney - Ryde	USA	Employee	660
Sydney - Ryde	USA	Owner managers of incorporated enterprises	35
Sydney - Ryde	USA	Owner managers of unincorporated enterprises	22
Sydney - Ryde	USA	Status in employment not stated	3
Sydney - Ryde	VNM	Contributing family workers	19
Sydney - Ryde	VNM	Employee	1044
Sydney - Ryde	VNM	Owner managers of incorporated enterprises	57
Sydney - Ryde	VNM	Owner managers of unincorporated enterprises	49
Sydney - Ryde	VNM	Status in employment not stated	3
Sydney - Ryde	ZWE	Employee	169
Sydney - Ryde	ZWE	Owner managers of incorporated enterprises	8
Sydney - Ryde	ZWE	Owner managers of unincorporated enterprises	4
Sydney - South West		Contributing family workers	214
Sydney - South West		Employee	11758
Sydney - South West		Owner managers of incorporated enterprises	1174
Sydney - South West		Owner managers of unincorporated enterprises	1223
Sydney - South West		Status in employment not stated	319
Sydney - South West	AUS	Contributing family workers	590
Sydney - South West	AUS	Employee	58339
Sydney - South West	AUS	Owner managers of incorporated enterprises	3980
Sydney - South West	AUS	Owner managers of unincorporated enterprises	2782
Sydney - South West	AUS	Status in employment not stated	651
Sydney - South West	CAN	Employee	125
Sydney - South West	CAN	Owner managers of incorporated enterprises	3
Sydney - South West	CAN	Owner managers of unincorporated enterprises	6
Sydney - South West	CHN	Contributing family workers	98
Sydney - South West	CHN	Employee	2550
Sydney - South West	CHN	Owner managers of incorporated enterprises	475
Sydney - South West	CHN	Owner managers of unincorporated enterprises	390
Sydney - South West	CHN	Status in employment not stated	32
Sydney - South West	HRV	Contributing family workers	8
Sydney - South West	HRV	Employee	592
Sydney - South West	HRV	Owner managers of incorporated enterprises	84
Sydney - South West	HRV	Owner managers of unincorporated enterprises	66
Sydney - South West	HRV	Status in employment not stated	8
Sydney - South West	EGY	Contributing family workers	14
Sydney - South West	EGY	Employee	423
Sydney - South West	EGY	Owner managers of incorporated enterprises	90
Sydney - South West	EGY	Owner managers of unincorporated enterprises	50
Sydney - South West	EGY	Status in employment not stated	11
Sydney - South West	FJI	Contributing family workers	36
Sydney - South West	FJI	Employee	2286
Sydney - South West	FJI	Owner managers of incorporated enterprises	199
Sydney - South West	FJI	Owner managers of unincorporated enterprises	131
Sydney - South West	FJI	Status in employment not stated	42
Sydney - South West	MKD	Contributing family workers	5
Sydney - South West	MKD	Employee	440
Sydney - South West	MKD	Owner managers of incorporated enterprises	53
Sydney - South West	MKD	Owner managers of unincorporated enterprises	24
Sydney - South West	MKD	Status in employment not stated	5
Sydney - South West	DEU	Contributing family workers	10
Sydney - South West	DEU	Employee	259
Sydney - South West	DEU	Owner managers of incorporated enterprises	32
Sydney - South West	DEU	Owner managers of unincorporated enterprises	19
Sydney - South West	GRC	Contributing family workers	8
Sydney - South West	GRC	Employee	194
Sydney - South West	GRC	Owner managers of incorporated enterprises	43
Sydney - South West	GRC	Owner managers of unincorporated enterprises	28
Sydney - South West	GRC	Status in employment not stated	12
Sydney - South West	HKG	Employee	507
Sydney - South West	HKG	Owner managers of incorporated enterprises	49
Sydney - South West	HKG	Owner managers of unincorporated enterprises	47
Sydney - South West	IND	Contributing family workers	37
Sydney - South West	IND	Employee	3204
Sydney - South West	IND	Owner managers of incorporated enterprises	242
Sydney - South West	IND	Owner managers of unincorporated enterprises	118
Sydney - South West	IND	Status in employment not stated	27
Sydney - South West	IDN	Contributing family workers	9
Sydney - South West	IDN	Employee	407
Sydney - South West	IDN	Owner managers of incorporated enterprises	29
Sydney - South West	IDN	Owner managers of unincorporated enterprises	25
Sydney - South West	IDN	Status in employment not stated	3
Sydney - South West	IRN	Contributing family workers	8
Sydney - South West	IRN	Employee	397
Sydney - South West	IRN	Owner managers of incorporated enterprises	62
Sydney - South West	IRN	Owner managers of unincorporated enterprises	55
Sydney - South West	IRN	Status in employment not stated	11
Sydney - South West	IRQ	Contributing family workers	63
Sydney - South West	IRQ	Employee	2624
Sydney - South West	IRQ	Owner managers of incorporated enterprises	649
Sydney - South West	IRQ	Owner managers of unincorporated enterprises	575
Sydney - South West	IRQ	Status in employment not stated	62
Sydney - South West	IRL	Employee	245
Sydney - South West	IRL	Owner managers of incorporated enterprises	38
Sydney - South West	IRL	Owner managers of unincorporated enterprises	15
Sydney - South West	IRL	Status in employment not stated	3
Sydney - South West	ITA	Contributing family workers	40
Sydney - South West	ITA	Employee	747
Sydney - South West	ITA	Owner managers of incorporated enterprises	198
Sydney - South West	ITA	Owner managers of unincorporated enterprises	106
Sydney - South West	ITA	Status in employment not stated	22
Sydney - South West	JPN	Employee	61
Sydney - South West	JPN	Owner managers of unincorporated enterprises	6
Sydney - South West	LBN	Contributing family workers	46
Sydney - South West	LBN	Employee	1062
Sydney - South West	LBN	Owner managers of incorporated enterprises	340
Sydney - South West	LBN	Owner managers of unincorporated enterprises	279
Sydney - South West	LBN	Status in employment not stated	54
Sydney - South West	MYS	Employee	481
Sydney - South West	MYS	Owner managers of incorporated enterprises	60
Sydney - South West	MYS	Owner managers of unincorporated enterprises	32
Sydney - South West	MYS	Status in employment not stated	3
Sydney - South West	MLT	Contributing family workers	18
Sydney - South West	MLT	Employee	263
Sydney - South West	MLT	Owner managers of incorporated enterprises	51
Sydney - South West	MLT	Owner managers of unincorporated enterprises	50
Sydney - South West	MLT	Status in employment not stated	14
Sydney - South West	NLD	Contributing family workers	3
Sydney - South West	NLD	Employee	97
Sydney - South West	NLD	Owner managers of incorporated enterprises	8
Sydney - South West	NLD	Owner managers of unincorporated enterprises	7
Sydney - South West	NZL	Contributing family workers	22
Sydney - South West	NZL	Employee	2508
Sydney - South West	NZL	Owner managers of incorporated enterprises	84
Sydney - South West	NZL	Owner managers of unincorporated enterprises	81
Sydney - South West	NZL	Status in employment not stated	34
Sydney - South West	PAK	Contributing family workers	6
Sydney - South West	PAK	Employee	483
Sydney - South West	PAK	Owner managers of incorporated enterprises	68
Sydney - South West	PAK	Owner managers of unincorporated enterprises	82
Sydney - South West	PAK	Status in employment not stated	16
Sydney - South West	PHL	Contributing family workers	10
Sydney - South West	PHL	Employee	2620
Sydney - South West	PHL	Owner managers of incorporated enterprises	54
Sydney - South West	PHL	Owner managers of unincorporated enterprises	60
Sydney - South West	PHL	Status in employment not stated	20
Sydney - South West	POL	Contributing family workers	3
Sydney - South West	POL	Employee	271
Sydney - South West	POL	Owner managers of incorporated enterprises	42
Sydney - South West	POL	Owner managers of unincorporated enterprises	35
Sydney - South West	POL	Status in employment not stated	4
Sydney - South West	SGP	Employee	115
Sydney - South West	SGP	Owner managers of incorporated enterprises	16
Sydney - South West	SGP	Owner managers of unincorporated enterprises	10
Sydney - South West	ZAF	Contributing family workers	3
Sydney - South West	ZAF	Employee	498
Sydney - South West	ZAF	Owner managers of incorporated enterprises	40
Sydney - South West	ZAF	Owner managers of unincorporated enterprises	17
Sydney - South West	ZAF	Status in employment not stated	6
Sydney - South West	KOR	Contributing family workers	9
Sydney - South West	KOR	Employee	287
Sydney - South West	KOR	Owner managers of incorporated enterprises	45
Sydney - South West	KOR	Owner managers of unincorporated enterprises	33
Sydney - South West	KOR	Status in employment not stated	3
Sydney - South West	LKA	Contributing family workers	3
Sydney - South West	LKA	Employee	501
Sydney - South West	LKA	Owner managers of incorporated enterprises	28
Sydney - South West	LKA	Owner managers of unincorporated enterprises	17
Sydney - South West	LKA	Status in employment not stated	5
Sydney - South West	THA	Contributing family workers	11
Sydney - South West	THA	Employee	537
Sydney - South West	THA	Owner managers of incorporated enterprises	40
Sydney - South West	THA	Owner managers of unincorporated enterprises	35
Sydney - South West	THA	Status in employment not stated	12
Sydney - South West	TUR	Contributing family workers	16
Sydney - South West	TUR	Employee	317
Sydney - South West	TUR	Owner managers of incorporated enterprises	43
Sydney - South West	TUR	Owner managers of unincorporated enterprises	58
Sydney - South West	TUR	Status in employment not stated	11
Sydney - South West	GBR	Contributing family workers	24
Sydney - South West	GBR	Employee	2274
Sydney - South West	GBR	Owner managers of incorporated enterprises	176
Sydney - South West	GBR	Owner managers of unincorporated enterprises	106
Sydney - South West	GBR	Status in employment not stated	27
Sydney - South West	USA	Employee	224
Sydney - South West	USA	Owner managers of incorporated enterprises	15
Sydney - South West	USA	Owner managers of unincorporated enterprises	16
Sydney - South West	USA	Status in employment not stated	3
Sydney - South West	VNM	Contributing family workers	221
Sydney - South West	VNM	Employee	6418
Sydney - South West	VNM	Owner managers of incorporated enterprises	960
Sydney - South West	VNM	Owner managers of unincorporated enterprises	1068
Sydney - South West	VNM	Status in employment not stated	111
Sydney - South West	ZWE	Employee	199
Sydney - South West	ZWE	Owner managers of incorporated enterprises	7
Sydney - South West	ZWE	Status in employment not stated	3
Sydney - Sutherland		Contributing family workers	70
Sydney - Sutherland		Employee	3464
Sydney - Sutherland		Owner managers of incorporated enterprises	347
Sydney - Sutherland		Owner managers of unincorporated enterprises	314
Sydney - Sutherland		Status in employment not stated	66
Sydney - Sutherland	AUS	Contributing family workers	590
Sydney - Sutherland	AUS	Employee	39028
Sydney - Sutherland	AUS	Owner managers of incorporated enterprises	4948
Sydney - Sutherland	AUS	Owner managers of unincorporated enterprises	4055
Sydney - Sutherland	AUS	Status in employment not stated	393
Sydney - Sutherland	CAN	Employee	132
Sydney - Sutherland	CAN	Owner managers of incorporated enterprises	13
Sydney - Sutherland	CAN	Owner managers of unincorporated enterprises	15
Sydney - Sutherland	CAN	Status in employment not stated	3
Sydney - Sutherland	CHN	Contributing family workers	57
Sydney - Sutherland	CHN	Employee	1108
Sydney - Sutherland	CHN	Owner managers of incorporated enterprises	215
Sydney - Sutherland	CHN	Owner managers of unincorporated enterprises	185
Sydney - Sutherland	CHN	Status in employment not stated	7
Sydney - Sutherland	HRV	Contributing family workers	4
Sydney - Sutherland	HRV	Employee	81
Sydney - Sutherland	HRV	Owner managers of incorporated enterprises	12
Sydney - Sutherland	HRV	Owner managers of unincorporated enterprises	11
Sydney - Sutherland	EGY	Contributing family workers	7
Sydney - Sutherland	EGY	Employee	185
Sydney - Sutherland	EGY	Owner managers of incorporated enterprises	51
Sydney - Sutherland	EGY	Owner managers of unincorporated enterprises	42
Sydney - Sutherland	EGY	Status in employment not stated	5
Sydney - Sutherland	FJI	Contributing family workers	3
Sydney - Sutherland	FJI	Employee	198
Sydney - Sutherland	FJI	Owner managers of incorporated enterprises	14
Sydney - Sutherland	FJI	Owner managers of unincorporated enterprises	7
Sydney - Sutherland	FJI	Status in employment not stated	3
Sydney - Sutherland	MKD	Contributing family workers	7
Sydney - Sutherland	MKD	Employee	213
Sydney - Sutherland	MKD	Owner managers of incorporated enterprises	35
Sydney - Sutherland	MKD	Owner managers of unincorporated enterprises	18
Sydney - Sutherland	DEU	Contributing family workers	3
Sydney - Sutherland	DEU	Employee	177
Sydney - Sutherland	DEU	Owner managers of incorporated enterprises	38
Sydney - Sutherland	DEU	Owner managers of unincorporated enterprises	28
Sydney - Sutherland	GRC	Contributing family workers	8
Sydney - Sutherland	GRC	Employee	131
Sydney - Sutherland	GRC	Owner managers of incorporated enterprises	46
Sydney - Sutherland	GRC	Owner managers of unincorporated enterprises	35
Sydney - Sutherland	GRC	Status in employment not stated	3
Sydney - Sutherland	HKG	Contributing family workers	3
Sydney - Sutherland	HKG	Employee	226
Sydney - Sutherland	HKG	Owner managers of incorporated enterprises	37
Sydney - Sutherland	HKG	Owner managers of unincorporated enterprises	36
Sydney - Sutherland	HKG	Status in employment not stated	8
Sydney - Sutherland	IND	Contributing family workers	14
Sydney - Sutherland	IND	Employee	728
Sydney - Sutherland	IND	Owner managers of incorporated enterprises	61
Sydney - Sutherland	IND	Owner managers of unincorporated enterprises	34
Sydney - Sutherland	IND	Status in employment not stated	6
Sydney - Sutherland	IDN	Contributing family workers	4
Sydney - Sutherland	IDN	Employee	288
Sydney - Sutherland	IDN	Owner managers of incorporated enterprises	18
Sydney - Sutherland	IDN	Owner managers of unincorporated enterprises	11
Sydney - Sutherland	IDN	Status in employment not stated	3
Sydney - Sutherland	IRN	Employee	74
Sydney - Sutherland	IRN	Owner managers of incorporated enterprises	7
Sydney - Sutherland	IRN	Owner managers of unincorporated enterprises	6
Sydney - Sutherland	IRN	Status in employment not stated	3
Sydney - Sutherland	IRQ	Employee	54
Sydney - Sutherland	IRQ	Owner managers of incorporated enterprises	17
Sydney - Sutherland	IRQ	Owner managers of unincorporated enterprises	10
Sydney - Sutherland	IRQ	Status in employment not stated	4
Sydney - Sutherland	IRL	Contributing family workers	3
Sydney - Sutherland	IRL	Employee	229
Sydney - Sutherland	IRL	Owner managers of incorporated enterprises	53
Sydney - Sutherland	IRL	Owner managers of unincorporated enterprises	27
Sydney - Sutherland	IRL	Status in employment not stated	3
Sydney - Sutherland	ITA	Contributing family workers	14
Sydney - Sutherland	ITA	Employee	179
Sydney - Sutherland	ITA	Owner managers of incorporated enterprises	46
Sydney - Sutherland	ITA	Owner managers of unincorporated enterprises	37
