SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Sydney - Ryde	40	Education and training	1696
Sydney - Ryde	40	Electricity gas water and waste services	124
Sydney - Ryde	40	Financial and insurance services	440
Sydney - Ryde	40	Health care and social assistance	2471
Sydney - Ryde	40	Information media and telecommunications	2747
Sydney - Ryde	40	Manufacturing	1757
Sydney - Ryde	40	Mining	29
Sydney - Ryde	40	Other services	595
Sydney - Ryde	40	Professional scientific and technical services	3821
Sydney - Ryde	40	Public administration and safety	722
Sydney - Ryde	40	Rental hiring and real estate services	384
Sydney - Ryde	40	Retail trade	1272
Sydney - Ryde	40	Transport postal and warehousing	371
Sydney - Ryde	40	Wholesale trade	3337
Sydney - Ryde	41		287
Sydney - Ryde	41	Accommodation and food services	260
Sydney - Ryde	41	Administrative and support services	148
Sydney - Ryde	41	Agriculture forestry and fishing	16
Sydney - Ryde	41	Arts and recreation services	48
Sydney - Ryde	41	Construction	691
Sydney - Ryde	41	Education and training	855
Sydney - Ryde	41	Electricity gas water and waste services	53
Sydney - Ryde	41	Financial and insurance services	138
Sydney - Ryde	41	Health care and social assistance	808
Sydney - Ryde	41	Information media and telecommunications	1037
Sydney - Ryde	41	Manufacturing	868
Sydney - Ryde	41	Mining	4
Sydney - Ryde	41	Other services	262
Sydney - Ryde	41	Professional scientific and technical services	1298
Sydney - Ryde	41	Public administration and safety	422
Sydney - Ryde	41	Rental hiring and real estate services	151
Sydney - Ryde	41	Retail trade	533
Sydney - Ryde	41	Transport postal and warehousing	178
Sydney - Ryde	41	Wholesale trade	1512
Sydney - Ryde	49		535
Sydney - Ryde	49	Accommodation and food services	407
Sydney - Ryde	49	Administrative and support services	239
Sydney - Ryde	49	Agriculture forestry and fishing	30
Sydney - Ryde	49	Arts and recreation services	91
Sydney - Ryde	49	Construction	1421
Sydney - Ryde	49	Education and training	1346
Sydney - Ryde	49	Electricity gas water and waste services	65
Sydney - Ryde	49	Financial and insurance services	223
Sydney - Ryde	49	Health care and social assistance	1041
Sydney - Ryde	49	Information media and telecommunications	1352
Sydney - Ryde	49	Manufacturing	1212
Sydney - Ryde	49	Mining	23
Sydney - Ryde	49	Other services	407
Sydney - Ryde	49	Professional scientific and technical services	1960
Sydney - Ryde	49	Public administration and safety	333
Sydney - Ryde	49	Rental hiring and real estate services	302
Sydney - Ryde	49	Retail trade	919
Sydney - Ryde	49	Transport postal and warehousing	255
Sydney - Ryde	49	Wholesale trade	2374
Sydney - South West			1693
Sydney - South West		Accommodation and food services	130
Sydney - South West		Administrative and support services	62
Sydney - South West		Agriculture forestry and fishing	27
Sydney - South West		Arts and recreation services	12
Sydney - South West		Construction	200
Sydney - South West		Education and training	104
Sydney - South West		Electricity gas water and waste services	14
Sydney - South West		Financial and insurance services	29
Sydney - South West		Health care and social assistance	211
Sydney - South West		Information media and telecommunications	9
Sydney - South West		Manufacturing	166
Sydney - South West		Other services	66
Sydney - South West		Professional scientific and technical services	36
Sydney - South West		Public administration and safety	82
Sydney - South West		Rental hiring and real estate services	20
Sydney - South West		Retail trade	205
Sydney - South West		Transport postal and warehousing	124
Sydney - South West		Wholesale trade	45
Sydney - South West	0		200
Sydney - South West	0	Accommodation and food services	201
Sydney - South West	0	Administrative and support services	94
Sydney - South West	0	Agriculture forestry and fishing	25
Sydney - South West	0	Arts and recreation services	36
Sydney - South West	0	Construction	191
Sydney - South West	0	Education and training	415
Sydney - South West	0	Electricity gas water and waste services	32
Sydney - South West	0	Financial and insurance services	40
Sydney - South West	0	Health care and social assistance	588
Sydney - South West	0	Information media and telecommunications	24
Sydney - South West	0	Manufacturing	262
Sydney - South West	0	Mining	3
Sydney - South West	0	Other services	83
Sydney - South West	0	Professional scientific and technical services	87
Sydney - South West	0	Public administration and safety	354
Sydney - South West	0	Rental hiring and real estate services	45
Sydney - South West	0	Retail trade	328
Sydney - South West	0	Transport postal and warehousing	174
Sydney - South West	0	Wholesale trade	83
Sydney - South West	1		837
Sydney - South West	1	Accommodation and food services	2384
Sydney - South West	1	Administrative and support services	551
Sydney - South West	1	Agriculture forestry and fishing	160
Sydney - South West	1	Arts and recreation services	267
Sydney - South West	1	Construction	654
Sydney - South West	1	Education and training	1363
Sydney - South West	1	Electricity gas water and waste services	19
Sydney - South West	1	Financial and insurance services	94
Sydney - South West	1	Health care and social assistance	1307
Sydney - South West	1	Information media and telecommunications	91
Sydney - South West	1	Manufacturing	663
Sydney - South West	1	Mining	3
Sydney - South West	1	Other services	583
Sydney - South West	1	Professional scientific and technical services	464
Sydney - South West	1	Public administration and safety	327
Sydney - South West	1	Rental hiring and real estate services	133
Sydney - South West	1	Retail trade	2659
Sydney - South West	1	Transport postal and warehousing	488
Sydney - South West	1	Wholesale trade	258
Sydney - South West	16		668
Sydney - South West	16	Accommodation and food services	1383
Sydney - South West	16	Administrative and support services	527
Sydney - South West	16	Agriculture forestry and fishing	143
Sydney - South West	16	Arts and recreation services	144
Sydney - South West	16	Construction	776
Sydney - South West	16	Education and training	1382
Sydney - South West	16	Electricity gas water and waste services	33
Sydney - South West	16	Financial and insurance services	172
Sydney - South West	16	Health care and social assistance	2163
Sydney - South West	16	Information media and telecommunications	78
Sydney - South West	16	Manufacturing	715
Sydney - South West	16	Mining	5
Sydney - South West	16	Other services	457
Sydney - South West	16	Professional scientific and technical services	416
Sydney - South West	16	Public administration and safety	426
Sydney - South West	16	Rental hiring and real estate services	137
Sydney - South West	16	Retail trade	2019
Sydney - South West	16	Transport postal and warehousing	537
Sydney - South West	16	Wholesale trade	333
Sydney - South West	25		615
Sydney - South West	25	Accommodation and food services	1069
Sydney - South West	25	Administrative and support services	494
Sydney - South West	25	Agriculture forestry and fishing	181
Sydney - South West	25	Arts and recreation services	134
Sydney - South West	25	Construction	784
Sydney - South West	25	Education and training	1630
Sydney - South West	25	Electricity gas water and waste services	38
Sydney - South West	25	Financial and insurance services	182
Sydney - South West	25	Health care and social assistance	2271
Sydney - South West	25	Information media and telecommunications	68
Sydney - South West	25	Manufacturing	719
Sydney - South West	25	Mining	3
Sydney - South West	25	Other services	441
Sydney - South West	25	Professional scientific and technical services	374
Sydney - South West	25	Public administration and safety	484
Sydney - South West	25	Rental hiring and real estate services	113
Sydney - South West	25	Retail trade	1769
Sydney - South West	25	Transport postal and warehousing	604
Sydney - South West	25	Wholesale trade	357
Sydney - South West	35		1765
Sydney - South West	35	Accommodation and food services	955
Sydney - South West	35	Administrative and support services	968
Sydney - South West	35	Agriculture forestry and fishing	235
Sydney - South West	35	Arts and recreation services	173
Sydney - South West	35	Construction	1797
Sydney - South West	35	Education and training	2080
Sydney - South West	35	Electricity gas water and waste services	233
Sydney - South West	35	Financial and insurance services	358
Sydney - South West	35	Health care and social assistance	3648
Sydney - South West	35	Information media and telecommunications	225
Sydney - South West	35	Manufacturing	4059
Sydney - South West	35	Mining	23
Sydney - South West	35	Other services	964
Sydney - South West	35	Professional scientific and technical services	785
Sydney - South West	35	Public administration and safety	2421
Sydney - South West	35	Rental hiring and real estate services	454
Sydney - South West	35	Retail trade	2559
Sydney - South West	35	Transport postal and warehousing	1665
Sydney - South West	35	Wholesale trade	1631
Sydney - South West	40		1542
Sydney - South West	40	Accommodation and food services	754
Sydney - South West	40	Administrative and support services	653
Sydney - South West	40	Agriculture forestry and fishing	238
Sydney - South West	40	Arts and recreation services	127
Sydney - South West	40	Construction	3105
Sydney - South West	40	Education and training	2110
Sydney - South West	40	Electricity gas water and waste services	218
Sydney - South West	40	Financial and insurance services	416
Sydney - South West	40	Health care and social assistance	3428
Sydney - South West	40	Information media and telecommunications	159
Sydney - South West	40	Manufacturing	3443
Sydney - South West	40	Mining	35
Sydney - South West	40	Other services	984
Sydney - South West	40	Professional scientific and technical services	951
Sydney - South West	40	Public administration and safety	1663
Sydney - South West	40	Rental hiring and real estate services	478
Sydney - South West	40	Retail trade	1764
Sydney - South West	40	Transport postal and warehousing	1560
Sydney - South West	40	Wholesale trade	1554
Sydney - South West	41		459
Sydney - South West	41	Accommodation and food services	328
Sydney - South West	41	Administrative and support services	256
Sydney - South West	41	Agriculture forestry and fishing	88
Sydney - South West	41	Arts and recreation services	66
Sydney - South West	41	Construction	1167
Sydney - South West	41	Education and training	939
Sydney - South West	41	Electricity gas water and waste services	119
Sydney - South West	41	Financial and insurance services	132
Sydney - South West	41	Health care and social assistance	931
Sydney - South West	41	Information media and telecommunications	59
Sydney - South West	41	Manufacturing	1670
Sydney - South West	41	Mining	12
Sydney - South West	41	Other services	427
Sydney - South West	41	Professional scientific and technical services	328
Sydney - South West	41	Public administration and safety	996
Sydney - South West	41	Rental hiring and real estate services	221
Sydney - South West	41	Retail trade	818
Sydney - South West	41	Transport postal and warehousing	840
Sydney - South West	41	Wholesale trade	655
Sydney - South West	49		753
Sydney - South West	49	Accommodation and food services	592
Sydney - South West	49	Administrative and support services	286
Sydney - South West	49	Agriculture forestry and fishing	312
Sydney - South West	49	Arts and recreation services	157
Sydney - South West	49	Construction	2157
Sydney - South West	49	Education and training	1538
Sydney - South West	49	Electricity gas water and waste services	192
Sydney - South West	49	Financial and insurance services	182
Sydney - South West	49	Health care and social assistance	1577
Sydney - South West	49	Information media and telecommunications	88
Sydney - South West	49	Manufacturing	2368
Sydney - South West	49	Mining	66
Sydney - South West	49	Other services	653
Sydney - South West	49	Professional scientific and technical services	608
Sydney - South West	49	Public administration and safety	1198
Sydney - South West	49	Rental hiring and real estate services	307
Sydney - South West	49	Retail trade	1288
Sydney - South West	49	Transport postal and warehousing	2009
Sydney - South West	49	Wholesale trade	804
Sydney - Sutherland			537
Sydney - Sutherland		Accommodation and food services	51
Sydney - Sutherland		Administrative and support services	25
Sydney - Sutherland		Arts and recreation services	12
Sydney - Sutherland		Construction	61
Sydney - Sutherland		Education and training	35
Sydney - Sutherland		Financial and insurance services	8
Sydney - Sutherland		Health care and social assistance	91
Sydney - Sutherland		Information media and telecommunications	10
Sydney - Sutherland		Manufacturing	30
Sydney - Sutherland		Other services	41
Sydney - Sutherland		Professional scientific and technical services	29
Sydney - Sutherland		Public administration and safety	27
Sydney - Sutherland		Rental hiring and real estate services	10
Sydney - Sutherland		Retail trade	103
Sydney - Sutherland		Transport postal and warehousing	32
Sydney - Sutherland		Wholesale trade	7
Sydney - Sutherland	0		74
Sydney - Sutherland	0	Accommodation and food services	158
Sydney - Sutherland	0	Administrative and support services	51
Sydney - Sutherland	0	Agriculture forestry and fishing	3
Sydney - Sutherland	0	Arts and recreation services	33
Sydney - Sutherland	0	Construction	127
Sydney - Sutherland	0	Education and training	226
Sydney - Sutherland	0	Electricity gas water and waste services	5
Sydney - Sutherland	0	Financial and insurance services	57
Sydney - Sutherland	0	Health care and social assistance	359
Sydney - Sutherland	0	Information media and telecommunications	14
Sydney - Sutherland	0	Manufacturing	85
Sydney - Sutherland	0	Mining	3
Sydney - Sutherland	0	Other services	70
Sydney - Sutherland	0	Professional scientific and technical services	131
Sydney - Sutherland	0	Public administration and safety	135
Sydney - Sutherland	0	Rental hiring and real estate services	34
Sydney - Sutherland	0	Retail trade	262
Sydney - Sutherland	0	Transport postal and warehousing	53
Sydney - Sutherland	0	Wholesale trade	31
Sydney - Sutherland	1		330
Sydney - Sutherland	1	Accommodation and food services	2062
Sydney - Sutherland	1	Administrative and support services	343
Sydney - Sutherland	1	Agriculture forestry and fishing	16
Sydney - Sutherland	1	Arts and recreation services	388
Sydney - Sutherland	1	Construction	412
Sydney - Sutherland	1	Education and training	1078
Sydney - Sutherland	1	Electricity gas water and waste services	29
Sydney - Sutherland	1	Financial and insurance services	150
Sydney - Sutherland	1	Health care and social assistance	1223
Sydney - Sutherland	1	Information media and telecommunications	101
Sydney - Sutherland	1	Manufacturing	313
Sydney - Sutherland	1	Mining	3
Sydney - Sutherland	1	Other services	468
Sydney - Sutherland	1	Professional scientific and technical services	580
Sydney - Sutherland	1	Public administration and safety	158
Sydney - Sutherland	1	Rental hiring and real estate services	139
Sydney - Sutherland	1	Retail trade	2440
Sydney - Sutherland	1	Transport postal and warehousing	155
Sydney - Sutherland	1	Wholesale trade	147
Sydney - Sutherland	16		300
Sydney - Sutherland	16	Accommodation and food services	1068
Sydney - Sutherland	16	Administrative and support services	298
Sydney - Sutherland	16	Agriculture forestry and fishing	5
Sydney - Sutherland	16	Arts and recreation services	151
Sydney - Sutherland	16	Construction	446
Sydney - Sutherland	16	Education and training	938
Sydney - Sutherland	16	Electricity gas water and waste services	17
Sydney - Sutherland	16	Financial and insurance services	201
Sydney - Sutherland	16	Health care and social assistance	1954
Sydney - Sutherland	16	Information media and telecommunications	53
Sydney - Sutherland	16	Manufacturing	308
Sydney - Sutherland	16	Mining	4
Sydney - Sutherland	16	Other services	379
Sydney - Sutherland	16	Professional scientific and technical services	637
Sydney - Sutherland	16	Public administration and safety	253
Sydney - Sutherland	16	Rental hiring and real estate services	164
Sydney - Sutherland	16	Retail trade	1562
Sydney - Sutherland	16	Transport postal and warehousing	147
Sydney - Sutherland	16	Wholesale trade	160
Sydney - Sutherland	25		262
Sydney - Sutherland	25	Accommodation and food services	664
Sydney - Sutherland	25	Administrative and support services	274
Sydney - Sutherland	25	Agriculture forestry and fishing	8
Sydney - Sutherland	25	Arts and recreation services	131
Sydney - Sutherland	25	Construction	501
Sydney - Sutherland	25	Education and training	823
Sydney - Sutherland	25	Electricity gas water and waste services	23
Sydney - Sutherland	25	Financial and insurance services	218
Sydney - Sutherland	25	Health care and social assistance	1833
Sydney - Sutherland	25	Information media and telecommunications	57
Sydney - Sutherland	25	Manufacturing	271
Sydney - Sutherland	25	Mining	8
Sydney - Sutherland	25	Other services	382
Sydney - Sutherland	25	Professional scientific and technical services	579
Sydney - Sutherland	25	Public administration and safety	209
Sydney - Sutherland	25	Rental hiring and real estate services	124
Sydney - Sutherland	25	Retail trade	1226
Sydney - Sutherland	25	Transport postal and warehousing	158
Sydney - Sutherland	25	Wholesale trade	147
Sydney - Sutherland	35		495
Sydney - Sutherland	35	Accommodation and food services	479
Sydney - Sutherland	35	Administrative and support services	316
Sydney - Sutherland	35	Agriculture forestry and fishing	26
Sydney - Sutherland	35	Arts and recreation services	134
Sydney - Sutherland	35	Construction	738
Sydney - Sutherland	35	Education and training	819
Sydney - Sutherland	35	Electricity gas water and waste services	111
Sydney - Sutherland	35	Financial and insurance services	244
Sydney - Sutherland	35	Health care and social assistance	1741
Sydney - Sutherland	35	Information media and telecommunications	49
Sydney - Sutherland	35	Manufacturing	846
Sydney - Sutherland	35	Mining	7
Sydney - Sutherland	35	Other services	543
Sydney - Sutherland	35	Professional scientific and technical services	887
Sydney - Sutherland	35	Public administration and safety	787
Sydney - Sutherland	35	Rental hiring and real estate services	148
Sydney - Sutherland	35	Retail trade	1574
Sydney - Sutherland	35	Transport postal and warehousing	295
Sydney - Sutherland	35	Wholesale trade	310
Sydney - Sutherland	40		583
Sydney - Sutherland	40	Accommodation and food services	477
Sydney - Sutherland	40	Administrative and support services	322
Sydney - Sutherland	40	Agriculture forestry and fishing	22
Sydney - Sutherland	40	Arts and recreation services	117
Sydney - Sutherland	40	Construction	1825
Sydney - Sutherland	40	Education and training	949
Sydney - Sutherland	40	Electricity gas water and waste services	107
Sydney - Sutherland	40	Financial and insurance services	353
Sydney - Sutherland	40	Health care and social assistance	1490
Sydney - Sutherland	40	Information media and telecommunications	96
Sydney - Sutherland	40	Manufacturing	800
Sydney - Sutherland	40	Mining	18
Sydney - Sutherland	40	Other services	660
Sydney - Sutherland	40	Professional scientific and technical services	1124
Sydney - Sutherland	40	Public administration and safety	433
Sydney - Sutherland	40	Rental hiring and real estate services	252
Sydney - Sutherland	40	Retail trade	1124
Sydney - Sutherland	40	Transport postal and warehousing	374
Sydney - Sutherland	40	Wholesale trade	471
Sydney - Sutherland	41		193
Sydney - Sutherland	41	Accommodation and food services	246
Sydney - Sutherland	41	Administrative and support services	111
Sydney - Sutherland	41	Agriculture forestry and fishing	8
Sydney - Sutherland	41	Arts and recreation services	56
Sydney - Sutherland	41	Construction	678
Sydney - Sutherland	41	Education and training	484
Sydney - Sutherland	41	Electricity gas water and waste services	58
Sydney - Sutherland	41	Financial and insurance services	117
Sydney - Sutherland	41	Health care and social assistance	562
Sydney - Sutherland	41	Information media and telecommunications	28
Sydney - Sutherland	41	Manufacturing	458
Sydney - Sutherland	41	Mining	9
Sydney - Sutherland	41	Other services	312
Sydney - Sutherland	41	Professional scientific and technical services	485
Sydney - Sutherland	41	Public administration and safety	258
Sydney - Sutherland	41	Rental hiring and real estate services	125
Sydney - Sutherland	41	Retail trade	646
Sydney - Sutherland	41	Transport postal and warehousing	155
Sydney - Sutherland	41	Wholesale trade	229
Sydney - Sutherland	49		376
Sydney - Sutherland	49	Accommodation and food services	541
Sydney - Sutherland	49	Administrative and support services	197
Sydney - Sutherland	49	Agriculture forestry and fishing	21
Sydney - Sutherland	49	Arts and recreation services	116
Sydney - Sutherland	49	Construction	1416
Sydney - Sutherland	49	Education and training	807
Sydney - Sutherland	49	Electricity gas water and waste services	95
Sydney - Sutherland	49	Financial and insurance services	233
Sydney - Sutherland	49	Health care and social assistance	673
Sydney - Sutherland	49	Information media and telecommunications	77
Sydney - Sutherland	49	Manufacturing	632
Sydney - Sutherland	49	Mining	12
Sydney - Sutherland	49	Other services	432
Sydney - Sutherland	49	Professional scientific and technical services	855
Sydney - Sutherland	49	Public administration and safety	194
Sydney - Sutherland	49	Rental hiring and real estate services	275
Sydney - Sutherland	49	Retail trade	889
Sydney - Sutherland	49	Transport postal and warehousing	342
Sydney - Sutherland	49	Wholesale trade	348
Migratory - Offshore - Shipping (NSW)	0		4
Migratory - Offshore - Shipping (NSW)	0	Agriculture forestry and fishing	3
Migratory - Offshore - Shipping (NSW)	0	Public administration and safety	4
Migratory - Offshore - Shipping (NSW)	0	Transport postal and warehousing	3
Migratory - Offshore - Shipping (NSW)	1	Agriculture forestry and fishing	3
Migratory - Offshore - Shipping (NSW)	16	Transport postal and warehousing	3
Migratory - Offshore - Shipping (NSW)	25	Agriculture forestry and fishing	3
Migratory - Offshore - Shipping (NSW)	25	Transport postal and warehousing	3
Migratory - Offshore - Shipping (NSW)	40	Construction	4
Migratory - Offshore - Shipping (NSW)	40	Public administration and safety	6
Migratory - Offshore - Shipping (NSW)	41	Transport postal and warehousing	4
Migratory - Offshore - Shipping (NSW)	49		4
Migratory - Offshore - Shipping (NSW)	49	Administrative and support services	3
Migratory - Offshore - Shipping (NSW)	49	Agriculture forestry and fishing	8
Migratory - Offshore - Shipping (NSW)	49	Mining	3
Migratory - Offshore - Shipping (NSW)	49	Public administration and safety	6
Migratory - Offshore - Shipping (NSW)	49	Transport postal and warehousing	3
No usual address (NSW)			1621
No usual address (NSW)		Accommodation and food services	61
No usual address (NSW)		Administrative and support services	230
No usual address (NSW)		Agriculture forestry and fishing	71
No usual address (NSW)		Arts and recreation services	35
No usual address (NSW)		Construction	910
No usual address (NSW)		Education and training	95
No usual address (NSW)		Electricity gas water and waste services	14
No usual address (NSW)		Financial and insurance services	11
No usual address (NSW)		Health care and social assistance	154
No usual address (NSW)		Information media and telecommunications	18
No usual address (NSW)		Manufacturing	46
No usual address (NSW)		Mining	6
No usual address (NSW)		Other services	80
No usual address (NSW)		Professional scientific and technical services	69
No usual address (NSW)		Public administration and safety	69
No usual address (NSW)		Rental hiring and real estate services	15
No usual address (NSW)		Retail trade	71
No usual address (NSW)		Transport postal and warehousing	182
No usual address (NSW)		Wholesale trade	30
No usual address (NSW)	0		521
No usual address (NSW)	0	Accommodation and food services	112
No usual address (NSW)	0	Administrative and support services	589
No usual address (NSW)	0	Agriculture forestry and fishing	160
No usual address (NSW)	0	Arts and recreation services	157
No usual address (NSW)	0	Construction	1726
No usual address (NSW)	0	Education and training	312
No usual address (NSW)	0	Electricity gas water and waste services	54
No usual address (NSW)	0	Financial and insurance services	122
No usual address (NSW)	0	Health care and social assistance	544
No usual address (NSW)	0	Information media and telecommunications	84
No usual address (NSW)	0	Manufacturing	140
No usual address (NSW)	0	Mining	96
No usual address (NSW)	0	Other services	195
No usual address (NSW)	0	Professional scientific and technical services	255
No usual address (NSW)	0	Public administration and safety	280
No usual address (NSW)	0	Rental hiring and real estate services	41
No usual address (NSW)	0	Retail trade	213
No usual address (NSW)	0	Transport postal and warehousing	413
No usual address (NSW)	0	Wholesale trade	76
No usual address (NSW)	1		953
No usual address (NSW)	1	Accommodation and food services	550
No usual address (NSW)	1	Administrative and support services	3996
No usual address (NSW)	1	Agriculture forestry and fishing	320
No usual address (NSW)	1	Arts and recreation services	988
No usual address (NSW)	1	Construction	3008
No usual address (NSW)	1	Education and training	2250
No usual address (NSW)	1	Electricity gas water and waste services	41
No usual address (NSW)	1	Financial and insurance services	92
No usual address (NSW)	1	Health care and social assistance	2251
No usual address (NSW)	1	Information media and telecommunications	240
No usual address (NSW)	1	Manufacturing	236
No usual address (NSW)	1	Mining	30
No usual address (NSW)	1	Other services	1161
No usual address (NSW)	1	Professional scientific and technical services	1143
No usual address (NSW)	1	Public administration and safety	428
No usual address (NSW)	1	Rental hiring and real estate services	166
No usual address (NSW)	1	Retail trade	673
No usual address (NSW)	1	Transport postal and warehousing	1035
No usual address (NSW)	1	Wholesale trade	145
No usual address (NSW)	16		752
No usual address (NSW)	16	Accommodation and food services	338
No usual address (NSW)	16	Administrative and support services	2803
No usual address (NSW)	16	Agriculture forestry and fishing	319
No usual address (NSW)	16	Arts and recreation services	308
No usual address (NSW)	16	Construction	4000
No usual address (NSW)	16	Education and training	1000
No usual address (NSW)	16	Electricity gas water and waste services	72
No usual address (NSW)	16	Financial and insurance services	85
No usual address (NSW)	16	Health care and social assistance	2060
No usual address (NSW)	16	Information media and telecommunications	158
No usual address (NSW)	16	Manufacturing	280
No usual address (NSW)	16	Mining	29
No usual address (NSW)	16	Other services	676
No usual address (NSW)	16	Professional scientific and technical services	660
No usual address (NSW)	16	Public administration and safety	351
No usual address (NSW)	16	Rental hiring and real estate services	99
No usual address (NSW)	16	Retail trade	561
No usual address (NSW)	16	Transport postal and warehousing	1056
No usual address (NSW)	16	Wholesale trade	159
No usual address (NSW)	25		691
No usual address (NSW)	25	Accommodation and food services	229
No usual address (NSW)	25	Administrative and support services	2488
No usual address (NSW)	25	Agriculture forestry and fishing	399
No usual address (NSW)	25	Arts and recreation services	268
No usual address (NSW)	25	Construction	5334
No usual address (NSW)	25	Education and training	781
No usual address (NSW)	25	Electricity gas water and waste services	77
No usual address (NSW)	25	Financial and insurance services	94
No usual address (NSW)	25	Health care and social assistance	2003
No usual address (NSW)	25	Information media and telecommunications	198
No usual address (NSW)	25	Manufacturing	255
No usual address (NSW)	25	Mining	35
No usual address (NSW)	25	Other services	691
No usual address (NSW)	25	Professional scientific and technical services	604
No usual address (NSW)	25	Public administration and safety	322
No usual address (NSW)	25	Rental hiring and real estate services	94
No usual address (NSW)	25	Retail trade	475
No usual address (NSW)	25	Transport postal and warehousing	1203
No usual address (NSW)	25	Wholesale trade	140
No usual address (NSW)	35		957
No usual address (NSW)	35	Accommodation and food services	165
No usual address (NSW)	35	Administrative and support services	1547
No usual address (NSW)	35	Agriculture forestry and fishing	374
No usual address (NSW)	35	Arts and recreation services	140
No usual address (NSW)	35	Construction	7745
No usual address (NSW)	35	Education and training	416
No usual address (NSW)	35	Electricity gas water and waste services	213
No usual address (NSW)	35	Financial and insurance services	173
No usual address (NSW)	35	Health care and social assistance	1029
No usual address (NSW)	35	Information media and telecommunications	403
No usual address (NSW)	35	Manufacturing	470
No usual address (NSW)	35	Mining	82
No usual address (NSW)	35	Other services	666
No usual address (NSW)	35	Professional scientific and technical services	513
No usual address (NSW)	35	Public administration and safety	571
No usual address (NSW)	35	Rental hiring and real estate services	83
No usual address (NSW)	35	Retail trade	577
No usual address (NSW)	35	Transport postal and warehousing	976
No usual address (NSW)	35	Wholesale trade	362
No usual address (NSW)	40		1448
No usual address (NSW)	40	Accommodation and food services	213
No usual address (NSW)	40	Administrative and support services	1833
No usual address (NSW)	40	Agriculture forestry and fishing	540
No usual address (NSW)	40	Arts and recreation services	226
No usual address (NSW)	40	Construction	17709
No usual address (NSW)	40	Education and training	426
No usual address (NSW)	40	Electricity gas water and waste services	265
No usual address (NSW)	40	Financial and insurance services	267
No usual address (NSW)	40	Health care and social assistance	807
No usual address (NSW)	40	Information media and telecommunications	456
No usual address (NSW)	40	Manufacturing	716
No usual address (NSW)	40	Mining	98
No usual address (NSW)	40	Other services	962
No usual address (NSW)	40	Professional scientific and technical services	1002
No usual address (NSW)	40	Public administration and safety	606
No usual address (NSW)	40	Rental hiring and real estate services	190
No usual address (NSW)	40	Retail trade	736
No usual address (NSW)	40	Transport postal and warehousing	1662
No usual address (NSW)	40	Wholesale trade	557
No usual address (NSW)	41		379
No usual address (NSW)	41	Accommodation and food services	89
No usual address (NSW)	41	Administrative and support services	575
No usual address (NSW)	41	Agriculture forestry and fishing	204
No usual address (NSW)	41	Arts and recreation services	75
No usual address (NSW)	41	Construction	6318
No usual address (NSW)	41	Education and training	173
No usual address (NSW)	41	Electricity gas water and waste services	100
No usual address (NSW)	41	Financial and insurance services	89
No usual address (NSW)	41	Health care and social assistance	352
No usual address (NSW)	41	Information media and telecommunications	197
No usual address (NSW)	41	Manufacturing	283
No usual address (NSW)	41	Mining	103
No usual address (NSW)	41	Other services	349
No usual address (NSW)	41	Professional scientific and technical services	351
No usual address (NSW)	41	Public administration and safety	298
No usual address (NSW)	41	Rental hiring and real estate services	70
No usual address (NSW)	41	Retail trade	328
No usual address (NSW)	41	Transport postal and warehousing	797
No usual address (NSW)	41	Wholesale trade	200
No usual address (NSW)	49		953
No usual address (NSW)	49	Accommodation and food services	197
No usual address (NSW)	49	Administrative and support services	971
No usual address (NSW)	49	Agriculture forestry and fishing	839
No usual address (NSW)	49	Arts and recreation services	229
No usual address (NSW)	49	Construction	10604
No usual address (NSW)	49	Education and training	294
No usual address (NSW)	49	Electricity gas water and waste services	192
No usual address (NSW)	49	Financial and insurance services	203
No usual address (NSW)	49	Health care and social assistance	550
No usual address (NSW)	49	Information media and telecommunications	410
No usual address (NSW)	49	Manufacturing	631
No usual address (NSW)	49	Mining	370
No usual address (NSW)	49	Other services	796
No usual address (NSW)	49	Professional scientific and technical services	826
No usual address (NSW)	49	Public administration and safety	461
No usual address (NSW)	49	Rental hiring and real estate services	136
No usual address (NSW)	49	Retail trade	606
No usual address (NSW)	49	Transport postal and warehousing	2444
No usual address (NSW)	49	Wholesale trade	418
Ballarat			516
Ballarat		Accommodation and food services	76
Ballarat		Administrative and support services	24
Ballarat		Agriculture forestry and fishing	40
Ballarat		Arts and recreation services	19
Ballarat		Construction	59
Ballarat		Education and training	66
Ballarat		Electricity gas water and waste services	3
Ballarat		Financial and insurance services	5
Ballarat		Health care and social assistance	82
Ballarat		Information media and telecommunications	12
Ballarat		Manufacturing	45
Ballarat		Mining	3
Ballarat		Other services	30
Ballarat		Professional scientific and technical services	25
Ballarat		Public administration and safety	25
Ballarat		Rental hiring and real estate services	6
Ballarat		Retail trade	88
Ballarat		Transport postal and warehousing	45
Ballarat		Wholesale trade	10
Ballarat	0		95
Ballarat	0	Accommodation and food services	185
Ballarat	0	Administrative and support services	32
Ballarat	0	Agriculture forestry and fishing	99
Ballarat	0	Arts and recreation services	58
Ballarat	0	Construction	116
Ballarat	0	Education and training	239
Ballarat	0	Electricity gas water and waste services	21
Ballarat	0	Financial and insurance services	42
Ballarat	0	Health care and social assistance	624
Ballarat	0	Information media and telecommunications	57
Ballarat	0	Manufacturing	136
Ballarat	0	Mining	17
Ballarat	0	Other services	70
Ballarat	0	Professional scientific and technical services	73
Ballarat	0	Public administration and safety	201
Ballarat	0	Rental hiring and real estate services	18
Ballarat	0	Retail trade	257
