SA4_NAME16	IndustryOfEmployment	workers_born_overseas
Latrobe - Gippsland	Transport postal and warehousing	294
Latrobe - Gippsland	Wholesale trade	228
Melbourne - Inner		11357
Melbourne - Inner	Accommodation and food services	29208
Melbourne - Inner	Administrative and support services	13076
Melbourne - Inner	Agriculture forestry and fishing	403
Melbourne - Inner	Arts and recreation services	6516
Melbourne - Inner	Construction	8153
Melbourne - Inner	Education and training	16264
Melbourne - Inner	Electricity gas water and waste services	4253
Melbourne - Inner	Financial and insurance services	28471
Melbourne - Inner	Health care and social assistance	25481
Melbourne - Inner	Information media and telecommunications	12012
Melbourne - Inner	Manufacturing	8701
Melbourne - Inner	Mining	781
Melbourne - Inner	Other services	7117
Melbourne - Inner	Professional scientific and technical services	46390
Melbourne - Inner	Public administration and safety	13948
Melbourne - Inner	Rental hiring and real estate services	4967
Melbourne - Inner	Retail trade	16666
Melbourne - Inner	Transport postal and warehousing	10125
Melbourne - Inner	Wholesale trade	5915
Melbourne - Inner East		2536
Melbourne - Inner East	Accommodation and food services	4626
Melbourne - Inner East	Administrative and support services	2182
Melbourne - Inner East	Agriculture forestry and fishing	92
Melbourne - Inner East	Arts and recreation services	403
Melbourne - Inner East	Construction	2522
Melbourne - Inner East	Education and training	5837
Melbourne - Inner East	Electricity gas water and waste services	144
Melbourne - Inner East	Financial and insurance services	1883
Melbourne - Inner East	Health care and social assistance	9924
Melbourne - Inner East	Information media and telecommunications	927
Melbourne - Inner East	Manufacturing	1451
Melbourne - Inner East	Mining	36
Melbourne - Inner East	Other services	2218
Melbourne - Inner East	Professional scientific and technical services	6058
Melbourne - Inner East	Public administration and safety	1756
Melbourne - Inner East	Rental hiring and real estate services	1422
Melbourne - Inner East	Retail trade	5681
Melbourne - Inner East	Transport postal and warehousing	1439
Melbourne - Inner East	Wholesale trade	1579
Melbourne - Inner South		3515
Melbourne - Inner South	Accommodation and food services	4761
Melbourne - Inner South	Administrative and support services	1853
Melbourne - Inner South	Agriculture forestry and fishing	185
Melbourne - Inner South	Arts and recreation services	642
Melbourne - Inner South	Construction	2955
Melbourne - Inner South	Education and training	4072
Melbourne - Inner South	Electricity gas water and waste services	182
Melbourne - Inner South	Financial and insurance services	1216
Melbourne - Inner South	Health care and social assistance	9766
Melbourne - Inner South	Information media and telecommunications	519
Melbourne - Inner South	Manufacturing	6768
Melbourne - Inner South	Mining	38
Melbourne - Inner South	Other services	2427
Melbourne - Inner South	Professional scientific and technical services	4141
Melbourne - Inner South	Public administration and safety	1390
Melbourne - Inner South	Rental hiring and real estate services	882
Melbourne - Inner South	Retail trade	6354
Melbourne - Inner South	Transport postal and warehousing	1815
Melbourne - Inner South	Wholesale trade	2369
Melbourne - North East		2787
Melbourne - North East	Accommodation and food services	3143
Melbourne - North East	Administrative and support services	1547
Melbourne - North East	Agriculture forestry and fishing	605
Melbourne - North East	Arts and recreation services	292
Melbourne - North East	Construction	2530
Melbourne - North East	Education and training	3933
Melbourne - North East	Electricity gas water and waste services	217
Melbourne - North East	Financial and insurance services	669
Melbourne - North East	Health care and social assistance	9706
Melbourne - North East	Information media and telecommunications	318
Melbourne - North East	Manufacturing	5109
Melbourne - North East	Mining	60
Melbourne - North East	Other services	1608
Melbourne - North East	Professional scientific and technical services	2046
Melbourne - North East	Public administration and safety	1663
Melbourne - North East	Rental hiring and real estate services	391
Melbourne - North East	Retail trade	4442
Melbourne - North East	Transport postal and warehousing	2157
Melbourne - North East	Wholesale trade	1517
Melbourne - North West		3463
Melbourne - North West	Accommodation and food services	3036
Melbourne - North West	Administrative and support services	1722
Melbourne - North West	Agriculture forestry and fishing	248
Melbourne - North West	Arts and recreation services	199
Melbourne - North West	Construction	3205
Melbourne - North West	Education and training	2509
Melbourne - North West	Electricity gas water and waste services	413
Melbourne - North West	Financial and insurance services	526
Melbourne - North West	Health care and social assistance	4394
Melbourne - North West	Information media and telecommunications	324
Melbourne - North West	Manufacturing	9222
Melbourne - North West	Mining	65
Melbourne - North West	Other services	1921
Melbourne - North West	Professional scientific and technical services	1194
Melbourne - North West	Public administration and safety	1591
Melbourne - North West	Rental hiring and real estate services	481
Melbourne - North West	Retail trade	3851
Melbourne - North West	Transport postal and warehousing	7768
Melbourne - North West	Wholesale trade	1892
Melbourne - Outer East		3352
Melbourne - Outer East	Accommodation and food services	3624
Melbourne - Outer East	Administrative and support services	1520
Melbourne - Outer East	Agriculture forestry and fishing	483
Melbourne - Outer East	Arts and recreation services	431
Melbourne - Outer East	Construction	2752
Melbourne - Outer East	Education and training	2678
Melbourne - Outer East	Electricity gas water and waste services	413
Melbourne - Outer East	Financial and insurance services	868
Melbourne - Outer East	Health care and social assistance	7317
Melbourne - Outer East	Information media and telecommunications	484
Melbourne - Outer East	Manufacturing	7785
Melbourne - Outer East	Mining	66
Melbourne - Outer East	Other services	2010
Melbourne - Outer East	Professional scientific and technical services	3051
Melbourne - Outer East	Public administration and safety	1156
Melbourne - Outer East	Rental hiring and real estate services	602
Melbourne - Outer East	Retail trade	5332
Melbourne - Outer East	Transport postal and warehousing	1583
Melbourne - Outer East	Wholesale trade	3235
Melbourne - South East		8645
Melbourne - South East	Accommodation and food services	6404
Melbourne - South East	Administrative and support services	4317
Melbourne - South East	Agriculture forestry and fishing	1246
Melbourne - South East	Arts and recreation services	722
Melbourne - South East	Construction	7387
Melbourne - South East	Education and training	9544
Melbourne - South East	Electricity gas water and waste services	897
Melbourne - South East	Financial and insurance services	2482
Melbourne - South East	Health care and social assistance	17175
Melbourne - South East	Information media and telecommunications	1291
Melbourne - South East	Manufacturing	19608
Melbourne - South East	Mining	82
Melbourne - South East	Other services	4480
Melbourne - South East	Professional scientific and technical services	6668
Melbourne - South East	Public administration and safety	3054
Melbourne - South East	Rental hiring and real estate services	1503
Melbourne - South East	Retail trade	11398
Melbourne - South East	Transport postal and warehousing	7249
Melbourne - South East	Wholesale trade	7179
Melbourne - West		5985
Melbourne - West	Accommodation and food services	5311
Melbourne - West	Administrative and support services	2834
Melbourne - West	Agriculture forestry and fishing	647
Melbourne - West	Arts and recreation services	517
Melbourne - West	Construction	4987
Melbourne - West	Education and training	5717
Melbourne - West	Electricity gas water and waste services	634
Melbourne - West	Financial and insurance services	1084
Melbourne - West	Health care and social assistance	12895
Melbourne - West	Information media and telecommunications	530
Melbourne - West	Manufacturing	11751
Melbourne - West	Mining	103
Melbourne - West	Other services	3104
Melbourne - West	Professional scientific and technical services	2998
Melbourne - West	Public administration and safety	2990
Melbourne - West	Rental hiring and real estate services	1059
Melbourne - West	Retail trade	9280
Melbourne - West	Transport postal and warehousing	9798
Melbourne - West	Wholesale trade	3766
Mornington Peninsula		1180
Mornington Peninsula	Accommodation and food services	1805
Mornington Peninsula	Administrative and support services	740
Mornington Peninsula	Agriculture forestry and fishing	316
Mornington Peninsula	Arts and recreation services	324
Mornington Peninsula	Construction	1473
Mornington Peninsula	Education and training	1482
Mornington Peninsula	Electricity gas water and waste services	246
Mornington Peninsula	Financial and insurance services	313
Mornington Peninsula	Health care and social assistance	4834
Mornington Peninsula	Information media and telecommunications	149
Mornington Peninsula	Manufacturing	2027
Mornington Peninsula	Mining	40
Mornington Peninsula	Other services	777
Mornington Peninsula	Professional scientific and technical services	1030
Mornington Peninsula	Public administration and safety	859
Mornington Peninsula	Rental hiring and real estate services	263
Mornington Peninsula	Retail trade	2248
Mornington Peninsula	Transport postal and warehousing	532
Mornington Peninsula	Wholesale trade	387
North West		276
North West	Accommodation and food services	563
North West	Administrative and support services	205
North West	Agriculture forestry and fishing	990
North West	Arts and recreation services	41
North West	Construction	148
North West	Education and training	314
North West	Electricity gas water and waste services	47
North West	Financial and insurance services	54
North West	Health care and social assistance	1186
North West	Information media and telecommunications	23
North West	Manufacturing	557
North West	Mining	26
North West	Other services	118
North West	Professional scientific and technical services	129
North West	Public administration and safety	263
North West	Rental hiring and real estate services	25
North West	Retail trade	411
North West	Transport postal and warehousing	131
North West	Wholesale trade	114
Shepparton		334
Shepparton	Accommodation and food services	414
Shepparton	Administrative and support services	249
Shepparton	Agriculture forestry and fishing	1122
Shepparton	Arts and recreation services	35
Shepparton	Construction	176
Shepparton	Education and training	332
Shepparton	Electricity gas water and waste services	114
Shepparton	Financial and insurance services	64
Shepparton	Health care and social assistance	1285
Shepparton	Information media and telecommunications	40
Shepparton	Manufacturing	631
Shepparton	Mining	3
Shepparton	Other services	217
Shepparton	Professional scientific and technical services	191
Shepparton	Public administration and safety	192
Shepparton	Rental hiring and real estate services	31
Shepparton	Retail trade	456
Shepparton	Transport postal and warehousing	165
Shepparton	Wholesale trade	113
Warrnambool and South West		192
Warrnambool and South West	Accommodation and food services	523
Warrnambool and South West	Administrative and support services	90
Warrnambool and South West	Agriculture forestry and fishing	703
Warrnambool and South West	Arts and recreation services	53
Warrnambool and South West	Construction	110
Warrnambool and South West	Education and training	307
Warrnambool and South West	Electricity gas water and waste services	33
Warrnambool and South West	Financial and insurance services	52
Warrnambool and South West	Health care and social assistance	874
Warrnambool and South West	Information media and telecommunications	23
Warrnambool and South West	Manufacturing	675
Warrnambool and South West	Mining	28
Warrnambool and South West	Other services	96
Warrnambool and South West	Professional scientific and technical services	162
Warrnambool and South West	Public administration and safety	176
Warrnambool and South West	Rental hiring and real estate services	26
Warrnambool and South West	Retail trade	315
Warrnambool and South West	Transport postal and warehousing	106
Warrnambool and South West	Wholesale trade	139
Migratory - Offshore - Shipping (Vic.)	Transport postal and warehousing	4
No usual address (Vic.)		1995
No usual address (Vic.)	Accommodation and food services	483
No usual address (Vic.)	Administrative and support services	4034
No usual address (Vic.)	Agriculture forestry and fishing	287
No usual address (Vic.)	Arts and recreation services	296
No usual address (Vic.)	Construction	9234
No usual address (Vic.)	Education and training	1187
No usual address (Vic.)	Electricity gas water and waste services	164
No usual address (Vic.)	Financial and insurance services	216
No usual address (Vic.)	Health care and social assistance	2268
No usual address (Vic.)	Information media and telecommunications	436
No usual address (Vic.)	Manufacturing	601
No usual address (Vic.)	Mining	80
No usual address (Vic.)	Other services	946
No usual address (Vic.)	Professional scientific and technical services	1490
No usual address (Vic.)	Public administration and safety	791
No usual address (Vic.)	Rental hiring and real estate services	157
No usual address (Vic.)	Retail trade	805
No usual address (Vic.)	Transport postal and warehousing	3262
No usual address (Vic.)	Wholesale trade	403
Brisbane - East		1341
Brisbane - East	Accommodation and food services	1572
Brisbane - East	Administrative and support services	1012
Brisbane - East	Agriculture forestry and fishing	196
Brisbane - East	Arts and recreation services	203
Brisbane - East	Construction	1916
Brisbane - East	Education and training	1321
Brisbane - East	Electricity gas water and waste services	182
Brisbane - East	Financial and insurance services	367
Brisbane - East	Health care and social assistance	3432
Brisbane - East	Information media and telecommunications	272
Brisbane - East	Manufacturing	3929
Brisbane - East	Mining	115
Brisbane - East	Other services	902
Brisbane - East	Professional scientific and technical services	1259
Brisbane - East	Public administration and safety	677
Brisbane - East	Rental hiring and real estate services	483
Brisbane - East	Retail trade	2071
Brisbane - East	Transport postal and warehousing	1860
Brisbane - East	Wholesale trade	1087
Brisbane - North		1562
Brisbane - North	Accommodation and food services	2327
Brisbane - North	Administrative and support services	1212
Brisbane - North	Agriculture forestry and fishing	41
Brisbane - North	Arts and recreation services	244
Brisbane - North	Construction	2187
Brisbane - North	Education and training	1308
Brisbane - North	Electricity gas water and waste services	638
Brisbane - North	Financial and insurance services	408
Brisbane - North	Health care and social assistance	4923
Brisbane - North	Information media and telecommunications	311
Brisbane - North	Manufacturing	3744
Brisbane - North	Mining	131
Brisbane - North	Other services	1213
Brisbane - North	Professional scientific and technical services	1360
Brisbane - North	Public administration and safety	1465
Brisbane - North	Rental hiring and real estate services	551
Brisbane - North	Retail trade	2927
Brisbane - North	Transport postal and warehousing	4817
Brisbane - North	Wholesale trade	1500
Brisbane - South		3123
Brisbane - South	Accommodation and food services	3918
Brisbane - South	Administrative and support services	2027
Brisbane - South	Agriculture forestry and fishing	193
Brisbane - South	Arts and recreation services	483
Brisbane - South	Construction	3179
Brisbane - South	Education and training	4619
Brisbane - South	Electricity gas water and waste services	361
Brisbane - South	Financial and insurance services	1241
Brisbane - South	Health care and social assistance	10385
Brisbane - South	Information media and telecommunications	603
Brisbane - South	Manufacturing	4592
Brisbane - South	Mining	164
Brisbane - South	Other services	2594
Brisbane - South	Professional scientific and technical services	3416
Brisbane - South	Public administration and safety	1565
Brisbane - South	Rental hiring and real estate services	1288
Brisbane - South	Retail trade	5400
Brisbane - South	Transport postal and warehousing	4601
Brisbane - South	Wholesale trade	2527
Brisbane - West		734
Brisbane - West	Accommodation and food services	1591
Brisbane - West	Administrative and support services	607
Brisbane - West	Agriculture forestry and fishing	68
Brisbane - West	Arts and recreation services	215
Brisbane - West	Construction	697
Brisbane - West	Education and training	4659
Brisbane - West	Electricity gas water and waste services	28
Brisbane - West	Financial and insurance services	287
Brisbane - West	Health care and social assistance	2772
Brisbane - West	Information media and telecommunications	197
Brisbane - West	Manufacturing	352
Brisbane - West	Mining	65
Brisbane - West	Other services	787
Brisbane - West	Professional scientific and technical services	1453
Brisbane - West	Public administration and safety	882
Brisbane - West	Rental hiring and real estate services	325
Brisbane - West	Retail trade	1822
Brisbane - West	Transport postal and warehousing	391
Brisbane - West	Wholesale trade	241
Brisbane Inner City		3547
Brisbane Inner City	Accommodation and food services	10137
Brisbane Inner City	Administrative and support services	5008
Brisbane Inner City	Agriculture forestry and fishing	196
Brisbane Inner City	Arts and recreation services	1796
Brisbane Inner City	Construction	4397
Brisbane Inner City	Education and training	6544
Brisbane Inner City	Electricity gas water and waste services	1152
Brisbane Inner City	Financial and insurance services	6802
Brisbane Inner City	Health care and social assistance	13110
Brisbane Inner City	Information media and telecommunications	2321
Brisbane Inner City	Manufacturing	2589
Brisbane Inner City	Mining	2690
Brisbane Inner City	Other services	2596
Brisbane Inner City	Professional scientific and technical services	15768
Brisbane Inner City	Public administration and safety	8729
Brisbane Inner City	Rental hiring and real estate services	2173
Brisbane Inner City	Retail trade	4360
Brisbane Inner City	Transport postal and warehousing	3809
Brisbane Inner City	Wholesale trade	1551
Cairns		962
Cairns	Accommodation and food services	3971
Cairns	Administrative and support services	1282
Cairns	Agriculture forestry and fishing	1611
Cairns	Arts and recreation services	474
Cairns	Construction	947
Cairns	Education and training	1812
Cairns	Electricity gas water and waste services	124
Cairns	Financial and insurance services	274
Cairns	Health care and social assistance	4151
Cairns	Information media and telecommunications	160
Cairns	Manufacturing	833
Cairns	Mining	76
Cairns	Other services	912
Cairns	Professional scientific and technical services	938
Cairns	Public administration and safety	1207
Cairns	Rental hiring and real estate services	445
Cairns	Retail trade	2191
Cairns	Transport postal and warehousing	1508
Cairns	Wholesale trade	418
Darling Downs - Maranoa		262
Darling Downs - Maranoa	Accommodation and food services	574
Darling Downs - Maranoa	Administrative and support services	183
Darling Downs - Maranoa	Agriculture forestry and fishing	964
Darling Downs - Maranoa	Arts and recreation services	30
Darling Downs - Maranoa	Construction	457
Darling Downs - Maranoa	Education and training	349
Darling Downs - Maranoa	Electricity gas water and waste services	145
Darling Downs - Maranoa	Financial and insurance services	40
Darling Downs - Maranoa	Health care and social assistance	697
Darling Downs - Maranoa	Information media and telecommunications	23
Darling Downs - Maranoa	Manufacturing	731
Darling Downs - Maranoa	Mining	343
Darling Downs - Maranoa	Other services	169
Darling Downs - Maranoa	Professional scientific and technical services	185
Darling Downs - Maranoa	Public administration and safety	313
Darling Downs - Maranoa	Rental hiring and real estate services	50
Darling Downs - Maranoa	Retail trade	420
Darling Downs - Maranoa	Transport postal and warehousing	182
Darling Downs - Maranoa	Wholesale trade	176
Central Queensland		538
Central Queensland	Accommodation and food services	1310
Central Queensland	Administrative and support services	467
Central Queensland	Agriculture forestry and fishing	349
Central Queensland	Arts and recreation services	88
Central Queensland	Construction	886
Central Queensland	Education and training	1078
Central Queensland	Electricity gas water and waste services	278
Central Queensland	Financial and insurance services	122
Central Queensland	Health care and social assistance	2112
Central Queensland	Information media and telecommunications	67
Central Queensland	Manufacturing	1692
Central Queensland	Mining	1209
Central Queensland	Other services	462
Central Queensland	Professional scientific and technical services	716
Central Queensland	Public administration and safety	589
Central Queensland	Rental hiring and real estate services	195
Central Queensland	Retail trade	1002
Central Queensland	Transport postal and warehousing	641
Central Queensland	Wholesale trade	314
Gold Coast		4288
Gold Coast	Accommodation and food services	10407
Gold Coast	Administrative and support services	3974
Gold Coast	Agriculture forestry and fishing	479
Gold Coast	Arts and recreation services	2369
Gold Coast	Construction	6114
Gold Coast	Education and training	5834
Gold Coast	Electricity gas water and waste services	355
Gold Coast	Financial and insurance services	1810
Gold Coast	Health care and social assistance	11251
Gold Coast	Information media and telecommunications	1062
Gold Coast	Manufacturing	5281
Gold Coast	Mining	197
Gold Coast	Other services	3195
Gold Coast	Professional scientific and technical services	4748
Gold Coast	Public administration and safety	2277
Gold Coast	Rental hiring and real estate services	2623
Gold Coast	Retail trade	7630
Gold Coast	Transport postal and warehousing	2878
Gold Coast	Wholesale trade	1868
Ipswich		1780
Ipswich	Accommodation and food services	1456
Ipswich	Administrative and support services	850
Ipswich	Agriculture forestry and fishing	705
Ipswich	Arts and recreation services	146
Ipswich	Construction	1735
Ipswich	Education and training	1959
Ipswich	Electricity gas water and waste services	348
Ipswich	Financial and insurance services	386
Ipswich	Health care and social assistance	4076
Ipswich	Information media and telecommunications	131
Ipswich	Manufacturing	5669
Ipswich	Mining	167
Ipswich	Other services	1073
Ipswich	Professional scientific and technical services	1003
Ipswich	Public administration and safety	1881
Ipswich	Rental hiring and real estate services	419
Ipswich	Retail trade	2426
Ipswich	Transport postal and warehousing	1579
Ipswich	Wholesale trade	1236
Logan - Beaudesert		1866
Logan - Beaudesert	Accommodation and food services	1913
Logan - Beaudesert	Administrative and support services	1266
Logan - Beaudesert	Agriculture forestry and fishing	444
Logan - Beaudesert	Arts and recreation services	248
Logan - Beaudesert	Construction	2538
Logan - Beaudesert	Education and training	2312
Logan - Beaudesert	Electricity gas water and waste services	228
Logan - Beaudesert	Financial and insurance services	429
Logan - Beaudesert	Health care and social assistance	5275
Logan - Beaudesert	Information media and telecommunications	210
Logan - Beaudesert	Manufacturing	2561
Logan - Beaudesert	Mining	63
Logan - Beaudesert	Other services	1220
Logan - Beaudesert	Professional scientific and technical services	1242
Logan - Beaudesert	Public administration and safety	1028
Logan - Beaudesert	Rental hiring and real estate services	667
Logan - Beaudesert	Retail trade	3319
Logan - Beaudesert	Transport postal and warehousing	1525
Logan - Beaudesert	Wholesale trade	1236
Mackay - Isaac - Whitsunday		513
Mackay - Isaac - Whitsunday	Accommodation and food services	1912
Mackay - Isaac - Whitsunday	Administrative and support services	547
Mackay - Isaac - Whitsunday	Agriculture forestry and fishing	632
Mackay - Isaac - Whitsunday	Arts and recreation services	97
Mackay - Isaac - Whitsunday	Construction	563
Mackay - Isaac - Whitsunday	Education and training	658
Mackay - Isaac - Whitsunday	Electricity gas water and waste services	72
Mackay - Isaac - Whitsunday	Financial and insurance services	104
Mackay - Isaac - Whitsunday	Health care and social assistance	1710
Mackay - Isaac - Whitsunday	Information media and telecommunications	52
Mackay - Isaac - Whitsunday	Manufacturing	701
Mackay - Isaac - Whitsunday	Mining	1949
Mackay - Isaac - Whitsunday	Other services	527
Mackay - Isaac - Whitsunday	Professional scientific and technical services	394
Mackay - Isaac - Whitsunday	Public administration and safety	422
Mackay - Isaac - Whitsunday	Rental hiring and real estate services	181
Mackay - Isaac - Whitsunday	Retail trade	924
Mackay - Isaac - Whitsunday	Transport postal and warehousing	714
Mackay - Isaac - Whitsunday	Wholesale trade	301
Moreton Bay - North		810
Moreton Bay - North	Accommodation and food services	1123
Moreton Bay - North	Administrative and support services	549
Moreton Bay - North	Agriculture forestry and fishing	1026
Moreton Bay - North	Arts and recreation services	139
Moreton Bay - North	Construction	1071
Moreton Bay - North	Education and training	1225
Moreton Bay - North	Electricity gas water and waste services	194
Moreton Bay - North	Financial and insurance services	212
Moreton Bay - North	Health care and social assistance	3448
Moreton Bay - North	Information media and telecommunications	75
Moreton Bay - North	Manufacturing	1266
Moreton Bay - North	Mining	52
Moreton Bay - North	Other services	576
Moreton Bay - North	Professional scientific and technical services	531
Moreton Bay - North	Public administration and safety	512
Moreton Bay - North	Rental hiring and real estate services	276
Moreton Bay - North	Retail trade	1395
Moreton Bay - North	Transport postal and warehousing	471
Moreton Bay - North	Wholesale trade	279
Moreton Bay - South		732
Moreton Bay - South	Accommodation and food services	1088
Moreton Bay - South	Administrative and support services	402
Moreton Bay - South	Agriculture forestry and fishing	43
Moreton Bay - South	Arts and recreation services	168
Moreton Bay - South	Construction	1196
Moreton Bay - South	Education and training	1021
Moreton Bay - South	Electricity gas water and waste services	57
Moreton Bay - South	Financial and insurance services	316
Moreton Bay - South	Health care and social assistance	1766
Moreton Bay - South	Information media and telecommunications	118
Moreton Bay - South	Manufacturing	888
Moreton Bay - South	Mining	47
Moreton Bay - South	Other services	660
Moreton Bay - South	Professional scientific and technical services	816
Moreton Bay - South	Public administration and safety	348
Moreton Bay - South	Rental hiring and real estate services	234
Moreton Bay - South	Retail trade	1789
Moreton Bay - South	Transport postal and warehousing	431
Moreton Bay - South	Wholesale trade	368
Queensland - Outback		174
Queensland - Outback	Accommodation and food services	521
Queensland - Outback	Administrative and support services	160
Queensland - Outback	Agriculture forestry and fishing	385
Queensland - Outback	Arts and recreation services	34
Queensland - Outback	Construction	250
Queensland - Outback	Education and training	386
Queensland - Outback	Electricity gas water and waste services	46
Queensland - Outback	Financial and insurance services	30
Queensland - Outback	Health care and social assistance	725
Queensland - Outback	Information media and telecommunications	17
Queensland - Outback	Manufacturing	200
Queensland - Outback	Mining	983
Queensland - Outback	Other services	113
Queensland - Outback	Professional scientific and technical services	103
Queensland - Outback	Public administration and safety	457
Queensland - Outback	Rental hiring and real estate services	44
Queensland - Outback	Retail trade	355
Queensland - Outback	Transport postal and warehousing	190
Queensland - Outback	Wholesale trade	95
Sunshine Coast		1402
Sunshine Coast	Accommodation and food services	3659
Sunshine Coast	Administrative and support services	1168
Sunshine Coast	Agriculture forestry and fishing	644
Sunshine Coast	Arts and recreation services	559
Sunshine Coast	Construction	2148
Sunshine Coast	Education and training	2391
Sunshine Coast	Electricity gas water and waste services	190
Sunshine Coast	Financial and insurance services	814
Sunshine Coast	Health care and social assistance	5938
Sunshine Coast	Information media and telecommunications	291
Sunshine Coast	Manufacturing	1492
Sunshine Coast	Mining	53
Sunshine Coast	Other services	1351
Sunshine Coast	Professional scientific and technical services	1918
Sunshine Coast	Public administration and safety	874
Sunshine Coast	Rental hiring and real estate services	787
Sunshine Coast	Retail trade	3015
Sunshine Coast	Transport postal and warehousing	868
Sunshine Coast	Wholesale trade	604
Toowoomba		345
Toowoomba	Accommodation and food services	681
Toowoomba	Administrative and support services	302
Toowoomba	Agriculture forestry and fishing	753
Toowoomba	Arts and recreation services	61
Toowoomba	Construction	427
Toowoomba	Education and training	1145
Toowoomba	Electricity gas water and waste services	85
Toowoomba	Financial and insurance services	197
Toowoomba	Health care and social assistance	2031
Toowoomba	Information media and telecommunications	38
Toowoomba	Manufacturing	485
Toowoomba	Mining	113
Toowoomba	Other services	352
Toowoomba	Professional scientific and technical services	414
Toowoomba	Public administration and safety	431
Toowoomba	Rental hiring and real estate services	84
Toowoomba	Retail trade	745
Toowoomba	Transport postal and warehousing	298
Toowoomba	Wholesale trade	208
Townsville		575
Townsville	Accommodation and food services	1515
Townsville	Administrative and support services	520
Townsville	Agriculture forestry and fishing	409
Townsville	Arts and recreation services	168
Townsville	Construction	760
Townsville	Education and training	1620
Townsville	Electricity gas water and waste services	141
Townsville	Financial and insurance services	172
Townsville	Health care and social assistance	3410
Townsville	Information media and telecommunications	166
Townsville	Manufacturing	745
Townsville	Mining	140
Townsville	Other services	544
Townsville	Professional scientific and technical services	634
Townsville	Public administration and safety	1422
Townsville	Rental hiring and real estate services	193
Townsville	Retail trade	1038
Townsville	Transport postal and warehousing	711
Townsville	Wholesale trade	262
Wide Bay		530
Wide Bay	Accommodation and food services	1029
Wide Bay	Administrative and support services	374
Wide Bay	Agriculture forestry and fishing	1357
Wide Bay	Arts and recreation services	85
Wide Bay	Construction	505
Wide Bay	Education and training	1015
Wide Bay	Electricity gas water and waste services	112
Wide Bay	Financial and insurance services	114
Wide Bay	Health care and social assistance	2967
Wide Bay	Information media and telecommunications	85
Wide Bay	Manufacturing	662
Wide Bay	Mining	81
Wide Bay	Other services	411
Wide Bay	Professional scientific and technical services	382
Wide Bay	Public administration and safety	548
Wide Bay	Rental hiring and real estate services	173
Wide Bay	Retail trade	1086
Wide Bay	Transport postal and warehousing	366
Wide Bay	Wholesale trade	200
Migratory - Offshore - Shipping (Qld)		3
Migratory - Offshore - Shipping (Qld)	Agriculture forestry and fishing	4
Migratory - Offshore - Shipping (Qld)	Construction	3
Migratory - Offshore - Shipping (Qld)	Public administration and safety	5
Migratory - Offshore - Shipping (Qld)	Transport postal and warehousing	19
No usual address (Qld)		1395
No usual address (Qld)	Accommodation and food services	409
No usual address (Qld)	Administrative and support services	3304
No usual address (Qld)	Agriculture forestry and fishing	395
No usual address (Qld)	Arts and recreation services	252
No usual address (Qld)	Construction	7951
No usual address (Qld)	Education and training	844
No usual address (Qld)	Electricity gas water and waste services	121
No usual address (Qld)	Financial and insurance services	166
No usual address (Qld)	Health care and social assistance	1729
No usual address (Qld)	Information media and telecommunications	253
No usual address (Qld)	Manufacturing	545
No usual address (Qld)	Mining	338
No usual address (Qld)	Other services	946
No usual address (Qld)	Professional scientific and technical services	951
No usual address (Qld)	Public administration and safety	581
No usual address (Qld)	Rental hiring and real estate services	186
No usual address (Qld)	Retail trade	694
No usual address (Qld)	Transport postal and warehousing	1653
No usual address (Qld)	Wholesale trade	363
Adelaide - Central and Hills		1753
Adelaide - Central and Hills	Accommodation and food services	6272
Adelaide - Central and Hills	Administrative and support services	2541
Adelaide - Central and Hills	Agriculture forestry and fishing	355
Adelaide - Central and Hills	Arts and recreation services	826
Adelaide - Central and Hills	Construction	2185
Adelaide - Central and Hills	Education and training	5480
Adelaide - Central and Hills	Electricity gas water and waste services	779
Adelaide - Central and Hills	Financial and insurance services	2640
Adelaide - Central and Hills	Health care and social assistance	10971
Adelaide - Central and Hills	Information media and telecommunications	1209
Adelaide - Central and Hills	Manufacturing	1561
Adelaide - Central and Hills	Mining	525
Adelaide - Central and Hills	Other services	1826
Adelaide - Central and Hills	Professional scientific and technical services	6129
Adelaide - Central and Hills	Public administration and safety	5249
Adelaide - Central and Hills	Rental hiring and real estate services	850
Adelaide - Central and Hills	Retail trade	3964
Adelaide - Central and Hills	Transport postal and warehousing	1019
Adelaide - Central and Hills	Wholesale trade	1055
Adelaide - North		1405
Adelaide - North	Accommodation and food services	1704
Adelaide - North	Administrative and support services	1144
Adelaide - North	Agriculture forestry and fishing	1627
Adelaide - North	Arts and recreation services	153
Adelaide - North	Construction	1871
Adelaide - North	Education and training	2607
Adelaide - North	Electricity gas water and waste services	223
Adelaide - North	Financial and insurance services	206
Adelaide - North	Health care and social assistance	6437
Adelaide - North	Information media and telecommunications	237
Adelaide - North	Manufacturing	4698
Adelaide - North	Mining	70
Adelaide - North	Other services	1224
Adelaide - North	Professional scientific and technical services	1039
Adelaide - North	Public administration and safety	2097
Adelaide - North	Rental hiring and real estate services	307
Adelaide - North	Retail trade	3265
Adelaide - North	Transport postal and warehousing	1655
Adelaide - North	Wholesale trade	1278
Adelaide - South		815
Adelaide - South	Accommodation and food services	2110
Adelaide - South	Administrative and support services	851
Adelaide - South	Agriculture forestry and fishing	225
Adelaide - South	Arts and recreation services	289
Adelaide - South	Construction	1503
Adelaide - South	Education and training	2711
Adelaide - South	Electricity gas water and waste services	129
Adelaide - South	Financial and insurance services	598
