SA4_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
505,0,0,0,3,0,0,0,3,0,10,0,0,0,0,3,3,0,0,3,13,3,4,20,43,14,95,3,47,21,260,256,524,1245,3035,724,6269,423,2624,155,15263
506,0,3,3,0,0,3,0,3,0,11,0,0,3,3,0,3,4,4,4,19,6,7,26,30,13,75,9,31,23,217,259,566,1292,2876,764,4751,441,2412,192,13546
507,3,0,6,3,0,0,0,0,0,13,0,0,3,7,0,3,3,0,0,13,0,4,13,31,3,57,3,31,14,165,232,443,1033,2492,606,4817,318,2157,130,12225
509,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,3,0,7,3,0,10,0,7,5,39,48,55,324,299,105,603,24,362,29,1849
510,0,8,18,0,0,0,5,3,0,38,0,0,4,0,0,0,0,10,0,18,0,0,3,3,0,19,0,5,9,37,21,62,240,203,78,365,30,184,48,1230
511,0,4,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,3,8,4,0,13,3,3,4,40,27,88,350,321,135,775,50,363,41,2144
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,17
599,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,5,19,10,0,3,0,3,13,48,32,238,726,492,74,147,56,340,54,2155
601,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,4,3,5,5,12,0,37,3,16,13,105,102,327,661,1501,396,2409,114,1121,94,6719
602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,8,0,22,0,12,3,62,61,154,382,684,145,1265,88,565,33,3372
603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,7,40,82,15,103,7,77,7,353
604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,22,0,9,6,46,40,65,308,335,93,981,30,466,35,2356
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,7,10,15,16,83,70,9,30,5,41,9,274
701,0,0,7,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,7,0,0,4,7,5,18,0,8,26,68,80,180,466,705,308,1134,68,472,79,3486
702,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,3,0,3,20,41,21,74,174,167,71,282,14,178,51,1029
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,6,25,22,6,7,0,13,4,92
801,3,7,0,8,5,3,0,0,0,29,4,3,3,7,0,3,0,0,0,23,6,10,29,62,15,56,3,19,36,239,1159,1516,1464,5118,1820,5306,256,1898,254,18789
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,8,6,133,200,182,32,40,14,39,6,651
901,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,12,0,9,4,7,3,54
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
