SA4_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
215,179,219,71,2736,1991,107,352,305,74,2829,2245,179,449,274,77,3225,3042,269,512,328,81,4229,5116,454,746,333,128,6780,6913,497,670,266,113,8461,7433,611,733,221,122,9125,6431,652,641,193,63,7979,3850,397,382,103,40,4776,2786,431,280,63,41,3594,1697,215,164,40,26,2136,1568,293,227,42,30,2159,464,356,193,93,14,1121,817,88,143,132,88,1268,46806,4655,5841,3127,966,61396
216,132,133,50,2388,1520,84,274,188,33,2100,1960,168,403,193,64,2788,2652,214,435,156,63,3522,4435,371,566,195,82,5646,5772,451,555,116,102,7004,6608,484,553,89,66,7796,6265,542,485,67,91,7456,3760,377,270,43,39,4484,2777,345,184,33,28,3361,1794,185,100,24,21,2122,1659,328,149,23,23,2180,517,330,185,39,22,1097,805,94,109,85,95,1180,42687,4058,4538,1732,792,53808
217,208,165,50,2594,1813,97,340,197,60,2509,2143,105,452,218,62,2982,2635,178,577,189,80,3667,4311,243,748,203,100,5605,5181,342,717,188,85,6522,6092,380,784,134,83,7476,5702,429,665,128,70,6990,3358,316,432,69,44,4216,2561,259,316,51,37,3228,1728,158,206,41,21,2155,1707,251,284,36,32,2315,528,326,340,56,23,1266,719,64,151,76,86,1095,40769,3216,6381,2095,867,53330
297,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,7,4,0,0,0,7,5,0,0,0,0,5,5,0,0,0,0,9,10,0,0,0,0,7,8,0,0,0,0,8,11,0,0,0,0,11,29,0,0,0,0,29,59,0,0,0,0,60,3,0,0,3,0,5,146,3,4,3,3,157
299,719,135,66,3527,3530,220,1875,169,127,5922,3897,409,2220,159,142,6827,5299,620,2736,140,218,9016,7173,1064,3875,136,240,12484,7330,1502,4014,123,246,13208,8405,2099,4604,128,268,15503,8405,2518,4859,103,267,16145,6024,1804,3268,53,157,11304,4322,1770,2184,26,106,8413,2767,863,1196,23,56,4907,3142,1064,1089,20,63,5375,1130,636,508,36,45,2357,1597,397,640,76,216,2922,66022,15171,33984,1616,2241,119032
301,215,107,28,3565,2857,107,333,117,39,3459,2697,187,395,115,45,3435,3273,227,483,71,50,4101,5493,376,645,104,69,6686,7998,509,606,83,87,9279,9786,672,652,76,73,11254,9694,877,688,76,65,11392,6179,635,412,37,32,7295,5089,817,340,41,27,6305,3324,457,229,21,17,4046,4133,745,276,29,19,5199,1659,747,192,34,28,2657,973,122,88,28,76,1297,66546,6580,5611,1150,660,80553
302,167,67,28,3535,3208,61,321,82,42,3709,3346,143,359,59,44,3957,4141,192,391,46,47,4824,7275,330,589,59,79,8331,11543,404,536,66,96,12655,14683,524,603,44,114,15966,15345,670,607,48,72,16738,10206,552,438,29,52,11271,8667,697,339,23,30,9761,5646,409,199,16,25,6301,7963,685,282,21,24,8972,3383,780,241,25,19,4451,1293,71,78,19,80,1537,100183,5590,5185,787,762,112509
303,295,129,43,5035,5129,196,500,162,60,6043,5245,312,648,157,59,6422,6306,379,699,132,77,7597,10304,624,1002,167,110,12205,14684,778,963,141,113,16693,19244,991,1009,130,137,21511,20658,1253,1020,94,111,23143,14267,953,671,72,80,16039,11796,1152,480,64,67,13554,7352,610,281,26,28,8301,9342,1179,405,43,37,11001,3393,1281,416,49,36,5171,1664,136,106,33,125,2059,134274,10014,8580,1738,1106,155714
304,195,60,19,3358,3158,89,254,73,18,3586,2606,136,276,63,24,3098,2858,139,322,54,26,3400,4333,246,430,66,46,5122,4861,280,420,47,31,5635,5610,371,457,41,27,6505,6355,482,499,44,26,7412,5057,361,294,27,12,5754,4408,533,280,38,14,5271,2611,291,182,22,11,3119,3246,504,274,29,14,4071,1235,645,214,39,11,2144,548,48,70,13,35,724,50142,4209,4202,754,333,59640
305,290,121,44,5752,7080,161,482,129,92,7945,7774,282,601,129,93,8880,9520,341,598,128,86,10666,14687,612,852,122,137,16416,20565,733,922,105,143,22467,29306,942,1045,111,177,31577,38190,1354,1121,127,169,40954,31795,1199,848,81,109,34038,29993,1601,727,53,103,32482,22766,973,533,37,80,24387,39443,2241,886,84,104,42755,22412,4005,2061,136,113,28726,2997,214,166,41,165,3591,282509,14874,11227,1796,1647,312065
306,206,168,55,3495,2634,95,468,235,71,3500,3315,230,613,232,79,4475,4519,235,719,193,105,5764,8272,464,1009,183,114,10048,11456,556,1019,151,159,13337,13033,712,1005,136,103,14989,11583,888,926,127,113,13633,7306,614,604,66,71,8669,6008,679,491,51,54,7279,3624,356,249,39,16,4284,3907,552,340,48,44,4895,1240,621,334,55,28,2273,1249,107,191,103,138,1776,81467,6198,8288,2176,1172,99301
307,192,264,40,2068,1440,79,336,363,59,2289,1621,153,501,346,62,2690,2144,149,509,283,77,3158,3958,336,755,271,78,5399,5302,372,644,227,85,6620,6147,445,702,202,98,7591,5806,517,621,187,84,7215,3687,367,457,89,50,4642,3031,386,294,66,29,3810,2089,191,192,63,17,2554,3179,270,264,64,20,3800,1194,346,236,117,27,1920,632,103,148,192,74,1159,41926,3793,6050,3358,824,55949
